"","Kod","Nazwa","rok","BEZROBOCIE_kobiety_w_proc_bezrobotnych_kobiet_proc"
"19381",201000,"Powiat bolesławiecki",2003,NA
"19382",202000,"Powiat dzierżoniowski",2003,NA
"19383",203000,"Powiat głogowski",2003,NA
"19384",204000,"Powiat górowski",2003,NA
"19385",205000,"Powiat jaworski",2003,NA
"19386",206000,"Powiat jeleniogórski",2003,NA
"19387",207000,"Powiat kamiennogórski",2003,NA
"19388",208000,"Powiat kłodzki",2003,NA
"19389",209000,"Powiat legnicki",2003,NA
"19390",210000,"Powiat lubański",2003,NA
"19391",211000,"Powiat lubiński",2003,NA
"19392",212000,"Powiat lwówecki",2003,NA
"19393",213000,"Powiat milicki",2003,NA
"19394",214000,"Powiat oleśnicki",2003,NA
"19395",215000,"Powiat oławski",2003,NA
"19396",216000,"Powiat polkowicki",2003,NA
"19397",217000,"Powiat strzeliński",2003,NA
"19398",218000,"Powiat średzki",2003,NA
"19399",219000,"Powiat świdnicki",2003,NA
"19400",220000,"Powiat trzebnicki",2003,NA
"19401",221000,"Powiat wałbrzyski",2003,NA
"19402",222000,"Powiat wołowski",2003,NA
"19403",223000,"Powiat wrocławski",2003,NA
"19404",224000,"Powiat ząbkowicki",2003,NA
"19405",225000,"Powiat zgorzelecki",2003,NA
"19406",226000,"Powiat złotoryjski",2003,NA
"19407",261000,"Powiat m.Jelenia Góra",2003,NA
"19408",262000,"Powiat m.Legnica",2003,NA
"19409",264000,"Powiat m.Wrocław",2003,NA
"19410",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"19411",401000,"Powiat aleksandrowski",2003,NA
"19412",402000,"Powiat brodnicki",2003,NA
"19413",403000,"Powiat bydgoski",2003,NA
"19414",404000,"Powiat chełmiński",2003,NA
"19415",405000,"Powiat golubsko-dobrzyński",2003,NA
"19416",406000,"Powiat grudziądzki",2003,NA
"19417",407000,"Powiat inowrocławski",2003,NA
"19418",408000,"Powiat lipnowski",2003,NA
"19419",409000,"Powiat mogileński",2003,NA
"19420",410000,"Powiat nakielski",2003,NA
"19421",411000,"Powiat radziejowski",2003,NA
"19422",412000,"Powiat rypiński",2003,NA
