"","Kod","Nazwa","rok","BEZROBOCIE_ogolem_w_proc_bezrobotnych_ogolem_proc"
"6461",201000,"Powiat bolesławiecki",2003,41.9
"6462",202000,"Powiat dzierżoniowski",2003,54.5
"6463",203000,"Powiat głogowski",2003,46.5
"6464",204000,"Powiat górowski",2003,50.5
"6465",205000,"Powiat jaworski",2003,52.6
"6466",206000,"Powiat jeleniogórski",2003,48.9
"6467",207000,"Powiat kamiennogórski",2003,40.4
"6468",208000,"Powiat kłodzki",2003,53.9
"6469",209000,"Powiat legnicki",2003,50.1
"6470",210000,"Powiat lubański",2003,46.8
"6471",211000,"Powiat lubiński",2003,44.7
"6472",212000,"Powiat lwówecki",2003,52.7
"6473",213000,"Powiat milicki",2003,43.9
"6474",214000,"Powiat oleśnicki",2003,48.9
"6475",215000,"Powiat oławski",2003,48.3
"6476",216000,"Powiat polkowicki",2003,54.4
"6477",217000,"Powiat strzeliński",2003,52.8
"6478",218000,"Powiat średzki",2003,45.8
"6479",219000,"Powiat świdnicki",2003,46
"6480",220000,"Powiat trzebnicki",2003,48.3
"6481",221000,"Powiat wałbrzyski",2003,50.9
"6482",222000,"Powiat wołowski",2003,49.4
"6483",223000,"Powiat wrocławski",2003,54.7
"6484",224000,"Powiat ząbkowicki",2003,50.5
"6485",225000,"Powiat zgorzelecki",2003,55.1
"6486",226000,"Powiat złotoryjski",2003,50.2
"6487",261000,"Powiat m.Jelenia Góra",2003,43.1
"6488",262000,"Powiat m.Legnica",2003,49.6
"6489",264000,"Powiat m.Wrocław",2003,51.8
"6490",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"6491",401000,"Powiat aleksandrowski",2003,53.1
"6492",402000,"Powiat brodnicki",2003,51.7
"6493",403000,"Powiat bydgoski",2003,51.8
"6494",404000,"Powiat chełmiński",2003,46.8
"6495",405000,"Powiat golubsko-dobrzyński",2003,53.2
"6496",406000,"Powiat grudziądzki",2003,54.8
"6497",407000,"Powiat inowrocławski",2003,53.9
"6498",408000,"Powiat lipnowski",2003,52.8
"6499",409000,"Powiat mogileński",2003,54.7
"6500",410000,"Powiat nakielski",2003,55.9
"6501",411000,"Powiat radziejowski",2003,59.3
"6502",412000,"Powiat rypiński",2003,57.5
"6503",413000,"Powiat sępoleński",2003,51.1
"6504",414000,"Powiat świecki",2003,58.7
"6505",415000,"Powiat toruński",2003,50.2
"6506",416000,"Powiat tucholski",2003,53.9
"6507",417000,"Powiat wąbrzeski",2003,55.9
"6508",418000,"Powiat włocławski",2003,57.3
"6509",419000,"Powiat żniński",2003,53.1
"6510",461000,"Powiat m.Bydgoszcz",2003,46.1
"6511",462000,"Powiat m.Grudziądz",2003,57.4
"6512",463000,"Powiat m.Toruń",2003,46.5
"6513",464000,"Powiat m.Włocławek",2003,48.6
"6514",601000,"Powiat bialski",2003,60.3
"6515",602000,"Powiat biłgorajski",2003,51.1
"6516",603000,"Powiat chełmski",2003,55.7
"6517",604000,"Powiat hrubieszowski",2003,60.9
"6518",605000,"Powiat janowski",2003,57.9
"6519",606000,"Powiat krasnostawski",2003,60
"6520",607000,"Powiat kraśnicki",2003,52.4
