"","Kod","Nazwa","rok","BEZROBOCIE_w_proc_ludnosci_aktywnej_zawodowo_proc"
"25841",201000,"Powiat bolesławiecki",2003,NA
"25842",202000,"Powiat dzierżoniowski",2003,NA
"25843",203000,"Powiat głogowski",2003,NA
"25844",204000,"Powiat górowski",2003,NA
"25845",205000,"Powiat jaworski",2003,NA
"25846",206000,"Powiat jeleniogórski",2003,NA
"25847",207000,"Powiat kamiennogórski",2003,NA
"25848",208000,"Powiat kłodzki",2003,NA
"25849",209000,"Powiat legnicki",2003,NA
"25850",210000,"Powiat lubański",2003,NA
"25851",211000,"Powiat lubiński",2003,NA
"25852",212000,"Powiat lwówecki",2003,NA
"25853",213000,"Powiat milicki",2003,NA
"25854",214000,"Powiat oleśnicki",2003,NA
"25855",215000,"Powiat oławski",2003,NA
"25856",216000,"Powiat polkowicki",2003,NA
"25857",217000,"Powiat strzeliński",2003,NA
"25858",218000,"Powiat średzki",2003,NA
"25859",219000,"Powiat świdnicki",2003,NA
"25860",220000,"Powiat trzebnicki",2003,NA
"25861",221000,"Powiat wałbrzyski",2003,NA
"25862",222000,"Powiat wołowski",2003,NA
"25863",223000,"Powiat wrocławski",2003,NA
"25864",224000,"Powiat ząbkowicki",2003,NA
"25865",225000,"Powiat zgorzelecki",2003,NA
"25866",226000,"Powiat złotoryjski",2003,NA
"25867",261000,"Powiat m.Jelenia Góra",2003,NA
"25868",262000,"Powiat m.Legnica",2003,NA
"25869",264000,"Powiat m.Wrocław",2003,NA
"25870",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"25871",401000,"Powiat aleksandrowski",2003,NA
"25872",402000,"Powiat brodnicki",2003,NA
"25873",403000,"Powiat bydgoski",2003,NA
"25874",404000,"Powiat chełmiński",2003,NA
"25875",405000,"Powiat golubsko-dobrzyński",2003,NA
"25876",406000,"Powiat grudziądzki",2003,NA
"25877",407000,"Powiat inowrocławski",2003,NA
"25878",408000,"Powiat lipnowski",2003,NA
"25879",409000,"Powiat mogileński",2003,NA
"25880",410000,"Powiat nakielski",2003,NA
"25881",411000,"Powiat radziejowski",2003,NA
"25882",412000,"Powiat rypiński",2003,NA
"25883",413000,"Powiat sępoleński",2003,NA
"25884",414000,"Powiat świecki",2003,NA
"25885",415000,"Powiat toruński",2003,NA
"25886",416000,"Powiat tucholski",2003,NA
"25887",417000,"Powiat wąbrzeski",2003,NA
"25888",418000,"Powiat włocławski",2003,NA
"25889",419000,"Powiat żniński",2003,NA
"25890",461000,"Powiat m.Bydgoszcz",2003,NA
"25891",462000,"Powiat m.Grudziądz",2003,NA
