"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_mieszkania_na_10_tys_ludnosci"
"1",201000,"Powiat bolesławiecki",2002,27.7
"2",202000,"Powiat dzierżoniowski",2002,16.7
"3",203000,"Powiat głogowski",2002,23.1
"4",204000,"Powiat górowski",2002,0.8
"5",205000,"Powiat jaworski",2002,10.6
"6",206000,"Powiat jeleniogórski",2002,15.5
"7",207000,"Powiat kamiennogórski",2002,5.3
"8",208000,"Powiat kłodzki",2002,11.5
"9",209000,"Powiat legnicki",2002,10.9
"10",210000,"Powiat lubański",2002,10.4
"11",211000,"Powiat lubiński",2002,18.4
"12",212000,"Powiat lwówecki",2002,8.2
"13",213000,"Powiat milicki",2002,9.2
"14",214000,"Powiat oleśnicki",2002,22.1
"15",215000,"Powiat oławski",2002,17.1
"16",216000,"Powiat polkowicki",2002,11.1
"17",217000,"Powiat strzeliński",2002,12.5
"18",218000,"Powiat średzki",2002,8.9
"19",219000,"Powiat świdnicki",2002,16.2
"20",220000,"Powiat trzebnicki",2002,22.9
"21",221000,"Powiat wałbrzyski",2002,9.2
"22",222000,"Powiat wołowski",2002,8.8
"23",223000,"Powiat wrocławski",2002,39.3
"24",224000,"Powiat ząbkowicki",2002,13.6
"25",225000,"Powiat zgorzelecki",2002,16.3
"26",226000,"Powiat złotoryjski",2002,20.1
"27",261000,"Powiat m.Jelenia Góra",2002,8.4
"28",262000,"Powiat m.Legnica",2002,24
"29",263000,"Powiat m.Wałbrzych do 2002",2002,4.7
"30",264000,"Powiat m.Wrocław",2002,55.4
"31",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"32",401000,"Powiat aleksandrowski",2002,60.7
"33",402000,"Powiat brodnicki",2002,15.3
"34",403000,"Powiat bydgoski",2002,48.9
"35",404000,"Powiat chełmiński",2002,20.3
"36",405000,"Powiat golubsko-dobrzyński",2002,11.8
"37",406000,"Powiat grudziądzki",2002,13.8
"38",407000,"Powiat inowrocławski",2002,16.6
"39",408000,"Powiat lipnowski",2002,5.7
"40",409000,"Powiat mogileński",2002,4.4
"41",410000,"Powiat nakielski",2002,15.7
"42",411000,"Powiat radziejowski",2002,2.1
"43",412000,"Powiat rypiński",2002,9.2
"44",413000,"Powiat sępoleński",2002,13.5
"45",414000,"Powiat świecki",2002,18.1
"46",415000,"Powiat toruński",2002,32.2
"47",416000,"Powiat tucholski",2002,8.7
"48",417000,"Powiat wąbrzeski",2002,13.7
"49",418000,"Powiat włocławski",2002,12.6
"50",419000,"Powiat żniński",2002,7.3
"51",461000,"Powiat m.Bydgoszcz",2002,22.3
"52",462000,"Powiat m.Grudziądz",2002,16.9
"53",463000,"Powiat m.Toruń",2002,30.4
"54",464000,"Powiat m.Włocławek",2002,20.5
"55",601000,"Powiat bialski",2002,8.8
"56",602000,"Powiat biłgorajski",2002,20.4
"57",603000,"Powiat chełmski",2002,10.6
"58",604000,"Powiat hrubieszowski",2002,9.8
"59",605000,"Powiat janowski",2002,2.7
"60",606000,"Powiat krasnostawski",2002,6.3
"61",607000,"Powiat kraśnicki",2002,4.6
"62",608000,"Powiat lubartowski",2002,5.7
"63",609000,"Powiat lubelski",2002,11.9
"64",610000,"Powiat łęczyński",2002,4.7
"65",611000,"Powiat łukowski",2002,12
"66",612000,"Powiat opolski",2002,4.1
"67",613000,"Powiat parczewski",2002,2.7
"68",614000,"Powiat puławski",2002,11.3
"69",615000,"Powiat radzyński",2002,13.3
"70",616000,"Powiat rycki",2002,8
"71",617000,"Powiat świdnicki",2002,17.1
"72",618000,"Powiat tomaszowski",2002,1.9
"73",619000,"Powiat włodawski",2002,18.8
"74",620000,"Powiat zamojski",2002,7.5
"75",661000,"Powiat m.Biała Podlaska",2002,53.5
"76",662000,"Powiat m.Chełm",2002,29.2
"77",663000,"Powiat m.Lublin",2002,31.5
"78",664000,"Powiat m.Zamość",2002,28.2
"79",801000,"Powiat gorzowski",2002,32.6
"80",802000,"Powiat krośnieński",2002,14.1
"81",803000,"Powiat międzyrzecki",2002,14.3
"82",804000,"Powiat nowosolski",2002,17.2
"83",805000,"Powiat słubicki",2002,23.1
"84",806000,"Powiat strzelecko-drezdenecki",2002,16.6
"85",807000,"Powiat sulęciński",2002,15.8
"86",808000,"Powiat świebodziński",2002,5.3
"87",809000,"Powiat zielonogórski",2002,21.9
"88",810000,"Powiat żagański",2002,7.6
"89",811000,"Powiat żarski",2002,19.9
"90",812000,"Powiat wschowski",2002,10.6
"91",861000,"Powiat m.Gorzów Wielkopolski",2002,46.7
"92",862000,"Powiat m.Zielona Góra",2002,42.2
"93",1001000,"Powiat bełchatowski",2002,48.4
"94",1002000,"Powiat kutnowski",2002,13.9
"95",1003000,"Powiat łaski",2002,12.2
"96",1004000,"Powiat łęczycki",2002,4.6
"97",1005000,"Powiat łowicki",2002,10.5
"98",1006000,"Powiat łódzki wschodni",2002,48.3
"99",1007000,"Powiat opoczyński",2002,28.6
"100",1008000,"Powiat pabianicki",2002,22.8
"101",1009000,"Powiat pajęczański",2002,9.4
"102",1010000,"Powiat piotrkowski",2002,23.5
"103",1011000,"Powiat poddębicki",2002,14.6
"104",1012000,"Powiat radomszczański",2002,13.9
"105",1013000,"Powiat rawski",2002,9.8
"106",1014000,"Powiat sieradzki",2002,5.8
"107",1015000,"Powiat skierniewicki",2002,6.7
"108",1016000,"Powiat tomaszowski",2002,17.8
"109",1017000,"Powiat wieluński",2002,3.7
"110",1018000,"Powiat wieruszowski",2002,11.8
"111",1019000,"Powiat zduńskowolski",2002,7.9
"112",1020000,"Powiat zgierski",2002,27
"113",1021000,"Powiat brzeziński",2002,10
"114",1061000,"Powiat m.Łódź",2002,15.9
"115",1062000,"Powiat m.Piotrków Trybunalski",2002,23.5
"116",1063000,"Powiat m.Skierniewice",2002,50.9
"117",1201000,"Powiat bocheński",2002,20.4
"118",1202000,"Powiat brzeski",2002,27.6
"119",1203000,"Powiat chrzanowski",2002,13.7
"120",1204000,"Powiat dąbrowski",2002,7.2
"121",1205000,"Powiat gorlicki",2002,22.3
"122",1206000,"Powiat krakowski",2002,36.4
"123",1207000,"Powiat limanowski",2002,33.5
"124",1208000,"Powiat miechowski",2002,12.8
"125",1209000,"Powiat myślenicki",2002,26.9
"126",1210000,"Powiat nowosądecki",2002,6.8
"127",1211000,"Powiat nowotarski",2002,24.3
"128",1212000,"Powiat olkuski",2002,14.4
"129",1213000,"Powiat oświęcimski",2002,17.5
"130",1214000,"Powiat proszowicki",2002,7.3
"131",1215000,"Powiat suski",2002,35.9
"132",1216000,"Powiat tarnowski",2002,27.3
"133",1217000,"Powiat tatrzański",2002,30.5
"134",1218000,"Powiat wadowicki",2002,38.4
"135",1219000,"Powiat wielicki",2002,49.4
"136",1261000,"Powiat m.Kraków",2002,45.9
"137",1262000,"Powiat m.Nowy Sącz",2002,39.5
"138",1263000,"Powiat m.Tarnów",2002,22.4
"139",1401000,"Powiat białobrzeski",2002,17.2
"140",1402000,"Powiat ciechanowski",2002,21.5
"141",1403000,"Powiat garwoliński",2002,16.5
