"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietna_powierzchnia_uZytkowa_1_mieszkania_m2"
"13717",201000,"Powiat bolesławiecki",2002,97.8
"13718",202000,"Powiat dzierżoniowski",2002,104
"13719",203000,"Powiat głogowski",2002,80.9
"13720",204000,"Powiat górowski",2002,133
"13721",205000,"Powiat jaworski",2002,84.6
"13722",206000,"Powiat jeleniogórski",2002,110.7
"13723",207000,"Powiat kamiennogórski",2002,114.7
"13724",208000,"Powiat kłodzki",2002,126.9
"13725",209000,"Powiat legnicki",2002,158.4
"13726",210000,"Powiat lubański",2002,127.6
"13727",211000,"Powiat lubiński",2002,139.8
"13728",212000,"Powiat lwówecki",2002,102.8
"13729",213000,"Powiat milicki",2002,133.8
"13730",214000,"Powiat oleśnicki",2002,87.5
"13731",215000,"Powiat oławski",2002,101
"13732",216000,"Powiat polkowicki",2002,129.3
"13733",217000,"Powiat strzeliński",2002,150.9
"13734",218000,"Powiat średzki",2002,129
"13735",219000,"Powiat świdnicki",2002,98.4
"13736",220000,"Powiat trzebnicki",2002,116
"13737",221000,"Powiat wałbrzyski",2002,132
"13738",222000,"Powiat wołowski",2002,114.2
"13739",223000,"Powiat wrocławski",2002,130
"13740",224000,"Powiat ząbkowicki",2002,89.3
"13741",225000,"Powiat zgorzelecki",2002,86.1
"13742",226000,"Powiat złotoryjski",2002,84.8
"13743",261000,"Powiat m.Jelenia Góra",2002,86.7
"13744",262000,"Powiat m.Legnica",2002,76.9
"13745",263000,"Powiat m.Wałbrzych do 2002",2002,160.2
"13746",264000,"Powiat m.Wrocław",2002,63.7
"13747",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"13748",401000,"Powiat aleksandrowski",2002,79.5
"13749",402000,"Powiat brodnicki",2002,114
"13750",403000,"Powiat bydgoski",2002,139.4
"13751",404000,"Powiat chełmiński",2002,65.3
"13752",405000,"Powiat golubsko-dobrzyński",2002,76.3
"13753",406000,"Powiat grudziądzki",2002,153.3
"13754",407000,"Powiat inowrocławski",2002,95.6
"13755",408000,"Powiat lipnowski",2002,122.6
"13756",409000,"Powiat mogileński",2002,128.8
"13757",410000,"Powiat nakielski",2002,93.6
"13758",411000,"Powiat radziejowski",2002,118.8
"13759",412000,"Powiat rypiński",2002,92.1
"13760",413000,"Powiat sępoleński",2002,127.4
"13761",414000,"Powiat świecki",2002,103.7
"13762",415000,"Powiat toruński",2002,144.2
"13763",416000,"Powiat tucholski",2002,99.8
"13764",417000,"Powiat wąbrzeski",2002,81.2
"13765",418000,"Powiat włocławski",2002,127
"13766",419000,"Powiat żniński",2002,119.4
"13767",461000,"Powiat m.Bydgoszcz",2002,74.2
"13768",462000,"Powiat m.Grudziądz",2002,91.8
"13769",463000,"Powiat m.Toruń",2002,77
"13770",464000,"Powiat m.Włocławek",2002,87
"13771",601000,"Powiat bialski",2002,115.5
"13772",602000,"Powiat biłgorajski",2002,122.3
"13773",603000,"Powiat chełmski",2002,120.4
"13774",604000,"Powiat hrubieszowski",2002,142.6
"13775",605000,"Powiat janowski",2002,157.9
"13776",606000,"Powiat krasnostawski",2002,143.4
"13777",607000,"Powiat kraśnicki",2002,122.3
"13778",608000,"Powiat lubartowski",2002,133
"13779",609000,"Powiat lubelski",2002,122.1
"13780",610000,"Powiat łęczyński",2002,139.5
"13781",611000,"Powiat łukowski",2002,138.8
"13782",612000,"Powiat opolski",2002,125.4
"13783",613000,"Powiat parczewski",2002,133
"13784",614000,"Powiat puławski",2002,128.5
"13785",615000,"Powiat radzyński",2002,135.5
"13786",616000,"Powiat rycki",2002,126.6
"13787",617000,"Powiat świdnicki",2002,98.4
"13788",618000,"Powiat tomaszowski",2002,135.5
"13789",619000,"Powiat włodawski",2002,120.1
"13790",620000,"Powiat zamojski",2002,134.9
"13791",661000,"Powiat m.Biała Podlaska",2002,79
"13792",662000,"Powiat m.Chełm",2002,74.9
"13793",663000,"Powiat m.Lublin",2002,71.2
"13794",664000,"Powiat m.Zamość",2002,98.9
"13795",801000,"Powiat gorzowski",2002,130.3
"13796",802000,"Powiat krośnieński",2002,93.7
"13797",803000,"Powiat międzyrzecki",2002,119.6
"13798",804000,"Powiat nowosolski",2002,95.9
"13799",805000,"Powiat słubicki",2002,99.3
"13800",806000,"Powiat strzelecko-drezdenecki",2002,87.9
"13801",807000,"Powiat sulęciński",2002,137.4
"13802",808000,"Powiat świebodziński",2002,164.1
"13803",809000,"Powiat zielonogórski",2002,134.3
"13804",810000,"Powiat żagański",2002,105.9
"13805",811000,"Powiat żarski",2002,80.4
"13806",812000,"Powiat wschowski",2002,107.5
"13807",861000,"Powiat m.Gorzów Wielkopolski",2002,72.8
"13808",862000,"Powiat m.Zielona Góra",2002,78.7
"13809",1001000,"Powiat bełchatowski",2002,126.7
"13810",1002000,"Powiat kutnowski",2002,106.4
"13811",1003000,"Powiat łaski",2002,142.7
"13812",1004000,"Powiat łęczycki",2002,143.2
"13813",1005000,"Powiat łowicki",2002,147
"13814",1006000,"Powiat łódzki wschodni",2002,143.2
"13815",1007000,"Powiat opoczyński",2002,121.5
"13816",1008000,"Powiat pabianicki",2002,137.2
"13817",1009000,"Powiat pajęczański",2002,150.8
"13818",1010000,"Powiat piotrkowski",2002,134.3
"13819",1011000,"Powiat poddębicki",2002,129.5
"13820",1012000,"Powiat radomszczański",2002,133.7
"13821",1013000,"Powiat rawski",2002,128.3
"13822",1014000,"Powiat sieradzki",2002,80.5
"13823",1015000,"Powiat skierniewicki",2002,137.2
