"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_jednorodzinnych_mc"
"20575",201000,"Powiat bolesławiecki",2002,NA
"20576",202000,"Powiat dzierżoniowski",2002,NA
"20577",203000,"Powiat głogowski",2002,NA
"20578",204000,"Powiat górowski",2002,NA
"20579",205000,"Powiat jaworski",2002,NA
"20580",206000,"Powiat jeleniogórski",2002,NA
"20581",207000,"Powiat kamiennogórski",2002,NA
"20582",208000,"Powiat kłodzki",2002,NA
"20583",209000,"Powiat legnicki",2002,NA
"20584",210000,"Powiat lubański",2002,NA
"20585",211000,"Powiat lubiński",2002,NA
"20586",212000,"Powiat lwówecki",2002,NA
"20587",213000,"Powiat milicki",2002,NA
"20588",214000,"Powiat oleśnicki",2002,NA
"20589",215000,"Powiat oławski",2002,NA
"20590",216000,"Powiat polkowicki",2002,NA
"20591",217000,"Powiat strzeliński",2002,NA
"20592",218000,"Powiat średzki",2002,NA
"20593",219000,"Powiat świdnicki",2002,NA
"20594",220000,"Powiat trzebnicki",2002,NA
"20595",221000,"Powiat wałbrzyski",2002,NA
"20596",222000,"Powiat wołowski",2002,NA
"20597",223000,"Powiat wrocławski",2002,NA
"20598",224000,"Powiat ząbkowicki",2002,NA
"20599",225000,"Powiat zgorzelecki",2002,NA
"20600",226000,"Powiat złotoryjski",2002,NA
"20601",261000,"Powiat m.Jelenia Góra",2002,NA
"20602",262000,"Powiat m.Legnica",2002,NA
"20603",263000,"Powiat m.Wałbrzych do 2002",2002,NA
"20604",264000,"Powiat m.Wrocław",2002,NA
"20605",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"20606",401000,"Powiat aleksandrowski",2002,NA
"20607",402000,"Powiat brodnicki",2002,NA
"20608",403000,"Powiat bydgoski",2002,NA
"20609",404000,"Powiat chełmiński",2002,NA
"20610",405000,"Powiat golubsko-dobrzyński",2002,NA
"20611",406000,"Powiat grudziądzki",2002,NA
"20612",407000,"Powiat inowrocławski",2002,NA
"20613",408000,"Powiat lipnowski",2002,NA
"20614",409000,"Powiat mogileński",2002,NA
"20615",410000,"Powiat nakielski",2002,NA
"20616",411000,"Powiat radziejowski",2002,NA
"20617",412000,"Powiat rypiński",2002,NA
"20618",413000,"Powiat sępoleński",2002,NA
"20619",414000,"Powiat świecki",2002,NA
"20620",415000,"Powiat toruński",2002,NA
"20621",416000,"Powiat tucholski",2002,NA
"20622",417000,"Powiat wąbrzeski",2002,NA
"20623",418000,"Powiat włocławski",2002,NA
"20624",419000,"Powiat żniński",2002,NA
"20625",461000,"Powiat m.Bydgoszcz",2002,NA
"20626",462000,"Powiat m.Grudziądz",2002,NA
"20627",463000,"Powiat m.Toruń",2002,NA
"20628",464000,"Powiat m.Włocławek",2002,NA
"20629",601000,"Powiat bialski",2002,NA
"20630",602000,"Powiat biłgorajski",2002,NA
"20631",603000,"Powiat chełmski",2002,NA
"20632",604000,"Powiat hrubieszowski",2002,NA
"20633",605000,"Powiat janowski",2002,NA
"20634",606000,"Powiat krasnostawski",2002,NA
"20635",607000,"Powiat kraśnicki",2002,NA
"20636",608000,"Powiat lubartowski",2002,NA
"20637",609000,"Powiat lubelski",2002,NA
"20638",610000,"Powiat łęczyński",2002,NA
"20639",611000,"Powiat łukowski",2002,NA
"20640",612000,"Powiat opolski",2002,NA
"20641",613000,"Powiat parczewski",2002,NA
"20642",614000,"Powiat puławski",2002,NA
"20643",615000,"Powiat radzyński",2002,NA
"20644",616000,"Powiat rycki",2002,NA
"20645",617000,"Powiat świdnicki",2002,NA
"20646",618000,"Powiat tomaszowski",2002,NA
"20647",619000,"Powiat włodawski",2002,NA
"20648",620000,"Powiat zamojski",2002,NA
"20649",661000,"Powiat m.Biała Podlaska",2002,NA
"20650",662000,"Powiat m.Chełm",2002,NA
"20651",663000,"Powiat m.Lublin",2002,NA
"20652",664000,"Powiat m.Zamość",2002,NA
"20653",801000,"Powiat gorzowski",2002,NA
"20654",802000,"Powiat krośnieński",2002,NA
"20655",803000,"Powiat międzyrzecki",2002,NA
"20656",804000,"Powiat nowosolski",2002,NA
"20657",805000,"Powiat słubicki",2002,NA
"20658",806000,"Powiat strzelecko-drezdenecki",2002,NA
"20659",807000,"Powiat sulęciński",2002,NA
"20660",808000,"Powiat świebodziński",2002,NA
"20661",809000,"Powiat zielonogórski",2002,NA
"20662",810000,"Powiat żagański",2002,NA
"20663",811000,"Powiat żarski",2002,NA
"20664",812000,"Powiat wschowski",2002,NA
"20665",861000,"Powiat m.Gorzów Wielkopolski",2002,NA
"20666",862000,"Powiat m.Zielona Góra",2002,NA
"20667",1001000,"Powiat bełchatowski",2002,NA
"20668",1002000,"Powiat kutnowski",2002,NA
"20669",1003000,"Powiat łaski",2002,NA
"20670",1004000,"Powiat łęczycki",2002,NA
"20671",1005000,"Powiat łowicki",2002,NA
"20672",1006000,"Powiat łódzki wschodni",2002,NA
"20673",1007000,"Powiat opoczyński",2002,NA
"20674",1008000,"Powiat pabianicki",2002,NA
"20675",1009000,"Powiat pajęczański",2002,NA
"20676",1010000,"Powiat piotrkowski",2002,NA
"20677",1011000,"Powiat poddębicki",2002,NA
"20678",1012000,"Powiat radomszczański",2002,NA
"20679",1013000,"Powiat rawski",2002,NA
"20680",1014000,"Powiat sieradzki",2002,NA
"20681",1015000,"Powiat skierniewicki",2002,NA
"20682",1016000,"Powiat tomaszowski",2002,NA
"20683",1017000,"Powiat wieluński",2002,NA
"20684",1018000,"Powiat wieruszowski",2002,NA
"20685",1019000,"Powiat zduńskowolski",2002,NA
"20686",1020000,"Powiat zgierski",2002,NA
"20687",1021000,"Powiat brzeziński",2002,NA
"20688",1061000,"Powiat m.Łódź",2002,NA
"20689",1062000,"Powiat m.Piotrków Trybunalski",2002,NA
"20690",1063000,"Powiat m.Skierniewice",2002,NA
"20691",1201000,"Powiat bocheński",2002,NA
"20692",1202000,"Powiat brzeski",2002,NA
"20693",1203000,"Powiat chrzanowski",2002,NA
"20694",1204000,"Powiat dąbrowski",2002,NA
"20695",1205000,"Powiat gorlicki",2002,NA
"20696",1206000,"Powiat krakowski",2002,NA
"20697",1207000,"Powiat limanowski",2002,NA
"20698",1208000,"Powiat miechowski",2002,NA
"20699",1209000,"Powiat myślenicki",2002,NA
"20700",1210000,"Powiat nowosądecki",2002,NA
"20701",1211000,"Powiat nowotarski",2002,NA
"20702",1212000,"Powiat olkuski",2002,NA
"20703",1213000,"Powiat oświęcimski",2002,NA
"20704",1214000,"Powiat proszowicki",2002,NA
"20705",1215000,"Powiat suski",2002,NA
"20706",1216000,"Powiat tarnowski",2002,NA
"20707",1217000,"Powiat tatrzański",2002,NA
"20708",1218000,"Powiat wadowicki",2002,NA
"20709",1219000,"Powiat wielicki",2002,NA
"20710",1261000,"Powiat m.Kraków",2002,NA
"20711",1262000,"Powiat m.Nowy Sącz",2002,NA
"20712",1263000,"Powiat m.Tarnów",2002,NA
"20713",1401000,"Powiat białobrzeski",2002,NA
"20714",1402000,"Powiat ciechanowski",2002,NA
"20715",1403000,"Powiat garwoliński",2002,NA
"20716",1404000,"Powiat gostyniński",2002,NA
"20717",1405000,"Powiat grodziski",2002,NA
"20718",1406000,"Powiat grójecki",2002,NA
"20719",1407000,"Powiat kozienicki",2002,NA
"20720",1408000,"Powiat legionowski",2002,NA
"20721",1409000,"Powiat lipski",2002,NA
"20722",1410000,"Powiat łosicki",2002,NA
"20723",1411000,"Powiat makowski",2002,NA
"20724",1412000,"Powiat miński",2002,NA
"20725",1413000,"Powiat mławski",2002,NA
"20726",1414000,"Powiat nowodworski",2002,NA
"20727",1415000,"Powiat ostrołęcki",2002,NA
"20728",1416000,"Powiat ostrowski",2002,NA
"20729",1417000,"Powiat otwocki",2002,NA
"20730",1418000,"Powiat piaseczyński",2002,NA
"20731",1419000,"Powiat płocki",2002,NA
"20732",1420000,"Powiat płoński",2002,NA
"20733",1421000,"Powiat pruszkowski",2002,NA
"20734",1422000,"Powiat przasnyski",2002,NA
"20735",1423000,"Powiat przysuski",2002,NA
"20736",1424000,"Powiat pułtuski",2002,NA
"20737",1425000,"Powiat radomski",2002,NA
"20738",1426000,"Powiat siedlecki",2002,NA
"20739",1427000,"Powiat sierpecki",2002,NA
"20740",1428000,"Powiat sochaczewski",2002,NA
"20741",1429000,"Powiat sokołowski",2002,NA
"20742",1430000,"Powiat szydłowiecki",2002,NA
"20743",1432000,"Powiat warszawski zachodni",2002,NA
"20744",1433000,"Powiat węgrowski",2002,NA
"20745",1434000,"Powiat wołomiński",2002,NA
"20746",1435000,"Powiat wyszkowski",2002,NA
"20747",1436000,"Powiat zwoleński",2002,NA
"20748",1437000,"Powiat żuromiński",2002,NA
"20749",1438000,"Powiat żyrardowski",2002,NA
"20750",1461000,"Powiat m.Ostrołęka",2002,NA
"20751",1462000,"Powiat m.Płock",2002,NA
"20752",1463000,"Powiat m.Radom",2002,NA
"20753",1464000,"Powiat m.Siedlce",2002,NA
"20754",1465000,"Powiat m. st. Warszawa",2002,NA
"20755",1601000,"Powiat brzeski",2002,NA
"20756",1602000,"Powiat głubczycki",2002,NA
"20757",1603000,"Powiat kędzierzyńsko-kozielski",2002,NA
"20758",1604000,"Powiat kluczborski",2002,NA
"20759",1605000,"Powiat krapkowicki",2002,NA
"20760",1606000,"Powiat namysłowski",2002,NA
"20761",1607000,"Powiat nyski",2002,NA
"20762",1608000,"Powiat oleski",2002,NA
"20763",1609000,"Powiat opolski",2002,NA
"20764",1610000,"Powiat prudnicki",2002,NA
"20765",1611000,"Powiat strzelecki",2002,NA
"20766",1661000,"Powiat m.Opole",2002,NA
"20767",1801000,"Powiat bieszczadzki",2002,NA
"20768",1802000,"Powiat brzozowski",2002,NA
"20769",1803000,"Powiat dębicki",2002,NA
"20770",1804000,"Powiat jarosławski",2002,NA
"20771",1805000,"Powiat jasielski",2002,NA
"20772",1806000,"Powiat kolbuszowski",2002,NA
"20773",1807000,"Powiat krośnieński",2002,NA
"20774",1808000,"Powiat leżajski",2002,NA
"20775",1809000,"Powiat lubaczowski",2002,NA
"20776",1810000,"Powiat łańcucki",2002,NA
"20777",1811000,"Powiat mielecki",2002,NA
"20778",1812000,"Powiat niżański",2002,NA
"20779",1813000,"Powiat przemyski",2002,NA
"20780",1814000,"Powiat przeworski",2002,NA
"20781",1815000,"Powiat ropczycko-sędziszowski",2002,NA
"20782",1816000,"Powiat rzeszowski",2002,NA
"20783",1817000,"Powiat sanocki",2002,NA
"20784",1818000,"Powiat stalowowolski",2002,NA
"20785",1819000,"Powiat strzyżowski",2002,NA
"20786",1820000,"Powiat tarnobrzeski",2002,NA
"20787",1821000,"Powiat leski",2002,NA
"20788",1861000,"Powiat m.Krosno",2002,NA
"20789",1862000,"Powiat m.Przemyśl",2002,NA
"20790",1863000,"Powiat m.Rzeszów",2002,NA
"20791",1864000,"Powiat m.Tarnobrzeg",2002,NA
"20792",2001000,"Powiat augustowski",2002,NA
"20793",2002000,"Powiat białostocki",2002,NA
"20794",2003000,"Powiat bielski",2002,NA
"20795",2004000,"Powiat grajewski",2002,NA
"20796",2005000,"Powiat hajnowski",2002,NA
"20797",2006000,"Powiat kolneński",2002,NA
"20798",2007000,"Powiat łomżyński",2002,NA
"20799",2008000,"Powiat moniecki",2002,NA
"20800",2009000,"Powiat sejneński",2002,NA
"20801",2010000,"Powiat siemiatycki",2002,NA
"20802",2011000,"Powiat sokólski",2002,NA
"20803",2012000,"Powiat suwalski",2002,NA
"20804",2013000,"Powiat wysokomazowiecki",2002,NA
"20805",2014000,"Powiat zambrowski",2002,NA
"20806",2061000,"Powiat m.Białystok",2002,NA
"20807",2062000,"Powiat m.Łomża",2002,NA
"20808",2063000,"Powiat m.Suwałki",2002,NA
"20809",2201000,"Powiat bytowski",2002,NA
"20810",2202000,"Powiat chojnicki",2002,NA
"20811",2203000,"Powiat człuchowski",2002,NA
"20812",2204000,"Powiat gdański",2002,NA
"20813",2205000,"Powiat kartuski",2002,NA
"20814",2206000,"Powiat kościerski",2002,NA
"20815",2207000,"Powiat kwidzyński",2002,NA
"20816",2208000,"Powiat lęborski",2002,NA
"20817",2209000,"Powiat malborski",2002,NA
"20818",2210000,"Powiat nowodworski",2002,NA
"20819",2211000,"Powiat pucki",2002,NA
"20820",2212000,"Powiat słupski",2002,NA
"20821",2213000,"Powiat starogardzki",2002,NA
"20822",2214000,"Powiat tczewski",2002,NA
"20823",2215000,"Powiat wejherowski",2002,NA
"20824",2216000,"Powiat sztumski",2002,NA
"20825",2261000,"Powiat m.Gdańsk",2002,NA
"20826",2262000,"Powiat m.Gdynia",2002,NA
"20827",2263000,"Powiat m.Słupsk",2002,NA
"20828",2264000,"Powiat m.Sopot",2002,NA
"20829",2401000,"Powiat będziński",2002,NA
"20830",2402000,"Powiat bielski",2002,NA
"20831",2403000,"Powiat cieszyński",2002,NA
"20832",2404000,"Powiat częstochowski",2002,NA
"20833",2405000,"Powiat gliwicki",2002,NA
"20834",2406000,"Powiat kłobucki",2002,NA
"20835",2407000,"Powiat lubliniecki",2002,NA
"20836",2408000,"Powiat mikołowski",2002,NA
"20837",2409000,"Powiat myszkowski",2002,NA
"20838",2410000,"Powiat pszczyński",2002,NA
"20839",2411000,"Powiat raciborski",2002,NA
"20840",2412000,"Powiat rybnicki",2002,NA
"20841",2413000,"Powiat tarnogórski",2002,NA
"20842",2414000,"Powiat bieruńsko-lędziński",2002,NA
"20843",2415000,"Powiat wodzisławski",2002,NA
"20844",2416000,"Powiat zawierciański",2002,NA
"20845",2417000,"Powiat żywiecki",2002,NA
"20846",2461000,"Powiat m.Bielsko-Biała",2002,NA
"20847",2462000,"Powiat m.Bytom",2002,NA
"20848",2463000,"Powiat m.Chorzów",2002,NA
"20849",2464000,"Powiat m.Częstochowa",2002,NA
"20850",2465000,"Powiat m.Dąbrowa Górnicza",2002,NA
"20851",2466000,"Powiat m.Gliwice",2002,NA
"20852",2467000,"Powiat m.Jastrzębie-Zdrój",2002,NA
"20853",2468000,"Powiat m.Jaworzno",2002,NA
"20854",2469000,"Powiat m.Katowice",2002,NA
"20855",2470000,"Powiat m.Mysłowice",2002,NA
"20856",2471000,"Powiat m.Piekary Śląskie",2002,NA
"20857",2472000,"Powiat m.Ruda Śląska",2002,NA
"20858",2473000,"Powiat m.Rybnik",2002,NA
"20859",2474000,"Powiat m.Siemianowice Śląskie",2002,NA
"20860",2475000,"Powiat m.Sosnowiec",2002,NA
"20861",2476000,"Powiat m.Świętochłowice",2002,NA
"20862",2477000,"Powiat m.Tychy",2002,NA
"20863",2478000,"Powiat m.Zabrze",2002,NA
"20864",2479000,"Powiat m.Żory",2002,NA
"20865",2601000,"Powiat buski",2002,NA
"20866",2602000,"Powiat jędrzejowski",2002,NA
"20867",2603000,"Powiat kazimierski",2002,NA
"20868",2604000,"Powiat kielecki",2002,NA
"20869",2605000,"Powiat konecki",2002,NA
"20870",2606000,"Powiat opatowski",2002,NA
"20871",2607000,"Powiat ostrowiecki",2002,NA
"20872",2608000,"Powiat pińczowski",2002,NA
"20873",2609000,"Powiat sandomierski",2002,NA
"20874",2610000,"Powiat skarżyski",2002,NA
"20875",2611000,"Powiat starachowicki",2002,NA
"20876",2612000,"Powiat staszowski",2002,NA
"20877",2613000,"Powiat włoszczowski",2002,NA
"20878",2661000,"Powiat m.Kielce",2002,NA
"20879",2801000,"Powiat bartoszycki",2002,NA
"20880",2802000,"Powiat braniewski",2002,NA
"20881",2803000,"Powiat działdowski",2002,NA
"20882",2804000,"Powiat elbląski",2002,NA
"20883",2805000,"Powiat ełcki",2002,NA
"20884",2806000,"Powiat giżycki",2002,NA
"20885",2807000,"Powiat iławski",2002,NA
"20886",2808000,"Powiat kętrzyński",2002,NA
"20887",2809000,"Powiat lidzbarski",2002,NA
"20888",2810000,"Powiat mrągowski",2002,NA
"20889",2811000,"Powiat nidzicki",2002,NA
