"","Kod","Nazwa","rok","Budownictwo_mieszkaniowe_wskazniki_przecietny_czas_trwania_budowy_nowych_budynkow_mieszkalnych_wielorodzinnych_mc"
"27433",201000,"Powiat bolesławiecki",2002,NA
"27434",202000,"Powiat dzierżoniowski",2002,NA
"27435",203000,"Powiat głogowski",2002,NA
"27436",204000,"Powiat górowski",2002,NA
"27437",205000,"Powiat jaworski",2002,NA
"27438",206000,"Powiat jeleniogórski",2002,NA
"27439",207000,"Powiat kamiennogórski",2002,NA
"27440",208000,"Powiat kłodzki",2002,NA
"27441",209000,"Powiat legnicki",2002,NA
"27442",210000,"Powiat lubański",2002,NA
"27443",211000,"Powiat lubiński",2002,NA
"27444",212000,"Powiat lwówecki",2002,NA
"27445",213000,"Powiat milicki",2002,NA
"27446",214000,"Powiat oleśnicki",2002,NA
"27447",215000,"Powiat oławski",2002,NA
"27448",216000,"Powiat polkowicki",2002,NA
"27449",217000,"Powiat strzeliński",2002,NA
"27450",218000,"Powiat średzki",2002,NA
"27451",219000,"Powiat świdnicki",2002,NA
"27452",220000,"Powiat trzebnicki",2002,NA
"27453",221000,"Powiat wałbrzyski",2002,NA
"27454",222000,"Powiat wołowski",2002,NA
"27455",223000,"Powiat wrocławski",2002,NA
"27456",224000,"Powiat ząbkowicki",2002,NA
"27457",225000,"Powiat zgorzelecki",2002,NA
"27458",226000,"Powiat złotoryjski",2002,NA
"27459",261000,"Powiat m.Jelenia Góra",2002,NA
"27460",262000,"Powiat m.Legnica",2002,NA
"27461",263000,"Powiat m.Wałbrzych do 2002",2002,NA
"27462",264000,"Powiat m.Wrocław",2002,NA
"27463",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"27464",401000,"Powiat aleksandrowski",2002,NA
"27465",402000,"Powiat brodnicki",2002,NA
"27466",403000,"Powiat bydgoski",2002,NA
"27467",404000,"Powiat chełmiński",2002,NA
"27468",405000,"Powiat golubsko-dobrzyński",2002,NA
"27469",406000,"Powiat grudziądzki",2002,NA
"27470",407000,"Powiat inowrocławski",2002,NA
"27471",408000,"Powiat lipnowski",2002,NA
"27472",409000,"Powiat mogileński",2002,NA
"27473",410000,"Powiat nakielski",2002,NA
"27474",411000,"Powiat radziejowski",2002,NA
"27475",412000,"Powiat rypiński",2002,NA
"27476",413000,"Powiat sępoleński",2002,NA
"27477",414000,"Powiat świecki",2002,NA
"27478",415000,"Powiat toruński",2002,NA
"27479",416000,"Powiat tucholski",2002,NA
"27480",417000,"Powiat wąbrzeski",2002,NA
"27481",418000,"Powiat włocławski",2002,NA
"27482",419000,"Powiat żniński",2002,NA
"27483",461000,"Powiat m.Bydgoszcz",2002,NA
