"","Kod","Nazwa","rok","Budynki_mieszkalne_podaaczone_do_infrastruktury_technicznej_w_proc_ogolu_budynkow_mieszkalnych_ogolem_kanalizacja_proc"
"1521",201000,"Powiat bolesławiecki",2015,73.5
"1522",202000,"Powiat dzierżoniowski",2015,56.8
"1523",203000,"Powiat głogowski",2015,52.8
"1524",204000,"Powiat górowski",2015,29.2
"1525",205000,"Powiat jaworski",2015,67.9
"1526",206000,"Powiat jeleniogórski",2015,58.9
"1527",207000,"Powiat kamiennogórski",2015,65.1
"1528",208000,"Powiat kłodzki",2015,43.6
"1529",209000,"Powiat legnicki",2015,64.4
"1530",210000,"Powiat lubański",2015,49.7
"1531",211000,"Powiat lubiński",2015,89
"1532",212000,"Powiat lwówecki",2015,38.1
"1533",213000,"Powiat milicki",2015,48.2
"1534",214000,"Powiat oleśnicki",2015,46.8
"1535",215000,"Powiat oławski",2015,48.1
"1536",216000,"Powiat polkowicki",2015,76.7
"1537",217000,"Powiat strzeliński",2015,40.6
"1538",218000,"Powiat średzki",2015,47.6
"1539",219000,"Powiat świdnicki",2015,56.6
"1540",220000,"Powiat trzebnicki",2015,28.6
"1541",221000,"Powiat wałbrzyski",2015,48.7
"1542",222000,"Powiat wołowski",2015,47.7
"1543",223000,"Powiat wrocławski",2015,54.5
"1544",224000,"Powiat ząbkowicki",2015,37
"1545",225000,"Powiat zgorzelecki",2015,50.7
"1546",226000,"Powiat złotoryjski",2015,53.9
"1547",261000,"Powiat m.Jelenia Góra",2015,85.5
"1548",262000,"Powiat m.Legnica",2015,94.4
"1549",264000,"Powiat m.Wrocław",2015,83.5
"1550",265000,"Powiat m.Wałbrzych od 2013",2015,82.9
"1551",401000,"Powiat aleksandrowski",2015,46.1
"1552",402000,"Powiat brodnicki",2015,51.3
"1553",403000,"Powiat bydgoski",2015,43.7
"1554",404000,"Powiat chełmiński",2015,48.7
"1555",405000,"Powiat golubsko-dobrzyński",2015,38.9
"1556",406000,"Powiat grudziądzki",2015,29.3
"1557",407000,"Powiat inowrocławski",2015,51.8
"1558",408000,"Powiat lipnowski",2015,31
"1559",409000,"Powiat mogileński",2015,48
"1560",410000,"Powiat nakielski",2015,37
"1561",411000,"Powiat radziejowski",2015,33.4
"1562",412000,"Powiat rypiński",2015,35.1
"1563",413000,"Powiat sępoleński",2015,50
"1564",414000,"Powiat świecki",2015,52.1
