"","Kod","Nazwa","rok","Budynki_mieszkalne_podaaczone_do_infrastruktury_technicznej_w_proc_ogolu_budynkow_mieszkalnych_ogolem_wodociag_proc"
"1",201000,"Powiat bolesławiecki",2015,96.7
"2",202000,"Powiat dzierżoniowski",2015,83.7
"3",203000,"Powiat głogowski",2015,89.6
"4",204000,"Powiat górowski",2015,96.6
"5",205000,"Powiat jaworski",2015,84.7
"6",206000,"Powiat jeleniogórski",2015,83
"7",207000,"Powiat kamiennogórski",2015,88.7
"8",208000,"Powiat kłodzki",2015,71.6
"9",209000,"Powiat legnicki",2015,91.3
"10",210000,"Powiat lubański",2015,76.3
"11",211000,"Powiat lubiński",2015,98.8
"12",212000,"Powiat lwówecki",2015,59.8
"13",213000,"Powiat milicki",2015,89.7
"14",214000,"Powiat oleśnicki",2015,90.5
"15",215000,"Powiat oławski",2015,82.4
"16",216000,"Powiat polkowicki",2015,91.5
"17",217000,"Powiat strzeliński",2015,93.1
"18",218000,"Powiat średzki",2015,98.2
"19",219000,"Powiat świdnicki",2015,91.6
"20",220000,"Powiat trzebnicki",2015,94.2
"21",221000,"Powiat wałbrzyski",2015,77
"22",222000,"Powiat wołowski",2015,85.1
"23",223000,"Powiat wrocławski",2015,94.8
"24",224000,"Powiat ząbkowicki",2015,84.3
"25",225000,"Powiat zgorzelecki",2015,87.5
"26",226000,"Powiat złotoryjski",2015,82
"27",261000,"Powiat m.Jelenia Góra",2015,93.6
"28",262000,"Powiat m.Legnica",2015,97.6
"29",264000,"Powiat m.Wrocław",2015,81.9
"30",265000,"Powiat m.Wałbrzych od 2013",2015,91.9
"31",401000,"Powiat aleksandrowski",2015,92.7
"32",402000,"Powiat brodnicki",2015,93
"33",403000,"Powiat bydgoski",2015,90.5
"34",404000,"Powiat chełmiński",2015,99
"35",405000,"Powiat golubsko-dobrzyński",2015,96.2
"36",406000,"Powiat grudziądzki",2015,90.9
"37",407000,"Powiat inowrocławski",2015,95.8
"38",408000,"Powiat lipnowski",2015,95.4
"39",409000,"Powiat mogileński",2015,97.3
"40",410000,"Powiat nakielski",2015,94.4
"41",411000,"Powiat radziejowski",2015,96.2
"42",412000,"Powiat rypiński",2015,94.8
"43",413000,"Powiat sępoleński",2015,75.8
"44",414000,"Powiat świecki",2015,89.4
"45",415000,"Powiat toruński",2015,87.6
"46",416000,"Powiat tucholski",2015,87.3
"47",417000,"Powiat wąbrzeski",2015,86.5
"48",418000,"Powiat włocławski",2015,94.6
"49",419000,"Powiat żniński",2015,93.3
"50",461000,"Powiat m.Bydgoszcz",2015,87.4
"51",462000,"Powiat m.Grudziądz",2015,70.1
"52",463000,"Powiat m.Toruń",2015,85.1
"53",464000,"Powiat m.Włocławek",2015,96.8
"54",601000,"Powiat bialski",2015,75.8
"55",602000,"Powiat biłgorajski",2015,93.1
"56",603000,"Powiat chełmski",2015,76.2
"57",604000,"Powiat hrubieszowski",2015,64.3
"58",605000,"Powiat janowski",2015,82.5
"59",606000,"Powiat krasnostawski",2015,79.6
"60",607000,"Powiat kraśnicki",2015,79.6
"61",608000,"Powiat lubartowski",2015,91.7
"62",609000,"Powiat lubelski",2015,75.7
"63",610000,"Powiat łęczyński",2015,92.9
"64",611000,"Powiat łukowski",2015,86.6
"65",612000,"Powiat opolski",2015,84.6
"66",613000,"Powiat parczewski",2015,87
"67",614000,"Powiat puławski",2015,79.9
"68",615000,"Powiat radzyński",2015,82.7
"69",616000,"Powiat rycki",2015,80.4
"70",617000,"Powiat świdnicki",2015,88.3
"71",618000,"Powiat tomaszowski",2015,72.2
"72",619000,"Powiat włodawski",2015,86.8
"73",620000,"Powiat zamojski",2015,56.5
"74",661000,"Powiat m.Biała Podlaska",2015,82.1
"75",662000,"Powiat m.Chełm",2015,58.8
"76",663000,"Powiat m.Lublin",2015,73.4
"77",664000,"Powiat m.Zamość",2015,82.9
"78",801000,"Powiat gorzowski",2015,88.1
"79",802000,"Powiat krośnieński",2015,90.9
"80",803000,"Powiat międzyrzecki",2015,81.8
"81",804000,"Powiat nowosolski",2015,92.5
"82",805000,"Powiat słubicki",2015,86.1
"83",806000,"Powiat strzelecko-drezdenecki",2015,88.9
"84",807000,"Powiat sulęciński",2015,84
"85",808000,"Powiat świebodziński",2015,86.8
"86",809000,"Powiat zielonogórski",2015,94.9
"87",810000,"Powiat żagański",2015,94.2
"88",811000,"Powiat żarski",2015,87.9
"89",812000,"Powiat wschowski",2015,83.1
