"","Kod","Nazwa","rok","Budynki_mieszkalne_w_gminie_ogolem"
"1",201000,"Powiat bolesławiecki",2008,12739
"2",202000,"Powiat dzierżoniowski",2008,10722
"3",203000,"Powiat głogowski",2008,7050
"4",204000,"Powiat górowski",2008,6339
"5",205000,"Powiat jaworski",2008,6800
"6",206000,"Powiat jeleniogórski",2008,10379
"7",207000,"Powiat kamiennogórski",2008,5251
"8",208000,"Powiat kłodzki",2008,22676
"9",209000,"Powiat legnicki",2008,8869
"10",210000,"Powiat lubański",2008,8237
"11",211000,"Powiat lubiński",2008,8620
"12",212000,"Powiat lwówecki",2008,8656
"13",213000,"Powiat milicki",2008,6268
"14",214000,"Powiat oleśnicki",2008,14177
"15",215000,"Powiat oławski",2008,8760
"16",216000,"Powiat polkowicki",2008,7817
"17",217000,"Powiat strzeliński",2008,7424
"18",218000,"Powiat średzki",2008,8765
"19",219000,"Powiat świdnicki",2008,14985
"20",220000,"Powiat trzebnicki",2008,14125
"21",221000,"Powiat wałbrzyski",2008,14248
"22",222000,"Powiat wołowski",2008,7109
"23",223000,"Powiat wrocławski",2008,22328
"24",224000,"Powiat ząbkowicki",2008,11228
"25",225000,"Powiat zgorzelecki",2008,12006
"26",226000,"Powiat złotoryjski",2008,6363
"27",261000,"Powiat m.Jelenia Góra",2008,7156
"28",262000,"Powiat m.Legnica",2008,6341
"29",264000,"Powiat m.Wrocław",2008,35896
"30",265000,"Powiat m.Wałbrzych od 2013",2008,NA
"31",401000,"Powiat aleksandrowski",2008,11779
"32",402000,"Powiat brodnicki",2008,13924
"33",403000,"Powiat bydgoski",2008,19609
"34",404000,"Powiat chełmiński",2008,7323
"35",405000,"Powiat golubsko-dobrzyński",2008,8019
"36",406000,"Powiat grudziądzki",2008,7284
"37",407000,"Powiat inowrocławski",2008,17043
"38",408000,"Powiat lipnowski",2008,13651
"39",409000,"Powiat mogileński",2008,8176
"40",410000,"Powiat nakielski",2008,11931
"41",411000,"Powiat radziejowski",2008,9609
"42",412000,"Powiat rypiński",2008,7859
"43",413000,"Powiat sępoleński",2008,6622
"44",414000,"Powiat świecki",2008,15953
"45",415000,"Powiat toruński",2008,16790
"46",416000,"Powiat tucholski",2008,9335
"47",417000,"Powiat wąbrzeski",2008,5729
"48",418000,"Powiat włocławski",2008,19910
"49",419000,"Powiat żniński",2008,10512
"50",461000,"Powiat m.Bydgoszcz",2008,22369
"51",462000,"Powiat m.Grudziądz",2008,5083
"52",463000,"Powiat m.Toruń",2008,12739
"53",464000,"Powiat m.Włocławek",2008,7925
"54",601000,"Powiat bialski",2008,31410
"55",602000,"Powiat biłgorajski",2008,24740
"56",603000,"Powiat chełmski",2008,24081
"57",604000,"Powiat hrubieszowski",2008,16256
"58",605000,"Powiat janowski",2008,11427
"59",606000,"Powiat krasnostawski",2008,19646
"60",607000,"Powiat kraśnicki",2008,20893
"61",608000,"Powiat lubartowski",2008,22977
"62",609000,"Powiat lubelski",2008,40168
"63",610000,"Powiat łęczyński",2008,10935
"64",611000,"Powiat łukowski",2008,24546
"65",612000,"Powiat opolski",2008,15769
"66",613000,"Powiat parczewski",2008,9563
"67",614000,"Powiat puławski",2008,22924
"68",615000,"Powiat radzyński",2008,15636
"69",616000,"Powiat rycki",2008,13865
"70",617000,"Powiat świdnicki",2008,12104
"71",618000,"Powiat tomaszowski",2008,22233
"72",619000,"Powiat włodawski",2008,9446
"73",620000,"Powiat zamojski",2008,32678
"74",661000,"Powiat m.Biała Podlaska",2008,7932
"75",662000,"Powiat m.Chełm",2008,6425
"76",663000,"Powiat m.Lublin",2008,20849
"77",664000,"Powiat m.Zamość",2008,5844
"78",801000,"Powiat gorzowski",2008,11763
"79",802000,"Powiat krośnieński",2008,9448
"80",803000,"Powiat międzyrzecki",2008,8192
"81",804000,"Powiat nowosolski",2008,11742
"82",805000,"Powiat słubicki",2008,6435
"83",806000,"Powiat strzelecko-drezdenecki",2008,7767
"84",807000,"Powiat sulęciński",2008,6024
"85",808000,"Powiat świebodziński",2008,7700
"86",809000,"Powiat zielonogórski",2008,16666
"87",810000,"Powiat żagański",2008,11003
"88",811000,"Powiat żarski",2008,14511
"89",812000,"Powiat wschowski",2008,6499
"90",861000,"Powiat m.Gorzów Wielkopolski",2008,6951
"91",862000,"Powiat m.Zielona Góra",2008,7818
"92",1001000,"Powiat bełchatowski",2008,20523
"93",1002000,"Powiat kutnowski",2008,16966
"94",1003000,"Powiat łaski",2008,12614
"95",1004000,"Powiat łęczycki",2008,10890
"96",1005000,"Powiat łowicki",2008,19009
"97",1006000,"Powiat łódzki wschodni",2008,18078
"98",1007000,"Powiat opoczyński",2008,19610
"99",1008000,"Powiat pabianicki",2008,18843
"100",1009000,"Powiat pajęczański",2008,14310
"101",1010000,"Powiat piotrkowski",2008,26135
"102",1011000,"Powiat poddębicki",2008,12049
"103",1012000,"Powiat radomszczański",2008,29160
"104",1013000,"Powiat rawski",2008,10713
"105",1014000,"Powiat sieradzki",2008,24197
"106",1015000,"Powiat skierniewicki",2008,11292
"107",1016000,"Powiat tomaszowski",2008,23334
"108",1017000,"Powiat wieluński",2008,17424
"109",1018000,"Powiat wieruszowski",2008,10720
"110",1019000,"Powiat zduńskowolski",2008,11404
"111",1020000,"Powiat zgierski",2008,30358
"112",1021000,"Powiat brzeziński",2008,7589
"113",1061000,"Powiat m.Łódź",2008,42249
"114",1062000,"Powiat m.Piotrków Trybunalski",2008,6798
"115",1063000,"Powiat m.Skierniewice",2008,6025
"116",1201000,"Powiat bocheński",2008,23696
"117",1202000,"Powiat brzeski",2008,22516
"118",1203000,"Powiat chrzanowski",2008,22929
"119",1204000,"Powiat dąbrowski",2008,14308
"120",1205000,"Powiat gorlicki",2008,22348
"121",1206000,"Powiat krakowski",2008,62731
"122",1207000,"Powiat limanowski",2008,27841
"123",1208000,"Powiat miechowski",2008,13873
"124",1209000,"Powiat myślenicki",2008,26842
"125",1210000,"Powiat nowosądecki",2008,42017
"126",1211000,"Powiat nowotarski",2008,40837
"127",1212000,"Powiat olkuski",2008,21832
"128",1213000,"Powiat oświęcimski",2008,25067
"129",1214000,"Powiat proszowicki",2008,10856
"130",1215000,"Powiat suski",2008,21081
"131",1216000,"Powiat tarnowski",2008,48229
"132",1217000,"Powiat tatrzański",2008,15672
"133",1218000,"Powiat wadowicki",2008,32305
"134",1219000,"Powiat wielicki",2008,27505
"135",1261000,"Powiat m.Kraków",2008,42841
"136",1262000,"Powiat m.Nowy Sącz",2008,10448
"137",1263000,"Powiat m.Tarnów",2008,10302
"138",1401000,"Powiat białobrzeski",2008,9633
"139",1402000,"Powiat ciechanowski",2008,16305
"140",1403000,"Powiat garwoliński",2008,26891
"141",1404000,"Powiat gostyniński",2008,9462
"142",1405000,"Powiat grodziski",2008,19919
"143",1406000,"Powiat grójecki",2008,23754
"144",1407000,"Powiat kozienicki",2008,14731
"145",1408000,"Powiat legionowski",2008,18217
"146",1409000,"Powiat lipski",2008,11568
"147",1410000,"Powiat łosicki",2008,9282
"148",1411000,"Powiat makowski",2008,11385
"149",1412000,"Powiat miński",2008,35272
"150",1413000,"Powiat mławski",2008,15315
"151",1414000,"Powiat nowodworski",2008,15350
"152",1415000,"Powiat ostrołęcki",2008,21698
"153",1416000,"Powiat ostrowski",2008,17781
"154",1417000,"Powiat otwocki",2008,26342
"155",1418000,"Powiat piaseczyński",2008,34441
"156",1419000,"Powiat płocki",2008,27121
"157",1420000,"Powiat płoński",2008,19569
"158",1421000,"Powiat pruszkowski",2008,28039
"159",1422000,"Powiat przasnyski",2008,10988
"160",1423000,"Powiat przysuski",2008,12513
"161",1424000,"Powiat pułtuski",2008,11401
"162",1425000,"Powiat radomski",2008,34053
"163",1426000,"Powiat siedlecki",2008,23656
"164",1427000,"Powiat sierpecki",2008,10976
"165",1428000,"Powiat sochaczewski",2008,17733
"166",1429000,"Powiat sokołowski",2008,15859
"167",1430000,"Powiat szydłowiecki",2008,10066
"168",1432000,"Powiat warszawski zachodni",2008,25700
"169",1433000,"Powiat węgrowski",2008,19039
"170",1434000,"Powiat wołomiński",2008,45647
"171",1435000,"Powiat wyszkowski",2008,15261
"172",1436000,"Powiat zwoleński",2008,10247
"173",1437000,"Powiat żuromiński",2008,8876
"174",1438000,"Powiat żyrardowski",2008,13854
"175",1461000,"Powiat m.Ostrołęka",2008,4799
"176",1462000,"Powiat m.Płock",2008,8575
"177",1463000,"Powiat m.Radom",2008,19428
"178",1464000,"Powiat m.Siedlce",2008,7171
"179",1465000,"Powiat m. st. Warszawa",2008,82207
"180",1601000,"Powiat brzeski",2008,11714
"181",1602000,"Powiat głubczycki",2008,9066
"182",1603000,"Powiat kędzierzyńsko-kozielski",2008,14782
"183",1604000,"Powiat kluczborski",2008,10237
"184",1605000,"Powiat krapkowicki",2008,11709
"185",1606000,"Powiat namysłowski",2008,7530
"186",1607000,"Powiat nyski",2008,20534
"187",1608000,"Powiat oleski",2008,14002
"188",1609000,"Powiat opolski",2008,30292
"189",1610000,"Powiat prudnicki",2008,10679
"190",1611000,"Powiat strzelecki",2008,14292
"191",1661000,"Powiat m.Opole",2008,9334
"192",1801000,"Powiat bieszczadzki",2008,3432
"193",1802000,"Powiat brzozowski",2008,16572
"194",1803000,"Powiat dębicki",2008,25458
"195",1804000,"Powiat jarosławski",2008,23806
"196",1805000,"Powiat jasielski",2008,24962
"197",1806000,"Powiat kolbuszowski",2008,15029
"198",1807000,"Powiat krośnieński",2008,27655
"199",1808000,"Powiat leżajski",2008,14877
"200",1809000,"Powiat lubaczowski",2008,12337
"201",1810000,"Powiat łańcucki",2008,19629
"202",1811000,"Powiat mielecki",2008,23483
"203",1812000,"Powiat niżański",2008,16881
