"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_gruntowej_nawierzchni_na_10_tys_ludnosci_km"
"17101",201000,"Powiat bolesławiecki",2005,13.8
"17102",202000,"Powiat dzierżoniowski",2005,19
"17103",203000,"Powiat głogowski",2005,14.4
"17104",204000,"Powiat górowski",2005,43.4
"17105",205000,"Powiat jaworski",2005,16.5
"17106",206000,"Powiat jeleniogórski",2005,26.3
"17107",207000,"Powiat kamiennogórski",2005,31.7
"17108",208000,"Powiat kłodzki",2005,13.7
"17109",209000,"Powiat legnicki",2005,44.8
"17110",210000,"Powiat lubański",2005,6
"17111",211000,"Powiat lubiński",2005,8.9
"17112",212000,"Powiat lwówecki",2005,15.7
"17113",213000,"Powiat milicki",2005,34.8
"17114",214000,"Powiat oleśnicki",2005,31
"17115",215000,"Powiat oławski",2005,14.3
"17116",216000,"Powiat polkowicki",2005,49.3
"17117",217000,"Powiat strzeliński",2005,39
"17118",218000,"Powiat średzki",2005,45.8
"17119",219000,"Powiat świdnicki",2005,12.4
"17120",220000,"Powiat trzebnicki",2005,37.3
"17121",221000,"Powiat wałbrzyski",2005,3.4
"17122",222000,"Powiat wołowski",2005,40.1
"17123",223000,"Powiat wrocławski",2005,19.8
"17124",224000,"Powiat ząbkowicki",2005,5.9
"17125",225000,"Powiat zgorzelecki",2005,7.9
"17126",226000,"Powiat złotoryjski",2005,22.2
"17127",261000,"Powiat m.Jelenia Góra",2005,2.2
"17128",262000,"Powiat m.Legnica",2005,4.8
"17129",264000,"Powiat m.Wrocław",2005,2.7
"17130",265000,"Powiat m.Wałbrzych od 2013",2005,NA
"17131",401000,"Powiat aleksandrowski",2005,69
"17132",402000,"Powiat brodnicki",2005,118.3
"17133",403000,"Powiat bydgoski",2005,72.7
"17134",404000,"Powiat chełmiński",2005,67
"17135",405000,"Powiat golubsko-dobrzyński",2005,71.6
"17136",406000,"Powiat grudziądzki",2005,110.6
"17137",407000,"Powiat inowrocławski",2005,24.6
"17138",408000,"Powiat lipnowski",2005,169.9
"17139",409000,"Powiat mogileński",2005,49.5
"17140",410000,"Powiat nakielski",2005,68.4
"17141",411000,"Powiat radziejowski",2005,115.2
"17142",412000,"Powiat rypiński",2005,110.1
"17143",413000,"Powiat sępoleński",2005,82.5
"17144",414000,"Powiat świecki",2005,58.8
"17145",415000,"Powiat toruński",2005,101.7
"17146",416000,"Powiat tucholski",2005,90.3
"17147",417000,"Powiat wąbrzeski",2005,160.9
"17148",418000,"Powiat włocławski",2005,104.5
"17149",419000,"Powiat żniński",2005,45.1
"17150",461000,"Powiat m.Bydgoszcz",2005,4.5
"17151",462000,"Powiat m.Grudziądz",2005,7.2
"17152",463000,"Powiat m.Toruń",2005,6.9
"17153",464000,"Powiat m.Włocławek",2005,7.5
"17154",601000,"Powiat bialski",2005,167
"17155",602000,"Powiat biłgorajski",2005,29.1
"17156",603000,"Powiat chełmski",2005,98.1
"17157",604000,"Powiat hrubieszowski",2005,70.9
"17158",605000,"Powiat janowski",2005,85.7
"17159",606000,"Powiat krasnostawski",2005,41.5
"17160",607000,"Powiat kraśnicki",2005,33.9
