"","Kod","Nazwa","rok","DROGI_PUBLICZNE_POWIATOWE_CTAB_drogi_gminne_i_powiatowe_o_twardej_nawierzchni_na_10_tys_ludnosci_km"
"5701",201000,"Powiat bolesławiecki",2005,60.2
"5702",202000,"Powiat dzierżoniowski",2005,41.9
"5703",203000,"Powiat głogowski",2005,33.1
"5704",204000,"Powiat górowski",2005,113.8
"5705",205000,"Powiat jaworski",2005,102.5
"5706",206000,"Powiat jeleniogórski",2005,98.1
"5707",207000,"Powiat kamiennogórski",2005,73.4
"5708",208000,"Powiat kłodzki",2005,78.3
"5709",209000,"Powiat legnicki",2005,87.8
"5710",210000,"Powiat lubański",2005,66.7
"5711",211000,"Powiat lubiński",2005,32.5
"5712",212000,"Powiat lwówecki",2005,114.4
"5713",213000,"Powiat milicki",2005,95.6
"5714",214000,"Powiat oleśnicki",2005,69.3
"5715",215000,"Powiat oławski",2005,43
"5716",216000,"Powiat polkowicki",2005,61.9
"5717",217000,"Powiat strzeliński",2005,104.7
"5718",218000,"Powiat średzki",2005,85
"5719",219000,"Powiat świdnicki",2005,43
"5720",220000,"Powiat trzebnicki",2005,71.5
"5721",221000,"Powiat wałbrzyski",2005,28.6
"5722",222000,"Powiat wołowski",2005,64.9
"5723",223000,"Powiat wrocławski",2005,88.7
"5724",224000,"Powiat ząbkowicki",2005,78
"5725",225000,"Powiat zgorzelecki",2005,51.9
"5726",226000,"Powiat złotoryjski",2005,81.9
"5727",261000,"Powiat m.Jelenia Góra",2005,20.7
"5728",262000,"Powiat m.Legnica",2005,17.4
"5729",264000,"Powiat m.Wrocław",2005,11.7
"5730",265000,"Powiat m.Wałbrzych od 2013",2005,NA
"5731",401000,"Powiat aleksandrowski",2005,73.2
"5732",402000,"Powiat brodnicki",2005,76
"5733",403000,"Powiat bydgoski",2005,57
"5734",404000,"Powiat chełmiński",2005,78.1
"5735",405000,"Powiat golubsko-dobrzyński",2005,76.2
"5736",406000,"Powiat grudziądzki",2005,150.3
"5737",407000,"Powiat inowrocławski",2005,53
"5738",408000,"Powiat lipnowski",2005,69.8
"5739",409000,"Powiat mogileński",2005,135.7
"5740",410000,"Powiat nakielski",2005,69.9
"5741",411000,"Powiat radziejowski",2005,143.3
"5742",412000,"Powiat rypiński",2005,73.2
"5743",413000,"Powiat sępoleński",2005,116
"5744",414000,"Powiat świecki",2005,77.3
"5745",415000,"Powiat toruński",2005,62
"5746",416000,"Powiat tucholski",2005,100.3
"5747",417000,"Powiat wąbrzeski",2005,75.6
"5748",418000,"Powiat włocławski",2005,106.7
"5749",419000,"Powiat żniński",2005,109.5
"5750",461000,"Powiat m.Bydgoszcz",2005,10.3
"5751",462000,"Powiat m.Grudziądz",2005,11.6
"5752",463000,"Powiat m.Toruń",2005,9.8
"5753",464000,"Powiat m.Włocławek",2005,9.6
"5754",601000,"Powiat bialski",2005,110.4
"5755",602000,"Powiat biłgorajski",2005,78.1
"5756",603000,"Powiat chełmski",2005,116.5
"5757",604000,"Powiat hrubieszowski",2005,125.9
"5758",605000,"Powiat janowski",2005,101.5
"5759",606000,"Powiat krasnostawski",2005,96.7
"5760",607000,"Powiat kraśnicki",2005,65.5
"5761",608000,"Powiat lubartowski",2005,67.8
"5762",609000,"Powiat lubelski",2005,95.2
"5763",610000,"Powiat łęczyński",2005,85.3
"5764",611000,"Powiat łukowski",2005,86.1
"5765",612000,"Powiat opolski",2005,80.9
"5766",613000,"Powiat parczewski",2005,106.9
"5767",614000,"Powiat puławski",2005,53.9
"5768",615000,"Powiat radzyński",2005,103.3
"5769",616000,"Powiat rycki",2005,83.9
"5770",617000,"Powiat świdnicki",2005,46.7
"5771",618000,"Powiat tomaszowski",2005,98.2
"5772",619000,"Powiat włodawski",2005,84.6
"5773",620000,"Powiat zamojski",2005,96.2
"5774",661000,"Powiat m.Biała Podlaska",2005,17.4
"5775",662000,"Powiat m.Chełm",2005,14.7
"5776",663000,"Powiat m.Lublin",2005,7.3
"5777",664000,"Powiat m.Zamość",2005,13.5
"5778",801000,"Powiat gorzowski",2005,75
"5779",802000,"Powiat krośnieński",2005,79.1
"5780",803000,"Powiat międzyrzecki",2005,67.1
"5781",804000,"Powiat nowosolski",2005,38
"5782",805000,"Powiat słubicki",2005,73.2
"5783",806000,"Powiat strzelecko-drezdenecki",2005,75.4
"5784",807000,"Powiat sulęciński",2005,105.9
"5785",808000,"Powiat świebodziński",2005,85.1
"5786",809000,"Powiat zielonogórski",2005,71.2
"5787",810000,"Powiat żagański",2005,66.5
"5788",811000,"Powiat żarski",2005,76.1
"5789",812000,"Powiat wschowski",2005,53.4
"5790",861000,"Powiat m.Gorzów Wielkopolski",2005,9.6
"5791",862000,"Powiat m.Zielona Góra",2005,11.8
"5792",1001000,"Powiat bełchatowski",2005,64.1
"5793",1002000,"Powiat kutnowski",2005,97
"5794",1003000,"Powiat łaski",2005,71.5
"5795",1004000,"Powiat łęczycki",2005,134
"5796",1005000,"Powiat łowicki",2005,112.3
"5797",1006000,"Powiat łódzki wschodni",2005,63.5
"5798",1007000,"Powiat opoczyński",2005,72.6
"5799",1008000,"Powiat pabianicki",2005,32.1
"5800",1009000,"Powiat pajęczański",2005,104.6
"5801",1010000,"Powiat piotrkowski",2005,101.8
"5802",1011000,"Powiat poddębicki",2005,91.9
"5803",1012000,"Powiat radomszczański",2005,80
"5804",1013000,"Powiat rawski",2005,91.6
"5805",1014000,"Powiat sieradzki",2005,76.1
"5806",1015000,"Powiat skierniewicki",2005,128.2
"5807",1016000,"Powiat tomaszowski",2005,71.8
"5808",1017000,"Powiat wieluński",2005,73.6
"5809",1018000,"Powiat wieruszowski",2005,123.3
"5810",1019000,"Powiat zduńskowolski",2005,46.2
"5811",1020000,"Powiat zgierski",2005,45
"5812",1021000,"Powiat brzeziński",2005,86.8
"5813",1061000,"Powiat m.Łódź",2005,9.4
"5814",1062000,"Powiat m.Piotrków Trybunalski",2005,17.2
"5815",1063000,"Powiat m.Skierniewice",2005,22.8
"5816",1201000,"Powiat bocheński",2005,72.5
"5817",1202000,"Powiat brzeski",2005,79.6
"5818",1203000,"Powiat chrzanowski",2005,56.9
"5819",1204000,"Powiat dąbrowski",2005,114.8
"5820",1205000,"Powiat gorlicki",2005,71.2
"5821",1206000,"Powiat krakowski",2005,78.9
"5822",1207000,"Powiat limanowski",2005,77.2
"5823",1208000,"Powiat miechowski",2005,189.9
"5824",1209000,"Powiat myślenicki",2005,59
"5825",1210000,"Powiat nowosądecki",2005,116.5
"5826",1211000,"Powiat nowotarski",2005,58.9
"5827",1212000,"Powiat olkuski",2005,61.7
"5828",1213000,"Powiat oświęcimski",2005,44.3
"5829",1214000,"Powiat proszowicki",2005,159.6
"5830",1215000,"Powiat suski",2005,57.4
"5831",1216000,"Powiat tarnowski",2005,95.6
"5832",1217000,"Powiat tatrzański",2005,54.9
"5833",1218000,"Powiat wadowicki",2005,70
"5834",1219000,"Powiat wielicki",2005,77.1
"5835",1261000,"Powiat m.Kraków",2005,11.9
"5836",1262000,"Powiat m.Nowy Sącz",2005,22.8
