"","Kod","Nazwa","rok","DZIALALNOSC_TRANSPORTOWA_CTAB_liczba_taksowek_ogolem_szt"
"1114",201000,"Powiat bolesławiecki",2017,71
"1115",202000,"Powiat dzierżoniowski",2017,167
"1116",203000,"Powiat głogowski",2017,167
"1117",204000,"Powiat górowski",2017,4
"1118",205000,"Powiat jaworski",2017,8
"1119",206000,"Powiat jeleniogórski",2017,132
"1120",207000,"Powiat kamiennogórski",2017,22
"1121",208000,"Powiat kłodzki",2017,214
"1122",209000,"Powiat legnicki",2017,2
"1123",210000,"Powiat lubański",2017,43
"1124",211000,"Powiat lubiński",2017,119
"1125",212000,"Powiat lwówecki",2017,30
"1126",213000,"Powiat milicki",2017,16
"1127",214000,"Powiat oleśnicki",2017,55
"1128",215000,"Powiat oławski",2017,63
"1129",216000,"Powiat polkowicki",2017,15
"1130",217000,"Powiat strzeliński",2017,5
"1131",218000,"Powiat średzki",2017,8
"1132",219000,"Powiat świdnicki",2017,245
"1133",220000,"Powiat trzebnicki",2017,16
"1134",221000,"Powiat wałbrzyski",2017,10
"1135",222000,"Powiat wołowski",2017,12
"1136",223000,"Powiat wrocławski",2017,8
"1137",224000,"Powiat ząbkowicki",2017,43
"1138",225000,"Powiat zgorzelecki",2017,146
"1139",226000,"Powiat złotoryjski",2017,10
"1140",261000,"Powiat m.Jelenia Góra",2017,297
"1141",262000,"Powiat m.Legnica",2017,213
"1142",264000,"Powiat m.Wrocław",2017,3157
"1143",265000,"Powiat m.Wałbrzych od 2013",2017,313
"1144",401000,"Powiat aleksandrowski",2017,60
"1145",402000,"Powiat brodnicki",2017,20
"1146",403000,"Powiat bydgoski",2017,7
"1147",404000,"Powiat chełmiński",2017,5
"1148",405000,"Powiat golubsko-dobrzyński",2017,17
"1149",406000,"Powiat grudziądzki",2017,1
"1150",407000,"Powiat inowrocławski",2017,214
"1151",408000,"Powiat lipnowski",2017,15
"1152",409000,"Powiat mogileński",2017,2
"1153",410000,"Powiat nakielski",2017,37
"1154",411000,"Powiat radziejowski",2017,20
"1155",412000,"Powiat rypiński",2017,18
"1156",413000,"Powiat sępoleński",2017,4
"1157",414000,"Powiat świecki",2017,67
"1158",415000,"Powiat toruński",2017,20
"1159",416000,"Powiat tucholski",2017,6
"1160",417000,"Powiat wąbrzeski",2017,9
"1161",418000,"Powiat włocławski",2017,13
"1162",419000,"Powiat żniński",2017,7
"1163",461000,"Powiat m.Bydgoszcz",2017,1243
"1164",462000,"Powiat m.Grudziądz",2017,280
