"","Kod","Nazwa","rok","Dochody_powiatu_na_1_mieszkanca_ogolem_zl"
"1",201000,"Powiat bolesławiecki",2002,461
"2",202000,"Powiat dzierżoniowski",2002,510
"3",203000,"Powiat głogowski",2002,638
"4",204000,"Powiat górowski",2002,556
"5",205000,"Powiat jaworski",2002,643
"6",206000,"Powiat jeleniogórski",2002,544
"7",207000,"Powiat kamiennogórski",2002,539
"8",208000,"Powiat kłodzki",2002,628
"9",209000,"Powiat legnicki",2002,570
"10",210000,"Powiat lubański",2002,564
"11",211000,"Powiat lubiński",2002,449
"12",212000,"Powiat lwówecki",2002,694
"13",213000,"Powiat milicki",2002,898
"14",214000,"Powiat oleśnicki",2002,544
"15",215000,"Powiat oławski",2002,433
"16",216000,"Powiat polkowicki",2002,378
"17",217000,"Powiat strzeliński",2002,652
"18",218000,"Powiat średzki",2002,415
"19",219000,"Powiat świdnicki",2002,581
"20",220000,"Powiat trzebnicki",2002,442
"21",221000,"Powiat wałbrzyski",2002,335
"22",222000,"Powiat wołowski",2002,569
"23",223000,"Powiat wrocławski",2002,395
"24",224000,"Powiat ząbkowicki",2002,688
"25",225000,"Powiat zgorzelecki",2002,520
"26",226000,"Powiat złotoryjski",2002,605
"27",401000,"Powiat aleksandrowski",2002,518
"28",402000,"Powiat brodnicki",2002,447
"29",403000,"Powiat bydgoski",2002,286
"30",404000,"Powiat chełmiński",2002,570
"31",405000,"Powiat golubsko-dobrzyński",2002,494
"32",406000,"Powiat grudziądzki",2002,270
"33",407000,"Powiat inowrocławski",2002,535
"34",408000,"Powiat lipnowski",2002,480
"35",409000,"Powiat mogileński",2002,633
"36",410000,"Powiat nakielski",2002,457
"37",411000,"Powiat radziejowski",2002,588
"38",412000,"Powiat rypiński",2002,465
"39",413000,"Powiat sępoleński",2002,625
"40",414000,"Powiat świecki",2002,443
"41",415000,"Powiat toruński",2002,340
"42",416000,"Powiat tucholski",2002,653
"43",417000,"Powiat wąbrzeski",2002,536
"44",418000,"Powiat włocławski",2002,345
"45",419000,"Powiat żniński",2002,506
"46",601000,"Powiat bialski",2002,407
"47",602000,"Powiat biłgorajski",2002,524
"48",603000,"Powiat chełmski",2002,360
"49",604000,"Powiat hrubieszowski",2002,509
"50",605000,"Powiat janowski",2002,553
"51",606000,"Powiat krasnostawski",2002,601
"52",607000,"Powiat kraśnicki",2002,509
"53",608000,"Powiat lubartowski",2002,450
"54",609000,"Powiat lubelski",2002,337
"55",610000,"Powiat łęczyński",2002,474
"56",611000,"Powiat łukowski",2002,483
"57",612000,"Powiat opolski",2002,441
"58",613000,"Powiat parczewski",2002,588
"59",614000,"Powiat puławski",2002,500
"60",615000,"Powiat radzyński",2002,419
"61",616000,"Powiat rycki",2002,538
"62",617000,"Powiat świdnicki",2002,470
"63",618000,"Powiat tomaszowski",2002,546
"64",619000,"Powiat włodawski",2002,728
"65",620000,"Powiat zamojski",2002,257
"66",801000,"Powiat gorzowski",2002,340
"67",802000,"Powiat krośnieński",2002,478
"68",803000,"Powiat międzyrzecki",2002,671
"69",804000,"Powiat nowosolski",2002,544
"70",805000,"Powiat słubicki",2002,604
"71",806000,"Powiat strzelecko-drezdenecki",2002,532
"72",807000,"Powiat sulęciński",2002,626
"73",808000,"Powiat świebodziński",2002,743
"74",809000,"Powiat zielonogórski",2002,395
"75",810000,"Powiat żagański",2002,464
"76",811000,"Powiat żarski",2002,586
"77",812000,"Powiat wschowski",2002,547
"78",1001000,"Powiat bełchatowski",2002,489
"79",1002000,"Powiat kutnowski",2002,628
"80",1003000,"Powiat łaski",2002,500
"81",1004000,"Powiat łęczycki",2002,534
"82",1005000,"Powiat łowicki",2002,531
"83",1006000,"Powiat łódzki wschodni",2002,436
"84",1007000,"Powiat opoczyński",2002,437
"85",1008000,"Powiat pabianicki",2002,440
"86",1009000,"Powiat pajęczański",2002,389
"87",1010000,"Powiat piotrkowski",2002,324
"88",1011000,"Powiat poddębicki",2002,572
"89",1012000,"Powiat radomszczański",2002,506
"90",1013000,"Powiat rawski",2002,617
"91",1014000,"Powiat sieradzki",2002,560
"92",1015000,"Powiat skierniewicki",2002,228
"93",1016000,"Powiat tomaszowski",2002,520
"94",1017000,"Powiat wieluński",2002,501
"95",1018000,"Powiat wieruszowski",2002,492
"96",1019000,"Powiat zduńskowolski",2002,544
"97",1020000,"Powiat zgierski",2002,466
"98",1021000,"Powiat brzeziński",2002,647
"99",1201000,"Powiat bocheński",2002,442
"100",1202000,"Powiat brzeski",2002,420
"101",1203000,"Powiat chrzanowski",2002,418
"102",1204000,"Powiat dąbrowski",2002,451
"103",1205000,"Powiat gorlicki",2002,552
"104",1206000,"Powiat krakowski",2002,337
"105",1207000,"Powiat limanowski",2002,477
"106",1208000,"Powiat miechowski",2002,629
"107",1209000,"Powiat myślenicki",2002,421
"108",1210000,"Powiat nowosądecki",2002,274
"109",1211000,"Powiat nowotarski",2002,504
"110",1212000,"Powiat olkuski",2002,463
"111",1213000,"Powiat oświęcimski",2002,521
"112",1214000,"Powiat proszowicki",2002,463
"113",1215000,"Powiat suski",2002,501
"114",1216000,"Powiat tarnowski",2002,248
"115",1217000,"Powiat tatrzański",2002,554
"116",1218000,"Powiat wadowicki",2002,468
"117",1219000,"Powiat wielicki",2002,282
"118",1401000,"Powiat białobrzeski",2002,463
"119",1402000,"Powiat ciechanowski",2002,620
"120",1403000,"Powiat garwoliński",2002,587
"121",1404000,"Powiat gostyniński",2002,594
"122",1405000,"Powiat grodziski",2002,770
"123",1406000,"Powiat grójecki",2002,449
"124",1407000,"Powiat kozienicki",2002,480
"125",1408000,"Powiat legionowski",2002,357
"126",1409000,"Powiat lipski",2002,621
"127",1410000,"Powiat łosicki",2002,517
"128",1411000,"Powiat makowski",2002,547
