"","Kod","Nazwa","rok","EMISJA_ZANIECZYSZCZEN_POWIETRZA_Z_ZAKLADOW_SZCZEGOLNIE_UCIAZLIWYCH_CTAB_ogolem_tr"
"1",201000,"Powiat bolesławiecki",1996,NA
"2",202000,"Powiat dzierżoniowski",1996,NA
"3",203000,"Powiat głogowski",1996,NA
"4",204000,"Powiat górowski",1996,NA
"5",205000,"Powiat jaworski",1996,NA
"6",206000,"Powiat jeleniogórski",1996,NA
"7",207000,"Powiat kamiennogórski",1996,NA
"8",208000,"Powiat kłodzki",1996,NA
"9",209000,"Powiat legnicki",1996,NA
"10",210000,"Powiat lubański",1996,NA
"11",211000,"Powiat lubiński",1996,NA
"12",212000,"Powiat lwówecki",1996,NA
"13",213000,"Powiat milicki",1996,NA
"14",214000,"Powiat oleśnicki",1996,NA
"15",215000,"Powiat oławski",1996,NA
"16",216000,"Powiat polkowicki",1996,NA
"17",217000,"Powiat strzeliński",1996,NA
"18",218000,"Powiat średzki",1996,NA
"19",219000,"Powiat świdnicki",1996,NA
"20",220000,"Powiat trzebnicki",1996,NA
"21",221000,"Powiat wałbrzyski",1996,NA
"22",222000,"Powiat wołowski",1996,NA
"23",223000,"Powiat wrocławski",1996,NA
"24",224000,"Powiat ząbkowicki",1996,NA
"25",225000,"Powiat zgorzelecki",1996,NA
"26",226000,"Powiat złotoryjski",1996,NA
"27",261000,"Powiat m.Jelenia Góra",1996,NA
"28",262000,"Powiat m.Legnica",1996,NA
"29",263000,"Powiat m.Wałbrzych do 2002",1996,NA
"30",264000,"Powiat m.Wrocław",1996,NA
"31",265000,"Powiat m.Wałbrzych od 2013",1996,NA
"32",401000,"Powiat aleksandrowski",1996,NA
"33",402000,"Powiat brodnicki",1996,NA
"34",403000,"Powiat bydgoski",1996,NA
"35",404000,"Powiat chełmiński",1996,NA
"36",405000,"Powiat golubsko-dobrzyński",1996,NA
"37",406000,"Powiat grudziądzki",1996,NA
"38",407000,"Powiat inowrocławski",1996,NA
"39",408000,"Powiat lipnowski",1996,NA
"40",409000,"Powiat mogileński",1996,NA
"41",410000,"Powiat nakielski",1996,NA
"42",411000,"Powiat radziejowski",1996,NA
"43",412000,"Powiat rypiński",1996,NA
"44",414000,"Powiat świecki",1996,NA
"45",415000,"Powiat toruński",1996,NA
"46",416000,"Powiat tucholski",1996,NA
"47",417000,"Powiat wąbrzeski",1996,NA
"48",418000,"Powiat włocławski",1996,NA
"49",419000,"Powiat żniński",1996,NA
"50",461000,"Powiat m.Bydgoszcz",1996,NA
"51",462000,"Powiat m.Grudziądz",1996,NA
"52",463000,"Powiat m.Toruń",1996,NA
"53",464000,"Powiat m.Włocławek",1996,NA
"54",601000,"Powiat bialski",1996,NA
"55",602000,"Powiat biłgorajski",1996,NA
"56",603000,"Powiat chełmski",1996,NA
"57",604000,"Powiat hrubieszowski",1996,NA
"58",605000,"Powiat janowski",1996,NA
"59",606000,"Powiat krasnostawski",1996,NA
"60",607000,"Powiat kraśnicki",1996,NA
"61",608000,"Powiat lubartowski",1996,NA
"62",609000,"Powiat lubelski",1996,NA
"63",610000,"Powiat łęczyński",1996,NA
