"","Kod","Nazwa","rok","Kina_stale_wg_formy_wlasnosci_ogolem_seanse_ogolem"
"18101",201000,"Powiat bolesławiecki",1995,1010
"18102",202000,"Powiat dzierżoniowski",1995,673
"18103",203000,"Powiat głogowski",1995,1403
"18104",204000,"Powiat górowski",1995,1000
"18105",205000,"Powiat jaworski",1995,299
"18106",206000,"Powiat jeleniogórski",1995,358
"18107",207000,"Powiat kamiennogórski",1995,192
"18108",208000,"Powiat kłodzki",1995,1501
"18109",209000,"Powiat legnicki",1995,0
"18110",210000,"Powiat lubański",1995,325
"18111",211000,"Powiat lubiński",1995,0
"18112",212000,"Powiat lwówecki",1995,106
"18113",214000,"Powiat oleśnicki",1995,240
"18114",215000,"Powiat oławski",1995,517
"18115",216000,"Powiat polkowicki",1995,100
"18116",217000,"Powiat strzeliński",1995,250
"18117",218000,"Powiat średzki",1995,0
"18118",219000,"Powiat świdnicki",1995,868
"18119",220000,"Powiat trzebnicki",1995,286
"18120",221000,"Powiat wałbrzyski",1995,0
"18121",222000,"Powiat wołowski",1995,154
"18122",223000,"Powiat wrocławski",1995,9
"18123",224000,"Powiat ząbkowicki",1995,145
"18124",225000,"Powiat zgorzelecki",1995,441
"18125",226000,"Powiat złotoryjski",1995,281
"18126",261000,"Powiat m.Jelenia Góra",1995,1959
"18127",262000,"Powiat m.Legnica",1995,1967
"18128",263000,"Powiat m.Wałbrzych do 2002",1995,1821
"18129",264000,"Powiat m.Wrocław",1995,16271
"18130",265000,"Powiat m.Wałbrzych od 2013",1995,NA
"18131",401000,"Powiat aleksandrowski",1995,687
"18132",402000,"Powiat brodnicki",1995,501
"18133",403000,"Powiat bydgoski",1995,0
"18134",404000,"Powiat chełmiński",1995,0
"18135",405000,"Powiat golubsko-dobrzyński",1995,0
"18136",406000,"Powiat grudziądzki",1995,64
"18137",407000,"Powiat inowrocławski",1995,1094
"18138",408000,"Powiat lipnowski",1995,294
"18139",409000,"Powiat mogileński",1995,158
"18140",410000,"Powiat nakielski",1995,428
"18141",411000,"Powiat radziejowski",1995,99
"18142",412000,"Powiat rypiński",1995,189
"18143",413000,"Powiat sępoleński",1995,185
"18144",414000,"Powiat świecki",1995,379
"18145",415000,"Powiat toruński",1995,240
"18146",416000,"Powiat tucholski",1995,229
"18147",417000,"Powiat wąbrzeski",1995,104
"18148",419000,"Powiat żniński",1995,246
"18149",461000,"Powiat m.Bydgoszcz",1995,4781
"18150",462000,"Powiat m.Grudziądz",1995,815
"18151",463000,"Powiat m.Toruń",1995,3410
"18152",464000,"Powiat m.Włocławek",1995,1440
"18153",601000,"Powiat bialski",1995,352
"18154",602000,"Powiat biłgorajski",1995,416
"18155",604000,"Powiat hrubieszowski",1995,135
"18156",605000,"Powiat janowski",1995,153
"18157",606000,"Powiat krasnostawski",1995,467
"18158",607000,"Powiat kraśnicki",1995,361
"18159",608000,"Powiat lubartowski",1995,113
"18160",609000,"Powiat lubelski",1995,138
"18161",611000,"Powiat łukowski",1995,532
"18162",612000,"Powiat opolski",1995,239
"18163",613000,"Powiat parczewski",1995,31
"18164",614000,"Powiat puławski",1995,2137
"18165",615000,"Powiat radzyński",1995,167
