"","Kod","Nazwa","rok","Kluby_sportowe_lacznie_z_klubami_wyznaniowymi_i_UKS_cwiczacy_ogolem_osoba"
"9145",201000,"Powiat bolesławiecki",1999,NA
"9146",202000,"Powiat dzierżoniowski",1999,NA
"9147",203000,"Powiat głogowski",1999,NA
"9148",204000,"Powiat górowski",1999,NA
"9149",205000,"Powiat jaworski",1999,NA
"9150",206000,"Powiat jeleniogórski",1999,NA
"9151",207000,"Powiat kamiennogórski",1999,NA
"9152",208000,"Powiat kłodzki",1999,NA
"9153",209000,"Powiat legnicki",1999,NA
"9154",210000,"Powiat lubański",1999,NA
"9155",211000,"Powiat lubiński",1999,NA
"9156",212000,"Powiat lwówecki",1999,NA
"9157",213000,"Powiat milicki",1999,NA
"9158",214000,"Powiat oleśnicki",1999,NA
"9159",215000,"Powiat oławski",1999,NA
"9160",216000,"Powiat polkowicki",1999,NA
"9161",217000,"Powiat strzeliński",1999,NA
"9162",218000,"Powiat średzki",1999,NA
"9163",219000,"Powiat świdnicki",1999,NA
"9164",220000,"Powiat trzebnicki",1999,NA
"9165",221000,"Powiat wałbrzyski",1999,NA
"9166",222000,"Powiat wołowski",1999,NA
"9167",223000,"Powiat wrocławski",1999,NA
"9168",224000,"Powiat ząbkowicki",1999,NA
"9169",225000,"Powiat zgorzelecki",1999,NA
"9170",226000,"Powiat złotoryjski",1999,NA
"9171",261000,"Powiat m.Jelenia Góra",1999,NA
"9172",262000,"Powiat m.Legnica",1999,NA
"9173",263000,"Powiat m.Wałbrzych do 2002",1999,NA
"9174",264000,"Powiat m.Wrocław",1999,NA
"9175",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"9176",401000,"Powiat aleksandrowski",1999,NA
"9177",402000,"Powiat brodnicki",1999,NA
"9178",403000,"Powiat bydgoski",1999,NA
"9179",404000,"Powiat chełmiński",1999,NA
"9180",405000,"Powiat golubsko-dobrzyński",1999,NA
"9181",406000,"Powiat grudziądzki",1999,NA
"9182",407000,"Powiat inowrocławski",1999,NA
"9183",408000,"Powiat lipnowski",1999,NA
"9184",409000,"Powiat mogileński",1999,NA
"9185",410000,"Powiat nakielski",1999,NA
"9186",411000,"Powiat radziejowski",1999,NA
"9187",412000,"Powiat rypiński",1999,NA
"9188",413000,"Powiat sępoleński",1999,NA
"9189",414000,"Powiat świecki",1999,NA
"9190",415000,"Powiat toruński",1999,NA
"9191",416000,"Powiat tucholski",1999,NA
"9192",417000,"Powiat wąbrzeski",1999,NA
"9193",418000,"Powiat włocławski",1999,NA
"9194",419000,"Powiat żniński",1999,NA
"9195",461000,"Powiat m.Bydgoszcz",1999,NA
"9196",462000,"Powiat m.Grudziądz",1999,NA
"9197",463000,"Powiat m.Toruń",1999,NA
"9198",464000,"Powiat m.Włocławek",1999,NA
"9199",601000,"Powiat bialski",1999,NA
"9200",602000,"Powiat biłgorajski",1999,NA
"9201",603000,"Powiat chełmski",1999,NA
"9202",604000,"Powiat hrubieszowski",1999,NA
"9203",605000,"Powiat janowski",1999,NA
"9204",606000,"Powiat krasnostawski",1999,NA
"9205",607000,"Powiat kraśnicki",1999,NA
"9206",608000,"Powiat lubartowski",1999,NA
"9207",609000,"Powiat lubelski",1999,NA
"9208",610000,"Powiat łęczyński",1999,NA
"9209",611000,"Powiat łukowski",1999,NA
"9210",612000,"Powiat opolski",1999,NA
"9211",613000,"Powiat parczewski",1999,NA
"9212",614000,"Powiat puławski",1999,NA
"9213",615000,"Powiat radzyński",1999,NA
"9214",616000,"Powiat rycki",1999,NA
"9215",617000,"Powiat świdnicki",1999,NA
"9216",618000,"Powiat tomaszowski",1999,NA
"9217",619000,"Powiat włodawski",1999,NA
"9218",620000,"Powiat zamojski",1999,NA
"9219",661000,"Powiat m.Biała Podlaska",1999,NA
"9220",662000,"Powiat m.Chełm",1999,NA
"9221",663000,"Powiat m.Lublin",1999,NA
"9222",664000,"Powiat m.Zamość",1999,NA
"9223",801000,"Powiat gorzowski",1999,NA
"9224",802000,"Powiat krośnieński",1999,NA
"9225",803000,"Powiat międzyrzecki",1999,NA
"9226",804000,"Powiat nowosolski",1999,NA
"9227",805000,"Powiat słubicki",1999,NA
"9228",806000,"Powiat strzelecko-drezdenecki",1999,NA
"9229",807000,"Powiat sulęciński",1999,NA
"9230",808000,"Powiat świebodziński",1999,NA
"9231",809000,"Powiat zielonogórski",1999,NA
"9232",810000,"Powiat żagański",1999,NA
"9233",811000,"Powiat żarski",1999,NA
"9234",812000,"Powiat wschowski",1999,NA
"9235",861000,"Powiat m.Gorzów Wielkopolski",1999,NA
"9236",862000,"Powiat m.Zielona Góra",1999,NA
"9237",1001000,"Powiat bełchatowski",1999,NA
"9238",1002000,"Powiat kutnowski",1999,NA
"9239",1003000,"Powiat łaski",1999,NA
"9240",1004000,"Powiat łęczycki",1999,NA
"9241",1005000,"Powiat łowicki",1999,NA
"9242",1006000,"Powiat łódzki wschodni",1999,NA
"9243",1007000,"Powiat opoczyński",1999,NA
"9244",1008000,"Powiat pabianicki",1999,NA
"9245",1009000,"Powiat pajęczański",1999,NA
"9246",1010000,"Powiat piotrkowski",1999,NA
"9247",1011000,"Powiat poddębicki",1999,NA
"9248",1012000,"Powiat radomszczański",1999,NA
"9249",1013000,"Powiat rawski",1999,NA
"9250",1014000,"Powiat sieradzki",1999,NA
"9251",1015000,"Powiat skierniewicki",1999,NA
"9252",1016000,"Powiat tomaszowski",1999,NA
"9253",1017000,"Powiat wieluński",1999,NA
"9254",1018000,"Powiat wieruszowski",1999,NA
"9255",1019000,"Powiat zduńskowolski",1999,NA
"9256",1020000,"Powiat zgierski",1999,NA
"9257",1021000,"Powiat brzeziński",1999,NA
"9258",1061000,"Powiat m.Łódź",1999,NA
"9259",1062000,"Powiat m.Piotrków Trybunalski",1999,NA
"9260",1063000,"Powiat m.Skierniewice",1999,NA
"9261",1201000,"Powiat bocheński",1999,NA
"9262",1202000,"Powiat brzeski",1999,NA
"9263",1203000,"Powiat chrzanowski",1999,NA
"9264",1204000,"Powiat dąbrowski",1999,NA
"9265",1205000,"Powiat gorlicki",1999,NA
"9266",1206000,"Powiat krakowski",1999,NA
"9267",1207000,"Powiat limanowski",1999,NA
"9268",1208000,"Powiat miechowski",1999,NA
"9269",1209000,"Powiat myślenicki",1999,NA
"9270",1210000,"Powiat nowosądecki",1999,NA
"9271",1211000,"Powiat nowotarski",1999,NA
