"","Kod","Nazwa","rok","LASY_PRYWATNE_I_GMINNE_CTAB_lasy_ogolem_ha"
"8317",201000,"Powiat bolesławiecki",1998,596
"8318",202000,"Powiat dzierżoniowski",1998,214.8
"8319",203000,"Powiat głogowski",1998,174.5
"8320",204000,"Powiat górowski",1998,347.6
"8321",205000,"Powiat jaworski",1998,551.4
"8322",206000,"Powiat jeleniogórski",1998,1431.9
"8323",207000,"Powiat kamiennogórski",1998,424.1
"8324",208000,"Powiat kłodzki",1998,4235.7
"8325",209000,"Powiat legnicki",1998,433.9
"8326",210000,"Powiat lubański",1998,281.8
"8327",211000,"Powiat lubiński",1998,251.1
"8328",212000,"Powiat lwówecki",1998,702.7
"8329",213000,"Powiat milicki",1998,568.8
"8330",214000,"Powiat oleśnicki",1998,779
"8331",215000,"Powiat oławski",1998,216.6
"8332",216000,"Powiat polkowicki",1998,430.6
"8333",217000,"Powiat strzeliński",1998,386.5
"8334",218000,"Powiat średzki",1998,222.6
"8335",219000,"Powiat świdnicki",1998,646.7
"8336",220000,"Powiat trzebnicki",1998,643.5
"8337",221000,"Powiat wałbrzyski",1998,1077.1
"8338",222000,"Powiat wołowski",1998,336.1
"8339",223000,"Powiat wrocławski",1998,776.8
"8340",224000,"Powiat ząbkowicki",1998,929.3
"8341",225000,"Powiat zgorzelecki",1998,260.3
"8342",226000,"Powiat złotoryjski",1998,510.9
"8343",261000,"Powiat m.Jelenia Góra",1998,468.5
"8344",262000,"Powiat m.Legnica",1998,56
"8345",263000,"Powiat m.Wałbrzych do 2002",1998,554.2
"8346",264000,"Powiat m.Wrocław",1998,785.6
"8347",265000,"Powiat m.Wałbrzych od 2013",1998,NA
"8348",401000,"Powiat aleksandrowski",1998,831.2
"8349",402000,"Powiat brodnicki",1998,2791.8
"8350",403000,"Powiat bydgoski",1998,2738.8
"8351",404000,"Powiat chełmiński",1998,831.7
"8352",405000,"Powiat golubsko-dobrzyński",1998,1165.3
"8353",406000,"Powiat grudziądzki",1998,1269
"8354",407000,"Powiat inowrocławski",1998,1097.9
"8355",408000,"Powiat lipnowski",1998,4954.7
"8356",409000,"Powiat mogileński",1998,752.3
"8357",410000,"Powiat nakielski",1998,2125.7
"8358",411000,"Powiat radziejowski",1998,576
"8359",412000,"Powiat rypiński",1998,2499
"8360",413000,"Powiat sępoleński",1998,1739.1
"8361",414000,"Powiat świecki",1998,3578.7
"8362",415000,"Powiat toruński",1998,2862.2
"8363",416000,"Powiat tucholski",1998,6424.9
"8364",417000,"Powiat wąbrzeski",1998,774.5
"8365",418000,"Powiat włocławski",1998,2746.8
"8366",419000,"Powiat żniński",1998,1391
"8367",461000,"Powiat m.Bydgoszcz",1998,223.7
"8368",462000,"Powiat m.Grudziądz",1998,926.7
"8369",463000,"Powiat m.Toruń",1998,711.6
"8370",464000,"Powiat m.Włocławek",1998,224
"8371",601000,"Powiat bialski",1998,28680.5
"8372",602000,"Powiat biłgorajski",1998,31176
"8373",603000,"Powiat chełmski",1998,4864.9
"8374",604000,"Powiat hrubieszowski",1998,2471.4
"8375",605000,"Powiat janowski",1998,13584.2
"8376",606000,"Powiat krasnostawski",1998,5553
"8377",607000,"Powiat kraśnicki",1998,6432
"8378",608000,"Powiat lubartowski",1998,11084.3
"8379",609000,"Powiat lubelski",1998,10064
"8380",610000,"Powiat łęczyński",1998,3201
"8381",611000,"Powiat łukowski",1998,13660.5
"8382",612000,"Powiat opolski",1998,10022.9
"8383",613000,"Powiat parczewski",1998,7009.3
"8384",614000,"Powiat puławski",1998,9155.3
"8385",615000,"Powiat radzyński",1998,8210.4
"8386",616000,"Powiat rycki",1998,8173.7
"8387",617000,"Powiat świdnicki",1998,2791.6
"8388",618000,"Powiat tomaszowski",1998,7732.9
"8389",619000,"Powiat włodawski",1998,7154
"8390",620000,"Powiat zamojski",1998,17739.3
"8391",661000,"Powiat m.Biała Podlaska",1998,370
"8392",662000,"Powiat m.Chełm",1998,0
"8393",663000,"Powiat m.Lublin",1998,338.1
"8394",664000,"Powiat m.Zamość",1998,58.4
"8395",801000,"Powiat gorzowski",1998,401.8
"8396",802000,"Powiat krośnieński",1998,535.9
"8397",803000,"Powiat międzyrzecki",1998,1631.7
"8398",804000,"Powiat nowosolski",1998,1066.3
"8399",805000,"Powiat słubicki",1998,182.8
"8400",806000,"Powiat strzelecko-drezdenecki",1998,280.7
"8401",807000,"Powiat sulęciński",1998,151.7
"8402",808000,"Powiat świebodziński",1998,910.3
"8403",809000,"Powiat zielonogórski",1998,1407.5
"8404",810000,"Powiat żagański",1998,887.2
"8405",811000,"Powiat żarski",1998,1395.4
"8406",812000,"Powiat wschowski",1998,NA
"8407",861000,"Powiat m.Gorzów Wielkopolski",1998,34
"8408",862000,"Powiat m.Zielona Góra",1998,740.1
"8409",1001000,"Powiat bełchatowski",1998,14586.7
"8410",1002000,"Powiat kutnowski",1998,482
"8411",1003000,"Powiat łaski",1998,5813.7
"8412",1004000,"Powiat łęczycki",1998,944.4
"8413",1005000,"Powiat łowicki",1998,4148.3
"8414",1006000,"Powiat łódzki wschodni",1998,3082.4
"8415",1007000,"Powiat opoczyński",1998,11828.4
"8416",1008000,"Powiat pabianicki",1998,2303.5
