"","Kod","Nazwa","rok","Lekarze_wskazniki_lekarze_personel_pracujacy_ogolem_na_10_tys_ludnosci_osoba"
"5321",201000,"Powiat bolesławiecki",2012,NA
"5322",202000,"Powiat dzierżoniowski",2012,NA
"5323",203000,"Powiat głogowski",2012,NA
"5324",204000,"Powiat górowski",2012,NA
"5325",205000,"Powiat jaworski",2012,NA
"5326",206000,"Powiat jeleniogórski",2012,NA
"5327",207000,"Powiat kamiennogórski",2012,NA
"5328",208000,"Powiat kłodzki",2012,NA
"5329",209000,"Powiat legnicki",2012,NA
"5330",210000,"Powiat lubański",2012,NA
"5331",211000,"Powiat lubiński",2012,NA
"5332",212000,"Powiat lwówecki",2012,NA
"5333",213000,"Powiat milicki",2012,NA
"5334",214000,"Powiat oleśnicki",2012,NA
"5335",215000,"Powiat oławski",2012,NA
"5336",216000,"Powiat polkowicki",2012,NA
"5337",217000,"Powiat strzeliński",2012,NA
"5338",218000,"Powiat średzki",2012,NA
"5339",219000,"Powiat świdnicki",2012,NA
"5340",220000,"Powiat trzebnicki",2012,NA
"5341",221000,"Powiat wałbrzyski",2012,NA
"5342",222000,"Powiat wołowski",2012,NA
"5343",223000,"Powiat wrocławski",2012,NA
"5344",224000,"Powiat ząbkowicki",2012,NA
"5345",225000,"Powiat zgorzelecki",2012,NA
"5346",226000,"Powiat złotoryjski",2012,NA
"5347",261000,"Powiat m.Jelenia Góra",2012,NA
"5348",262000,"Powiat m.Legnica",2012,NA
"5349",264000,"Powiat m.Wrocław",2012,NA
"5350",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"5351",401000,"Powiat aleksandrowski",2012,NA
"5352",402000,"Powiat brodnicki",2012,NA
"5353",403000,"Powiat bydgoski",2012,NA
"5354",404000,"Powiat chełmiński",2012,NA
"5355",405000,"Powiat golubsko-dobrzyński",2012,NA
"5356",406000,"Powiat grudziądzki",2012,NA
"5357",407000,"Powiat inowrocławski",2012,NA
"5358",408000,"Powiat lipnowski",2012,NA
"5359",409000,"Powiat mogileński",2012,NA
"5360",410000,"Powiat nakielski",2012,NA
"5361",411000,"Powiat radziejowski",2012,NA
"5362",412000,"Powiat rypiński",2012,NA
"5363",413000,"Powiat sępoleński",2012,NA
"5364",414000,"Powiat świecki",2012,NA
"5365",415000,"Powiat toruński",2012,NA
"5366",416000,"Powiat tucholski",2012,NA
"5367",417000,"Powiat wąbrzeski",2012,NA
"5368",418000,"Powiat włocławski",2012,NA
"5369",419000,"Powiat żniński",2012,NA
"5370",461000,"Powiat m.Bydgoszcz",2012,NA
"5371",462000,"Powiat m.Grudziądz",2012,NA
"5372",463000,"Powiat m.Toruń",2012,NA
"5373",464000,"Powiat m.Włocławek",2012,NA
"5374",601000,"Powiat bialski",2012,NA
"5375",602000,"Powiat biłgorajski",2012,NA
"5376",603000,"Powiat chełmski",2012,NA
"5377",604000,"Powiat hrubieszowski",2012,NA
"5378",605000,"Powiat janowski",2012,NA
"5379",606000,"Powiat krasnostawski",2012,NA
"5380",607000,"Powiat kraśnicki",2012,NA
"5381",608000,"Powiat lubartowski",2012,NA
"5382",609000,"Powiat lubelski",2012,NA
"5383",610000,"Powiat łęczyński",2012,NA
"5384",611000,"Powiat łukowski",2012,NA
"5385",612000,"Powiat opolski",2012,NA
"5386",613000,"Powiat parczewski",2012,NA
"5387",614000,"Powiat puławski",2012,NA
"5388",615000,"Powiat radzyński",2012,NA
"5389",616000,"Powiat rycki",2012,NA
"5390",617000,"Powiat świdnicki",2012,NA
