"","Kod","Nazwa","rok","Liczba_kwoty_wyplaconych_dodatkow_mieszkaniowych_ogolem_kwota_zl"
"5701",201000,"Powiat bolesławiecki",2004,2667399
"5702",202000,"Powiat dzierżoniowski",2004,6280587
"5703",203000,"Powiat głogowski",2004,5278769
"5704",204000,"Powiat górowski",2004,1693236
"5705",205000,"Powiat jaworski",2004,2713356
"5706",206000,"Powiat jeleniogórski",2004,1626062
"5707",207000,"Powiat kamiennogórski",2004,1602765
"5708",208000,"Powiat kłodzki",2004,8747915
"5709",209000,"Powiat legnicki",2004,2047852
"5710",210000,"Powiat lubański",2004,2573972
"5711",211000,"Powiat lubiński",2004,4134911
"5712",212000,"Powiat lwówecki",2004,1397172
"5713",213000,"Powiat milicki",2004,721787
"5714",214000,"Powiat oleśnicki",2004,4073401
"5715",215000,"Powiat oławski",2004,3043996
"5716",216000,"Powiat polkowicki",2004,2147589
"5717",217000,"Powiat strzeliński",2004,1376917
"5718",218000,"Powiat średzki",2004,628964
"5719",219000,"Powiat świdnicki",2004,5827310
"5720",220000,"Powiat trzebnicki",2004,1805361
"5721",221000,"Powiat wałbrzyski",2004,12487583
"5722",222000,"Powiat wołowski",2004,1604005
"5723",223000,"Powiat wrocławski",2004,812452
"5724",224000,"Powiat ząbkowicki",2004,2493487
"5725",225000,"Powiat zgorzelecki",2004,3693873
"5726",226000,"Powiat złotoryjski",2004,2090920
"5727",261000,"Powiat m.Jelenia Góra",2004,2473552
"5728",262000,"Powiat m.Legnica",2004,7035856
"5729",264000,"Powiat m.Wrocław",2004,20846607
"5730",265000,"Powiat m.Wałbrzych od 2013",2004,NA
"5731",401000,"Powiat aleksandrowski",2004,1428876
"5732",402000,"Powiat brodnicki",2004,3426092
"5733",403000,"Powiat bydgoski",2004,4247240
"5734",404000,"Powiat chełmiński",2004,2068811
"5735",405000,"Powiat golubsko-dobrzyński",2004,1735369
"5736",406000,"Powiat grudziądzki",2004,1986127
"5737",407000,"Powiat inowrocławski",2004,8971223
"5738",408000,"Powiat lipnowski",2004,1634761
"5739",409000,"Powiat mogileński",2004,1814221
"5740",410000,"Powiat nakielski",2004,4629455
"5741",411000,"Powiat radziejowski",2004,1021600
"5742",412000,"Powiat rypiński",2004,1938175
"5743",413000,"Powiat sępoleński",2004,3123494
"5744",414000,"Powiat świecki",2004,3180434
"5745",415000,"Powiat toruński",2004,3131246
"5746",416000,"Powiat tucholski",2004,2151668
"5747",417000,"Powiat wąbrzeski",2004,1530779
"5748",418000,"Powiat włocławski",2004,1538462
"5749",419000,"Powiat żniński",2004,3929975
"5750",461000,"Powiat m.Bydgoszcz",2004,23391357
"5751",462000,"Powiat m.Grudziądz",2004,11136519
"5752",463000,"Powiat m.Toruń",2004,14205222
"5753",464000,"Powiat m.Włocławek",2004,8936738
"5754",601000,"Powiat bialski",2004,2537579
"5755",602000,"Powiat biłgorajski",2004,1552385
"5756",603000,"Powiat chełmski",2004,857469
"5757",604000,"Powiat hrubieszowski",2004,2377095
"5758",605000,"Powiat janowski",2004,493650
"5759",606000,"Powiat krasnostawski",2004,1256759
"5760",607000,"Powiat kraśnicki",2004,1340550
"5761",608000,"Powiat lubartowski",2004,1116910
"5762",609000,"Powiat lubelski",2004,1015578
"5763",610000,"Powiat łęczyński",2004,1702063
"5764",611000,"Powiat łukowski",2004,1668948
"5765",612000,"Powiat opolski",2004,1752641
"5766",613000,"Powiat parczewski",2004,906434
"5767",614000,"Powiat puławski",2004,2690437
"5768",615000,"Powiat radzyński",2004,1766630
"5769",616000,"Powiat rycki",2004,1098041
"5770",617000,"Powiat świdnicki",2004,1735147
"5771",618000,"Powiat tomaszowski",2004,2063089
"5772",619000,"Powiat włodawski",2004,1058060
"5773",620000,"Powiat zamojski",2004,725771
"5774",661000,"Powiat m.Biała Podlaska",2004,3625329
"5775",662000,"Powiat m.Chełm",2004,3815981
"5776",663000,"Powiat m.Lublin",2004,20539927
"5777",664000,"Powiat m.Zamość",2004,6078838
"5778",801000,"Powiat gorzowski",2004,2003516
"5779",802000,"Powiat krośnieński",2004,2532179
"5780",803000,"Powiat międzyrzecki",2004,3876557
"5781",804000,"Powiat nowosolski",2004,5305194
"5782",805000,"Powiat słubicki",2004,1657235
"5783",806000,"Powiat strzelecko-drezdenecki",2004,2152895
"5784",807000,"Powiat sulęciński",2004,1610629
"5785",808000,"Powiat świebodziński",2004,2050356
"5786",809000,"Powiat zielonogórski",2004,2958225
"5787",810000,"Powiat żagański",2004,4484046
"5788",811000,"Powiat żarski",2004,4596820
"5789",812000,"Powiat wschowski",2004,3357019
"5790",861000,"Powiat m.Gorzów Wielkopolski",2004,8952144
"5791",862000,"Powiat m.Zielona Góra",2004,5026014
"5792",1001000,"Powiat bełchatowski",2004,3498342
"5793",1002000,"Powiat kutnowski",2004,4917080
"5794",1003000,"Powiat łaski",2004,1255581
"5795",1004000,"Powiat łęczycki",2004,1235445
"5796",1005000,"Powiat łowicki",2004,1294216
"5797",1006000,"Powiat łódzki wschodni",2004,796878
"5798",1007000,"Powiat opoczyński",2004,1009831
"5799",1008000,"Powiat pabianicki",2004,3174590
"5800",1009000,"Powiat pajęczański",2004,329556
"5801",1010000,"Powiat piotrkowski",2004,547370
"5802",1011000,"Powiat poddębicki",2004,771759
"5803",1012000,"Powiat radomszczański",2004,2542570
"5804",1013000,"Powiat rawski",2004,1188271
"5805",1014000,"Powiat sieradzki",2004,3510153
