"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_80_m2_szt"
"7601",201000,"Powiat bolesławiecki",2015,34
"7602",202000,"Powiat dzierżoniowski",2015,14
"7603",203000,"Powiat głogowski",2015,22
"7604",204000,"Powiat górowski",2015,0
"7605",205000,"Powiat jaworski",2015,14
"7606",206000,"Powiat jeleniogórski",2015,31
"7607",207000,"Powiat kamiennogórski",2015,7
"7608",208000,"Powiat kłodzki",2015,27
"7609",209000,"Powiat legnicki",2015,12
"7610",210000,"Powiat lubański",2015,9
"7611",211000,"Powiat lubiński",2015,34
"7612",212000,"Powiat lwówecki",2015,0
"7613",213000,"Powiat milicki",2015,7
"7614",214000,"Powiat oleśnicki",2015,15
"7615",215000,"Powiat oławski",2015,12
"7616",216000,"Powiat polkowicki",2015,15
"7617",217000,"Powiat strzeliński",2015,8
"7618",218000,"Powiat średzki",2015,10
"7619",219000,"Powiat świdnicki",2015,81
"7620",220000,"Powiat trzebnicki",2015,26
"7621",221000,"Powiat wałbrzyski",2015,17
"7622",222000,"Powiat wołowski",2015,17
"7623",223000,"Powiat wrocławski",2015,159
"7624",224000,"Powiat ząbkowicki",2015,12
"7625",225000,"Powiat zgorzelecki",2015,4
"7626",226000,"Powiat złotoryjski",2015,8
"7627",261000,"Powiat m.Jelenia Góra",2015,105
"7628",262000,"Powiat m.Legnica",2015,75
"7629",264000,"Powiat m.Wrocław",2015,852
"7630",265000,"Powiat m.Wałbrzych od 2013",2015,22
"7631",401000,"Powiat aleksandrowski",2015,3
"7632",402000,"Powiat brodnicki",2015,9
"7633",403000,"Powiat bydgoski",2015,42
"7634",404000,"Powiat chełmiński",2015,6
"7635",405000,"Powiat golubsko-dobrzyński",2015,0
"7636",406000,"Powiat grudziądzki",2015,0
"7637",407000,"Powiat inowrocławski",2015,24
"7638",408000,"Powiat lipnowski",2015,0
"7639",409000,"Powiat mogileński",2015,4
"7640",410000,"Powiat nakielski",2015,6
"7641",411000,"Powiat radziejowski",2015,0
"7642",412000,"Powiat rypiński",2015,0
"7643",413000,"Powiat sępoleński",2015,0
"7644",414000,"Powiat świecki",2015,5
"7645",415000,"Powiat toruński",2015,3
"7646",416000,"Powiat tucholski",2015,0
"7647",417000,"Powiat wąbrzeski",2015,0
"7648",418000,"Powiat włocławski",2015,3
"7649",419000,"Powiat żniński",2015,0
"7650",461000,"Powiat m.Bydgoszcz",2015,146
"7651",462000,"Powiat m.Grudziądz",2015,22
"7652",463000,"Powiat m.Toruń",2015,44
"7653",464000,"Powiat m.Włocławek",2015,8
"7654",601000,"Powiat bialski",2015,0
"7655",602000,"Powiat biłgorajski",2015,0
"7656",603000,"Powiat chełmski",2015,0
"7657",604000,"Powiat hrubieszowski",2015,0
"7658",605000,"Powiat janowski",2015,0
"7659",606000,"Powiat krasnostawski",2015,0
"7660",607000,"Powiat kraśnicki",2015,3
"7661",608000,"Powiat lubartowski",2015,0
"7662",609000,"Powiat lubelski",2015,10
"7663",610000,"Powiat łęczyński",2015,4
"7664",611000,"Powiat łukowski",2015,3
"7665",612000,"Powiat opolski",2015,0
"7666",613000,"Powiat parczewski",2015,0
"7667",614000,"Powiat puławski",2015,3
"7668",615000,"Powiat radzyński",2015,0
"7669",616000,"Powiat rycki",2015,4
"7670",617000,"Powiat świdnicki",2015,0
"7671",618000,"Powiat tomaszowski",2015,5
"7672",619000,"Powiat włodawski",2015,0
"7673",620000,"Powiat zamojski",2015,0
"7674",661000,"Powiat m.Biała Podlaska",2015,4
"7675",662000,"Powiat m.Chełm",2015,4
"7676",663000,"Powiat m.Lublin",2015,185
"7677",664000,"Powiat m.Zamość",2015,10
"7678",801000,"Powiat gorzowski",2015,12
"7679",802000,"Powiat krośnieński",2015,8
"7680",803000,"Powiat międzyrzecki",2015,16
"7681",804000,"Powiat nowosolski",2015,14
"7682",805000,"Powiat słubicki",2015,18
"7683",806000,"Powiat strzelecko-drezdenecki",2015,15
"7684",807000,"Powiat sulęciński",2015,6
"7685",808000,"Powiat świebodziński",2015,6
"7686",809000,"Powiat zielonogórski",2015,8
"7687",810000,"Powiat żagański",2015,6
"7688",811000,"Powiat żarski",2015,22
"7689",812000,"Powiat wschowski",2015,5
"7690",861000,"Powiat m.Gorzów Wielkopolski",2015,65
"7691",862000,"Powiat m.Zielona Góra",2015,34
"7692",1001000,"Powiat bełchatowski",2015,4
"7693",1002000,"Powiat kutnowski",2015,0
