"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_szt"
"1",201000,"Powiat bolesławiecki",2015,310
"2",202000,"Powiat dzierżoniowski",2015,330
"3",203000,"Powiat głogowski",2015,391
"4",204000,"Powiat górowski",2015,13
"5",205000,"Powiat jaworski",2015,89
"6",206000,"Powiat jeleniogórski",2015,333
"7",207000,"Powiat kamiennogórski",2015,125
"8",208000,"Powiat kłodzki",2015,493
"9",209000,"Powiat legnicki",2015,95
"10",210000,"Powiat lubański",2015,163
"11",211000,"Powiat lubiński",2015,453
"12",212000,"Powiat lwówecki",2015,44
"13",213000,"Powiat milicki",2015,82
"14",214000,"Powiat oleśnicki",2015,273
"15",215000,"Powiat oławski",2015,278
"16",216000,"Powiat polkowicki",2015,205
"17",217000,"Powiat strzeliński",2015,113
"18",218000,"Powiat średzki",2015,81
"19",219000,"Powiat świdnicki",2015,764
"20",220000,"Powiat trzebnicki",2015,259
"21",221000,"Powiat wałbrzyski",2015,234
"22",222000,"Powiat wołowski",2015,216
"23",223000,"Powiat wrocławski",2015,901
"24",224000,"Powiat ząbkowicki",2015,101
"25",225000,"Powiat zgorzelecki",2015,33
"26",226000,"Powiat złotoryjski",2015,88
"27",261000,"Powiat m.Jelenia Góra",2015,676
"28",262000,"Powiat m.Legnica",2015,575
"29",264000,"Powiat m.Wrocław",2015,10190
"30",265000,"Powiat m.Wałbrzych od 2013",2015,615
"31",401000,"Powiat aleksandrowski",2015,96
"32",402000,"Powiat brodnicki",2015,274
"33",403000,"Powiat bydgoski",2015,216
"34",404000,"Powiat chełmiński",2015,100
"35",405000,"Powiat golubsko-dobrzyński",2015,72
"36",406000,"Powiat grudziądzki",2015,31
"37",407000,"Powiat inowrocławski",2015,622
"38",408000,"Powiat lipnowski",2015,51
"39",409000,"Powiat mogileński",2015,58
"40",410000,"Powiat nakielski",2015,128
"41",411000,"Powiat radziejowski",2015,21
"42",412000,"Powiat rypiński",2015,55
"43",413000,"Powiat sępoleński",2015,55
"44",414000,"Powiat świecki",2015,203
"45",415000,"Powiat toruński",2015,127
"46",416000,"Powiat tucholski",2015,30
"47",417000,"Powiat wąbrzeski",2015,58
"48",418000,"Powiat włocławski",2015,68
"49",419000,"Powiat żniński",2015,112
"50",461000,"Powiat m.Bydgoszcz",2015,2677
"51",462000,"Powiat m.Grudziądz",2015,448
"52",463000,"Powiat m.Toruń",2015,648
"53",464000,"Powiat m.Włocławek",2015,466
"54",601000,"Powiat bialski",2015,11
"55",602000,"Powiat biłgorajski",2015,37
"56",603000,"Powiat chełmski",2015,20
"57",604000,"Powiat hrubieszowski",2015,76
"58",605000,"Powiat janowski",2015,24
"59",606000,"Powiat krasnostawski",2015,56
"60",607000,"Powiat kraśnicki",2015,69
"61",608000,"Powiat lubartowski",2015,85
"62",609000,"Powiat lubelski",2015,94
"63",610000,"Powiat łęczyński",2015,32
"64",611000,"Powiat łukowski",2015,51
"65",612000,"Powiat opolski",2015,64
"66",613000,"Powiat parczewski",2015,49
"67",614000,"Powiat puławski",2015,272
"68",615000,"Powiat radzyński",2015,106
"69",616000,"Powiat rycki",2015,66
"70",617000,"Powiat świdnicki",2015,64
"71",618000,"Powiat tomaszowski",2015,74
"72",619000,"Powiat włodawski",2015,65
"73",620000,"Powiat zamojski",2015,14
"74",661000,"Powiat m.Biała Podlaska",2015,118
"75",662000,"Powiat m.Chełm",2015,218
"76",663000,"Powiat m.Lublin",2015,2466
"77",664000,"Powiat m.Zamość",2015,310
"78",801000,"Powiat gorzowski",2015,181
"79",802000,"Powiat krośnieński",2015,108
"80",803000,"Powiat międzyrzecki",2015,186
"81",804000,"Powiat nowosolski",2015,211
"82",805000,"Powiat słubicki",2015,270
"83",806000,"Powiat strzelecko-drezdenecki",2015,133
"84",807000,"Powiat sulęciński",2015,91
"85",808000,"Powiat świebodziński",2015,231
"86",809000,"Powiat zielonogórski",2015,145
"87",810000,"Powiat żagański",2015,94
"88",811000,"Powiat żarski",2015,379
"89",812000,"Powiat wschowski",2015,47
"90",861000,"Powiat m.Gorzów Wielkopolski",2015,1081
"91",862000,"Powiat m.Zielona Góra",2015,779
"92",1001000,"Powiat bełchatowski",2015,311
"93",1002000,"Powiat kutnowski",2015,24
"94",1003000,"Powiat łaski",2015,59
"95",1004000,"Powiat łęczycki",2015,37
"96",1005000,"Powiat łowicki",2015,70
"97",1006000,"Powiat łódzki wschodni",2015,39
"98",1007000,"Powiat opoczyński",2015,53
"99",1008000,"Powiat pabianicki",2015,199
"100",1009000,"Powiat pajęczański",2015,24
"101",1010000,"Powiat piotrkowski",2015,9
"102",1011000,"Powiat poddębicki",2015,91
"103",1012000,"Powiat radomszczański",2015,62
"104",1013000,"Powiat rawski",2015,49
"105",1014000,"Powiat sieradzki",2015,152
"106",1015000,"Powiat skierniewicki",2015,7
"107",1016000,"Powiat tomaszowski",2015,194
"108",1017000,"Powiat wieluński",2015,29
"109",1018000,"Powiat wieruszowski",2015,59
"110",1019000,"Powiat zduńskowolski",2015,88
"111",1020000,"Powiat zgierski",2015,341
"112",1021000,"Powiat brzeziński",2015,36
"113",1061000,"Powiat m.Łódź",2015,4830
"114",1062000,"Powiat m.Piotrków Trybunalski",2015,242
"115",1063000,"Powiat m.Skierniewice",2015,202
"116",1201000,"Powiat bocheński",2015,142
"117",1202000,"Powiat brzeski",2015,40
"118",1203000,"Powiat chrzanowski",2015,211
"119",1204000,"Powiat dąbrowski",2015,9
"120",1205000,"Powiat gorlicki",2015,71
"121",1206000,"Powiat krakowski",2015,240
"122",1207000,"Powiat limanowski",2015,46
"123",1208000,"Powiat miechowski",2015,34
"124",1209000,"Powiat myślenicki",2015,47
"125",1210000,"Powiat nowosądecki",2015,175
"126",1211000,"Powiat nowotarski",2015,89
"127",1212000,"Powiat olkuski",2015,193
"128",1213000,"Powiat oświęcimski",2015,283
"129",1214000,"Powiat proszowicki",2015,15
"130",1215000,"Powiat suski",2015,45
"131",1216000,"Powiat tarnowski",2015,0
"132",1217000,"Powiat tatrzański",2015,103
"133",1218000,"Powiat wadowicki",2015,116
