"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_60_do_80_m2_szt"
"15201",201000,"Powiat bolesławiecki",2015,0
"15202",202000,"Powiat dzierżoniowski",2015,6
"15203",203000,"Powiat głogowski",2015,13
"15204",204000,"Powiat górowski",2015,0
"15205",205000,"Powiat jaworski",2015,0
"15206",206000,"Powiat jeleniogórski",2015,37
"15207",207000,"Powiat kamiennogórski",2015,0
"15208",208000,"Powiat kłodzki",2015,7
"15209",209000,"Powiat legnicki",2015,7
"15210",210000,"Powiat lubański",2015,0
"15211",211000,"Powiat lubiński",2015,21
"15212",212000,"Powiat lwówecki",2015,0
"15213",213000,"Powiat milicki",2015,7
"15214",214000,"Powiat oleśnicki",2015,16
"15215",215000,"Powiat oławski",2015,25
"15216",216000,"Powiat polkowicki",2015,4
"15217",217000,"Powiat strzeliński",2015,4
"15218",218000,"Powiat średzki",2015,0
"15219",219000,"Powiat świdnicki",2015,40
"15220",220000,"Powiat trzebnicki",2015,13
"15221",221000,"Powiat wałbrzyski",2015,3
"15222",222000,"Powiat wołowski",2015,4
"15223",223000,"Powiat wrocławski",2015,239
"15224",224000,"Powiat ząbkowicki",2015,0
"15225",225000,"Powiat zgorzelecki",2015,0
"15226",226000,"Powiat złotoryjski",2015,0
"15227",261000,"Powiat m.Jelenia Góra",2015,24
"15228",262000,"Powiat m.Legnica",2015,25
"15229",264000,"Powiat m.Wrocław",2015,1040
"15230",265000,"Powiat m.Wałbrzych od 2013",2015,0
"15231",401000,"Powiat aleksandrowski",2015,0
"15232",402000,"Powiat brodnicki",2015,27
"15233",403000,"Powiat bydgoski",2015,30
"15234",404000,"Powiat chełmiński",2015,0
"15235",405000,"Powiat golubsko-dobrzyński",2015,0
"15236",406000,"Powiat grudziądzki",2015,0
"15237",407000,"Powiat inowrocławski",2015,24
"15238",408000,"Powiat lipnowski",2015,0
"15239",409000,"Powiat mogileński",2015,0
"15240",410000,"Powiat nakielski",2015,0
"15241",411000,"Powiat radziejowski",2015,0
"15242",412000,"Powiat rypiński",2015,0
"15243",413000,"Powiat sępoleński",2015,0
"15244",414000,"Powiat świecki",2015,23
"15245",415000,"Powiat toruński",2015,0
"15246",416000,"Powiat tucholski",2015,0
"15247",417000,"Powiat wąbrzeski",2015,0
"15248",418000,"Powiat włocławski",2015,3
"15249",419000,"Powiat żniński",2015,0
"15250",461000,"Powiat m.Bydgoszcz",2015,221
"15251",462000,"Powiat m.Grudziądz",2015,14
"15252",463000,"Powiat m.Toruń",2015,0
"15253",464000,"Powiat m.Włocławek",2015,29
"15254",601000,"Powiat bialski",2015,0
"15255",602000,"Powiat biłgorajski",2015,0
"15256",603000,"Powiat chełmski",2015,0
"15257",604000,"Powiat hrubieszowski",2015,0
"15258",605000,"Powiat janowski",2015,0
"15259",606000,"Powiat krasnostawski",2015,7
"15260",607000,"Powiat kraśnicki",2015,0
"15261",608000,"Powiat lubartowski",2015,0
"15262",609000,"Powiat lubelski",2015,0
"15263",610000,"Powiat łęczyński",2015,0
"15264",611000,"Powiat łukowski",2015,0
"15265",612000,"Powiat opolski",2015,0
"15266",613000,"Powiat parczewski",2015,0
"15267",614000,"Powiat puławski",2015,29
"15268",615000,"Powiat radzyński",2015,17
"15269",616000,"Powiat rycki",2015,0
"15270",617000,"Powiat świdnicki",2015,0
"15271",618000,"Powiat tomaszowski",2015,4
"15272",619000,"Powiat włodawski",2015,0
"15273",620000,"Powiat zamojski",2015,0
"15274",661000,"Powiat m.Biała Podlaska",2015,0
"15275",662000,"Powiat m.Chełm",2015,11
"15276",663000,"Powiat m.Lublin",2015,287
"15277",664000,"Powiat m.Zamość",2015,40
"15278",801000,"Powiat gorzowski",2015,0
"15279",802000,"Powiat krośnieński",2015,0
"15280",803000,"Powiat międzyrzecki",2015,0
"15281",804000,"Powiat nowosolski",2015,15
"15282",805000,"Powiat słubicki",2015,28
"15283",806000,"Powiat strzelecko-drezdenecki",2015,0
"15284",807000,"Powiat sulęciński",2015,0
"15285",808000,"Powiat świebodziński",2015,22
"15286",809000,"Powiat zielonogórski",2015,0
"15287",810000,"Powiat żagański",2015,0
"15288",811000,"Powiat żarski",2015,3
"15289",812000,"Powiat wschowski",2015,0
"15290",861000,"Powiat m.Gorzów Wielkopolski",2015,81
"15291",862000,"Powiat m.Zielona Góra",2015,86
"15292",1001000,"Powiat bełchatowski",2015,8
"15293",1002000,"Powiat kutnowski",2015,0
"15294",1003000,"Powiat łaski",2015,0
"15295",1004000,"Powiat łęczycki",2015,0
"15296",1005000,"Powiat łowicki",2015,5
"15297",1006000,"Powiat łódzki wschodni",2015,0
"15298",1007000,"Powiat opoczyński",2015,0
"15299",1008000,"Powiat pabianicki",2015,6
"15300",1009000,"Powiat pajęczański",2015,0
"15301",1010000,"Powiat piotrkowski",2015,0
"15302",1011000,"Powiat poddębicki",2015,11
"15303",1012000,"Powiat radomszczański",2015,0
"15304",1013000,"Powiat rawski",2015,0
"15305",1014000,"Powiat sieradzki",2015,9
"15306",1015000,"Powiat skierniewicki",2015,0
"15307",1016000,"Powiat tomaszowski",2015,4
"15308",1017000,"Powiat wieluński",2015,0
"15309",1018000,"Powiat wieruszowski",2015,11
"15310",1019000,"Powiat zduńskowolski",2015,0
"15311",1020000,"Powiat zgierski",2015,24
"15312",1021000,"Powiat brzeziński",2015,6
"15313",1061000,"Powiat m.Łódź",2015,421
"15314",1062000,"Powiat m.Piotrków Trybunalski",2015,27
"15315",1063000,"Powiat m.Skierniewice",2015,26
"15316",1201000,"Powiat bocheński",2015,12
"15317",1202000,"Powiat brzeski",2015,0
"15318",1203000,"Powiat chrzanowski",2015,3
"15319",1204000,"Powiat dąbrowski",2015,0
"15320",1205000,"Powiat gorlicki",2015,0
"15321",1206000,"Powiat krakowski",2015,13
"15322",1207000,"Powiat limanowski",2015,0
"15323",1208000,"Powiat miechowski",2015,0
"15324",1209000,"Powiat myślenicki",2015,0
"15325",1210000,"Powiat nowosądecki",2015,6
"15326",1211000,"Powiat nowotarski",2015,3
"15327",1212000,"Powiat olkuski",2015,0
"15328",1213000,"Powiat oświęcimski",2015,10
"15329",1214000,"Powiat proszowicki",2015,0
"15330",1215000,"Powiat suski",2015,0
"15331",1216000,"Powiat tarnowski",2015,0
"15332",1217000,"Powiat tatrzański",2015,16
"15333",1218000,"Powiat wadowicki",2015,0
"15334",1219000,"Powiat wielicki",2015,76
"15335",1261000,"Powiat m.Kraków",2015,1247
"15336",1262000,"Powiat m.Nowy Sącz",2015,6
"15337",1263000,"Powiat m.Tarnów",2015,9
"15338",1401000,"Powiat białobrzeski",2015,0
"15339",1402000,"Powiat ciechanowski",2015,5
"15340",1403000,"Powiat garwoliński",2015,0
"15341",1404000,"Powiat gostyniński",2015,0
"15342",1405000,"Powiat grodziski",2015,4
"15343",1406000,"Powiat grójecki",2015,0
"15344",1407000,"Powiat kozienicki",2015,0
"15345",1408000,"Powiat legionowski",2015,22
"15346",1409000,"Powiat lipski",2015,0
"15347",1410000,"Powiat łosicki",2015,0
"15348",1411000,"Powiat makowski",2015,0
"15349",1412000,"Powiat miński",2015,91
"15350",1413000,"Powiat mławski",2015,12
"15351",1414000,"Powiat nowodworski",2015,30
"15352",1415000,"Powiat ostrołęcki",2015,0
"15353",1416000,"Powiat ostrowski",2015,0
"15354",1417000,"Powiat otwocki",2015,7
"15355",1418000,"Powiat piaseczyński",2015,73
"15356",1419000,"Powiat płocki",2015,0
"15357",1420000,"Powiat płoński",2015,14
"15358",1421000,"Powiat pruszkowski",2015,94
"15359",1422000,"Powiat przasnyski",2015,21
"15360",1423000,"Powiat przysuski",2015,0
"15361",1424000,"Powiat pułtuski",2015,14
"15362",1425000,"Powiat radomski",2015,0
"15363",1426000,"Powiat siedlecki",2015,0
"15364",1427000,"Powiat sierpecki",2015,0
"15365",1428000,"Powiat sochaczewski",2015,0
"15366",1429000,"Powiat sokołowski",2015,11
