"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_ogolem_szt"
"9501",201000,"Powiat bolesławiecki",2015,7
"9502",202000,"Powiat dzierżoniowski",2015,21
"9503",203000,"Powiat głogowski",2015,87
"9504",204000,"Powiat górowski",2015,0
"9505",205000,"Powiat jaworski",2015,0
"9506",206000,"Powiat jeleniogórski",2015,147
"9507",207000,"Powiat kamiennogórski",2015,0
"9508",208000,"Powiat kłodzki",2015,79
"9509",209000,"Powiat legnicki",2015,15
"9510",210000,"Powiat lubański",2015,5
"9511",211000,"Powiat lubiński",2015,49
"9512",212000,"Powiat lwówecki",2015,0
"9513",213000,"Powiat milicki",2015,28
"9514",214000,"Powiat oleśnicki",2015,42
"9515",215000,"Powiat oławski",2015,128
"9516",216000,"Powiat polkowicki",2015,23
"9517",217000,"Powiat strzeliński",2015,34
"9518",218000,"Powiat średzki",2015,17
"9519",219000,"Powiat świdnicki",2015,109
"9520",220000,"Powiat trzebnicki",2015,67
"9521",221000,"Powiat wałbrzyski",2015,5
"9522",222000,"Powiat wołowski",2015,49
"9523",223000,"Powiat wrocławski",2015,613
"9524",224000,"Powiat ząbkowicki",2015,0
"9525",225000,"Powiat zgorzelecki",2015,0
"9526",226000,"Powiat złotoryjski",2015,0
"9527",261000,"Powiat m.Jelenia Góra",2015,104
"9528",262000,"Powiat m.Legnica",2015,77
"9529",264000,"Powiat m.Wrocław",2015,5029
"9530",265000,"Powiat m.Wałbrzych od 2013",2015,4
"9531",401000,"Powiat aleksandrowski",2015,7
"9532",402000,"Powiat brodnicki",2015,175
"9533",403000,"Powiat bydgoski",2015,102
"9534",404000,"Powiat chełmiński",2015,0
"9535",405000,"Powiat golubsko-dobrzyński",2015,21
"9536",406000,"Powiat grudziądzki",2015,0
"9537",407000,"Powiat inowrocławski",2015,123
"9538",408000,"Powiat lipnowski",2015,0
"9539",409000,"Powiat mogileński",2015,3
"9540",410000,"Powiat nakielski",2015,3
"9541",411000,"Powiat radziejowski",2015,0
"9542",412000,"Powiat rypiński",2015,0
"9543",413000,"Powiat sępoleński",2015,0
"9544",414000,"Powiat świecki",2015,42
"9545",415000,"Powiat toruński",2015,12
"9546",416000,"Powiat tucholski",2015,0
"9547",417000,"Powiat wąbrzeski",2015,0
"9548",418000,"Powiat włocławski",2015,23
"9549",419000,"Powiat żniński",2015,11
"9550",461000,"Powiat m.Bydgoszcz",2015,979
"9551",462000,"Powiat m.Grudziądz",2015,43
"9552",463000,"Powiat m.Toruń",2015,7
"9553",464000,"Powiat m.Włocławek",2015,136
"9554",601000,"Powiat bialski",2015,0
"9555",602000,"Powiat biłgorajski",2015,0
"9556",603000,"Powiat chełmski",2015,0
"9557",604000,"Powiat hrubieszowski",2015,3
"9558",605000,"Powiat janowski",2015,0
"9559",606000,"Powiat krasnostawski",2015,16
"9560",607000,"Powiat kraśnicki",2015,3
"9561",608000,"Powiat lubartowski",2015,0
"9562",609000,"Powiat lubelski",2015,36
"9563",610000,"Powiat łęczyński",2015,0
"9564",611000,"Powiat łukowski",2015,0
"9565",612000,"Powiat opolski",2015,12
"9566",613000,"Powiat parczewski",2015,11
"9567",614000,"Powiat puławski",2015,90
"9568",615000,"Powiat radzyński",2015,38
"9569",616000,"Powiat rycki",2015,0
"9570",617000,"Powiat świdnicki",2015,0
"9571",618000,"Powiat tomaszowski",2015,11
"9572",619000,"Powiat włodawski",2015,15
"9573",620000,"Powiat zamojski",2015,0
"9574",661000,"Powiat m.Biała Podlaska",2015,0
"9575",662000,"Powiat m.Chełm",2015,30
"9576",663000,"Powiat m.Lublin",2015,1248
"9577",664000,"Powiat m.Zamość",2015,131
"9578",801000,"Powiat gorzowski",2015,11
"9579",802000,"Powiat krośnieński",2015,0
"9580",803000,"Powiat międzyrzecki",2015,0
"9581",804000,"Powiat nowosolski",2015,36
"9582",805000,"Powiat słubicki",2015,51
"9583",806000,"Powiat strzelecko-drezdenecki",2015,17
"9584",807000,"Powiat sulęciński",2015,5
"9585",808000,"Powiat świebodziński",2015,65
"9586",809000,"Powiat zielonogórski",2015,0
"9587",810000,"Powiat żagański",2015,9
"9588",811000,"Powiat żarski",2015,22
"9589",812000,"Powiat wschowski",2015,0
"9590",861000,"Powiat m.Gorzów Wielkopolski",2015,404
"9591",862000,"Powiat m.Zielona Góra",2015,279
"9592",1001000,"Powiat bełchatowski",2015,25
"9593",1002000,"Powiat kutnowski",2015,0
"9594",1003000,"Powiat łaski",2015,0
"9595",1004000,"Powiat łęczycki",2015,0
"9596",1005000,"Powiat łowicki",2015,14
"9597",1006000,"Powiat łódzki wschodni",2015,0
"9598",1007000,"Powiat opoczyński",2015,0
"9599",1008000,"Powiat pabianicki",2015,33
"9600",1009000,"Powiat pajęczański",2015,10
"9601",1010000,"Powiat piotrkowski",2015,0
"9602",1011000,"Powiat poddębicki",2015,63
"9603",1012000,"Powiat radomszczański",2015,4
"9604",1013000,"Powiat rawski",2015,6
"9605",1014000,"Powiat sieradzki",2015,42
"9606",1015000,"Powiat skierniewicki",2015,0
"9607",1016000,"Powiat tomaszowski",2015,14
"9608",1017000,"Powiat wieluński",2015,0
"9609",1018000,"Powiat wieruszowski",2015,30
"9610",1019000,"Powiat zduńskowolski",2015,0
"9611",1020000,"Powiat zgierski",2015,90
"9612",1021000,"Powiat brzeziński",2015,17
"9613",1061000,"Powiat m.Łódź",2015,1475
"9614",1062000,"Powiat m.Piotrków Trybunalski",2015,57
"9615",1063000,"Powiat m.Skierniewice",2015,71
"9616",1201000,"Powiat bocheński",2015,68
"9617",1202000,"Powiat brzeski",2015,9
"9618",1203000,"Powiat chrzanowski",2015,6
"9619",1204000,"Powiat dąbrowski",2015,0
"9620",1205000,"Powiat gorlicki",2015,0
"9621",1206000,"Powiat krakowski",2015,103
"9622",1207000,"Powiat limanowski",2015,6
"9623",1208000,"Powiat miechowski",2015,7
"9624",1209000,"Powiat myślenicki",2015,0
"9625",1210000,"Powiat nowosądecki",2015,23
