"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_szt"
"20901",201000,"Powiat bolesławiecki",2015,65
"20902",202000,"Powiat dzierżoniowski",2015,115
"20903",203000,"Powiat głogowski",2015,82
"20904",204000,"Powiat górowski",2015,0
"20905",205000,"Powiat jaworski",2015,15
"20906",206000,"Powiat jeleniogórski",2015,50
"20907",207000,"Powiat kamiennogórski",2015,38
"20908",208000,"Powiat kłodzki",2015,114
"20909",209000,"Powiat legnicki",2015,20
"20910",210000,"Powiat lubański",2015,52
"20911",211000,"Powiat lubiński",2015,111
"20912",212000,"Powiat lwówecki",2015,13
"20913",213000,"Powiat milicki",2015,15
"20914",214000,"Powiat oleśnicki",2015,40
"20915",215000,"Powiat oławski",2015,36
"20916",216000,"Powiat polkowicki",2015,45
"20917",217000,"Powiat strzeliński",2015,27
"20918",218000,"Powiat średzki",2015,11
"20919",219000,"Powiat świdnicki",2015,158
"20920",220000,"Powiat trzebnicki",2015,40
"20921",221000,"Powiat wałbrzyski",2015,83
"20922",222000,"Powiat wołowski",2015,45
"20923",223000,"Powiat wrocławski",2015,63
"20924",224000,"Powiat ząbkowicki",2015,35
"20925",225000,"Powiat zgorzelecki",2015,5
"20926",226000,"Powiat złotoryjski",2015,32
"20927",261000,"Powiat m.Jelenia Góra",2015,133
"20928",262000,"Powiat m.Legnica",2015,102
"20929",264000,"Powiat m.Wrocław",2015,1178
"20930",265000,"Powiat m.Wałbrzych od 2013",2015,211
"20931",401000,"Powiat aleksandrowski",2015,34
"20932",402000,"Powiat brodnicki",2015,23
"20933",403000,"Powiat bydgoski",2015,28
"20934",404000,"Powiat chełmiński",2015,33
"20935",405000,"Powiat golubsko-dobrzyński",2015,16
"20936",406000,"Powiat grudziądzki",2015,8
"20937",407000,"Powiat inowrocławski",2015,173
"20938",408000,"Powiat lipnowski",2015,17
"20939",409000,"Powiat mogileński",2015,16
"20940",410000,"Powiat nakielski",2015,37
"20941",411000,"Powiat radziejowski",2015,10
"20942",412000,"Powiat rypiński",2015,17
"20943",413000,"Powiat sępoleński",2015,11
"20944",414000,"Powiat świecki",2015,51
"20945",415000,"Powiat toruński",2015,26
"20946",416000,"Powiat tucholski",2015,7
"20947",417000,"Powiat wąbrzeski",2015,15
"20948",418000,"Powiat włocławski",2015,18
"20949",419000,"Powiat żniński",2015,21
"20950",461000,"Powiat m.Bydgoszcz",2015,455
"20951",462000,"Powiat m.Grudziądz",2015,121
"20952",463000,"Powiat m.Toruń",2015,187
"20953",464000,"Powiat m.Włocławek",2015,114
"20954",601000,"Powiat bialski",2015,3
"20955",602000,"Powiat biłgorajski",2015,9
"20956",603000,"Powiat chełmski",2015,6
"20957",604000,"Powiat hrubieszowski",2015,26
"20958",605000,"Powiat janowski",2015,9
"20959",606000,"Powiat krasnostawski",2015,10
"20960",607000,"Powiat kraśnicki",2015,20
"20961",608000,"Powiat lubartowski",2015,18
"20962",609000,"Powiat lubelski",2015,14
"20963",610000,"Powiat łęczyński",2015,3
"20964",611000,"Powiat łukowski",2015,17
"20965",612000,"Powiat opolski",2015,21
"20966",613000,"Powiat parczewski",2015,8
"20967",614000,"Powiat puławski",2015,58
"20968",615000,"Powiat radzyński",2015,18
"20969",616000,"Powiat rycki",2015,22
"20970",617000,"Powiat świdnicki",2015,18
"20971",618000,"Powiat tomaszowski",2015,19
"20972",619000,"Powiat włodawski",2015,15
"20973",620000,"Powiat zamojski",2015,3
"20974",661000,"Powiat m.Biała Podlaska",2015,32
"20975",662000,"Powiat m.Chełm",2015,53
"20976",663000,"Powiat m.Lublin",2015,333
"20977",664000,"Powiat m.Zamość",2015,45
"20978",801000,"Powiat gorzowski",2015,42
"20979",802000,"Powiat krośnieński",2015,28
"20980",803000,"Powiat międzyrzecki",2015,42
"20981",804000,"Powiat nowosolski",2015,50
"20982",805000,"Powiat słubicki",2015,51
"20983",806000,"Powiat strzelecko-drezdenecki",2015,35
"20984",807000,"Powiat sulęciński",2015,17
"20985",808000,"Powiat świebodziński",2015,45
"20986",809000,"Powiat zielonogórski",2015,41
"20987",810000,"Powiat żagański",2015,28
"20988",811000,"Powiat żarski",2015,85
"20989",812000,"Powiat wschowski",2015,12
"20990",861000,"Powiat m.Gorzów Wielkopolski",2015,201
"20991",862000,"Powiat m.Zielona Góra",2015,157
"20992",1001000,"Powiat bełchatowski",2015,47
"20993",1002000,"Powiat kutnowski",2015,16
"20994",1003000,"Powiat łaski",2015,9
"20995",1004000,"Powiat łęczycki",2015,19
"20996",1005000,"Powiat łowicki",2015,18
"20997",1006000,"Powiat łódzki wschodni",2015,9
"20998",1007000,"Powiat opoczyński",2015,24
"20999",1008000,"Powiat pabianicki",2015,47
"21000",1009000,"Powiat pajęczański",2015,4
"21001",1010000,"Powiat piotrkowski",2015,4
"21002",1011000,"Powiat poddębicki",2015,7
"21003",1012000,"Powiat radomszczański",2015,18
"21004",1013000,"Powiat rawski",2015,11
"21005",1014000,"Powiat sieradzki",2015,33
"21006",1015000,"Powiat skierniewicki",2015,0
"21007",1016000,"Powiat tomaszowski",2015,47
"21008",1017000,"Powiat wieluński",2015,4
"21009",1018000,"Powiat wieruszowski",2015,8
"21010",1019000,"Powiat zduńskowolski",2015,30
"21011",1020000,"Powiat zgierski",2015,95
"21012",1021000,"Powiat brzeziński",2015,6
"21013",1061000,"Powiat m.Łódź",2015,1183
"21014",1062000,"Powiat m.Piotrków Trybunalski",2015,56
"21015",1063000,"Powiat m.Skierniewice",2015,39
"21016",1201000,"Powiat bocheński",2015,19
"21017",1202000,"Powiat brzeski",2015,7
"21018",1203000,"Powiat chrzanowski",2015,58
"21019",1204000,"Powiat dąbrowski",2015,4
"21020",1205000,"Powiat gorlicki",2015,22
"21021",1206000,"Powiat krakowski",2015,29
"21022",1207000,"Powiat limanowski",2015,7
"21023",1208000,"Powiat miechowski",2015,7
"21024",1209000,"Powiat myślenicki",2015,11
"21025",1210000,"Powiat nowosądecki",2015,48
"21026",1211000,"Powiat nowotarski",2015,23
"21027",1212000,"Powiat olkuski",2015,55
"21028",1213000,"Powiat oświęcimski",2015,87
"21029",1214000,"Powiat proszowicki",2015,4
"21030",1215000,"Powiat suski",2015,15
"21031",1216000,"Powiat tarnowski",2015,0
"21032",1217000,"Powiat tatrzański",2015,0
"21033",1218000,"Powiat wadowicki",2015,32
"21034",1219000,"Powiat wielicki",2015,20
"21035",1261000,"Powiat m.Kraków",2015,1393
"21036",1262000,"Powiat m.Nowy Sącz",2015,60
"21037",1263000,"Powiat m.Tarnów",2015,74
"21038",1401000,"Powiat białobrzeski",2015,0
"21039",1402000,"Powiat ciechanowski",2015,53
"21040",1403000,"Powiat garwoliński",2015,0
"21041",1404000,"Powiat gostyniński",2015,13
"21042",1405000,"Powiat grodziski",2015,34
"21043",1406000,"Powiat grójecki",2015,11
"21044",1407000,"Powiat kozienicki",2015,24
"21045",1408000,"Powiat legionowski",2015,46
"21046",1409000,"Powiat lipski",2015,0
"21047",1410000,"Powiat łosicki",2015,15
"21048",1411000,"Powiat makowski",2015,0
"21049",1412000,"Powiat miński",2015,19
"21050",1413000,"Powiat mławski",2015,30
"21051",1414000,"Powiat nowodworski",2015,47
"21052",1415000,"Powiat ostrołęcki",2015,0
"21053",1416000,"Powiat ostrowski",2015,16
"21054",1417000,"Powiat otwocki",2015,29
"21055",1418000,"Powiat piaseczyński",2015,115
"21056",1419000,"Powiat płocki",2015,10
"21057",1420000,"Powiat płoński",2015,23
"21058",1421000,"Powiat pruszkowski",2015,66
"21059",1422000,"Powiat przasnyski",2015,18
"21060",1423000,"Powiat przysuski",2015,0
"21061",1424000,"Powiat pułtuski",2015,14
"21062",1425000,"Powiat radomski",2015,12
"21063",1426000,"Powiat siedlecki",2015,3
"21064",1427000,"Powiat sierpecki",2015,9
"21065",1428000,"Powiat sochaczewski",2015,40
"21066",1429000,"Powiat sokołowski",2015,21
"21067",1430000,"Powiat szydłowiecki",2015,6
"21068",1432000,"Powiat warszawski zachodni",2015,32
"21069",1433000,"Powiat węgrowski",2015,5
"21070",1434000,"Powiat wołomiński",2015,94
"21071",1435000,"Powiat wyszkowski",2015,16
"21072",1436000,"Powiat zwoleński",2015,3
"21073",1437000,"Powiat żuromiński",2015,3
"21074",1438000,"Powiat żyrardowski",2015,60
"21075",1461000,"Powiat m.Ostrołęka",2015,33
"21076",1462000,"Powiat m.Płock",2015,134
"21077",1463000,"Powiat m.Radom",2015,46
"21078",1464000,"Powiat m.Siedlce",2015,72
"21079",1465000,"Powiat m. st. Warszawa",2015,3368
"21080",1601000,"Powiat brzeski",2015,57
"21081",1602000,"Powiat głubczycki",2015,20
"21082",1603000,"Powiat kędzierzyńsko-kozielski",2015,76
"21083",1604000,"Powiat kluczborski",2015,37
"21084",1605000,"Powiat krapkowicki",2015,28
"21085",1606000,"Powiat namysłowski",2015,25
"21086",1607000,"Powiat nyski",2015,64
"21087",1608000,"Powiat oleski",2015,12
"21088",1609000,"Powiat opolski",2015,27
"21089",1610000,"Powiat prudnicki",2015,31
"21090",1611000,"Powiat strzelecki",2015,26
"21091",1661000,"Powiat m.Opole",2015,148
"21092",1801000,"Powiat bieszczadzki",2015,14
"21093",1802000,"Powiat brzozowski",2015,5
"21094",1803000,"Powiat dębicki",2015,29
"21095",1804000,"Powiat jarosławski",2015,39
"21096",1805000,"Powiat jasielski",2015,18
"21097",1806000,"Powiat kolbuszowski",2015,0
"21098",1807000,"Powiat krośnieński",2015,0
"21099",1808000,"Powiat leżajski",2015,16
"21100",1809000,"Powiat lubaczowski",2015,10
