"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_40_do_60_m2_szt"
"22801",201000,"Powiat bolesławiecki",2015,117
"22802",202000,"Powiat dzierżoniowski",2015,134
"22803",203000,"Powiat głogowski",2015,124
"22804",204000,"Powiat górowski",2015,4
"22805",205000,"Powiat jaworski",2015,35
"22806",206000,"Powiat jeleniogórski",2015,73
"22807",207000,"Powiat kamiennogórski",2015,54
"22808",208000,"Powiat kłodzki",2015,183
"22809",209000,"Powiat legnicki",2015,32
"22810",210000,"Powiat lubański",2015,69
"22811",211000,"Powiat lubiński",2015,172
"22812",212000,"Powiat lwówecki",2015,18
"22813",213000,"Powiat milicki",2015,26
"22814",214000,"Powiat oleśnicki",2015,129
"22815",215000,"Powiat oławski",2015,82
"22816",216000,"Powiat polkowicki",2015,82
"22817",217000,"Powiat strzeliński",2015,30
"22818",218000,"Powiat średzki",2015,31
"22819",219000,"Powiat świdnicki",2015,299
"22820",220000,"Powiat trzebnicki",2015,78
"22821",221000,"Powiat wałbrzyski",2015,97
"22822",222000,"Powiat wołowski",2015,78
"22823",223000,"Powiat wrocławski",2015,98
"22824",224000,"Powiat ząbkowicki",2015,42
"22825",225000,"Powiat zgorzelecki",2015,17
"22826",226000,"Powiat złotoryjski",2015,30
"22827",261000,"Powiat m.Jelenia Góra",2015,248
"22828",262000,"Powiat m.Legnica",2015,189
"22829",264000,"Powiat m.Wrocław",2015,2402
"22830",265000,"Powiat m.Wałbrzych od 2013",2015,294
"22831",401000,"Powiat aleksandrowski",2015,40
"22832",402000,"Powiat brodnicki",2015,44
"22833",403000,"Powiat bydgoski",2015,52
"22834",404000,"Powiat chełmiński",2015,47
"22835",405000,"Powiat golubsko-dobrzyński",2015,22
"22836",406000,"Powiat grudziądzki",2015,16
"22837",407000,"Powiat inowrocławski",2015,215
"22838",408000,"Powiat lipnowski",2015,24
"22839",409000,"Powiat mogileński",2015,30
"22840",410000,"Powiat nakielski",2015,55
"22841",411000,"Powiat radziejowski",2015,8
"22842",412000,"Powiat rypiński",2015,21
"22843",413000,"Powiat sępoleński",2015,34
"22844",414000,"Powiat świecki",2015,84
"22845",415000,"Powiat toruński",2015,67
"22846",416000,"Powiat tucholski",2015,10
"22847",417000,"Powiat wąbrzeski",2015,32
"22848",418000,"Powiat włocławski",2015,18
"22849",419000,"Powiat żniński",2015,60
"22850",461000,"Powiat m.Bydgoszcz",2015,802
"22851",462000,"Powiat m.Grudziądz",2015,163
"22852",463000,"Powiat m.Toruń",2015,299
"22853",464000,"Powiat m.Włocławek",2015,150
"22854",601000,"Powiat bialski",2015,5
"22855",602000,"Powiat biłgorajski",2015,17
"22856",603000,"Powiat chełmski",2015,11
"22857",604000,"Powiat hrubieszowski",2015,31
"22858",605000,"Powiat janowski",2015,6
"22859",606000,"Powiat krasnostawski",2015,24
"22860",607000,"Powiat kraśnicki",2015,31
"22861",608000,"Powiat lubartowski",2015,51
"22862",609000,"Powiat lubelski",2015,24
"22863",610000,"Powiat łęczyński",2015,11
"22864",611000,"Powiat łukowski",2015,21
"22865",612000,"Powiat opolski",2015,24
"22866",613000,"Powiat parczewski",2015,21
"22867",614000,"Powiat puławski",2015,74
"22868",615000,"Powiat radzyński",2015,35
"22869",616000,"Powiat rycki",2015,31
"22870",617000,"Powiat świdnicki",2015,33
"22871",618000,"Powiat tomaszowski",2015,25
"22872",619000,"Powiat włodawski",2015,24
"22873",620000,"Powiat zamojski",2015,4
"22874",661000,"Powiat m.Biała Podlaska",2015,64
"22875",662000,"Powiat m.Chełm",2015,95
"22876",663000,"Powiat m.Lublin",2015,581
"22877",664000,"Powiat m.Zamość",2015,78
"22878",801000,"Powiat gorzowski",2015,67
"22879",802000,"Powiat krośnieński",2015,47
"22880",803000,"Powiat międzyrzecki",2015,91
"22881",804000,"Powiat nowosolski",2015,84
"22882",805000,"Powiat słubicki",2015,123
"22883",806000,"Powiat strzelecko-drezdenecki",2015,55
"22884",807000,"Powiat sulęciński",2015,35
"22885",808000,"Powiat świebodziński",2015,79
"22886",809000,"Powiat zielonogórski",2015,65
"22887",810000,"Powiat żagański",2015,39
"22888",811000,"Powiat żarski",2015,171
"22889",812000,"Powiat wschowski",2015,18
"22890",861000,"Powiat m.Gorzów Wielkopolski",2015,298
"22891",862000,"Powiat m.Zielona Góra",2015,220
"22892",1001000,"Powiat bełchatowski",2015,120
"22893",1002000,"Powiat kutnowski",2015,7
"22894",1003000,"Powiat łaski",2015,38
"22895",1004000,"Powiat łęczycki",2015,15
"22896",1005000,"Powiat łowicki",2015,27
"22897",1006000,"Powiat łódzki wschodni",2015,19
"22898",1007000,"Powiat opoczyński",2015,22
"22899",1008000,"Powiat pabianicki",2015,78
"22900",1009000,"Powiat pajęczański",2015,7
"22901",1010000,"Powiat piotrkowski",2015,4
"22902",1011000,"Powiat poddębicki",2015,18
"22903",1012000,"Powiat radomszczański",2015,22
"22904",1013000,"Powiat rawski",2015,25
"22905",1014000,"Powiat sieradzki",2015,49
