"","Kod","Nazwa","rok","Liczba_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_80_m2_szt"
"26601",201000,"Powiat bolesławiecki",2015,32
"26602",202000,"Powiat dzierżoniowski",2015,14
"26603",203000,"Powiat głogowski",2015,18
"26604",204000,"Powiat górowski",2015,0
"26605",205000,"Powiat jaworski",2015,14
"26606",206000,"Powiat jeleniogórski",2015,29
"26607",207000,"Powiat kamiennogórski",2015,7
"26608",208000,"Powiat kłodzki",2015,26
"26609",209000,"Powiat legnicki",2015,9
"26610",210000,"Powiat lubański",2015,9
"26611",211000,"Powiat lubiński",2015,22
"26612",212000,"Powiat lwówecki",2015,0
"26613",213000,"Powiat milicki",2015,6
"26614",214000,"Powiat oleśnicki",2015,11
"26615",215000,"Powiat oławski",2015,8
"26616",216000,"Powiat polkowicki",2015,14
"26617",217000,"Powiat strzeliński",2015,8
"26618",218000,"Powiat średzki",2015,7
"26619",219000,"Powiat świdnicki",2015,65
"26620",220000,"Powiat trzebnicki",2015,23
"26621",221000,"Powiat wałbrzyski",2015,16
"26622",222000,"Powiat wołowski",2015,11
"26623",223000,"Powiat wrocławski",2015,59
"26624",224000,"Powiat ząbkowicki",2015,12
"26625",225000,"Powiat zgorzelecki",2015,4
"26626",226000,"Powiat złotoryjski",2015,8
"26627",261000,"Powiat m.Jelenia Góra",2015,98
"26628",262000,"Powiat m.Legnica",2015,69
"26629",264000,"Powiat m.Wrocław",2015,464
"26630",265000,"Powiat m.Wałbrzych od 2013",2015,22
"26631",401000,"Powiat aleksandrowski",2015,3
"26632",402000,"Powiat brodnicki",2015,5
"26633",403000,"Powiat bydgoski",2015,8
"26634",404000,"Powiat chełmiński",2015,6
"26635",405000,"Powiat golubsko-dobrzyński",2015,0
"26636",406000,"Powiat grudziądzki",2015,0
"26637",407000,"Powiat inowrocławski",2015,13
"26638",408000,"Powiat lipnowski",2015,0
"26639",409000,"Powiat mogileński",2015,4
"26640",410000,"Powiat nakielski",2015,6
"26641",411000,"Powiat radziejowski",2015,0
"26642",412000,"Powiat rypiński",2015,0
"26643",413000,"Powiat sępoleński",2015,0
"26644",414000,"Powiat świecki",2015,0
"26645",415000,"Powiat toruński",2015,0
"26646",416000,"Powiat tucholski",2015,0
"26647",417000,"Powiat wąbrzeski",2015,0
"26648",418000,"Powiat włocławski",2015,0
"26649",419000,"Powiat żniński",2015,0
"26650",461000,"Powiat m.Bydgoszcz",2015,85
"26651",462000,"Powiat m.Grudziądz",2015,21
"26652",463000,"Powiat m.Toruń",2015,43
"26653",464000,"Powiat m.Włocławek",2015,8
"26654",601000,"Powiat bialski",2015,0
"26655",602000,"Powiat biłgorajski",2015,0
"26656",603000,"Powiat chełmski",2015,0
"26657",604000,"Powiat hrubieszowski",2015,0
"26658",605000,"Powiat janowski",2015,0
"26659",606000,"Powiat krasnostawski",2015,0
"26660",607000,"Powiat kraśnicki",2015,3
"26661",608000,"Powiat lubartowski",2015,0
"26662",609000,"Powiat lubelski",2015,8
"26663",610000,"Powiat łęczyński",2015,4
"26664",611000,"Powiat łukowski",2015,3
"26665",612000,"Powiat opolski",2015,0
"26666",613000,"Powiat parczewski",2015,0
"26667",614000,"Powiat puławski",2015,0
"26668",615000,"Powiat radzyński",2015,0
"26669",616000,"Powiat rycki",2015,4
"26670",617000,"Powiat świdnicki",2015,0
"26671",618000,"Powiat tomaszowski",2015,3
"26672",619000,"Powiat włodawski",2015,0
"26673",620000,"Powiat zamojski",2015,0
"26674",661000,"Powiat m.Biała Podlaska",2015,3
"26675",662000,"Powiat m.Chełm",2015,3
"26676",663000,"Powiat m.Lublin",2015,77
"26677",664000,"Powiat m.Zamość",2015,5
"26678",801000,"Powiat gorzowski",2015,11
"26679",802000,"Powiat krośnieński",2015,7
"26680",803000,"Powiat międzyrzecki",2015,16
"26681",804000,"Powiat nowosolski",2015,13
"26682",805000,"Powiat słubicki",2015,16
"26683",806000,"Powiat strzelecko-drezdenecki",2015,10
"26684",807000,"Powiat sulęciński",2015,6
"26685",808000,"Powiat świebodziński",2015,5
"26686",809000,"Powiat zielonogórski",2015,6
"26687",810000,"Powiat żagański",2015,4
"26688",811000,"Powiat żarski",2015,20
"26689",812000,"Powiat wschowski",2015,5
"26690",861000,"Powiat m.Gorzów Wielkopolski",2015,53
"26691",862000,"Powiat m.Zielona Góra",2015,23
"26692",1001000,"Powiat bełchatowski",2015,3
"26693",1002000,"Powiat kutnowski",2015,0
"26694",1003000,"Powiat łaski",2015,0
"26695",1004000,"Powiat łęczycki",2015,0
"26696",1005000,"Powiat łowicki",2015,0
"26697",1006000,"Powiat łódzki wschodni",2015,0
"26698",1007000,"Powiat opoczyński",2015,0
"26699",1008000,"Powiat pabianicki",2015,7
"26700",1009000,"Powiat pajęczański",2015,0
"26701",1010000,"Powiat piotrkowski",2015,0
"26702",1011000,"Powiat poddębicki",2015,0
"26703",1012000,"Powiat radomszczański",2015,0
"26704",1013000,"Powiat rawski",2015,0
"26705",1014000,"Powiat sieradzki",2015,4
"26706",1015000,"Powiat skierniewicki",2015,0
"26707",1016000,"Powiat tomaszowski",2015,0
"26708",1017000,"Powiat wieluński",2015,0
"26709",1018000,"Powiat wieruszowski",2015,5
"26710",1019000,"Powiat zduńskowolski",2015,0
"26711",1020000,"Powiat zgierski",2015,4
"26712",1021000,"Powiat brzeziński",2015,0
"26713",1061000,"Powiat m.Łódź",2015,205
"26714",1062000,"Powiat m.Piotrków Trybunalski",2015,7
"26715",1063000,"Powiat m.Skierniewice",2015,3
"26716",1201000,"Powiat bocheński",2015,0
"26717",1202000,"Powiat brzeski",2015,3
"26718",1203000,"Powiat chrzanowski",2015,5
"26719",1204000,"Powiat dąbrowski",2015,0
"26720",1205000,"Powiat gorlicki",2015,0
"26721",1206000,"Powiat krakowski",2015,24
"26722",1207000,"Powiat limanowski",2015,0
"26723",1208000,"Powiat miechowski",2015,0
"26724",1209000,"Powiat myślenicki",2015,7
"26725",1210000,"Powiat nowosądecki",2015,18
"26726",1211000,"Powiat nowotarski",2015,3
"26727",1212000,"Powiat olkuski",2015,0
"26728",1213000,"Powiat oświęcimski",2015,8
"26729",1214000,"Powiat proszowicki",2015,0
"26730",1215000,"Powiat suski",2015,0
"26731",1216000,"Powiat tarnowski",2015,0
"26732",1217000,"Powiat tatrzański",2015,0
"26733",1218000,"Powiat wadowicki",2015,10
"26734",1219000,"Powiat wielicki",2015,10
"26735",1261000,"Powiat m.Kraków",2015,279
"26736",1262000,"Powiat m.Nowy Sącz",2015,15
"26737",1263000,"Powiat m.Tarnów",2015,16
"26738",1401000,"Powiat białobrzeski",2015,0
"26739",1402000,"Powiat ciechanowski",2015,8
"26740",1403000,"Powiat garwoliński",2015,0
"26741",1404000,"Powiat gostyniński",2015,0
"26742",1405000,"Powiat grodziski",2015,20
"26743",1406000,"Powiat grójecki",2015,0
"26744",1407000,"Powiat kozienicki",2015,0
"26745",1408000,"Powiat legionowski",2015,9
"26746",1409000,"Powiat lipski",2015,0
"26747",1410000,"Powiat łosicki",2015,0
"26748",1411000,"Powiat makowski",2015,0
"26749",1412000,"Powiat miński",2015,6
"26750",1413000,"Powiat mławski",2015,6
"26751",1414000,"Powiat nowodworski",2015,11
"26752",1415000,"Powiat ostrołęcki",2015,0
"26753",1416000,"Powiat ostrowski",2015,0
"26754",1417000,"Powiat otwocki",2015,6
"26755",1418000,"Powiat piaseczyński",2015,59
"26756",1419000,"Powiat płocki",2015,0
"26757",1420000,"Powiat płoński",2015,3
"26758",1421000,"Powiat pruszkowski",2015,34
"26759",1422000,"Powiat przasnyski",2015,0
"26760",1423000,"Powiat przysuski",2015,0
"26761",1424000,"Powiat pułtuski",2015,0
"26762",1425000,"Powiat radomski",2015,0
"26763",1426000,"Powiat siedlecki",2015,0
"26764",1427000,"Powiat sierpecki",2015,3
"26765",1428000,"Powiat sochaczewski",2015,5
"26766",1429000,"Powiat sokołowski",2015,0
"26767",1430000,"Powiat szydłowiecki",2015,0
"26768",1432000,"Powiat warszawski zachodni",2015,43
"26769",1433000,"Powiat węgrowski",2015,0
"26770",1434000,"Powiat wołomiński",2015,73
"26771",1435000,"Powiat wyszkowski",2015,0
"26772",1436000,"Powiat zwoleński",2015,0
"26773",1437000,"Powiat żuromiński",2015,0
"26774",1438000,"Powiat żyrardowski",2015,4
"26775",1461000,"Powiat m.Ostrołęka",2015,0
"26776",1462000,"Powiat m.Płock",2015,9
"26777",1463000,"Powiat m.Radom",2015,17
"26778",1464000,"Powiat m.Siedlce",2015,8
"26779",1465000,"Powiat m. st. Warszawa",2015,1363
"26780",1601000,"Powiat brzeski",2015,26
"26781",1602000,"Powiat głubczycki",2015,6
"26782",1603000,"Powiat kędzierzyńsko-kozielski",2015,14
"26783",1604000,"Powiat kluczborski",2015,14
"26784",1605000,"Powiat krapkowicki",2015,11
"26785",1606000,"Powiat namysłowski",2015,6
"26786",1607000,"Powiat nyski",2015,19
"26787",1608000,"Powiat oleski",2015,0
"26788",1609000,"Powiat opolski",2015,9
"26789",1610000,"Powiat prudnicki",2015,3
"26790",1611000,"Powiat strzelecki",2015,8
"26791",1661000,"Powiat m.Opole",2015,53
"26792",1801000,"Powiat bieszczadzki",2015,0
"26793",1802000,"Powiat brzozowski",2015,0
"26794",1803000,"Powiat dębicki",2015,0
"26795",1804000,"Powiat jarosławski",2015,23
"26796",1805000,"Powiat jasielski",2015,4
"26797",1806000,"Powiat kolbuszowski",2015,0
"26798",1807000,"Powiat krośnieński",2015,0
"26799",1808000,"Powiat leżajski",2015,0
"26800",1809000,"Powiat lubaczowski",2015,0
"26801",1810000,"Powiat łańcucki",2015,3
"26802",1811000,"Powiat mielecki",2015,4
"26803",1812000,"Powiat niżański",2015,0
"26804",1813000,"Powiat przemyski",2015,0
"26805",1814000,"Powiat przeworski",2015,0
"26806",1815000,"Powiat ropczycko-sędziszowski",2015,0
"26807",1816000,"Powiat rzeszowski",2015,5
"26808",1817000,"Powiat sanocki",2015,3
"26809",1818000,"Powiat stalowowolski",2015,3
"26810",1819000,"Powiat strzyżowski",2015,3
"26811",1820000,"Powiat tarnobrzeski",2015,3
"26812",1821000,"Powiat leski",2015,3
"26813",1861000,"Powiat m.Krosno",2015,3
"26814",1862000,"Powiat m.Przemyśl",2015,8
"26815",1863000,"Powiat m.Rzeszów",2015,34
"26816",1864000,"Powiat m.Tarnobrzeg",2015,0
"26817",2001000,"Powiat augustowski",2015,4
"26818",2002000,"Powiat białostocki",2015,3
"26819",2003000,"Powiat bielski",2015,0
"26820",2004000,"Powiat grajewski",2015,0
"26821",2005000,"Powiat hajnowski",2015,0
"26822",2006000,"Powiat kolneński",2015,0
"26823",2007000,"Powiat łomżyński",2015,0
"26824",2008000,"Powiat moniecki",2015,0
"26825",2009000,"Powiat sejneński",2015,0
"26826",2010000,"Powiat siemiatycki",2015,0
"26827",2011000,"Powiat sokólski",2015,0
"26828",2012000,"Powiat suwalski",2015,0
"26829",2013000,"Powiat wysokomazowiecki",2015,0
"26830",2014000,"Powiat zambrowski",2015,0
"26831",2061000,"Powiat m.Białystok",2015,48
"26832",2062000,"Powiat m.Łomża",2015,0
"26833",2063000,"Powiat m.Suwałki",2015,3
"26834",2201000,"Powiat bytowski",2015,8
"26835",2202000,"Powiat chojnicki",2015,8
"26836",2203000,"Powiat człuchowski",2015,8
"26837",2204000,"Powiat gdański",2015,14
"26838",2205000,"Powiat kartuski",2015,13
"26839",2206000,"Powiat kościerski",2015,0
"26840",2207000,"Powiat kwidzyński",2015,16
"26841",2208000,"Powiat lęborski",2015,24
"26842",2209000,"Powiat malborski",2015,11
"26843",2210000,"Powiat nowodworski",2015,0
"26844",2211000,"Powiat pucki",2015,17
"26845",2212000,"Powiat słupski",2015,7
"26846",2213000,"Powiat starogardzki",2015,9
"26847",2214000,"Powiat tczewski",2015,25
"26848",2215000,"Powiat wejherowski",2015,30
"26849",2216000,"Powiat sztumski",2015,0
"26850",2261000,"Powiat m.Gdańsk",2015,197
"26851",2262000,"Powiat m.Gdynia",2015,116
"26852",2263000,"Powiat m.Słupsk",2015,54
"26853",2264000,"Powiat m.Sopot",2015,78
"26854",2401000,"Powiat będziński",2015,7
"26855",2402000,"Powiat bielski",2015,26
"26856",2403000,"Powiat cieszyński",2015,29
"26857",2404000,"Powiat częstochowski",2015,0
"26858",2405000,"Powiat gliwicki",2015,14
"26859",2406000,"Powiat kłobucki",2015,0
"26860",2407000,"Powiat lubliniecki",2015,3
"26861",2408000,"Powiat mikołowski",2015,7
"26862",2409000,"Powiat myszkowski",2015,0
"26863",2410000,"Powiat pszczyński",2015,9
"26864",2411000,"Powiat raciborski",2015,30
"26865",2412000,"Powiat rybnicki",2015,0
"26866",2413000,"Powiat tarnogórski",2015,18
"26867",2414000,"Powiat bieruńsko-lędziński",2015,0
"26868",2415000,"Powiat wodzisławski",2015,0
"26869",2416000,"Powiat zawierciański",2015,0
"26870",2417000,"Powiat żywiecki",2015,3
"26871",2461000,"Powiat m.Bielsko-Biała",2015,58
"26872",2462000,"Powiat m.Bytom",2015,79
"26873",2463000,"Powiat m.Chorzów",2015,28
"26874",2464000,"Powiat m.Częstochowa",2015,18
"26875",2465000,"Powiat m.Dąbrowa Górnicza",2015,5
"26876",2466000,"Powiat m.Gliwice",2015,95
"26877",2467000,"Powiat m.Jastrzębie-Zdrój",2015,5
"26878",2468000,"Powiat m.Jaworzno",2015,5
"26879",2469000,"Powiat m.Katowice",2015,78
"26880",2470000,"Powiat m.Mysłowice",2015,17
"26881",2471000,"Powiat m.Piekary Śląskie",2015,7
"26882",2472000,"Powiat m.Ruda Śląska",2015,8
"26883",2473000,"Powiat m.Rybnik",2015,9
"26884",2474000,"Powiat m.Siemianowice Śląskie",2015,13
"26885",2475000,"Powiat m.Sosnowiec",2015,16
"26886",2476000,"Powiat m.Świętochłowice",2015,5
"26887",2477000,"Powiat m.Tychy",2015,23
"26888",2478000,"Powiat m.Zabrze",2015,33
"26889",2479000,"Powiat m.Żory",2015,6
"26890",2601000,"Powiat buski",2015,0
"26891",2602000,"Powiat jędrzejowski",2015,4
"26892",2603000,"Powiat kazimierski",2015,0
"26893",2604000,"Powiat kielecki",2015,0
"26894",2605000,"Powiat konecki",2015,0
"26895",2606000,"Powiat opatowski",2015,0
"26896",2607000,"Powiat ostrowiecki",2015,0
"26897",2608000,"Powiat pińczowski",2015,0
"26898",2609000,"Powiat sandomierski",2015,0
"26899",2610000,"Powiat skarżyski",2015,6
"26900",2611000,"Powiat starachowicki",2015,3
"26901",2612000,"Powiat staszowski",2015,0
"26902",2613000,"Powiat włoszczowski",2015,0
"26903",2661000,"Powiat m.Kielce",2015,44
"26904",2801000,"Powiat bartoszycki",2015,7
"26905",2802000,"Powiat braniewski",2015,4
"26906",2803000,"Powiat działdowski",2015,4
"26907",2804000,"Powiat elbląski",2015,4
"26908",2805000,"Powiat ełcki",2015,15
"26909",2806000,"Powiat giżycki",2015,10
"26910",2807000,"Powiat iławski",2015,6
"26911",2808000,"Powiat kętrzyński",2015,7
"26912",2809000,"Powiat lidzbarski",2015,0
"26913",2810000,"Powiat mrągowski",2015,0
"26914",2811000,"Powiat nidzicki",2015,0
"26915",2812000,"Powiat nowomiejski",2015,0
"26916",2813000,"Powiat olecki",2015,5
"26917",2814000,"Powiat olsztyński",2015,15
"26918",2815000,"Powiat ostródzki",2015,15
"26919",2816000,"Powiat piski",2015,3
"26920",2817000,"Powiat szczycieński",2015,0
"26921",2818000,"Powiat gołdapski",2015,4
"26922",2819000,"Powiat węgorzewski",2015,0
"26923",2861000,"Powiat m.Elbląg",2015,33
"26924",2862000,"Powiat m.Olsztyn",2015,49
"26925",3001000,"Powiat chodzieski",2015,5
"26926",3002000,"Powiat czarnkowsko-trzcianecki",2015,10
"26927",3003000,"Powiat gnieźnieński",2015,8
"26928",3004000,"Powiat gostyński",2015,6
"26929",3005000,"Powiat grodziski",2015,0
"26930",3006000,"Powiat jarociński",2015,0
"26931",3007000,"Powiat kaliski",2015,3
"26932",3008000,"Powiat kępiński",2015,0
"26933",3009000,"Powiat kolski",2015,3
"26934",3010000,"Powiat koniński",2015,6
"26935",3011000,"Powiat kościański",2015,5
"26936",3012000,"Powiat krotoszyński",2015,21
"26937",3013000,"Powiat leszczyński",2015,3
"26938",3014000,"Powiat międzychodzki",2015,7
"26939",3015000,"Powiat nowotomyski",2015,13
"26940",3016000,"Powiat obornicki",2015,4
"26941",3017000,"Powiat ostrowski",2015,13
"26942",3018000,"Powiat ostrzeszowski",2015,4
"26943",3019000,"Powiat pilski",2015,21
"26944",3020000,"Powiat pleszewski",2015,9
"26945",3021000,"Powiat poznański",2015,211
"26946",3022000,"Powiat rawicki",2015,5
"26947",3023000,"Powiat słupecki",2015,0
"26948",3024000,"Powiat szamotulski",2015,4
"26949",3025000,"Powiat średzki",2015,6
"26950",3026000,"Powiat śremski",2015,5
"26951",3027000,"Powiat turecki",2015,0
"26952",3028000,"Powiat wągrowiecki",2015,7
"26953",3029000,"Powiat wolsztyński",2015,3
"26954",3030000,"Powiat wrzesiński",2015,9
"26955",3031000,"Powiat złotowski",2015,10
"26956",3061000,"Powiat m.Kalisz",2015,19
