"","Kod","Nazwa","rok","Liczba_ludnosci_na_1_miejsce_w_kinach_stalych_ogolem_osoba"
"1",201000,"Powiat bolesławiecki",2002,109
"2",202000,"Powiat dzierżoniowski",2002,152
"3",203000,"Powiat głogowski",2002,174
"4",204000,"Powiat górowski",2002,0
"5",205000,"Powiat jaworski",2002,105
"6",206000,"Powiat jeleniogórski",2002,104
"7",207000,"Powiat kamiennogórski",2002,135
"8",208000,"Powiat kłodzki",2002,107
"9",209000,"Powiat legnicki",2002,0
"10",210000,"Powiat lubański",2002,87
"11",211000,"Powiat lubiński",2002,262
"12",212000,"Powiat lwówecki",2002,162
"13",213000,"Powiat milicki",2002,0
"14",214000,"Powiat oleśnicki",2002,382
"15",215000,"Powiat oławski",2002,116
"16",216000,"Powiat polkowicki",2002,206
"17",217000,"Powiat strzeliński",2002,0
"18",218000,"Powiat średzki",2002,0
"19",219000,"Powiat świdnicki",2002,119
"20",220000,"Powiat trzebnicki",2002,111
"21",221000,"Powiat wałbrzyski",2002,113
"22",222000,"Powiat wołowski",2002,0
"23",223000,"Powiat wrocławski",2002,0
"24",224000,"Powiat ząbkowicki",2002,176
"25",225000,"Powiat zgorzelecki",2002,116
"26",226000,"Powiat złotoryjski",2002,124
"27",261000,"Powiat m.Jelenia Góra",2002,71
"28",262000,"Powiat m.Legnica",2002,147
"29",263000,"Powiat m.Wałbrzych do 2002",2002,145
"30",264000,"Powiat m.Wrocław",2002,88
"31",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"32",401000,"Powiat aleksandrowski",2002,158
"33",402000,"Powiat brodnicki",2002,344
"34",403000,"Powiat bydgoski",2002,312
"35",404000,"Powiat chełmiński",2002,0
"36",405000,"Powiat golubsko-dobrzyński",2002,177
"37",406000,"Powiat grudziądzki",2002,0
"38",407000,"Powiat inowrocławski",2002,438
"39",408000,"Powiat lipnowski",2002,266
"40",409000,"Powiat mogileński",2002,174
"41",410000,"Powiat nakielski",2002,146
"42",411000,"Powiat radziejowski",2002,252
"43",412000,"Powiat rypiński",2002,131
"44",413000,"Powiat sępoleński",2002,72
"45",414000,"Powiat świecki",2002,256
"46",415000,"Powiat toruński",2002,0
"47",416000,"Powiat tucholski",2002,0
"48",417000,"Powiat wąbrzeski",2002,105
"49",418000,"Powiat włocławski",2002,0
"50",419000,"Powiat żniński",2002,184
"51",461000,"Powiat m.Bydgoszcz",2002,85
"52",462000,"Powiat m.Grudziądz",2002,145
"53",463000,"Powiat m.Toruń",2002,184
"54",464000,"Powiat m.Włocławek",2002,346
"55",601000,"Powiat bialski",2002,223
"56",602000,"Powiat biłgorajski",2002,345
"57",603000,"Powiat chełmski",2002,0
"58",604000,"Powiat hrubieszowski",2002,177
"59",605000,"Powiat janowski",2002,209
"60",606000,"Powiat krasnostawski",2002,368
"61",607000,"Powiat kraśnicki",2002,203
"62",608000,"Powiat lubartowski",2002,466
"63",609000,"Powiat lubelski",2002,577
"64",610000,"Powiat łęczyński",2002,0
"65",611000,"Powiat łukowski",2002,513
"66",612000,"Powiat opolski",2002,154
"67",613000,"Powiat parczewski",2002,0
"68",614000,"Powiat puławski",2002,90
"69",615000,"Powiat radzyński",2002,311
"70",616000,"Powiat rycki",2002,82
"71",617000,"Powiat świdnicki",2002,108
"72",618000,"Powiat tomaszowski",2002,265
"73",619000,"Powiat włodawski",2002,136
"74",620000,"Powiat zamojski",2002,689
"75",661000,"Powiat m.Biała Podlaska",2002,162
"76",662000,"Powiat m.Chełm",2002,324
"77",663000,"Powiat m.Lublin",2002,143
"78",664000,"Powiat m.Zamość",2002,94
"79",801000,"Powiat gorzowski",2002,0
"80",802000,"Powiat krośnieński",2002,0
"81",803000,"Powiat międzyrzecki",2002,109
"82",804000,"Powiat nowosolski",2002,192
"83",805000,"Powiat słubicki",2002,129
"84",806000,"Powiat strzelecko-drezdenecki",2002,306
"85",807000,"Powiat sulęciński",2002,63
"86",808000,"Powiat świebodziński",2002,102
"87",809000,"Powiat zielonogórski",2002,521
"88",810000,"Powiat żagański",2002,390
"89",811000,"Powiat żarski",2002,159
"90",812000,"Powiat wschowski",2002,199
"91",861000,"Powiat m.Gorzów Wielkopolski",2002,115
"92",862000,"Powiat m.Zielona Góra",2002,123
"93",1001000,"Powiat bełchatowski",2002,464
"94",1002000,"Powiat kutnowski",2002,269
"95",1003000,"Powiat łaski",2002,0
"96",1004000,"Powiat łęczycki",2002,146
"97",1005000,"Powiat łowicki",2002,246
"98",1006000,"Powiat łódzki wschodni",2002,502
"99",1007000,"Powiat opoczyński",2002,209
"100",1008000,"Powiat pabianicki",2002,343
"101",1009000,"Powiat pajęczański",2002,140
"102",1010000,"Powiat piotrkowski",2002,258
