"","Kod","Nazwa","rok","Lozka_w_szpitalach_ogolnych_wskazniki_loZka_w_szpitalach_ogolnych"
"1",201000,"Powiat bolesławiecki",2005,223
"2",202000,"Powiat dzierżoniowski",2005,311
"3",203000,"Powiat głogowski",2005,283
"4",204000,"Powiat górowski",2005,120
"5",205000,"Powiat jaworski",2005,101
"6",206000,"Powiat jeleniogórski",2005,825
"7",207000,"Powiat kamiennogórski",2005,462
"8",208000,"Powiat kłodzki",2005,841
"9",210000,"Powiat lubański",2005,294
"10",211000,"Powiat lubiński",2005,626
"11",212000,"Powiat lwówecki",2005,273
"12",213000,"Powiat milicki",2005,188
"13",214000,"Powiat oleśnicki",2005,342
"14",215000,"Powiat oławski",2005,241
"15",217000,"Powiat strzeliński",2005,105
"16",218000,"Powiat średzki",2005,147
"17",219000,"Powiat świdnicki",2005,441
"18",220000,"Powiat trzebnicki",2005,506
"19",221000,"Powiat wałbrzyski",2005,833
"20",222000,"Powiat wołowski",2005,157
"21",223000,"Powiat wrocławski",2005,0
"22",224000,"Powiat ząbkowicki",2005,90
"23",225000,"Powiat zgorzelecki",2005,517
"24",226000,"Powiat złotoryjski",2005,260
"25",261000,"Powiat m.Jelenia Góra",2005,464
"26",262000,"Powiat m.Legnica",2005,556
"27",264000,"Powiat m.Wrocław",2005,4940
"28",265000,"Powiat m.Wałbrzych od 2013",2005,NA
"29",401000,"Powiat aleksandrowski",2005,206
"30",402000,"Powiat brodnicki",2005,156
"31",403000,"Powiat bydgoski",2005,0
"32",404000,"Powiat chełmiński",2005,165
"33",405000,"Powiat golubsko-dobrzyński",2005,205
"34",406000,"Powiat grudziądzki",2005,77
"35",407000,"Powiat inowrocławski",2005,519
"36",408000,"Powiat lipnowski",2005,386
"37",409000,"Powiat mogileński",2005,189
"38",410000,"Powiat nakielski",2005,272
"39",411000,"Powiat radziejowski",2005,263
"40",412000,"Powiat rypiński",2005,153
"41",413000,"Powiat sępoleński",2005,139
"42",414000,"Powiat świecki",2005,278
"43",415000,"Powiat toruński",2005,122
"44",416000,"Powiat tucholski",2005,121
"45",417000,"Powiat wąbrzeski",2005,127
"46",419000,"Powiat żniński",2005,155
"47",461000,"Powiat m.Bydgoszcz",2005,2917
"48",462000,"Powiat m.Grudziądz",2005,622
"49",463000,"Powiat m.Toruń",2005,1219
"50",464000,"Powiat m.Włocławek",2005,724
"51",601000,"Powiat bialski",2005,120
"52",602000,"Powiat biłgorajski",2005,399
"53",603000,"Powiat chełmski",2005,0
"54",604000,"Powiat hrubieszowski",2005,375
"55",605000,"Powiat janowski",2005,266
"56",606000,"Powiat krasnostawski",2005,365
"57",607000,"Powiat kraśnicki",2005,326
"58",608000,"Powiat lubartowski",2005,304
"59",609000,"Powiat lubelski",2005,192
"60",610000,"Powiat łęczyński",2005,52
"61",611000,"Powiat łukowski",2005,501
"62",612000,"Powiat opolski",2005,330
"63",613000,"Powiat parczewski",2005,230
"64",614000,"Powiat puławski",2005,587
"65",615000,"Powiat radzyński",2005,254
"66",616000,"Powiat rycki",2005,100
"67",617000,"Powiat świdnicki",2005,235
"68",618000,"Powiat tomaszowski",2005,458
"69",619000,"Powiat włodawski",2005,241
"70",620000,"Powiat zamojski",2005,64
"71",661000,"Powiat m.Biała Podlaska",2005,609
"72",662000,"Powiat m.Chełm",2005,629
"73",663000,"Powiat m.Lublin",2005,3700
"74",664000,"Powiat m.Zamość",2005,735
"75",801000,"Powiat gorzowski",2005,171
"76",802000,"Powiat krośnieński",2005,155
"77",803000,"Powiat międzyrzecki",2005,212
"78",804000,"Powiat nowosolski",2005,407
"79",805000,"Powiat słubicki",2005,114
"80",806000,"Powiat strzelecko-drezdenecki",2005,123
"81",807000,"Powiat sulęciński",2005,363
"82",808000,"Powiat świebodziński",2005,268
"83",809000,"Powiat zielonogórski",2005,202
"84",810000,"Powiat żagański",2005,224
"85",811000,"Powiat żarski",2005,198
"86",812000,"Powiat wschowski",2005,102
"87",861000,"Powiat m.Gorzów Wielkopolski",2005,1047
"88",862000,"Powiat m.Zielona Góra",2005,743
"89",1001000,"Powiat bełchatowski",2005,838
"90",1002000,"Powiat kutnowski",2005,397
"91",1003000,"Powiat łaski",2005,345
"92",1004000,"Powiat łęczycki",2005,243
"93",1005000,"Powiat łowicki",2005,206
"94",1006000,"Powiat łódzki wschodni",2005,524
"95",1007000,"Powiat opoczyński",2005,238
"96",1008000,"Powiat pabianicki",2005,588
"97",1009000,"Powiat pajęczański",2005,68
"98",1010000,"Powiat piotrkowski",2005,0
"99",1011000,"Powiat poddębicki",2005,125
"100",1012000,"Powiat radomszczański",2005,326
"101",1013000,"Powiat rawski",2005,185
"102",1014000,"Powiat sieradzki",2005,793
"103",1016000,"Powiat tomaszowski",2005,414
"104",1017000,"Powiat wieluński",2005,352
"105",1018000,"Powiat wieruszowski",2005,82
"106",1019000,"Powiat zduńskowolski",2005,193
"107",1020000,"Powiat zgierski",2005,878
"108",1021000,"Powiat brzeziński",2005,167
"109",1061000,"Powiat m.Łódź",2005,5874
"110",1062000,"Powiat m.Piotrków Trybunalski",2005,523
"111",1063000,"Powiat m.Skierniewice",2005,354
"112",1201000,"Powiat bocheński",2005,230
"113",1202000,"Powiat brzeski",2005,391
"114",1203000,"Powiat chrzanowski",2005,510
"115",1204000,"Powiat dąbrowski",2005,255
"116",1205000,"Powiat gorlicki",2005,512
"117",1206000,"Powiat krakowski",2005,282
"118",1207000,"Powiat limanowski",2005,361
"119",1208000,"Powiat miechowski",2005,324
"120",1209000,"Powiat myślenicki",2005,325
"121",1210000,"Powiat nowosądecki",2005,189
"122",1211000,"Powiat nowotarski",2005,636
"123",1212000,"Powiat olkuski",2005,507
"124",1213000,"Powiat oświęcimski",2005,506
"125",1214000,"Powiat proszowicki",2005,274
"126",1215000,"Powiat suski",2005,464
"127",1216000,"Powiat tarnowski",2005,92
"128",1217000,"Powiat tatrzański",2005,684
"129",1218000,"Powiat wadowicki",2005,279
"130",1219000,"Powiat wielicki",2005,5
"131",1261000,"Powiat m.Kraków",2005,5528
"132",1262000,"Powiat m.Nowy Sącz",2005,528
"133",1263000,"Powiat m.Tarnów",2005,1018
"134",1402000,"Powiat ciechanowski",2005,717
"135",1403000,"Powiat garwoliński",2005,206
"136",1404000,"Powiat gostyniński",2005,318
"137",1405000,"Powiat grodziski",2005,272
"138",1406000,"Powiat grójecki",2005,370
"139",1407000,"Powiat kozienicki",2005,402
"140",1408000,"Powiat legionowski",2005,14
"141",1409000,"Powiat lipski",2005,281
"142",1410000,"Powiat łosicki",2005,116
"143",1411000,"Powiat makowski",2005,244
"144",1412000,"Powiat miński",2005,409
"145",1413000,"Powiat mławski",2005,156
"146",1414000,"Powiat nowodworski",2005,145
"147",1416000,"Powiat ostrowski",2005,212
"148",1417000,"Powiat otwocki",2005,1082
"149",1418000,"Powiat piaseczyński",2005,803
"150",1420000,"Powiat płoński",2005,233
"151",1421000,"Powiat pruszkowski",2005,258
"152",1422000,"Powiat przasnyski",2005,258
"153",1423000,"Powiat przysuski",2005,73
"154",1424000,"Powiat pułtuski",2005,147
"155",1425000,"Powiat radomski",2005,231
"156",1427000,"Powiat sierpecki",2005,173
"157",1428000,"Powiat sochaczewski",2005,346
"158",1429000,"Powiat sokołowski",2005,260
"159",1432000,"Powiat warszawski zachodni",2005,150
"160",1433000,"Powiat węgrowski",2005,177
"161",1434000,"Powiat wołomiński",2005,365
"162",1435000,"Powiat wyszkowski",2005,215
"163",1436000,"Powiat zwoleński",2005,45
"164",1437000,"Powiat żuromiński",2005,144
"165",1438000,"Powiat żyrardowski",2005,319
"166",1461000,"Powiat m.Ostrołęka",2005,449
"167",1462000,"Powiat m.Płock",2005,1058
"168",1463000,"Powiat m.Radom",2005,1420
"169",1464000,"Powiat m.Siedlce",2005,757
"170",1465000,"Powiat m. st. Warszawa",2005,10691
"171",1601000,"Powiat brzeski",2005,255
"172",1602000,"Powiat głubczycki",2005,140
"173",1603000,"Powiat kędzierzyńsko-kozielski",2005,345
"174",1604000,"Powiat kluczborski",2005,104
"175",1605000,"Powiat krapkowicki",2005,150
"176",1606000,"Powiat namysłowski",2005,196
"177",1607000,"Powiat nyski",2005,877
"178",1608000,"Powiat oleski",2005,221
"179",1609000,"Powiat opolski",2005,290
"180",1610000,"Powiat prudnicki",2005,182
"181",1611000,"Powiat strzelecki",2005,188
"182",1661000,"Powiat m.Opole",2005,1217
"183",1801000,"Powiat bieszczadzki",2005,132
"184",1802000,"Powiat brzozowski",2005,353
"185",1803000,"Powiat dębicki",2005,578
"186",1804000,"Powiat jarosławski",2005,306
"187",1805000,"Powiat jasielski",2005,376
"188",1806000,"Powiat kolbuszowski",2005,201
"189",1808000,"Powiat leżajski",2005,385
"190",1809000,"Powiat lubaczowski",2005,203
"191",1810000,"Powiat łańcucki",2005,279
"192",1811000,"Powiat mielecki",2005,487
"193",1812000,"Powiat niżański",2005,206
"194",1813000,"Powiat przemyski",2005,0
"195",1814000,"Powiat przeworski",2005,301
"196",1815000,"Powiat ropczycko-sędziszowski",2005,55
"197",1816000,"Powiat rzeszowski",2005,80
"198",1817000,"Powiat sanocki",2005,381
"199",1818000,"Powiat stalowowolski",2005,578
"200",1819000,"Powiat strzyżowski",2005,112
"201",1820000,"Powiat tarnobrzeski",2005,259
"202",1821000,"Powiat leski",2005,148
"203",1861000,"Powiat m.Krosno",2005,659
"204",1862000,"Powiat m.Przemyśl",2005,668
"205",1863000,"Powiat m.Rzeszów",2005,1820
"206",1864000,"Powiat m.Tarnobrzeg",2005,303
"207",2001000,"Powiat augustowski",2005,203
"208",2002000,"Powiat białostocki",2005,147
"209",2003000,"Powiat bielski",2005,218
"210",2004000,"Powiat grajewski",2005,279
"211",2005000,"Powiat hajnowski",2005,322
"212",2006000,"Powiat kolneński",2005,148
"213",2008000,"Powiat moniecki",2005,248
"214",2009000,"Powiat sejneński",2005,85
"215",2010000,"Powiat siemiatycki",2005,146
"216",2011000,"Powiat sokólski",2005,364
"217",2013000,"Powiat wysokomazowiecki",2005,196
"218",2014000,"Powiat zambrowski",2005,104
"219",2061000,"Powiat m.Białystok",2005,2497
"220",2062000,"Powiat m.Łomża",2005,582
"221",2063000,"Powiat m.Suwałki",2005,570
"222",2201000,"Powiat bytowski",2005,241
"223",2202000,"Powiat chojnicki",2005,364
"224",2203000,"Powiat człuchowski",2005,133
"225",2205000,"Powiat kartuski",2005,392
"226",2206000,"Powiat kościerski",2005,370
"227",2207000,"Powiat kwidzyński",2005,340
"228",2208000,"Powiat lęborski",2005,227
"229",2209000,"Powiat malborski",2005,152
"230",2210000,"Powiat nowodworski",2005,152
"231",2211000,"Powiat pucki",2005,137
"232",2213000,"Powiat starogardzki",2005,267
"233",2214000,"Powiat tczewski",2005,224
"234",2215000,"Powiat wejherowski",2005,518
"235",2216000,"Powiat sztumski",2005,238
"236",2261000,"Powiat m.Gdańsk",2005,3040
"237",2262000,"Powiat m.Gdynia",2005,906
"238",2263000,"Powiat m.Słupsk",2005,616
"239",2264000,"Powiat m.Sopot",2005,235
"240",2401000,"Powiat będziński",2005,602
"241",2402000,"Powiat bielski",2005,691
"242",2403000,"Powiat cieszyński",2005,1512
"243",2404000,"Powiat częstochowski",2005,176
"244",2405000,"Powiat gliwicki",2005,553
"245",2406000,"Powiat kłobucki",2005,134
"246",2407000,"Powiat lubliniecki",2005,405
"247",2408000,"Powiat mikołowski",2005,429
"248",2409000,"Powiat myszkowski",2005,230
"249",2410000,"Powiat pszczyński",2005,485
"250",2411000,"Powiat raciborski",2005,342
"251",2413000,"Powiat tarnogórski",2005,1244
"252",2414000,"Powiat bieruńsko-lędziński",2005,42
"253",2415000,"Powiat wodzisławski",2005,917
"254",2416000,"Powiat zawierciański",2005,409
"255",2417000,"Powiat żywiecki",2005,385
"256",2461000,"Powiat m.Bielsko-Biała",2005,1129
"257",2462000,"Powiat m.Bytom",2005,1645
"258",2463000,"Powiat m.Chorzów",2005,953
"259",2464000,"Powiat m.Częstochowa",2005,1691
"260",2465000,"Powiat m.Dąbrowa Górnicza",2005,501
"261",2466000,"Powiat m.Gliwice",2005,931
"262",2467000,"Powiat m.Jastrzębie-Zdrój",2005,709
"263",2468000,"Powiat m.Jaworzno",2005,343
"264",2469000,"Powiat m.Katowice",2005,3533
"265",2470000,"Powiat m.Mysłowice",2005,301
"266",2471000,"Powiat m.Piekary Śląskie",2005,419
"267",2472000,"Powiat m.Ruda Śląska",2005,592
"268",2473000,"Powiat m.Rybnik",2005,697
"269",2474000,"Powiat m.Siemianowice Śląskie",2005,278
"270",2475000,"Powiat m.Sosnowiec",2005,1803
"271",2476000,"Powiat m.Świętochłowice",2005,338
"272",2477000,"Powiat m.Tychy",2005,826
"273",2478000,"Powiat m.Zabrze",2005,1368
"274",2479000,"Powiat m.Żory",2005,151
"275",2601000,"Powiat buski",2005,450
"276",2602000,"Powiat jędrzejowski",2005,190
"277",2603000,"Powiat kazimierski",2005,57
"278",2604000,"Powiat kielecki",2005,472
"279",2605000,"Powiat konecki",2005,549
"280",2606000,"Powiat opatowski",2005,129
"281",2607000,"Powiat ostrowiecki",2005,472
"282",2608000,"Powiat pińczowski",2005,139
"283",2609000,"Powiat sandomierski",2005,449
"284",2610000,"Powiat skarżyski",2005,367
"285",2611000,"Powiat starachowicki",2005,386
"286",2612000,"Powiat staszowski",2005,331
"287",2613000,"Powiat włoszczowski",2005,306
"288",2661000,"Powiat m.Kielce",2005,1481
"289",2801000,"Powiat bartoszycki",2005,327
"290",2802000,"Powiat braniewski",2005,92
"291",2803000,"Powiat działdowski",2005,376
"292",2804000,"Powiat elbląski",2005,95
"293",2805000,"Powiat ełcki",2005,272
