"","Kod","Nazwa","rok","Ludnosc_wg_grup_wieku_i_plci_ogolem_ogolem_osoba"
"1",201000,"Powiat bolesławiecki",1995,89407
"2",202000,"Powiat dzierżoniowski",1995,113810
"3",203000,"Powiat głogowski",1995,91373
"4",204000,"Powiat górowski",1995,37826
"5",205000,"Powiat jaworski",1995,54914
"6",206000,"Powiat jeleniogórski",1995,67683
"7",207000,"Powiat kamiennogórski",1995,49586
"8",208000,"Powiat kłodzki",1995,182667
"9",209000,"Powiat legnicki",1995,54642
"10",210000,"Powiat lubański",1995,60394
"11",211000,"Powiat lubiński",1995,110669
"12",212000,"Powiat lwówecki",1995,51874
"13",213000,"Powiat milicki",1995,36882
"14",214000,"Powiat oleśnicki",1995,104129
"15",215000,"Powiat oławski",1995,71634
"16",216000,"Powiat polkowicki",1995,60907
"17",217000,"Powiat strzeliński",1995,46265
"18",218000,"Powiat średzki",1995,49154
"19",219000,"Powiat świdnicki",1995,168730
"20",220000,"Powiat trzebnicki",1995,75025
"21",221000,"Powiat wałbrzyski",1995,63152
"22",222000,"Powiat wołowski",1995,49743
"23",223000,"Powiat wrocławski",1995,91894
"24",224000,"Powiat ząbkowicki",1995,74046
"25",225000,"Powiat zgorzelecki",1995,101267
"26",226000,"Powiat złotoryjski",1995,48017
"27",261000,"Powiat m.Jelenia Góra",1995,93460
"28",262000,"Powiat m.Legnica",1995,107935
"29",263000,"Powiat m.Wałbrzych do 2002",1995,139219
"30",264000,"Powiat m.Wrocław",1995,641974
"31",265000,"Powiat m.Wałbrzych od 2013",1995,NA
"32",401000,"Powiat aleksandrowski",1995,56650
"33",402000,"Powiat brodnicki",1995,75319
"34",403000,"Powiat bydgoski",1995,82476
"35",404000,"Powiat chełmiński",1995,53069
"36",405000,"Powiat golubsko-dobrzyński",1995,45145
"37",406000,"Powiat grudziądzki",1995,39315
"38",407000,"Powiat inowrocławski",1995,169626
"39",408000,"Powiat lipnowski",1995,68524
"40",409000,"Powiat mogileński",1995,47557
"41",410000,"Powiat nakielski",1995,84324
"42",411000,"Powiat radziejowski",1995,44838
"43",412000,"Powiat rypiński",1995,45879
"44",413000,"Powiat sępoleński",1995,41869
"45",414000,"Powiat świecki",1995,99484
"46",415000,"Powiat toruński",1995,79897
"47",416000,"Powiat tucholski",1995,47463
"48",417000,"Powiat wąbrzeski",1995,35827
"49",418000,"Powiat włocławski",1995,87716
"50",419000,"Powiat żniński",1995,71152
"51",461000,"Powiat m.Bydgoszcz",1995,386056
"52",462000,"Powiat m.Grudziądz",1995,102997
"53",463000,"Powiat m.Toruń",1995,204660
"54",464000,"Powiat m.Włocławek",1995,123134
"55",601000,"Powiat bialski",1995,118985
"56",602000,"Powiat biłgorajski",1995,105960
"57",603000,"Powiat chełmski",1995,78068
"58",604000,"Powiat hrubieszowski",1995,77011
"59",605000,"Powiat janowski",1995,50625
"60",606000,"Powiat krasnostawski",1995,83310
"61",607000,"Powiat kraśnicki",1995,103853
"62",608000,"Powiat lubartowski",1995,93552
"63",609000,"Powiat lubelski",1995,134232
"64",610000,"Powiat łęczyński",1995,57027
"65",611000,"Powiat łukowski",1995,111136
"66",612000,"Powiat opolski",1995,66749
"67",613000,"Powiat parczewski",1995,39535
"68",614000,"Powiat puławski",1995,123498
"69",615000,"Powiat radzyński",1995,64500
"70",616000,"Powiat rycki",1995,64179
"71",617000,"Powiat świdnicki",1995,73695
"72",618000,"Powiat tomaszowski",1995,94133
"73",619000,"Powiat włodawski",1995,43289
"74",620000,"Powiat zamojski",1995,114326
"75",661000,"Powiat m.Biała Podlaska",1995,56453
"76",662000,"Powiat m.Chełm",1995,69426
"77",663000,"Powiat m.Lublin",1995,354552
"78",664000,"Powiat m.Zamość",1995,66534
"79",801000,"Powiat gorzowski",1995,61635
"80",802000,"Powiat krośnieński",1995,59879
"81",803000,"Powiat międzyrzecki",1995,60889
"82",804000,"Powiat nowosolski",1995,127225
"83",805000,"Powiat słubicki",1995,46772
"84",806000,"Powiat strzelecko-drezdenecki",1995,51234
"85",807000,"Powiat sulęciński",1995,35667
"86",808000,"Powiat świebodziński",1995,57723
"87",809000,"Powiat zielonogórski",1995,84827
"88",810000,"Powiat żagański",1995,85412
"89",811000,"Powiat żarski",1995,102220
"90",812000,"Powiat wschowski",1995,NA
"91",861000,"Powiat m.Gorzów Wielkopolski",1995,124779
"92",862000,"Powiat m.Zielona Góra",1995,116329
"93",1001000,"Powiat bełchatowski",1995,109986
"94",1002000,"Powiat kutnowski",1995,113264
"95",1003000,"Powiat łaski",1995,53023
"96",1004000,"Powiat łęczycki",1995,58567
"97",1005000,"Powiat łowicki",1995,87164
"98",1006000,"Powiat łódzki wschodni",1995,92235
"99",1007000,"Powiat opoczyński",1995,80721
"100",1008000,"Powiat pabianicki",1995,121636
"101",1009000,"Powiat pajęczański",1995,55779
"102",1010000,"Powiat piotrkowski",1995,93407
"103",1011000,"Powiat poddębicki",1995,45561
"104",1012000,"Powiat radomszczański",1995,124350
"105",1013000,"Powiat rawski",1995,51841
"106",1014000,"Powiat sieradzki",1995,125478
"107",1015000,"Powiat skierniewicki",1995,39811
"108",1016000,"Powiat tomaszowski",1995,126629
"109",1017000,"Powiat wieluński",1995,81609
"110",1018000,"Powiat wieruszowski",1995,43153
"111",1019000,"Powiat zduńskowolski",1995,69288
"112",1020000,"Powiat zgierski",1995,161763
"113",1021000,"Powiat brzeziński",1995,NA
"114",1061000,"Powiat m.Łódź",1995,823215
"115",1062000,"Powiat m.Piotrków Trybunalski",1995,81218
"116",1063000,"Powiat m.Skierniewice",1995,48063
"117",1201000,"Powiat bocheński",1995,96318
"118",1202000,"Powiat brzeski",1995,88000
"119",1203000,"Powiat chrzanowski",1995,131551
"120",1204000,"Powiat dąbrowski",1995,58341
"121",1205000,"Powiat gorlicki",1995,107057
