"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_do_40_m2_zl"
"1901",201000,"Powiat bolesławiecki",2015,2515
"1902",202000,"Powiat dzierżoniowski",2015,1689
"1903",203000,"Powiat głogowski",2015,3220
"1904",204000,"Powiat górowski",2015,0
"1905",205000,"Powiat jaworski",2015,2000
"1906",206000,"Powiat jeleniogórski",2015,3552
"1907",207000,"Powiat kamiennogórski",2015,1407
"1908",208000,"Powiat kłodzki",2015,2576
"1909",209000,"Powiat legnicki",2015,1997
"1910",210000,"Powiat lubański",2015,1766
"1911",211000,"Powiat lubiński",2015,2903
"1912",212000,"Powiat lwówecki",2015,1296
"1913",213000,"Powiat milicki",2015,2356
"1914",214000,"Powiat oleśnicki",2015,2941
"1915",215000,"Powiat oławski",2015,3297
"1916",216000,"Powiat polkowicki",2015,2563
"1917",217000,"Powiat strzeliński",2015,3414
"1918",218000,"Powiat średzki",2015,3729
"1919",219000,"Powiat świdnicki",2015,2415
"1920",220000,"Powiat trzebnicki",2015,3500
"1921",221000,"Powiat wałbrzyski",2015,1202
"1922",222000,"Powiat wołowski",2015,2100
"1923",223000,"Powiat wrocławski",2015,4351
"1924",224000,"Powiat ząbkowicki",2015,1466
"1925",225000,"Powiat zgorzelecki",2015,1284
"1926",226000,"Powiat złotoryjski",2015,2387
"1927",261000,"Powiat m.Jelenia Góra",2015,2618
"1928",262000,"Powiat m.Legnica",2015,2793
"1929",264000,"Powiat m.Wrocław",2015,5645
"1930",265000,"Powiat m.Wałbrzych od 2013",2015,1887
"1931",401000,"Powiat aleksandrowski",2015,3383
"1932",402000,"Powiat brodnicki",2015,3002
"1933",403000,"Powiat bydgoski",2015,3541
"1934",404000,"Powiat chełmiński",2015,2786
"1935",405000,"Powiat golubsko-dobrzyński",2015,1888
"1936",406000,"Powiat grudziądzki",2015,996
"1937",407000,"Powiat inowrocławski",2015,2895
"1938",408000,"Powiat lipnowski",2015,1111
"1939",409000,"Powiat mogileński",2015,2180
"1940",410000,"Powiat nakielski",2015,2127
"1941",411000,"Powiat radziejowski",2015,1778
"1942",412000,"Powiat rypiński",2015,1643
"1943",413000,"Powiat sępoleński",2015,980
"1944",414000,"Powiat świecki",2015,2479
"1945",415000,"Powiat toruński",2015,2038
"1946",416000,"Powiat tucholski",2015,2339
"1947",417000,"Powiat wąbrzeski",2015,2030
"1948",418000,"Powiat włocławski",2015,1061
"1949",419000,"Powiat żniński",2015,2362
"1950",461000,"Powiat m.Bydgoszcz",2015,3838
"1951",462000,"Powiat m.Grudziądz",2015,2497
"1952",463000,"Powiat m.Toruń",2015,4005
"1953",464000,"Powiat m.Włocławek",2015,2535
"1954",601000,"Powiat bialski",2015,2051
"1955",602000,"Powiat biłgorajski",2015,3026
"1956",603000,"Powiat chełmski",2015,1753
"1957",604000,"Powiat hrubieszowski",2015,2121
"1958",605000,"Powiat janowski",2015,2266
"1959",606000,"Powiat krasnostawski",2015,2769
"1960",607000,"Powiat kraśnicki",2015,2347
"1961",608000,"Powiat lubartowski",2015,3114
"1962",609000,"Powiat lubelski",2015,3243
"1963",610000,"Powiat łęczyński",2015,2357
"1964",611000,"Powiat łukowski",2015,3125
"1965",612000,"Powiat opolski",2015,2508
"1966",613000,"Powiat parczewski",2015,2295
"1967",614000,"Powiat puławski",2015,3567
"1968",615000,"Powiat radzyński",2015,2904
"1969",616000,"Powiat rycki",2015,2191
"1970",617000,"Powiat świdnicki",2015,3714
"1971",618000,"Powiat tomaszowski",2015,3090
"1972",619000,"Powiat włodawski",2015,2160
"1973",620000,"Powiat zamojski",2015,1379
"1974",661000,"Powiat m.Biała Podlaska",2015,2881
"1975",662000,"Powiat m.Chełm",2015,2576
"1976",663000,"Powiat m.Lublin",2015,4828
"1977",664000,"Powiat m.Zamość",2015,3150
"1978",801000,"Powiat gorzowski",2015,2389
"1979",802000,"Powiat krośnieński",2015,2001
"1980",803000,"Powiat międzyrzecki",2015,2129
"1981",804000,"Powiat nowosolski",2015,1868
"1982",805000,"Powiat słubicki",2015,2262
"1983",806000,"Powiat strzelecko-drezdenecki",2015,2000
"1984",807000,"Powiat sulęciński",2015,1852
"1985",808000,"Powiat świebodziński",2015,2398
"1986",809000,"Powiat zielonogórski",2015,2093
"1987",810000,"Powiat żagański",2015,1795
"1988",811000,"Powiat żarski",2015,1887
"1989",812000,"Powiat wschowski",2015,1432
