"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_od_60_do_80_m2_zl"
"5701",201000,"Powiat bolesławiecki",2015,3028
"5702",202000,"Powiat dzierżoniowski",2015,2005
"5703",203000,"Powiat głogowski",2015,3071
"5704",204000,"Powiat górowski",2015,2086
"5705",205000,"Powiat jaworski",2015,2361
"5706",206000,"Powiat jeleniogórski",2015,3316
"5707",207000,"Powiat kamiennogórski",2015,1242
"5708",208000,"Powiat kłodzki",2015,2087
"5709",209000,"Powiat legnicki",2015,2339
"5710",210000,"Powiat lubański",2015,1972
"5711",211000,"Powiat lubiński",2015,3120
"5712",212000,"Powiat lwówecki",2015,1307
"5713",213000,"Powiat milicki",2015,2970
"5714",214000,"Powiat oleśnicki",2015,3306
"5715",215000,"Powiat oławski",2015,3289
"5716",216000,"Powiat polkowicki",2015,2632
"5717",217000,"Powiat strzeliński",2015,2556
"5718",218000,"Powiat średzki",2015,3639
"5719",219000,"Powiat świdnicki",2015,2592
"5720",220000,"Powiat trzebnicki",2015,3595
"5721",221000,"Powiat wałbrzyski",2015,1441
"5722",222000,"Powiat wołowski",2015,2987
"5723",223000,"Powiat wrocławski",2015,4320
"5724",224000,"Powiat ząbkowicki",2015,2294
"5725",225000,"Powiat zgorzelecki",2015,1209
"5726",226000,"Powiat złotoryjski",2015,1878
"5727",261000,"Powiat m.Jelenia Góra",2015,2657
"5728",262000,"Powiat m.Legnica",2015,2614
"5729",264000,"Powiat m.Wrocław",2015,5046
"5730",265000,"Powiat m.Wałbrzych od 2013",2015,1556
"5731",401000,"Powiat aleksandrowski",2015,3194
"5732",402000,"Powiat brodnicki",2015,2843
"5733",403000,"Powiat bydgoski",2015,3756
"5734",404000,"Powiat chełmiński",2015,1783
"5735",405000,"Powiat golubsko-dobrzyński",2015,2217
"5736",406000,"Powiat grudziądzki",2015,1789
"5737",407000,"Powiat inowrocławski",2015,2736
"5738",408000,"Powiat lipnowski",2015,1527
"5739",409000,"Powiat mogileński",2015,2020
"5740",410000,"Powiat nakielski",2015,2370
"5741",411000,"Powiat radziejowski",2015,0
"5742",412000,"Powiat rypiński",2015,1835
"5743",413000,"Powiat sępoleński",2015,1444
"5744",414000,"Powiat świecki",2015,3284
"5745",415000,"Powiat toruński",2015,1984
