"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_ogolem_ogolem_zl"
"1",201000,"Powiat bolesławiecki",2015,2756
"2",202000,"Powiat dzierżoniowski",2015,1861
"3",203000,"Powiat głogowski",2015,3107
"4",204000,"Powiat górowski",2015,2113
"5",205000,"Powiat jaworski",2015,2331
"6",206000,"Powiat jeleniogórski",2015,3792
"7",207000,"Powiat kamiennogórski",2015,1393
"8",208000,"Powiat kłodzki",2015,2198
"9",209000,"Powiat legnicki",2015,2110
"10",210000,"Powiat lubański",2015,1899
"11",211000,"Powiat lubiński",2015,2973
"12",212000,"Powiat lwówecki",2015,1264
"13",213000,"Powiat milicki",2015,2777
"14",214000,"Powiat oleśnicki",2015,3121
"15",215000,"Powiat oławski",2015,3291
"16",216000,"Powiat polkowicki",2015,2560
"17",217000,"Powiat strzeliński",2015,3074
"18",218000,"Powiat średzki",2015,3639
"19",219000,"Powiat świdnicki",2015,2417
"20",220000,"Powiat trzebnicki",2015,3600
"21",221000,"Powiat wałbrzyski",2015,1416
"22",222000,"Powiat wołowski",2015,2790
"23",223000,"Powiat wrocławski",2015,4196
"24",224000,"Powiat ząbkowicki",2015,1649
"25",225000,"Powiat zgorzelecki",2015,1209
"26",226000,"Powiat złotoryjski",2015,2146
"27",261000,"Powiat m.Jelenia Góra",2015,2530
"28",262000,"Powiat m.Legnica",2015,2645
"29",264000,"Powiat m.Wrocław",2015,5244
"30",265000,"Powiat m.Wałbrzych od 2013",2015,1907
"31",401000,"Powiat aleksandrowski",2015,3208
"32",402000,"Powiat brodnicki",2015,3008
"33",403000,"Powiat bydgoski",2015,3616
"34",404000,"Powiat chełmiński",2015,2358
"35",405000,"Powiat golubsko-dobrzyński",2015,2439
"36",406000,"Powiat grudziądzki",2015,1529
"37",407000,"Powiat inowrocławski",2015,2881
"38",408000,"Powiat lipnowski",2015,1786
"39",409000,"Powiat mogileński",2015,1988
"40",410000,"Powiat nakielski",2015,2443
"41",411000,"Powiat radziejowski",2015,2010
"42",412000,"Powiat rypiński",2015,1908
"43",413000,"Powiat sępoleński",2015,1657
"44",414000,"Powiat świecki",2015,2657
"45",415000,"Powiat toruński",2015,2396
"46",416000,"Powiat tucholski",2015,2329
"47",417000,"Powiat wąbrzeski",2015,2075
"48",418000,"Powiat włocławski",2015,1725
"49",419000,"Powiat żniński",2015,2508
"50",461000,"Powiat m.Bydgoszcz",2015,3855
"51",462000,"Powiat m.Grudziądz",2015,2452
"52",463000,"Powiat m.Toruń",2015,3846
"53",464000,"Powiat m.Włocławek",2015,2551
"54",601000,"Powiat bialski",2015,2449
"55",602000,"Powiat biłgorajski",2015,2957
"56",603000,"Powiat chełmski",2015,1839
"57",604000,"Powiat hrubieszowski",2015,2135
"58",605000,"Powiat janowski",2015,2530
"59",606000,"Powiat krasnostawski",2015,2655
"60",607000,"Powiat kraśnicki",2015,2308
"61",608000,"Powiat lubartowski",2015,3426
"62",609000,"Powiat lubelski",2015,3716
"63",610000,"Powiat łęczyński",2015,2926
"64",611000,"Powiat łukowski",2015,2895
"65",612000,"Powiat opolski",2015,2603
"66",613000,"Powiat parczewski",2015,2805
"67",614000,"Powiat puławski",2015,3746
"68",615000,"Powiat radzyński",2015,2515
"69",616000,"Powiat rycki",2015,2215
"70",617000,"Powiat świdnicki",2015,3648
"71",618000,"Powiat tomaszowski",2015,3176
"72",619000,"Powiat włodawski",2015,2321
"73",620000,"Powiat zamojski",2015,1907
"74",661000,"Powiat m.Biała Podlaska",2015,2946
"75",662000,"Powiat m.Chełm",2015,2632
"76",663000,"Powiat m.Lublin",2015,4769
"77",664000,"Powiat m.Zamość",2015,3100
"78",801000,"Powiat gorzowski",2015,2303
"79",802000,"Powiat krośnieński",2015,2099
"80",803000,"Powiat międzyrzecki",2015,2130
"81",804000,"Powiat nowosolski",2015,2105
"82",805000,"Powiat słubicki",2015,2806
"83",806000,"Powiat strzelecko-drezdenecki",2015,2281
"84",807000,"Powiat sulęciński",2015,2021
"85",808000,"Powiat świebodziński",2015,2623
"86",809000,"Powiat zielonogórski",2015,2056
"87",810000,"Powiat żagański",2015,1954
"88",811000,"Powiat żarski",2015,2114
"89",812000,"Powiat wschowski",2015,1720
"90",861000,"Powiat m.Gorzów Wielkopolski",2015,3104
"91",862000,"Powiat m.Zielona Góra",2015,3259
"92",1001000,"Powiat bełchatowski",2015,2492
"93",1002000,"Powiat kutnowski",2015,1773
"94",1003000,"Powiat łaski",2015,2442
"95",1004000,"Powiat łęczycki",2015,2255
"96",1005000,"Powiat łowicki",2015,2927
"97",1006000,"Powiat łódzki wschodni",2015,1235
"98",1007000,"Powiat opoczyński",2015,2604
"99",1008000,"Powiat pabianicki",2015,2522
"100",1009000,"Powiat pajęczański",2015,3025
"101",1010000,"Powiat piotrkowski",2015,1812
"102",1011000,"Powiat poddębicki",2015,3127
"103",1012000,"Powiat radomszczański",2015,2564
"104",1013000,"Powiat rawski",2015,2853
"105",1014000,"Powiat sieradzki",2015,2434
"106",1015000,"Powiat skierniewicki",2015,1792
"107",1016000,"Powiat tomaszowski",2015,2607
"108",1017000,"Powiat wieluński",2015,2893
"109",1018000,"Powiat wieruszowski",2015,2669
"110",1019000,"Powiat zduńskowolski",2015,2414
"111",1020000,"Powiat zgierski",2015,2910
"112",1021000,"Powiat brzeziński",2015,3314
"113",1061000,"Powiat m.Łódź",2015,3534
"114",1062000,"Powiat m.Piotrków Trybunalski",2015,2706
"115",1063000,"Powiat m.Skierniewice",2015,3676
"116",1201000,"Powiat bocheński",2015,3998
"117",1202000,"Powiat brzeski",2015,3186
"118",1203000,"Powiat chrzanowski",2015,2660
"119",1204000,"Powiat dąbrowski",2015,2647
"120",1205000,"Powiat gorlicki",2015,2588
"121",1206000,"Powiat krakowski",2015,4487
"122",1207000,"Powiat limanowski",2015,3112
"123",1208000,"Powiat miechowski",2015,3102
"124",1209000,"Powiat myślenicki",2015,4407
"125",1210000,"Powiat nowosądecki",2015,2872
"126",1211000,"Powiat nowotarski",2015,4451
"127",1212000,"Powiat olkuski",2015,2589
"128",1213000,"Powiat oświęcimski",2015,2673
"129",1214000,"Powiat proszowicki",2015,3356
"130",1215000,"Powiat suski",2015,1062
"131",1216000,"Powiat tarnowski",2015,0
"132",1217000,"Powiat tatrzański",2015,10340
"133",1218000,"Powiat wadowicki",2015,2970
"134",1219000,"Powiat wielicki",2015,4351
"135",1261000,"Powiat m.Kraków",2015,6102
"136",1262000,"Powiat m.Nowy Sącz",2015,2881
"137",1263000,"Powiat m.Tarnów",2015,2900
"138",1401000,"Powiat białobrzeski",2015,3001
"139",1402000,"Powiat ciechanowski",2015,2998
"140",1403000,"Powiat garwoliński",2015,1305
"141",1404000,"Powiat gostyniński",2015,2448
"142",1405000,"Powiat grodziski",2015,4083
"143",1406000,"Powiat grójecki",2015,2289
"144",1407000,"Powiat kozienicki",2015,3058
"145",1408000,"Powiat legionowski",2015,4135
"146",1409000,"Powiat lipski",2015,0
"147",1410000,"Powiat łosicki",2015,2883
"148",1411000,"Powiat makowski",2015,0
"149",1412000,"Powiat miński",2015,3989
"150",1413000,"Powiat mławski",2015,2881
"151",1414000,"Powiat nowodworski",2015,4006
"152",1415000,"Powiat ostrołęcki",2015,1174
"153",1416000,"Powiat ostrowski",2015,2864
"154",1417000,"Powiat otwocki",2015,4663
"155",1418000,"Powiat piaseczyński",2015,5233
"156",1419000,"Powiat płocki",2015,2457
"157",1420000,"Powiat płoński",2015,2989
"158",1421000,"Powiat pruszkowski",2015,5155
"159",1422000,"Powiat przasnyski",2015,3119
"160",1423000,"Powiat przysuski",2015,2160
"161",1424000,"Powiat pułtuski",2015,3285
"162",1425000,"Powiat radomski",2015,1743
"163",1426000,"Powiat siedlecki",2015,1231
"164",1427000,"Powiat sierpecki",2015,2353
"165",1428000,"Powiat sochaczewski",2015,3056
"166",1429000,"Powiat sokołowski",2015,2933
"167",1430000,"Powiat szydłowiecki",2015,1967
"168",1432000,"Powiat warszawski zachodni",2015,4448
"169",1433000,"Powiat węgrowski",2015,2564
"170",1434000,"Powiat wołomiński",2015,4409
"171",1435000,"Powiat wyszkowski",2015,3557
"172",1436000,"Powiat zwoleński",2015,2113
"173",1437000,"Powiat żuromiński",2015,3055
"174",1438000,"Powiat żyrardowski",2015,3081
"175",1461000,"Powiat m.Ostrołęka",2015,2874
"176",1462000,"Powiat m.Płock",2015,3704
"177",1463000,"Powiat m.Radom",2015,3141
"178",1464000,"Powiat m.Siedlce",2015,3795
"179",1465000,"Powiat m. st. Warszawa",2015,7257
"180",1601000,"Powiat brzeski",2015,2562
"181",1602000,"Powiat głubczycki",2015,1511
"182",1603000,"Powiat kędzierzyńsko-kozielski",2015,2158
"183",1604000,"Powiat kluczborski",2015,2027
"184",1605000,"Powiat krapkowicki",2015,2345
"185",1606000,"Powiat namysłowski",2015,2857
"186",1607000,"Powiat nyski",2015,2141
"187",1608000,"Powiat oleski",2015,2238
"188",1609000,"Powiat opolski",2015,2216
"189",1610000,"Powiat prudnicki",2015,1531
"190",1611000,"Powiat strzelecki",2015,2110
"191",1661000,"Powiat m.Opole",2015,4119
"192",1801000,"Powiat bieszczadzki",2015,1969
"193",1802000,"Powiat brzozowski",2015,2500
"194",1803000,"Powiat dębicki",2015,2820
"195",1804000,"Powiat jarosławski",2015,2875
"196",1805000,"Powiat jasielski",2015,2213
"197",1806000,"Powiat kolbuszowski",2015,2047
"198",1807000,"Powiat krośnieński",2015,1593
"199",1808000,"Powiat leżajski",2015,1890
"200",1809000,"Powiat lubaczowski",2015,1941
"201",1810000,"Powiat łańcucki",2015,2966
"202",1811000,"Powiat mielecki",2015,2927
"203",1812000,"Powiat niżański",2015,2333
"204",1813000,"Powiat przemyski",2015,2595
"205",1814000,"Powiat przeworski",2015,2500
"206",1815000,"Powiat ropczycko-sędziszowski",2015,2967
"207",1816000,"Powiat rzeszowski",2015,3642
"208",1817000,"Powiat sanocki",2015,2697
"209",1818000,"Powiat stalowowolski",2015,2543
"210",1819000,"Powiat strzyżowski",2015,2653
"211",1820000,"Powiat tarnobrzeski",2015,1974
"212",1821000,"Powiat leski",2015,2607
"213",1861000,"Powiat m.Krosno",2015,3126
"214",1862000,"Powiat m.Przemyśl",2015,2743
"215",1863000,"Powiat m.Rzeszów",2015,4583
"216",1864000,"Powiat m.Tarnobrzeg",2015,2678
"217",2001000,"Powiat augustowski",2015,3874
"218",2002000,"Powiat białostocki",2015,3244
"219",2003000,"Powiat bielski",2015,0
"220",2004000,"Powiat grajewski",2015,2563
"221",2005000,"Powiat hajnowski",2015,1981
"222",2006000,"Powiat kolneński",2015,2316
"223",2007000,"Powiat łomżyński",2015,0
"224",2008000,"Powiat moniecki",2015,2391
"225",2009000,"Powiat sejneński",2015,2000
"226",2010000,"Powiat siemiatycki",2015,2169
"227",2011000,"Powiat sokólski",2015,3188
"228",2012000,"Powiat suwalski",2015,1352
"229",2013000,"Powiat wysokomazowiecki",2015,1266
"230",2014000,"Powiat zambrowski",2015,2962
"231",2061000,"Powiat m.Białystok",2015,4438
"232",2062000,"Powiat m.Łomża",2015,3397
"233",2063000,"Powiat m.Suwałki",2015,3077
"234",2201000,"Powiat bytowski",2015,2831
"235",2202000,"Powiat chojnicki",2015,2717
"236",2203000,"Powiat człuchowski",2015,1938
"237",2204000,"Powiat gdański",2015,4171
