"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_do_40_m2_zl"
"11401",201000,"Powiat bolesławiecki",2015,0
"11402",202000,"Powiat dzierżoniowski",2015,0
"11403",203000,"Powiat głogowski",2015,3348
"11404",204000,"Powiat górowski",2015,0
"11405",205000,"Powiat jaworski",2015,0
"11406",206000,"Powiat jeleniogórski",2015,6336
"11407",207000,"Powiat kamiennogórski",2015,0
"11408",208000,"Powiat kłodzki",2015,9273
"11409",209000,"Powiat legnicki",2015,0
"11410",210000,"Powiat lubański",2015,3644
"11411",211000,"Powiat lubiński",2015,0
"11412",212000,"Powiat lwówecki",2015,0
"11413",213000,"Powiat milicki",2015,3538
"11414",214000,"Powiat oleśnicki",2015,4158
"11415",215000,"Powiat oławski",2015,3301
"11416",216000,"Powiat polkowicki",2015,0
"11417",217000,"Powiat strzeliński",2015,4098
"11418",218000,"Powiat średzki",2015,0
"11419",219000,"Powiat świdnicki",2015,3058
"11420",220000,"Powiat trzebnicki",2015,3946
"11421",221000,"Powiat wałbrzyski",2015,0
"11422",222000,"Powiat wołowski",2015,0
"11423",223000,"Powiat wrocławski",2015,4421
"11424",224000,"Powiat ząbkowicki",2015,0
"11425",225000,"Powiat zgorzelecki",2015,0
"11426",226000,"Powiat złotoryjski",2015,0
"11427",261000,"Powiat m.Jelenia Góra",2015,3285
"11428",262000,"Powiat m.Legnica",2015,3232
"11429",264000,"Powiat m.Wrocław",2015,5800
"11430",265000,"Powiat m.Wałbrzych od 2013",2015,0
"11431",401000,"Powiat aleksandrowski",2015,0
"11432",402000,"Powiat brodnicki",2015,3055
"11433",403000,"Powiat bydgoski",2015,3916
"11434",404000,"Powiat chełmiński",2015,0
"11435",405000,"Powiat golubsko-dobrzyński",2015,0
"11436",406000,"Powiat grudziądzki",2015,0
"11437",407000,"Powiat inowrocławski",2015,3596
"11438",408000,"Powiat lipnowski",2015,0
"11439",409000,"Powiat mogileński",2015,0
"11440",410000,"Powiat nakielski",2015,0
"11441",411000,"Powiat radziejowski",2015,0
"11442",412000,"Powiat rypiński",2015,0
"11443",413000,"Powiat sępoleński",2015,0
"11444",414000,"Powiat świecki",2015,3302
"11445",415000,"Powiat toruński",2015,0
"11446",416000,"Powiat tucholski",2015,0
"11447",417000,"Powiat wąbrzeski",2015,0
"11448",418000,"Powiat włocławski",2015,2603
"11449",419000,"Powiat żniński",2015,3562
"11450",461000,"Powiat m.Bydgoszcz",2015,4160
"11451",462000,"Powiat m.Grudziądz",2015,3422
"11452",463000,"Powiat m.Toruń",2015,0
"11453",464000,"Powiat m.Włocławek",2015,2695
"11454",601000,"Powiat bialski",2015,0
"11455",602000,"Powiat biłgorajski",2015,0
"11456",603000,"Powiat chełmski",2015,0
"11457",604000,"Powiat hrubieszowski",2015,0
"11458",605000,"Powiat janowski",2015,0
"11459",606000,"Powiat krasnostawski",2015,3164
"11460",607000,"Powiat kraśnicki",2015,0
"11461",608000,"Powiat lubartowski",2015,0
"11462",609000,"Powiat lubelski",2015,0
"11463",610000,"Powiat łęczyński",2015,0
"11464",611000,"Powiat łukowski",2015,0
"11465",612000,"Powiat opolski",2015,3147
"11466",613000,"Powiat parczewski",2015,0
"11467",614000,"Powiat puławski",2015,4703
"11468",615000,"Powiat radzyński",2015,3499
"11469",616000,"Powiat rycki",2015,0
"11470",617000,"Powiat świdnicki",2015,0
"11471",618000,"Powiat tomaszowski",2015,3912
"11472",619000,"Powiat włodawski",2015,2991
"11473",620000,"Powiat zamojski",2015,0
"11474",661000,"Powiat m.Biała Podlaska",2015,0
"11475",662000,"Powiat m.Chełm",2015,3488
"11476",663000,"Powiat m.Lublin",2015,5021
"11477",664000,"Powiat m.Zamość",2015,3199
"11478",801000,"Powiat gorzowski",2015,0
"11479",802000,"Powiat krośnieński",2015,0
"11480",803000,"Powiat międzyrzecki",2015,0
"11481",804000,"Powiat nowosolski",2015,0
"11482",805000,"Powiat słubicki",2015,3326
"11483",806000,"Powiat strzelecko-drezdenecki",2015,0
"11484",807000,"Powiat sulęciński",2015,0
"11485",808000,"Powiat świebodziński",2015,2961
"11486",809000,"Powiat zielonogórski",2015,0
"11487",810000,"Powiat żagański",2015,0
"11488",811000,"Powiat żarski",2015,0
"11489",812000,"Powiat wschowski",2015,0
"11490",861000,"Powiat m.Gorzów Wielkopolski",2015,3246
"11491",862000,"Powiat m.Zielona Góra",2015,3448
"11492",1001000,"Powiat bełchatowski",2015,3234
"11493",1002000,"Powiat kutnowski",2015,0
"11494",1003000,"Powiat łaski",2015,0
"11495",1004000,"Powiat łęczycki",2015,0
"11496",1005000,"Powiat łowicki",2015,4174
"11497",1006000,"Powiat łódzki wschodni",2015,0
"11498",1007000,"Powiat opoczyński",2015,0
"11499",1008000,"Powiat pabianicki",2015,3900
"11500",1009000,"Powiat pajęczański",2015,3188
"11501",1010000,"Powiat piotrkowski",2015,0
"11502",1011000,"Powiat poddębicki",2015,3243
"11503",1012000,"Powiat radomszczański",2015,0
"11504",1013000,"Powiat rawski",2015,0
"11505",1014000,"Powiat sieradzki",2015,2460
"11506",1015000,"Powiat skierniewicki",2015,0
"11507",1016000,"Powiat tomaszowski",2015,0
"11508",1017000,"Powiat wieluński",2015,0
"11509",1018000,"Powiat wieruszowski",2015,2499
"11510",1019000,"Powiat zduńskowolski",2015,0
"11511",1020000,"Powiat zgierski",2015,0
"11512",1021000,"Powiat brzeziński",2015,0
"11513",1061000,"Powiat m.Łódź",2015,4408
"11514",1062000,"Powiat m.Piotrków Trybunalski",2015,0
"11515",1063000,"Powiat m.Skierniewice",2015,3784
"11516",1201000,"Powiat bocheński",2015,4366
"11517",1202000,"Powiat brzeski",2015,0
"11518",1203000,"Powiat chrzanowski",2015,0
"11519",1204000,"Powiat dąbrowski",2015,0
"11520",1205000,"Powiat gorlicki",2015,0
"11521",1206000,"Powiat krakowski",2015,4298
"11522",1207000,"Powiat limanowski",2015,0
"11523",1208000,"Powiat miechowski",2015,4000
"11524",1209000,"Powiat myślenicki",2015,0
"11525",1210000,"Powiat nowosądecki",2015,5054
"11526",1211000,"Powiat nowotarski",2015,4909
"11527",1212000,"Powiat olkuski",2015,0
"11528",1213000,"Powiat oświęcimski",2015,3407
"11529",1214000,"Powiat proszowicki",2015,0
"11530",1215000,"Powiat suski",2015,0
"11531",1216000,"Powiat tarnowski",2015,0
"11532",1217000,"Powiat tatrzański",2015,11254
"11533",1218000,"Powiat wadowicki",2015,0
"11534",1219000,"Powiat wielicki",2015,4433
"11535",1261000,"Powiat m.Kraków",2015,6276
"11536",1262000,"Powiat m.Nowy Sącz",2015,0
"11537",1263000,"Powiat m.Tarnów",2015,3910
"11538",1401000,"Powiat białobrzeski",2015,0
"11539",1402000,"Powiat ciechanowski",2015,0
"11540",1403000,"Powiat garwoliński",2015,0
"11541",1404000,"Powiat gostyniński",2015,0
"11542",1405000,"Powiat grodziski",2015,0
"11543",1406000,"Powiat grójecki",2015,0
"11544",1407000,"Powiat kozienicki",2015,3401
"11545",1408000,"Powiat legionowski",2015,4100
"11546",1409000,"Powiat lipski",2015,0
"11547",1410000,"Powiat łosicki",2015,0
"11548",1411000,"Powiat makowski",2015,0
"11549",1412000,"Powiat miński",2015,4060
"11550",1413000,"Powiat mławski",2015,2944
"11551",1414000,"Powiat nowodworski",2015,4192
"11552",1415000,"Powiat ostrołęcki",2015,0
"11553",1416000,"Powiat ostrowski",2015,4330
"11554",1417000,"Powiat otwocki",2015,5902
"11555",1418000,"Powiat piaseczyński",2015,4894
"11556",1419000,"Powiat płocki",2015,0
"11557",1420000,"Powiat płoński",2015,3376
"11558",1421000,"Powiat pruszkowski",2015,5944
"11559",1422000,"Powiat przasnyski",2015,3297
"11560",1423000,"Powiat przysuski",2015,0
"11561",1424000,"Powiat pułtuski",2015,3295
"11562",1425000,"Powiat radomski",2015,0
"11563",1426000,"Powiat siedlecki",2015,0
"11564",1427000,"Powiat sierpecki",2015,0
"11565",1428000,"Powiat sochaczewski",2015,0
"11566",1429000,"Powiat sokołowski",2015,2263
"11567",1430000,"Powiat szydłowiecki",2015,0
