"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_40_do_60_m2_zl"
"13301",201000,"Powiat bolesławiecki",2015,2911
"13302",202000,"Powiat dzierżoniowski",2015,3392
"13303",203000,"Powiat głogowski",2015,3372
"13304",204000,"Powiat górowski",2015,0
"13305",205000,"Powiat jaworski",2015,0
"13306",206000,"Powiat jeleniogórski",2015,6567
"13307",207000,"Powiat kamiennogórski",2015,0
"13308",208000,"Powiat kłodzki",2015,8827
"13309",209000,"Powiat legnicki",2015,2772
"13310",210000,"Powiat lubański",2015,0
"13311",211000,"Powiat lubiński",2015,4040
"13312",212000,"Powiat lwówecki",2015,0
"13313",213000,"Powiat milicki",2015,3466
"13314",214000,"Powiat oleśnicki",2015,4199
"13315",215000,"Powiat oławski",2015,3292
"13316",216000,"Powiat polkowicki",2015,2918
"13317",217000,"Powiat strzeliński",2015,4157
"13318",218000,"Powiat średzki",2015,4308
"13319",219000,"Powiat świdnicki",2015,3454
"13320",220000,"Powiat trzebnicki",2015,4094
"13321",221000,"Powiat wałbrzyski",2015,0
"13322",222000,"Powiat wołowski",2015,3445
"13323",223000,"Powiat wrocławski",2015,4218
"13324",224000,"Powiat ząbkowicki",2015,0
"13325",225000,"Powiat zgorzelecki",2015,0
"13326",226000,"Powiat złotoryjski",2015,0
"13327",261000,"Powiat m.Jelenia Góra",2015,3203
"13328",262000,"Powiat m.Legnica",2015,3360
"13329",264000,"Powiat m.Wrocław",2015,5445
"13330",265000,"Powiat m.Wałbrzych od 2013",2015,3193
"13331",401000,"Powiat aleksandrowski",2015,4272
"13332",402000,"Powiat brodnicki",2015,3041
"13333",403000,"Powiat bydgoski",2015,4148
"13334",404000,"Powiat chełmiński",2015,0
"13335",405000,"Powiat golubsko-dobrzyński",2015,2973
"13336",406000,"Powiat grudziądzki",2015,0
"13337",407000,"Powiat inowrocławski",2015,3837
"13338",408000,"Powiat lipnowski",2015,0
"13339",409000,"Powiat mogileński",2015,0
"13340",410000,"Powiat nakielski",2015,0
"13341",411000,"Powiat radziejowski",2015,0
"13342",412000,"Powiat rypiński",2015,0
"13343",413000,"Powiat sępoleński",2015,0
"13344",414000,"Powiat świecki",2015,3298
"13345",415000,"Powiat toruński",2015,3121
"13346",416000,"Powiat tucholski",2015,0
"13347",417000,"Powiat wąbrzeski",2015,0
"13348",418000,"Powiat włocławski",2015,2649
"13349",419000,"Powiat żniński",2015,3570
"13350",461000,"Powiat m.Bydgoszcz",2015,4446
"13351",462000,"Powiat m.Grudziądz",2015,3279
"13352",463000,"Powiat m.Toruń",2015,4771
"13353",464000,"Powiat m.Włocławek",2015,2754
"13354",601000,"Powiat bialski",2015,0
"13355",602000,"Powiat biłgorajski",2015,0
"13356",603000,"Powiat chełmski",2015,0
"13357",604000,"Powiat hrubieszowski",2015,0
"13358",605000,"Powiat janowski",2015,0
"13359",606000,"Powiat krasnostawski",2015,2974
"13360",607000,"Powiat kraśnicki",2015,0
"13361",608000,"Powiat lubartowski",2015,0
"13362",609000,"Powiat lubelski",2015,3793
"13363",610000,"Powiat łęczyński",2015,0
"13364",611000,"Powiat łukowski",2015,0
"13365",612000,"Powiat opolski",2015,3202
"13366",613000,"Powiat parczewski",2015,2848
"13367",614000,"Powiat puławski",2015,4601
"13368",615000,"Powiat radzyński",2015,2342
"13369",616000,"Powiat rycki",2015,0
"13370",617000,"Powiat świdnicki",2015,0
"13371",618000,"Powiat tomaszowski",2015,0
"13372",619000,"Powiat włodawski",2015,2987
"13373",620000,"Powiat zamojski",2015,0
"13374",661000,"Powiat m.Biała Podlaska",2015,0
"13375",662000,"Powiat m.Chełm",2015,3378
"13376",663000,"Powiat m.Lublin",2015,4836
"13377",664000,"Powiat m.Zamość",2015,3445
"13378",801000,"Powiat gorzowski",2015,2064
"13379",802000,"Powiat krośnieński",2015,0
"13380",803000,"Powiat międzyrzecki",2015,0
"13381",804000,"Powiat nowosolski",2015,3284
"13382",805000,"Powiat słubicki",2015,3346
"13383",806000,"Powiat strzelecko-drezdenecki",2015,3023
"13384",807000,"Powiat sulęciński",2015,2914
"13385",808000,"Powiat świebodziński",2015,3113
"13386",809000,"Powiat zielonogórski",2015,0
"13387",810000,"Powiat żagański",2015,2051
"13388",811000,"Powiat żarski",2015,3496
"13389",812000,"Powiat wschowski",2015,0
"13390",861000,"Powiat m.Gorzów Wielkopolski",2015,3263
"13391",862000,"Powiat m.Zielona Góra",2015,3319
"13392",1001000,"Powiat bełchatowski",2015,3607
"13393",1002000,"Powiat kutnowski",2015,0
"13394",1003000,"Powiat łaski",2015,0
"13395",1004000,"Powiat łęczycki",2015,0
"13396",1005000,"Powiat łowicki",2015,4081
"13397",1006000,"Powiat łódzki wschodni",2015,0
"13398",1007000,"Powiat opoczyński",2015,0
"13399",1008000,"Powiat pabianicki",2015,3646
"13400",1009000,"Powiat pajęczański",2015,3184
"13401",1010000,"Powiat piotrkowski",2015,0
"13402",1011000,"Powiat poddębicki",2015,3139
"13403",1012000,"Powiat radomszczański",2015,0
"13404",1013000,"Powiat rawski",2015,3498
"13405",1014000,"Powiat sieradzki",2015,2460
"13406",1015000,"Powiat skierniewicki",2015,0
"13407",1016000,"Powiat tomaszowski",2015,3714
"13408",1017000,"Powiat wieluński",2015,0
"13409",1018000,"Powiat wieruszowski",2015,2729
"13410",1019000,"Powiat zduńskowolski",2015,0
"13411",1020000,"Powiat zgierski",2015,3757
"13412",1021000,"Powiat brzeziński",2015,3450
"13413",1061000,"Powiat m.Łódź",2015,4710
"13414",1062000,"Powiat m.Piotrków Trybunalski",2015,3940
"13415",1063000,"Powiat m.Skierniewice",2015,4031
"13416",1201000,"Powiat bocheński",2015,4403
"13417",1202000,"Powiat brzeski",2015,4258
