"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_pierwotny_od_80_m2_zl"
"17101",201000,"Powiat bolesławiecki",2015,0
"17102",202000,"Powiat dzierżoniowski",2015,0
"17103",203000,"Powiat głogowski",2015,3390
"17104",204000,"Powiat górowski",2015,0
"17105",205000,"Powiat jaworski",2015,0
"17106",206000,"Powiat jeleniogórski",2015,0
"17107",207000,"Powiat kamiennogórski",2015,0
"17108",208000,"Powiat kłodzki",2015,0
"17109",209000,"Powiat legnicki",2015,2430
"17110",210000,"Powiat lubański",2015,0
"17111",211000,"Powiat lubiński",2015,3799
"17112",212000,"Powiat lwówecki",2015,0
"17113",213000,"Powiat milicki",2015,0
"17114",214000,"Powiat oleśnicki",2015,4250
"17115",215000,"Powiat oławski",2015,3291
"17116",216000,"Powiat polkowicki",2015,0
"17117",217000,"Powiat strzeliński",2015,0
"17118",218000,"Powiat średzki",2015,3006
"17119",219000,"Powiat świdnicki",2015,3062
"17120",220000,"Powiat trzebnicki",2015,3599
"17121",221000,"Powiat wałbrzyski",2015,0
"17122",222000,"Powiat wołowski",2015,3214
"17123",223000,"Powiat wrocławski",2015,3721
"17124",224000,"Powiat ząbkowicki",2015,0
"17125",225000,"Powiat zgorzelecki",2015,0
"17126",226000,"Powiat złotoryjski",2015,0
"17127",261000,"Powiat m.Jelenia Góra",2015,3342
"17128",262000,"Powiat m.Legnica",2015,3247
"17129",264000,"Powiat m.Wrocław",2015,5611
"17130",265000,"Powiat m.Wałbrzych od 2013",2015,0
"17131",401000,"Powiat aleksandrowski",2015,0
"17132",402000,"Powiat brodnicki",2015,3383
"17133",403000,"Powiat bydgoski",2015,4092
"17134",404000,"Powiat chełmiński",2015,0
"17135",405000,"Powiat golubsko-dobrzyński",2015,0
"17136",406000,"Powiat grudziądzki",2015,0
"17137",407000,"Powiat inowrocławski",2015,4378
"17138",408000,"Powiat lipnowski",2015,0
"17139",409000,"Powiat mogileński",2015,0
"17140",410000,"Powiat nakielski",2015,0
"17141",411000,"Powiat radziejowski",2015,0
"17142",412000,"Powiat rypiński",2015,0
"17143",413000,"Powiat sępoleński",2015,0
"17144",414000,"Powiat świecki",2015,3401
"17145",415000,"Powiat toruński",2015,0
"17146",416000,"Powiat tucholski",2015,0
"17147",417000,"Powiat wąbrzeski",2015,0
"17148",418000,"Powiat włocławski",2015,0
"17149",419000,"Powiat żniński",2015,0
"17150",461000,"Powiat m.Bydgoszcz",2015,4561
"17151",462000,"Powiat m.Grudziądz",2015,0
"17152",463000,"Powiat m.Toruń",2015,0
"17153",464000,"Powiat m.Włocławek",2015,0
"17154",601000,"Powiat bialski",2015,0
"17155",602000,"Powiat biłgorajski",2015,0
"17156",603000,"Powiat chełmski",2015,0
"17157",604000,"Powiat hrubieszowski",2015,0
"17158",605000,"Powiat janowski",2015,0
"17159",606000,"Powiat krasnostawski",2015,0
"17160",607000,"Powiat kraśnicki",2015,0
"17161",608000,"Powiat lubartowski",2015,0
"17162",609000,"Powiat lubelski",2015,0
"17163",610000,"Powiat łęczyński",2015,0
"17164",611000,"Powiat łukowski",2015,0
"17165",612000,"Powiat opolski",2015,0
"17166",613000,"Powiat parczewski",2015,0
"17167",614000,"Powiat puławski",2015,0
"17168",615000,"Powiat radzyński",2015,0
"17169",616000,"Powiat rycki",2015,0
"17170",617000,"Powiat świdnicki",2015,0
"17171",618000,"Powiat tomaszowski",2015,0
"17172",619000,"Powiat włodawski",2015,0
"17173",620000,"Powiat zamojski",2015,0
"17174",661000,"Powiat m.Biała Podlaska",2015,0
"17175",662000,"Powiat m.Chełm",2015,0
"17176",663000,"Powiat m.Lublin",2015,4883
"17177",664000,"Powiat m.Zamość",2015,2659
"17178",801000,"Powiat gorzowski",2015,0
"17179",802000,"Powiat krośnieński",2015,0
"17180",803000,"Powiat międzyrzecki",2015,0
"17181",804000,"Powiat nowosolski",2015,0
"17182",805000,"Powiat słubicki",2015,0
"17183",806000,"Powiat strzelecko-drezdenecki",2015,2331
"17184",807000,"Powiat sulęciński",2015,0
"17185",808000,"Powiat świebodziński",2015,0
"17186",809000,"Powiat zielonogórski",2015,0
"17187",810000,"Powiat żagański",2015,0
"17188",811000,"Powiat żarski",2015,0
"17189",812000,"Powiat wschowski",2015,0
"17190",861000,"Powiat m.Gorzów Wielkopolski",2015,3064
"17191",862000,"Powiat m.Zielona Góra",2015,2934
"17192",1001000,"Powiat bełchatowski",2015,0
"17193",1002000,"Powiat kutnowski",2015,0
"17194",1003000,"Powiat łaski",2015,0
"17195",1004000,"Powiat łęczycki",2015,0
"17196",1005000,"Powiat łowicki",2015,0
"17197",1006000,"Powiat łódzki wschodni",2015,0
"17198",1007000,"Powiat opoczyński",2015,0
"17199",1008000,"Powiat pabianicki",2015,3494
"17200",1009000,"Powiat pajęczański",2015,0
"17201",1010000,"Powiat piotrkowski",2015,0
"17202",1011000,"Powiat poddębicki",2015,0
"17203",1012000,"Powiat radomszczański",2015,0
"17204",1013000,"Powiat rawski",2015,0
"17205",1014000,"Powiat sieradzki",2015,0
"17206",1015000,"Powiat skierniewicki",2015,0
"17207",1016000,"Powiat tomaszowski",2015,0
"17208",1017000,"Powiat wieluński",2015,0
"17209",1018000,"Powiat wieruszowski",2015,0
"17210",1019000,"Powiat zduńskowolski",2015,0
"17211",1020000,"Powiat zgierski",2015,3866
"17212",1021000,"Powiat brzeziński",2015,0
"17213",1061000,"Powiat m.Łódź",2015,4208
"17214",1062000,"Powiat m.Piotrków Trybunalski",2015,3997
"17215",1063000,"Powiat m.Skierniewice",2015,0
"17216",1201000,"Powiat bocheński",2015,3859
"17217",1202000,"Powiat brzeski",2015,0
"17218",1203000,"Powiat chrzanowski",2015,0
"17219",1204000,"Powiat dąbrowski",2015,0
"17220",1205000,"Powiat gorlicki",2015,0
"17221",1206000,"Powiat krakowski",2015,4413
"17222",1207000,"Powiat limanowski",2015,0
"17223",1208000,"Powiat miechowski",2015,0
"17224",1209000,"Powiat myślenicki",2015,0
"17225",1210000,"Powiat nowosądecki",2015,0
"17226",1211000,"Powiat nowotarski",2015,4116
"17227",1212000,"Powiat olkuski",2015,0
"17228",1213000,"Powiat oświęcimski",2015,0
"17229",1214000,"Powiat proszowicki",2015,0
"17230",1215000,"Powiat suski",2015,0
"17231",1216000,"Powiat tarnowski",2015,0
"17232",1217000,"Powiat tatrzański",2015,0
"17233",1218000,"Powiat wadowicki",2015,3900
"17234",1219000,"Powiat wielicki",2015,4597
"17235",1261000,"Powiat m.Kraków",2015,6791
"17236",1262000,"Powiat m.Nowy Sącz",2015,0
"17237",1263000,"Powiat m.Tarnów",2015,0
"17238",1401000,"Powiat białobrzeski",2015,0
"17239",1402000,"Powiat ciechanowski",2015,3231
"17240",1403000,"Powiat garwoliński",2015,0
"17241",1404000,"Powiat gostyniński",2015,0
"17242",1405000,"Powiat grodziski",2015,3577
"17243",1406000,"Powiat grójecki",2015,0
"17244",1407000,"Powiat kozienicki",2015,0
"17245",1408000,"Powiat legionowski",2015,4252
"17246",1409000,"Powiat lipski",2015,0
"17247",1410000,"Powiat łosicki",2015,0
"17248",1411000,"Powiat makowski",2015,0
"17249",1412000,"Powiat miński",2015,3926
"17250",1413000,"Powiat mławski",2015,0
"17251",1414000,"Powiat nowodworski",2015,3975
"17252",1415000,"Powiat ostrołęcki",2015,0
"17253",1416000,"Powiat ostrowski",2015,0
"17254",1417000,"Powiat otwocki",2015,3313
"17255",1418000,"Powiat piaseczyński",2015,3951
"17256",1419000,"Powiat płocki",2015,0
"17257",1420000,"Powiat płoński",2015,2625
"17258",1421000,"Powiat pruszkowski",2015,4387
"17259",1422000,"Powiat przasnyski",2015,0
"17260",1423000,"Powiat przysuski",2015,0
"17261",1424000,"Powiat pułtuski",2015,0
"17262",1425000,"Powiat radomski",2015,0
"17263",1426000,"Powiat siedlecki",2015,0
"17264",1427000,"Powiat sierpecki",2015,0
"17265",1428000,"Powiat sochaczewski",2015,0
"17266",1429000,"Powiat sokołowski",2015,0
"17267",1430000,"Powiat szydłowiecki",2015,0
"17268",1432000,"Powiat warszawski zachodni",2015,3989
"17269",1433000,"Powiat węgrowski",2015,0
"17270",1434000,"Powiat wołomiński",2015,3483
"17271",1435000,"Powiat wyszkowski",2015,0
"17272",1436000,"Powiat zwoleński",2015,0
"17273",1437000,"Powiat żuromiński",2015,0
"17274",1438000,"Powiat żyrardowski",2015,0
"17275",1461000,"Powiat m.Ostrołęka",2015,0
"17276",1462000,"Powiat m.Płock",2015,3837
"17277",1463000,"Powiat m.Radom",2015,3718
"17278",1464000,"Powiat m.Siedlce",2015,3718
"17279",1465000,"Powiat m. st. Warszawa",2015,7334
