"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_do_40_m2_zl"
"20901",201000,"Powiat bolesławiecki",2015,2515
"20902",202000,"Powiat dzierżoniowski",2015,1685
"20903",203000,"Powiat głogowski",2015,3069
"20904",204000,"Powiat górowski",2015,0
"20905",205000,"Powiat jaworski",2015,2000
"20906",206000,"Powiat jeleniogórski",2015,2235
"20907",207000,"Powiat kamiennogórski",2015,1407
"20908",208000,"Powiat kłodzki",2015,2021
"20909",209000,"Powiat legnicki",2015,1997
"20910",210000,"Powiat lubański",2015,1703
"20911",211000,"Powiat lubiński",2015,2899
"20912",212000,"Powiat lwówecki",2015,1296
"20913",213000,"Powiat milicki",2015,1760
"20914",214000,"Powiat oleśnicki",2015,2855
"20915",215000,"Powiat oławski",2015,3224
"20916",216000,"Powiat polkowicki",2015,2566
"20917",217000,"Powiat strzeliński",2015,2571
"20918",218000,"Powiat średzki",2015,3465
"20919",219000,"Powiat świdnicki",2015,2346
"20920",220000,"Powiat trzebnicki",2015,3271
"20921",221000,"Powiat wałbrzyski",2015,1202
"20922",222000,"Powiat wołowski",2015,2100
"20923",223000,"Powiat wrocławski",2015,4079
"20924",224000,"Powiat ząbkowicki",2015,1456
"20925",225000,"Powiat zgorzelecki",2015,1284
"20926",226000,"Powiat złotoryjski",2015,2387
"20927",261000,"Powiat m.Jelenia Góra",2015,2486
"20928",262000,"Powiat m.Legnica",2015,2767
"20929",264000,"Powiat m.Wrocław",2015,5423
"20930",265000,"Powiat m.Wałbrzych od 2013",2015,1887
"20931",401000,"Powiat aleksandrowski",2015,3340
"20932",402000,"Powiat brodnicki",2015,2322
"20933",403000,"Powiat bydgoski",2015,2430
"20934",404000,"Powiat chełmiński",2015,2786
"20935",405000,"Powiat golubsko-dobrzyński",2015,1804
"20936",406000,"Powiat grudziądzki",2015,996
"20937",407000,"Powiat inowrocławski",2015,2751
"20938",408000,"Powiat lipnowski",2015,1111
"20939",409000,"Powiat mogileński",2015,2180
"20940",410000,"Powiat nakielski",2015,2088
"20941",411000,"Powiat radziejowski",2015,1778
"20942",412000,"Powiat rypiński",2015,1643
"20943",413000,"Powiat sępoleński",2015,980
"20944",414000,"Powiat świecki",2015,2473
"20945",415000,"Powiat toruński",2015,2038
"20946",416000,"Powiat tucholski",2015,2339
"20947",417000,"Powiat wąbrzeski",2015,2030
"20948",418000,"Powiat włocławski",2015,1015
"20949",419000,"Powiat żniński",2015,2174
"20950",461000,"Powiat m.Bydgoszcz",2015,3659
"20951",462000,"Powiat m.Grudziądz",2015,2491
"20952",463000,"Powiat m.Toruń",2015,4005
"20953",464000,"Powiat m.Włocławek",2015,2486
"20954",601000,"Powiat bialski",2015,2051
"20955",602000,"Powiat biłgorajski",2015,3026
"20956",603000,"Powiat chełmski",2015,1753
"20957",604000,"Powiat hrubieszowski",2015,2121
"20958",605000,"Powiat janowski",2015,2266
"20959",606000,"Powiat krasnostawski",2015,2524
"20960",607000,"Powiat kraśnicki",2015,2347
"20961",608000,"Powiat lubartowski",2015,3114
"20962",609000,"Powiat lubelski",2015,3143
"20963",610000,"Powiat łęczyński",2015,2208
"20964",611000,"Powiat łukowski",2015,3125
"20965",612000,"Powiat opolski",2015,2422
"20966",613000,"Powiat parczewski",2015,2295
"20967",614000,"Powiat puławski",2015,3538
"20968",615000,"Powiat radzyński",2015,2493
"20969",616000,"Powiat rycki",2015,2191
"20970",617000,"Powiat świdnicki",2015,3714
"20971",618000,"Powiat tomaszowski",2015,2987
"20972",619000,"Powiat włodawski",2015,1923
"20973",620000,"Powiat zamojski",2015,1379
"20974",661000,"Powiat m.Biała Podlaska",2015,2881
"20975",662000,"Powiat m.Chełm",2015,2564
"20976",663000,"Powiat m.Lublin",2015,4618
"20977",664000,"Powiat m.Zamość",2015,2820
"20978",801000,"Powiat gorzowski",2015,2380
"20979",802000,"Powiat krośnieński",2015,2001
"20980",803000,"Powiat międzyrzecki",2015,2129
"20981",804000,"Powiat nowosolski",2015,1868
"20982",805000,"Powiat słubicki",2015,2145
"20983",806000,"Powiat strzelecko-drezdenecki",2015,2000
"20984",807000,"Powiat sulęciński",2015,1852
"20985",808000,"Powiat świebodziński",2015,2177
"20986",809000,"Powiat zielonogórski",2015,2093
"20987",810000,"Powiat żagański",2015,1720
"20988",811000,"Powiat żarski",2015,1823
"20989",812000,"Powiat wschowski",2015,1432
"20990",861000,"Powiat m.Gorzów Wielkopolski",2015,2676
"20991",862000,"Powiat m.Zielona Góra",2015,3077
"20992",1001000,"Powiat bełchatowski",2015,2647
"20993",1002000,"Powiat kutnowski",2015,1518
"20994",1003000,"Powiat łaski",2015,1923
"20995",1004000,"Powiat łęczycki",2015,2249
"20996",1005000,"Powiat łowicki",2015,3007
"20997",1006000,"Powiat łódzki wschodni",2015,3125
"20998",1007000,"Powiat opoczyński",2015,2538
"20999",1008000,"Powiat pabianicki",2015,2242
"21000",1009000,"Powiat pajęczański",2015,2150
"21001",1010000,"Powiat piotrkowski",2015,1899
"21002",1011000,"Powiat poddębicki",2015,2464
"21003",1012000,"Powiat radomszczański",2015,2441
"21004",1013000,"Powiat rawski",2015,2786
"21005",1014000,"Powiat sieradzki",2015,2308
"21006",1015000,"Powiat skierniewicki",2015,0
"21007",1016000,"Powiat tomaszowski",2015,2517
"21008",1017000,"Powiat wieluński",2015,3318
"21009",1018000,"Powiat wieruszowski",2015,2713
"21010",1019000,"Powiat zduńskowolski",2015,2435
"21011",1020000,"Powiat zgierski",2015,2622
"21012",1021000,"Powiat brzeziński",2015,1114
"21013",1061000,"Powiat m.Łódź",2015,3125
"21014",1062000,"Powiat m.Piotrków Trybunalski",2015,2322
"21015",1063000,"Powiat m.Skierniewice",2015,3315
"21016",1201000,"Powiat bocheński",2015,3653
"21017",1202000,"Powiat brzeski",2015,3150
"21018",1203000,"Powiat chrzanowski",2015,2594
"21019",1204000,"Powiat dąbrowski",2015,2652
"21020",1205000,"Powiat gorlicki",2015,2644
"21021",1206000,"Powiat krakowski",2015,3995
"21022",1207000,"Powiat limanowski",2015,2649
"21023",1208000,"Powiat miechowski",2015,2987
"21024",1209000,"Powiat myślenicki",2015,4202
"21025",1210000,"Powiat nowosądecki",2015,2994
"21026",1211000,"Powiat nowotarski",2015,3858
"21027",1212000,"Powiat olkuski",2015,2588
"21028",1213000,"Powiat oświęcimski",2015,2508
"21029",1214000,"Powiat proszowicki",2015,3909
"21030",1215000,"Powiat suski",2015,1173
"21031",1216000,"Powiat tarnowski",2015,0
"21032",1217000,"Powiat tatrzański",2015,0
"21033",1218000,"Powiat wadowicki",2015,2955
"21034",1219000,"Powiat wielicki",2015,5012
"21035",1261000,"Powiat m.Kraków",2015,5957
"21036",1262000,"Powiat m.Nowy Sącz",2015,2881
"21037",1263000,"Powiat m.Tarnów",2015,2657
"21038",1401000,"Powiat białobrzeski",2015,0
"21039",1402000,"Powiat ciechanowski",2015,2937
"21040",1403000,"Powiat garwoliński",2015,0
"21041",1404000,"Powiat gostyniński",2015,2086
"21042",1405000,"Powiat grodziski",2015,4388
"21043",1406000,"Powiat grójecki",2015,2039
"21044",1407000,"Powiat kozienicki",2015,2867
"21045",1408000,"Powiat legionowski",2015,5076
"21046",1409000,"Powiat lipski",2015,0
"21047",1410000,"Powiat łosicki",2015,2825
"21048",1411000,"Powiat makowski",2015,0
"21049",1412000,"Powiat miński",2015,3681
"21050",1413000,"Powiat mławski",2015,2800
"21051",1414000,"Powiat nowodworski",2015,3611
"21052",1415000,"Powiat ostrołęcki",2015,0
"21053",1416000,"Powiat ostrowski",2015,2566
"21054",1417000,"Powiat otwocki",2015,4483
"21055",1418000,"Powiat piaseczyński",2015,5291
"21056",1419000,"Powiat płocki",2015,2368
"21057",1420000,"Powiat płoński",2015,2532
"21058",1421000,"Powiat pruszkowski",2015,4953
"21059",1422000,"Powiat przasnyski",2015,2537
"21060",1423000,"Powiat przysuski",2015,0
"21061",1424000,"Powiat pułtuski",2015,2988
"21062",1425000,"Powiat radomski",2015,1481
"21063",1426000,"Powiat siedlecki",2015,1625
"21064",1427000,"Powiat sierpecki",2015,2674
"21065",1428000,"Powiat sochaczewski",2015,3094
"21066",1429000,"Powiat sokołowski",2015,2995
"21067",1430000,"Powiat szydłowiecki",2015,1618
"21068",1432000,"Powiat warszawski zachodni",2015,3269
"21069",1433000,"Powiat węgrowski",2015,2564
"21070",1434000,"Powiat wołomiński",2015,4805
"21071",1435000,"Powiat wyszkowski",2015,3576
"21072",1436000,"Powiat zwoleński",2015,2113
"21073",1437000,"Powiat żuromiński",2015,1302
"21074",1438000,"Powiat żyrardowski",2015,2786
"21075",1461000,"Powiat m.Ostrołęka",2015,2785
"21076",1462000,"Powiat m.Płock",2015,3333
"21077",1463000,"Powiat m.Radom",2015,2801
"21078",1464000,"Powiat m.Siedlce",2015,3378
"21079",1465000,"Powiat m. st. Warszawa",2015,7454
"21080",1601000,"Powiat brzeski",2015,2519
"21081",1602000,"Powiat głubczycki",2015,1551
"21082",1603000,"Powiat kędzierzyńsko-kozielski",2015,1976
"21083",1604000,"Powiat kluczborski",2015,1836
"21084",1605000,"Powiat krapkowicki",2015,2361
"21085",1606000,"Powiat namysłowski",2015,2564
"21086",1607000,"Powiat nyski",2015,2128
"21087",1608000,"Powiat oleski",2015,1992
"21088",1609000,"Powiat opolski",2015,2175
"21089",1610000,"Powiat prudnicki",2015,1469
"21090",1611000,"Powiat strzelecki",2015,1834
"21091",1661000,"Powiat m.Opole",2015,4141
"21092",1801000,"Powiat bieszczadzki",2015,1858
"21093",1802000,"Powiat brzozowski",2015,2340
"21094",1803000,"Powiat dębicki",2015,2632
"21095",1804000,"Powiat jarosławski",2015,3053
"21096",1805000,"Powiat jasielski",2015,2146
"21097",1806000,"Powiat kolbuszowski",2015,0
"21098",1807000,"Powiat krośnieński",2015,0
"21099",1808000,"Powiat leżajski",2015,2334
"21100",1809000,"Powiat lubaczowski",2015,1884
"21101",1810000,"Powiat łańcucki",2015,3500
"21102",1811000,"Powiat mielecki",2015,2812
"21103",1812000,"Powiat niżański",2015,2374
"21104",1813000,"Powiat przemyski",2015,2770
"21105",1814000,"Powiat przeworski",2015,2833
"21106",1815000,"Powiat ropczycko-sędziszowski",2015,2722
"21107",1816000,"Powiat rzeszowski",2015,3733
"21108",1817000,"Powiat sanocki",2015,2276
"21109",1818000,"Powiat stalowowolski",2015,2551
"21110",1819000,"Powiat strzyżowski",2015,2456
"21111",1820000,"Powiat tarnobrzeski",2015,1829
"21112",1821000,"Powiat leski",2015,2541
"21113",1861000,"Powiat m.Krosno",2015,2827
"21114",1862000,"Powiat m.Przemyśl",2015,2550
"21115",1863000,"Powiat m.Rzeszów",2015,4688
"21116",1864000,"Powiat m.Tarnobrzeg",2015,2432
"21117",2001000,"Powiat augustowski",2015,3679
"21118",2002000,"Powiat białostocki",2015,2614
"21119",2003000,"Powiat bielski",2015,0
"21120",2004000,"Powiat grajewski",2015,1240
"21121",2005000,"Powiat hajnowski",2015,1838
"21122",2006000,"Powiat kolneński",2015,1826
"21123",2007000,"Powiat łomżyński",2015,0
"21124",2008000,"Powiat moniecki",2015,0
"21125",2009000,"Powiat sejneński",2015,2000
"21126",2010000,"Powiat siemiatycki",2015,0
"21127",2011000,"Powiat sokólski",2015,2796
"21128",2012000,"Powiat suwalski",2015,2188
"21129",2013000,"Powiat wysokomazowiecki",2015,0
