"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_od_60_do_80_m2_zl"
"24701",201000,"Powiat bolesławiecki",2015,3028
"24702",202000,"Powiat dzierżoniowski",2015,1831
"24703",203000,"Powiat głogowski",2015,2864
"24704",204000,"Powiat górowski",2015,2086
"24705",205000,"Powiat jaworski",2015,2361
"24706",206000,"Powiat jeleniogórski",2015,2233
"24707",207000,"Powiat kamiennogórski",2015,1242
"24708",208000,"Powiat kłodzki",2015,1887
"24709",209000,"Powiat legnicki",2015,1942
"24710",210000,"Powiat lubański",2015,1972
"24711",211000,"Powiat lubiński",2015,2951
"24712",212000,"Powiat lwówecki",2015,1307
"24713",213000,"Powiat milicki",2015,2144
"24714",214000,"Powiat oleśnicki",2015,2853
"24715",215000,"Powiat oławski",2015,2778
"24716",216000,"Powiat polkowicki",2015,2473
"24717",217000,"Powiat strzeliński",2015,2005
"24718",218000,"Powiat średzki",2015,3639
"24719",219000,"Powiat świdnicki",2015,2244
"24720",220000,"Powiat trzebnicki",2015,3430
"24721",221000,"Powiat wałbrzyski",2015,1427
"24722",222000,"Powiat wołowski",2015,2987
"24723",223000,"Powiat wrocławski",2015,4203
"24724",224000,"Powiat ząbkowicki",2015,2294
"24725",225000,"Powiat zgorzelecki",2015,1209
"24726",226000,"Powiat złotoryjski",2015,1878
"24727",261000,"Powiat m.Jelenia Góra",2015,2439
"24728",262000,"Powiat m.Legnica",2015,2456
"24729",264000,"Powiat m.Wrocław",2015,4545
"24730",265000,"Powiat m.Wałbrzych od 2013",2015,1544
"24731",401000,"Powiat aleksandrowski",2015,3150
"24732",402000,"Powiat brodnicki",2015,1891
"24733",403000,"Powiat bydgoski",2015,2731
"24734",404000,"Powiat chełmiński",2015,1783
"24735",405000,"Powiat golubsko-dobrzyński",2015,1891
"24736",406000,"Powiat grudziądzki",2015,1789
"24737",407000,"Powiat inowrocławski",2015,2649
"24738",408000,"Powiat lipnowski",2015,1527
"24739",409000,"Powiat mogileński",2015,1899
"24740",410000,"Powiat nakielski",2015,2370
"24741",411000,"Powiat radziejowski",2015,0
"24742",412000,"Powiat rypiński",2015,1835
"24743",413000,"Powiat sępoleński",2015,1444
"24744",414000,"Powiat świecki",2015,2280
"24745",415000,"Powiat toruński",2015,1846
"24746",416000,"Powiat tucholski",2015,2246
"24747",417000,"Powiat wąbrzeski",2015,1940
"24748",418000,"Powiat włocławski",2015,1440
"24749",419000,"Powiat żniński",2015,2418
"24750",461000,"Powiat m.Bydgoszcz",2015,3281
"24751",462000,"Powiat m.Grudziądz",2015,2354
"24752",463000,"Powiat m.Toruń",2015,3278
"24753",464000,"Powiat m.Włocławek",2015,2519
"24754",601000,"Powiat bialski",2015,0
"24755",602000,"Powiat biłgorajski",2015,3038
"24756",603000,"Powiat chełmski",2015,1775
"24757",604000,"Powiat hrubieszowski",2015,1983
"24758",605000,"Powiat janowski",2015,2349
"24759",606000,"Powiat krasnostawski",2015,2299
"24760",607000,"Powiat kraśnicki",2015,2316
"24761",608000,"Powiat lubartowski",2015,3542
"24762",609000,"Powiat lubelski",2015,3614
"24763",610000,"Powiat łęczyński",2015,2940
"24764",611000,"Powiat łukowski",2015,2750
"24765",612000,"Powiat opolski",2015,2782
"24766",613000,"Powiat parczewski",2015,2806
"24767",614000,"Powiat puławski",2015,3487
"24768",615000,"Powiat radzyński",2015,2508
"24769",616000,"Powiat rycki",2015,2031
