"","Kod","Nazwa","rok","Mediana_cen_za_1_m2_lokali_mieszkalnych_sprzedanych_w_ramach_transakcji_rynkowych_rynek_wtorny_ogolem_zl"
"19001",201000,"Powiat bolesławiecki",2015,2749
"19002",202000,"Powiat dzierżoniowski",2015,1773
"19003",203000,"Powiat głogowski",2015,2937
"19004",204000,"Powiat górowski",2015,2113
"19005",205000,"Powiat jaworski",2015,2331
"19006",206000,"Powiat jeleniogórski",2015,2084
"19007",207000,"Powiat kamiennogórski",2015,1393
"19008",208000,"Powiat kłodzki",2015,1948
"19009",209000,"Powiat legnicki",2015,1997
"19010",210000,"Powiat lubański",2015,1859
"19011",211000,"Powiat lubiński",2015,2881
"19012",212000,"Powiat lwówecki",2015,1264
"19013",213000,"Powiat milicki",2015,2176
"19014",214000,"Powiat oleśnicki",2015,3018
"19015",215000,"Powiat oławski",2015,3165
"19016",216000,"Powiat polkowicki",2015,2507
"19017",217000,"Powiat strzeliński",2015,2080
"19018",218000,"Powiat średzki",2015,3629
"19019",219000,"Powiat świdnicki",2015,2230
"19020",220000,"Powiat trzebnicki",2015,3313
"19021",221000,"Powiat wałbrzyski",2015,1400
"19022",222000,"Powiat wołowski",2015,2351
"19023",223000,"Powiat wrocławski",2015,3829
"19024",224000,"Powiat ząbkowicki",2015,1633
"19025",225000,"Powiat zgorzelecki",2015,1209
"19026",226000,"Powiat złotoryjski",2015,2146
"19027",261000,"Powiat m.Jelenia Góra",2015,2337
"19028",262000,"Powiat m.Legnica",2015,2548
"19029",264000,"Powiat m.Wrocław",2015,4894
"19030",265000,"Powiat m.Wałbrzych od 2013",2015,1897
"19031",401000,"Powiat aleksandrowski",2015,3175
"19032",402000,"Powiat brodnicki",2015,2036
"19033",403000,"Powiat bydgoski",2015,2618
"19034",404000,"Powiat chełmiński",2015,2340
"19035",405000,"Powiat golubsko-dobrzyński",2015,2070
"19036",406000,"Powiat grudziądzki",2015,1529
"19037",407000,"Powiat inowrocławski",2015,2714
"19038",408000,"Powiat lipnowski",2015,1786
"19039",409000,"Powiat mogileński",2015,1959
"19040",410000,"Powiat nakielski",2015,2442
"19041",411000,"Powiat radziejowski",2015,1824
"19042",412000,"Powiat rypiński",2015,1887
"19043",413000,"Powiat sępoleński",2015,1631
"19044",414000,"Powiat świecki",2015,2453
"19045",415000,"Powiat toruński",2015,2251
"19046",416000,"Powiat tucholski",2015,2317
"19047",417000,"Powiat wąbrzeski",2015,2075
"19048",418000,"Powiat włocławski",2015,1122
"19049",419000,"Powiat żniński",2015,2362
"19050",461000,"Powiat m.Bydgoszcz",2015,3466
