"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_mieszkania"
"1",201000,"Powiat bolesławiecki",1995,78
"2",202000,"Powiat dzierżoniowski",1995,86
"3",203000,"Powiat głogowski",1995,54
"4",204000,"Powiat górowski",1995,33
"5",205000,"Powiat jaworski",1995,8
"6",206000,"Powiat jeleniogórski",1995,96
"7",207000,"Powiat kamiennogórski",1995,19
"8",208000,"Powiat kłodzki",1995,116
"9",209000,"Powiat legnicki",1995,24
"10",210000,"Powiat lubański",1995,19
"11",211000,"Powiat lubiński",1995,143
"12",212000,"Powiat lwówecki",1995,78
"13",213000,"Powiat milicki",1995,26
"14",214000,"Powiat oleśnicki",1995,185
"15",215000,"Powiat oławski",1995,36
"16",216000,"Powiat polkowicki",1995,224
"17",217000,"Powiat strzeliński",1995,21
"18",218000,"Powiat średzki",1995,71
"19",219000,"Powiat świdnicki",1995,179
"20",220000,"Powiat trzebnicki",1995,77
"21",221000,"Powiat wałbrzyski",1995,19
"22",222000,"Powiat wołowski",1995,4
"23",223000,"Powiat wrocławski",1995,88
"24",224000,"Powiat ząbkowicki",1995,43
"25",225000,"Powiat zgorzelecki",1995,336
"26",226000,"Powiat złotoryjski",1995,5
"27",261000,"Powiat m.Jelenia Góra",1995,219
"28",262000,"Powiat m.Legnica",1995,22
"29",263000,"Powiat m.Wałbrzych do 2002",1995,81
"30",264000,"Powiat m.Wrocław",1995,1263
"31",265000,"Powiat m.Wałbrzych od 2013",1995,NA
"32",401000,"Powiat aleksandrowski",1995,35
"33",402000,"Powiat brodnicki",1995,167
"34",403000,"Powiat bydgoski",1995,90
"35",404000,"Powiat chełmiński",1995,28
"36",405000,"Powiat golubsko-dobrzyński",1995,61
"37",406000,"Powiat grudziądzki",1995,20
"38",407000,"Powiat inowrocławski",1995,297
"39",408000,"Powiat lipnowski",1995,119
"40",409000,"Powiat mogileński",1995,35
"41",410000,"Powiat nakielski",1995,151
"42",411000,"Powiat radziejowski",1995,81
"43",412000,"Powiat rypiński",1995,35
"44",413000,"Powiat sępoleński",1995,36
"45",414000,"Powiat świecki",1995,153
"46",415000,"Powiat toruński",1995,71
"47",416000,"Powiat tucholski",1995,36
"48",417000,"Powiat wąbrzeski",1995,26
"49",418000,"Powiat włocławski",1995,77
"50",419000,"Powiat żniński",1995,85
"51",461000,"Powiat m.Bydgoszcz",1995,942
"52",462000,"Powiat m.Grudziądz",1995,135
"53",463000,"Powiat m.Toruń",1995,1114
"54",464000,"Powiat m.Włocławek",1995,306
"55",601000,"Powiat bialski",1995,179
"56",602000,"Powiat biłgorajski",1995,287
"57",603000,"Powiat chełmski",1995,174
"58",604000,"Powiat hrubieszowski",1995,76
"59",605000,"Powiat janowski",1995,123
"60",606000,"Powiat krasnostawski",1995,236
"61",607000,"Powiat kraśnicki",1995,366
"62",608000,"Powiat lubartowski",1995,140
"63",609000,"Powiat lubelski",1995,224
"64",610000,"Powiat łęczyński",1995,55
"65",611000,"Powiat łukowski",1995,143
"66",612000,"Powiat opolski",1995,146
"67",613000,"Powiat parczewski",1995,87
"68",614000,"Powiat puławski",1995,430
"69",615000,"Powiat radzyński",1995,141
"70",616000,"Powiat rycki",1995,67
"71",617000,"Powiat świdnicki",1995,315
"72",618000,"Powiat tomaszowski",1995,282
"73",619000,"Powiat włodawski",1995,127
"74",620000,"Powiat zamojski",1995,177
"75",661000,"Powiat m.Biała Podlaska",1995,286
"76",662000,"Powiat m.Chełm",1995,411
"77",663000,"Powiat m.Lublin",1995,2108
"78",664000,"Powiat m.Zamość",1995,453
"79",801000,"Powiat gorzowski",1995,121
"80",802000,"Powiat krośnieński",1995,61
"81",803000,"Powiat międzyrzecki",1995,15
"82",804000,"Powiat nowosolski",1995,65
"83",805000,"Powiat słubicki",1995,106
"84",806000,"Powiat strzelecko-drezdenecki",1995,5
"85",807000,"Powiat sulęciński",1995,19
"86",808000,"Powiat świebodziński",1995,31
"87",809000,"Powiat zielonogórski",1995,88
"88",810000,"Powiat żagański",1995,106
"89",811000,"Powiat żarski",1995,57
"90",812000,"Powiat wschowski",1995,NA
"91",861000,"Powiat m.Gorzów Wielkopolski",1995,364
"92",862000,"Powiat m.Zielona Góra",1995,298
"93",1001000,"Powiat bełchatowski",1995,200
"94",1002000,"Powiat kutnowski",1995,65
"95",1003000,"Powiat łaski",1995,30
"96",1004000,"Powiat łęczycki",1995,18
"97",1005000,"Powiat łowicki",1995,167
"98",1006000,"Powiat łódzki wschodni",1995,105
"99",1007000,"Powiat opoczyński",1995,226
"100",1008000,"Powiat pabianicki",1995,293
"101",1009000,"Powiat pajęczański",1995,64
"102",1010000,"Powiat piotrkowski",1995,103
"103",1011000,"Powiat poddębicki",1995,88
"104",1012000,"Powiat radomszczański",1995,193
"105",1013000,"Powiat rawski",1995,48
"106",1014000,"Powiat sieradzki",1995,148
"107",1015000,"Powiat skierniewicki",1995,67
"108",1016000,"Powiat tomaszowski",1995,122
"109",1017000,"Powiat wieluński",1995,83
"110",1018000,"Powiat wieruszowski",1995,13
"111",1019000,"Powiat zduńskowolski",1995,43
"112",1020000,"Powiat zgierski",1995,260
"113",1021000,"Powiat brzeziński",1995,NA
"114",1061000,"Powiat m.Łódź",1995,977
"115",1062000,"Powiat m.Piotrków Trybunalski",1995,88
"116",1063000,"Powiat m.Skierniewice",1995,64
"117",1201000,"Powiat bocheński",1995,185
"118",1202000,"Powiat brzeski",1995,219
"119",1203000,"Powiat chrzanowski",1995,173
"120",1204000,"Powiat dąbrowski",1995,101
"121",1205000,"Powiat gorlicki",1995,179
"122",1206000,"Powiat krakowski",1995,481
"123",1207000,"Powiat limanowski",1995,188
"124",1208000,"Powiat miechowski",1995,74
"125",1209000,"Powiat myślenicki",1995,244
"126",1210000,"Powiat nowosądecki",1995,94
"127",1211000,"Powiat nowotarski",1995,317
"128",1212000,"Powiat olkuski",1995,126
"129",1213000,"Powiat oświęcimski",1995,193
"130",1214000,"Powiat proszowicki",1995,79
"131",1215000,"Powiat suski",1995,137
"132",1216000,"Powiat tarnowski",1995,359
"133",1217000,"Powiat tatrzański",1995,135
"134",1218000,"Powiat wadowicki",1995,298
"135",1219000,"Powiat wielicki",1995,290
"136",1261000,"Powiat m.Kraków",1995,1677
"137",1262000,"Powiat m.Nowy Sącz",1995,188
"138",1263000,"Powiat m.Tarnów",1995,138
"139",1401000,"Powiat białobrzeski",1995,112
"140",1402000,"Powiat ciechanowski",1995,38
"141",1403000,"Powiat garwoliński",1995,284
"142",1404000,"Powiat gostyniński",1995,90
"143",1405000,"Powiat grodziski",1995,278
"144",1406000,"Powiat grójecki",1995,241
"145",1407000,"Powiat kozienicki",1995,90
"146",1408000,"Powiat legionowski",1995,177
