"","Kod","Nazwa","rok","Mieszkania_oddane_do_uzytkowania_ogolem_powierzchnia_uZytkowa_mieszkan_m2"
"9551",201000,"Powiat bolesławiecki",1995,7841
"9552",202000,"Powiat dzierżoniowski",1995,9644
"9553",203000,"Powiat głogowski",1995,5615
"9554",204000,"Powiat górowski",1995,2526
"9555",205000,"Powiat jaworski",1995,925
"9556",206000,"Powiat jeleniogórski",1995,9134
"9557",207000,"Powiat kamiennogórski",1995,2302
"9558",208000,"Powiat kłodzki",1995,10466
"9559",209000,"Powiat legnicki",1995,3140
"9560",210000,"Powiat lubański",1995,2142
"9561",211000,"Powiat lubiński",1995,11709
"9562",212000,"Powiat lwówecki",1995,5641
"9563",213000,"Powiat milicki",1995,2913
"9564",214000,"Powiat oleśnicki",1995,14416
"9565",215000,"Powiat oławski",1995,3855
"9566",216000,"Powiat polkowicki",1995,14145
"9567",217000,"Powiat strzeliński",1995,2716
"9568",218000,"Powiat średzki",1995,5906
"9569",219000,"Powiat świdnicki",1995,12680
"9570",220000,"Powiat trzebnicki",1995,8230
"9571",221000,"Powiat wałbrzyski",1995,1895
"9572",222000,"Powiat wołowski",1995,578
"9573",223000,"Powiat wrocławski",1995,10874
"9574",224000,"Powiat ząbkowicki",1995,4171
"9575",225000,"Powiat zgorzelecki",1995,19871
"9576",226000,"Powiat złotoryjski",1995,538
"9577",261000,"Powiat m.Jelenia Góra",1995,14426
"9578",262000,"Powiat m.Legnica",1995,3685
"9579",263000,"Powiat m.Wałbrzych do 2002",1995,5564
"9580",264000,"Powiat m.Wrocław",1995,88887
"9581",265000,"Powiat m.Wałbrzych od 2013",1995,NA
"9582",401000,"Powiat aleksandrowski",1995,4138
"9583",402000,"Powiat brodnicki",1995,15158
"9584",403000,"Powiat bydgoski",1995,10803
"9585",404000,"Powiat chełmiński",1995,2137
"9586",405000,"Powiat golubsko-dobrzyński",1995,4772
"9587",406000,"Powiat grudziądzki",1995,2459
"9588",407000,"Powiat inowrocławski",1995,20741
"9589",408000,"Powiat lipnowski",1995,12222
"9590",409000,"Powiat mogileński",1995,3268
"9591",410000,"Powiat nakielski",1995,9100
"9592",411000,"Powiat radziejowski",1995,6895
"9593",412000,"Powiat rypiński",1995,4103
"9594",413000,"Powiat sępoleński",1995,3071
"9595",414000,"Powiat świecki",1995,13515
"9596",415000,"Powiat toruński",1995,6742
"9597",416000,"Powiat tucholski",1995,4468
"9598",417000,"Powiat wąbrzeski",1995,3256
"9599",418000,"Powiat włocławski",1995,9230
"9600",419000,"Powiat żniński",1995,8393
"9601",461000,"Powiat m.Bydgoszcz",1995,56313
"9602",462000,"Powiat m.Grudziądz",1995,9257
"9603",463000,"Powiat m.Toruń",1995,72005
"9604",464000,"Powiat m.Włocławek",1995,20396
"9605",601000,"Powiat bialski",1995,19429
"9606",602000,"Powiat biłgorajski",1995,29055
"9607",603000,"Powiat chełmski",1995,15567
"9608",604000,"Powiat hrubieszowski",1995,6762
"9609",605000,"Powiat janowski",1995,14277
"9610",606000,"Powiat krasnostawski",1995,17856
"9611",607000,"Powiat kraśnicki",1995,28336
"9612",608000,"Powiat lubartowski",1995,14831
"9613",609000,"Powiat lubelski",1995,28108
"9614",610000,"Powiat łęczyński",1995,5590
"9615",611000,"Powiat łukowski",1995,15818
"9616",612000,"Powiat opolski",1995,15768
"9617",613000,"Powiat parczewski",1995,9317
"9618",614000,"Powiat puławski",1995,35884
"9619",615000,"Powiat radzyński",1995,15431
"9620",616000,"Powiat rycki",1995,6862
"9621",617000,"Powiat świdnicki",1995,22946
"9622",618000,"Powiat tomaszowski",1995,30966
"9623",619000,"Powiat włodawski",1995,9748
"9624",620000,"Powiat zamojski",1995,18571
"9625",661000,"Powiat m.Biała Podlaska",1995,20161
"9626",662000,"Powiat m.Chełm",1995,28373
"9627",663000,"Powiat m.Lublin",1995,142256
"9628",664000,"Powiat m.Zamość",1995,27983
"9629",801000,"Powiat gorzowski",1995,9302
"9630",802000,"Powiat krośnieński",1995,5910
"9631",803000,"Powiat międzyrzecki",1995,2102
"9632",804000,"Powiat nowosolski",1995,7740
"9633",805000,"Powiat słubicki",1995,8597
"9634",806000,"Powiat strzelecko-drezdenecki",1995,487
"9635",807000,"Powiat sulęciński",1995,2257
"9636",808000,"Powiat świebodziński",1995,3994
"9637",809000,"Powiat zielonogórski",1995,10018
"9638",810000,"Powiat żagański",1995,7888
"9639",811000,"Powiat żarski",1995,6178
"9640",812000,"Powiat wschowski",1995,NA
"9641",861000,"Powiat m.Gorzów Wielkopolski",1995,32299
"9642",862000,"Powiat m.Zielona Góra",1995,23914
