"","Kod","Nazwa","rok","Muzea_zwiedzajacy_muzea_i_oddzialy_na_10_tys_mieszkancow_osoba"
"8351",201000,"Powiat bolesławiecki",1995,NA
"8352",202000,"Powiat dzierżoniowski",1995,NA
"8353",203000,"Powiat głogowski",1995,NA
"8354",205000,"Powiat jaworski",1995,NA
"8355",206000,"Powiat jeleniogórski",1995,NA
"8356",207000,"Powiat kamiennogórski",1995,NA
"8357",208000,"Powiat kłodzki",1995,NA
"8358",209000,"Powiat legnicki",1995,NA
"8359",210000,"Powiat lubański",1995,NA
"8360",211000,"Powiat lubiński",1995,NA
"8361",212000,"Powiat lwówecki",1995,NA
"8362",214000,"Powiat oleśnicki",1995,NA
"8363",218000,"Powiat średzki",1995,NA
"8364",219000,"Powiat świdnicki",1995,NA
"8365",220000,"Powiat trzebnicki",1995,NA
"8366",221000,"Powiat wałbrzyski",1995,NA
"8367",223000,"Powiat wrocławski",1995,NA
"8368",224000,"Powiat ząbkowicki",1995,NA
"8369",225000,"Powiat zgorzelecki",1995,NA
"8370",261000,"Powiat m.Jelenia Góra",1995,NA
"8371",262000,"Powiat m.Legnica",1995,NA
"8372",263000,"Powiat m.Wałbrzych do 2002",1995,NA
"8373",264000,"Powiat m.Wrocław",1995,NA
"8374",265000,"Powiat m.Wałbrzych od 2013",1995,NA
"8375",401000,"Powiat aleksandrowski",1995,NA
"8376",402000,"Powiat brodnicki",1995,NA
"8377",403000,"Powiat bydgoski",1995,NA
"8378",404000,"Powiat chełmiński",1995,NA
"8379",405000,"Powiat golubsko-dobrzyński",1995,NA
"8380",407000,"Powiat inowrocławski",1995,NA
"8381",409000,"Powiat mogileński",1995,NA
"8382",410000,"Powiat nakielski",1995,NA
"8383",412000,"Powiat rypiński",1995,NA
"8384",413000,"Powiat sępoleński",1995,NA
"8385",415000,"Powiat toruński",1995,NA
"8386",416000,"Powiat tucholski",1995,NA
"8387",417000,"Powiat wąbrzeski",1995,NA
"8388",418000,"Powiat włocławski",1995,NA
"8389",419000,"Powiat żniński",1995,NA
"8390",461000,"Powiat m.Bydgoszcz",1995,NA
"8391",462000,"Powiat m.Grudziądz",1995,NA
"8392",463000,"Powiat m.Toruń",1995,NA
"8393",464000,"Powiat m.Włocławek",1995,NA
"8394",601000,"Powiat bialski",1995,NA
"8395",602000,"Powiat biłgorajski",1995,NA
"8396",604000,"Powiat hrubieszowski",1995,NA
"8397",605000,"Powiat janowski",1995,NA
"8398",606000,"Powiat krasnostawski",1995,NA
"8399",607000,"Powiat kraśnicki",1995,NA
"8400",608000,"Powiat lubartowski",1995,NA
"8401",609000,"Powiat lubelski",1995,NA
"8402",610000,"Powiat łęczyński",1995,NA
"8403",611000,"Powiat łukowski",1995,NA
"8404",612000,"Powiat opolski",1995,NA
"8405",613000,"Powiat parczewski",1995,NA
"8406",614000,"Powiat puławski",1995,NA
"8407",616000,"Powiat rycki",1995,NA
"8408",618000,"Powiat tomaszowski",1995,NA
"8409",619000,"Powiat włodawski",1995,NA
"8410",620000,"Powiat zamojski",1995,NA
"8411",661000,"Powiat m.Biała Podlaska",1995,NA
"8412",662000,"Powiat m.Chełm",1995,NA
