"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_prob_zachowan_samobojczych_na_100_tys_ludnosci_ogolem_osoba"
"1521",201000,"Powiat bolesławiecki",2018,17
"1522",202000,"Powiat dzierżoniowski",2018,41
"1523",203000,"Powiat głogowski",2018,16
"1524",204000,"Powiat górowski",2018,17
"1525",205000,"Powiat jaworski",2018,30
"1526",206000,"Powiat jeleniogórski",2018,130
"1527",207000,"Powiat kamiennogórski",2018,16
"1528",208000,"Powiat kłodzki",2018,24
"1529",209000,"Powiat legnicki",2018,65
"1530",210000,"Powiat lubański",2018,33
"1531",211000,"Powiat lubiński",2018,22
"1532",212000,"Powiat lwówecki",2018,24
"1533",213000,"Powiat milicki",2018,22
"1534",214000,"Powiat oleśnicki",2018,22
"1535",215000,"Powiat oławski",2018,22
"1536",216000,"Powiat polkowicki",2018,37
"1537",217000,"Powiat strzeliński",2018,30
"1538",218000,"Powiat średzki",2018,42
"1539",219000,"Powiat świdnicki",2018,27
"1540",220000,"Powiat trzebnicki",2018,14
"1541",221000,"Powiat wałbrzyski",2018,79
"1542",222000,"Powiat wołowski",2018,38
"1543",223000,"Powiat wrocławski",2018,175
"1544",224000,"Powiat ząbkowicki",2018,37
"1545",225000,"Powiat zgorzelecki",2018,30
"1546",226000,"Powiat złotoryjski",2018,43
"1547",261000,"Powiat m.Jelenia Góra",2018,104
"1548",262000,"Powiat m.Legnica",2018,36
"1549",264000,"Powiat m.Wrocław",2018,40
"1550",265000,"Powiat m.Wałbrzych od 2013",2018,39
"1551",401000,"Powiat aleksandrowski",2018,33
"1552",402000,"Powiat brodnicki",2018,19
"1553",403000,"Powiat bydgoski",2018,66
"1554",404000,"Powiat chełmiński",2018,21
"1555",405000,"Powiat golubsko-dobrzyński",2018,22
"1556",406000,"Powiat grudziądzki",2018,72
"1557",407000,"Powiat inowrocławski",2018,23
"1558",408000,"Powiat lipnowski",2018,59
"1559",409000,"Powiat mogileński",2018,17
"1560",410000,"Powiat nakielski",2018,21
"1561",411000,"Powiat radziejowski",2018,25
"1562",412000,"Powiat rypiński",2018,30
"1563",413000,"Powiat sępoleński",2018,51
"1564",414000,"Powiat świecki",2018,20
"1565",415000,"Powiat toruński",2018,27
"1566",416000,"Powiat tucholski",2018,23
"1567",417000,"Powiat wąbrzeski",2018,17
"1568",418000,"Powiat włocławski",2018,36
"1569",419000,"Powiat żniński",2018,13
"1570",461000,"Powiat m.Bydgoszcz",2018,22
"1571",462000,"Powiat m.Grudziądz",2018,31
"1572",463000,"Powiat m.Toruń",2018,14
"1573",464000,"Powiat m.Włocławek",2018,28
"1574",601000,"Powiat bialski",2018,42
"1575",602000,"Powiat biłgorajski",2018,30
"1576",603000,"Powiat chełmski",2018,41
"1577",604000,"Powiat hrubieszowski",2018,38
"1578",605000,"Powiat janowski",2018,35
"1579",606000,"Powiat krasnostawski",2018,28
"1580",607000,"Powiat kraśnicki",2018,54
"1581",608000,"Powiat lubartowski",2018,30
"1582",609000,"Powiat lubelski",2018,74
"1583",610000,"Powiat łęczyński",2018,21
"1584",611000,"Powiat łukowski",2018,26
"1585",612000,"Powiat opolski",2018,37
"1586",613000,"Powiat parczewski",2018,20
"1587",614000,"Powiat puławski",2018,57
"1588",615000,"Powiat radzyński",2018,25
"1589",616000,"Powiat rycki",2018,21
"1590",617000,"Powiat świdnicki",2018,26
"1591",618000,"Powiat tomaszowski",2018,32
"1592",619000,"Powiat włodawski",2018,16
"1593",620000,"Powiat zamojski",2018,36
"1594",661000,"Powiat m.Biała Podlaska",2018,82
"1595",662000,"Powiat m.Chełm",2018,51
"1596",663000,"Powiat m.Lublin",2018,34
"1597",664000,"Powiat m.Zamość",2018,61
"1598",801000,"Powiat gorzowski",2018,32
"1599",802000,"Powiat krośnieński",2018,13
"1600",803000,"Powiat międzyrzecki",2018,14
"1601",804000,"Powiat nowosolski",2018,90
"1602",805000,"Powiat słubicki",2018,28
"1603",806000,"Powiat strzelecko-drezdenecki",2018,14
"1604",807000,"Powiat sulęciński",2018,37
"1605",808000,"Powiat świebodziński",2018,56
"1606",809000,"Powiat zielonogórski",2018,69
"1607",810000,"Powiat żagański",2018,30
