"","Kod","Nazwa","rok","Osoby_w_zamachach_samobojczych_liczba_samobojstw_zakonczonych_zgonem_na_100_tys_ludnosci_ogolem_osoba"
"2281",201000,"Powiat bolesławiecki",2018,17
"2282",202000,"Powiat dzierżoniowski",2018,41
"2283",203000,"Powiat głogowski",2018,16
"2284",204000,"Powiat górowski",2018,17
"2285",205000,"Powiat jaworski",2018,30
"2286",206000,"Powiat jeleniogórski",2018,130
"2287",207000,"Powiat kamiennogórski",2018,16
"2288",208000,"Powiat kłodzki",2018,24
"2289",209000,"Powiat legnicki",2018,65
"2290",210000,"Powiat lubański",2018,33
"2291",211000,"Powiat lubiński",2018,22
"2292",212000,"Powiat lwówecki",2018,24
"2293",213000,"Powiat milicki",2018,22
"2294",214000,"Powiat oleśnicki",2018,22
"2295",215000,"Powiat oławski",2018,22
"2296",216000,"Powiat polkowicki",2018,37
"2297",217000,"Powiat strzeliński",2018,30
"2298",218000,"Powiat średzki",2018,42
"2299",219000,"Powiat świdnicki",2018,27
"2300",220000,"Powiat trzebnicki",2018,14
"2301",221000,"Powiat wałbrzyski",2018,79
"2302",222000,"Powiat wołowski",2018,38
"2303",223000,"Powiat wrocławski",2018,175
"2304",224000,"Powiat ząbkowicki",2018,37
"2305",225000,"Powiat zgorzelecki",2018,30
"2306",226000,"Powiat złotoryjski",2018,43
"2307",261000,"Powiat m.Jelenia Góra",2018,104
"2308",262000,"Powiat m.Legnica",2018,36
"2309",264000,"Powiat m.Wrocław",2018,40
"2310",265000,"Powiat m.Wałbrzych od 2013",2018,39
"2311",401000,"Powiat aleksandrowski",2018,33
"2312",402000,"Powiat brodnicki",2018,19
"2313",403000,"Powiat bydgoski",2018,66
"2314",404000,"Powiat chełmiński",2018,21
"2315",405000,"Powiat golubsko-dobrzyński",2018,22
"2316",406000,"Powiat grudziądzki",2018,72
"2317",407000,"Powiat inowrocławski",2018,23
"2318",408000,"Powiat lipnowski",2018,59
"2319",409000,"Powiat mogileński",2018,17
"2320",410000,"Powiat nakielski",2018,21
"2321",411000,"Powiat radziejowski",2018,25
"2322",412000,"Powiat rypiński",2018,30
"2323",413000,"Powiat sępoleński",2018,51
"2324",414000,"Powiat świecki",2018,20
"2325",415000,"Powiat toruński",2018,27
"2326",416000,"Powiat tucholski",2018,23
"2327",417000,"Powiat wąbrzeski",2018,17
"2328",418000,"Powiat włocławski",2018,36
"2329",419000,"Powiat żniński",2018,13
"2330",461000,"Powiat m.Bydgoszcz",2018,22
"2331",462000,"Powiat m.Grudziądz",2018,31
"2332",463000,"Powiat m.Toruń",2018,14
"2333",464000,"Powiat m.Włocławek",2018,28
"2334",601000,"Powiat bialski",2018,42
"2335",602000,"Powiat biłgorajski",2018,30
"2336",603000,"Powiat chełmski",2018,41
"2337",604000,"Powiat hrubieszowski",2018,38
"2338",605000,"Powiat janowski",2018,35
"2339",606000,"Powiat krasnostawski",2018,28
"2340",607000,"Powiat kraśnicki",2018,54
"2341",608000,"Powiat lubartowski",2018,30
"2342",609000,"Powiat lubelski",2018,74
"2343",610000,"Powiat łęczyński",2018,21
"2344",611000,"Powiat łukowski",2018,26
"2345",612000,"Powiat opolski",2018,37
"2346",613000,"Powiat parczewski",2018,20
"2347",614000,"Powiat puławski",2018,57
"2348",615000,"Powiat radzyński",2018,25
"2349",616000,"Powiat rycki",2018,21
"2350",617000,"Powiat świdnicki",2018,26
"2351",618000,"Powiat tomaszowski",2018,32
"2352",619000,"Powiat włodawski",2018,16
"2353",620000,"Powiat zamojski",2018,36
"2354",661000,"Powiat m.Biała Podlaska",2018,82
"2355",662000,"Powiat m.Chełm",2018,51
"2356",663000,"Powiat m.Lublin",2018,34
"2357",664000,"Powiat m.Zamość",2018,61
"2358",801000,"Powiat gorzowski",2018,32
"2359",802000,"Powiat krośnieński",2018,13
"2360",803000,"Powiat międzyrzecki",2018,14
"2361",804000,"Powiat nowosolski",2018,90
"2362",805000,"Powiat słubicki",2018,28
"2363",806000,"Powiat strzelecko-drezdenecki",2018,14
"2364",807000,"Powiat sulęciński",2018,37
"2365",808000,"Powiat świebodziński",2018,56
"2366",809000,"Powiat zielonogórski",2018,69
"2367",810000,"Powiat żagański",2018,30
"2368",811000,"Powiat żarski",2018,32
"2369",812000,"Powiat wschowski",2018,18
"2370",861000,"Powiat m.Gorzów Wielkopolski",2018,19
"2371",862000,"Powiat m.Zielona Góra",2018,37
"2372",1001000,"Powiat bełchatowski",2018,65
"2373",1002000,"Powiat kutnowski",2018,51
"2374",1003000,"Powiat łaski",2018,36
"2375",1004000,"Powiat łęczycki",2018,40
"2376",1005000,"Powiat łowicki",2018,39
"2377",1006000,"Powiat łódzki wschodni",2018,36
"2378",1007000,"Powiat opoczyński",2018,25
"2379",1008000,"Powiat pabianicki",2018,27
"2380",1009000,"Powiat pajęczański",2018,16
"2381",1010000,"Powiat piotrkowski",2018,110
"2382",1011000,"Powiat poddębicki",2018,53
"2383",1012000,"Powiat radomszczański",2018,49
"2384",1013000,"Powiat rawski",2018,12
"2385",1014000,"Powiat sieradzki",2018,39
"2386",1015000,"Powiat skierniewicki",2018,81
"2387",1016000,"Powiat tomaszowski",2018,50
"2388",1017000,"Powiat wieluński",2018,40
"2389",1018000,"Powiat wieruszowski",2018,28
"2390",1019000,"Powiat zduńskowolski",2018,21
"2391",1020000,"Powiat zgierski",2018,43
"2392",1021000,"Powiat brzeziński",2018,10
"2393",1061000,"Powiat m.Łódź",2018,75
"2394",1062000,"Powiat m.Piotrków Trybunalski",2018,136
"2395",1063000,"Powiat m.Skierniewice",2018,64
"2396",1201000,"Powiat bocheński",2018,41
"2397",1202000,"Powiat brzeski",2018,34
"2398",1203000,"Powiat chrzanowski",2018,45
"2399",1204000,"Powiat dąbrowski",2018,32
"2400",1205000,"Powiat gorlicki",2018,17
"2401",1206000,"Powiat krakowski",2018,15
"2402",1207000,"Powiat limanowski",2018,15
"2403",1208000,"Powiat miechowski",2018,35
"2404",1209000,"Powiat myślenicki",2018,26
"2405",1210000,"Powiat nowosądecki",2018,35
"2406",1211000,"Powiat nowotarski",2018,13
"2407",1212000,"Powiat olkuski",2018,32
"2408",1213000,"Powiat oświęcimski",2018,32
"2409",1214000,"Powiat proszowicki",2018,34
"2410",1215000,"Powiat suski",2018,25
"2411",1216000,"Powiat tarnowski",2018,70
"2412",1217000,"Powiat tatrzański",2018,26
"2413",1218000,"Powiat wadowicki",2018,42
"2414",1219000,"Powiat wielicki",2018,33
"2415",1261000,"Powiat m.Kraków",2018,34
"2416",1262000,"Powiat m.Nowy Sącz",2018,89
"2417",1263000,"Powiat m.Tarnów",2018,130
"2418",1401000,"Powiat białobrzeski",2018,45
"2419",1402000,"Powiat ciechanowski",2018,31
"2420",1403000,"Powiat garwoliński",2018,25
"2421",1404000,"Powiat gostyniński",2018,29
"2422",1405000,"Powiat grodziski",2018,15
"2423",1406000,"Powiat grójecki",2018,25
"2424",1407000,"Powiat kozienicki",2018,13
"2425",1408000,"Powiat legionowski",2018,22
"2426",1409000,"Powiat lipski",2018,35
"2427",1410000,"Powiat łosicki",2018,35
"2428",1411000,"Powiat makowski",2018,33
"2429",1412000,"Powiat miński",2018,31
