"","Kod","Nazwa","rok","POJAZDY_CTAB_ciagniki_rolnicze_szt"
"40006",201000,"Powiat bolesławiecki",1999,NA
"40007",202000,"Powiat dzierżoniowski",1999,NA
"40008",203000,"Powiat głogowski",1999,NA
"40009",204000,"Powiat górowski",1999,NA
"40010",205000,"Powiat jaworski",1999,NA
"40011",206000,"Powiat jeleniogórski",1999,NA
"40012",207000,"Powiat kamiennogórski",1999,NA
"40013",208000,"Powiat kłodzki",1999,NA
"40014",209000,"Powiat legnicki",1999,NA
"40015",210000,"Powiat lubański",1999,NA
"40016",211000,"Powiat lubiński",1999,NA
"40017",212000,"Powiat lwówecki",1999,NA
"40018",213000,"Powiat milicki",1999,NA
"40019",214000,"Powiat oleśnicki",1999,NA
"40020",215000,"Powiat oławski",1999,NA
"40021",216000,"Powiat polkowicki",1999,NA
"40022",217000,"Powiat strzeliński",1999,NA
"40023",218000,"Powiat średzki",1999,NA
"40024",219000,"Powiat świdnicki",1999,NA
"40025",220000,"Powiat trzebnicki",1999,NA
"40026",221000,"Powiat wałbrzyski",1999,NA
"40027",222000,"Powiat wołowski",1999,NA
"40028",223000,"Powiat wrocławski",1999,NA
"40029",224000,"Powiat ząbkowicki",1999,NA
"40030",225000,"Powiat zgorzelecki",1999,NA
"40031",226000,"Powiat złotoryjski",1999,NA
"40032",261000,"Powiat m.Jelenia Góra",1999,NA
"40033",262000,"Powiat m.Legnica",1999,NA
"40034",263000,"Powiat m.Wałbrzych do 2002",1999,NA
"40035",264000,"Powiat m.Wrocław",1999,NA
"40036",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"40037",401000,"Powiat aleksandrowski",1999,NA
"40038",402000,"Powiat brodnicki",1999,NA
"40039",403000,"Powiat bydgoski",1999,NA
"40040",404000,"Powiat chełmiński",1999,NA
"40041",405000,"Powiat golubsko-dobrzyński",1999,NA
"40042",406000,"Powiat grudziądzki",1999,NA
"40043",407000,"Powiat inowrocławski",1999,NA
"40044",408000,"Powiat lipnowski",1999,NA
"40045",409000,"Powiat mogileński",1999,NA
"40046",410000,"Powiat nakielski",1999,NA
"40047",411000,"Powiat radziejowski",1999,NA
"40048",412000,"Powiat rypiński",1999,NA
"40049",413000,"Powiat sępoleński",1999,NA
"40050",414000,"Powiat świecki",1999,NA
"40051",415000,"Powiat toruński",1999,NA
"40052",416000,"Powiat tucholski",1999,NA
"40053",417000,"Powiat wąbrzeski",1999,NA
"40054",418000,"Powiat włocławski",1999,NA
"40055",419000,"Powiat żniński",1999,NA
"40056",461000,"Powiat m.Bydgoszcz",1999,NA
"40057",462000,"Powiat m.Grudziądz",1999,NA
"40058",463000,"Powiat m.Toruń",1999,NA
"40059",464000,"Powiat m.Włocławek",1999,NA
"40060",601000,"Powiat bialski",1999,NA
"40061",602000,"Powiat biłgorajski",1999,NA
"40062",603000,"Powiat chełmski",1999,NA
"40063",604000,"Powiat hrubieszowski",1999,NA
"40064",605000,"Powiat janowski",1999,NA
