"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_cieZarowe_o_ladownosci_10_ton_i_wiekszej_szt"
"32005",201000,"Powiat bolesławiecki",1999,NA
"32006",202000,"Powiat dzierżoniowski",1999,NA
"32007",203000,"Powiat głogowski",1999,NA
"32008",204000,"Powiat górowski",1999,NA
"32009",205000,"Powiat jaworski",1999,NA
"32010",206000,"Powiat jeleniogórski",1999,NA
"32011",207000,"Powiat kamiennogórski",1999,NA
"32012",208000,"Powiat kłodzki",1999,NA
"32013",209000,"Powiat legnicki",1999,NA
"32014",210000,"Powiat lubański",1999,NA
"32015",211000,"Powiat lubiński",1999,NA
"32016",212000,"Powiat lwówecki",1999,NA
"32017",213000,"Powiat milicki",1999,NA
"32018",214000,"Powiat oleśnicki",1999,NA
"32019",215000,"Powiat oławski",1999,NA
"32020",216000,"Powiat polkowicki",1999,NA
"32021",217000,"Powiat strzeliński",1999,NA
"32022",218000,"Powiat średzki",1999,NA
"32023",219000,"Powiat świdnicki",1999,NA
"32024",220000,"Powiat trzebnicki",1999,NA
"32025",221000,"Powiat wałbrzyski",1999,NA
"32026",222000,"Powiat wołowski",1999,NA
"32027",223000,"Powiat wrocławski",1999,NA
"32028",224000,"Powiat ząbkowicki",1999,NA
"32029",225000,"Powiat zgorzelecki",1999,NA
"32030",226000,"Powiat złotoryjski",1999,NA
"32031",261000,"Powiat m.Jelenia Góra",1999,NA
"32032",262000,"Powiat m.Legnica",1999,NA
"32033",263000,"Powiat m.Wałbrzych do 2002",1999,NA
"32034",264000,"Powiat m.Wrocław",1999,NA
"32035",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"32036",401000,"Powiat aleksandrowski",1999,NA
"32037",402000,"Powiat brodnicki",1999,NA
"32038",403000,"Powiat bydgoski",1999,NA
"32039",404000,"Powiat chełmiński",1999,NA
"32040",405000,"Powiat golubsko-dobrzyński",1999,NA
"32041",406000,"Powiat grudziądzki",1999,NA
"32042",407000,"Powiat inowrocławski",1999,NA
"32043",408000,"Powiat lipnowski",1999,NA
"32044",409000,"Powiat mogileński",1999,NA
"32045",410000,"Powiat nakielski",1999,NA
"32046",411000,"Powiat radziejowski",1999,NA
"32047",412000,"Powiat rypiński",1999,NA
"32048",413000,"Powiat sępoleński",1999,NA
"32049",414000,"Powiat świecki",1999,NA
"32050",415000,"Powiat toruński",1999,NA
"32051",416000,"Powiat tucholski",1999,NA
"32052",417000,"Powiat wąbrzeski",1999,NA
"32053",418000,"Powiat włocławski",1999,NA
"32054",419000,"Powiat żniński",1999,NA
"32055",461000,"Powiat m.Bydgoszcz",1999,NA
"32056",462000,"Powiat m.Grudziądz",1999,NA
