"","Kod","Nazwa","rok","POJAZDY_CTAB_samochody_osobowe_szt"
"8002",201000,"Powiat bolesławiecki",1999,NA
"8003",202000,"Powiat dzierżoniowski",1999,NA
"8004",203000,"Powiat głogowski",1999,NA
"8005",204000,"Powiat górowski",1999,NA
"8006",205000,"Powiat jaworski",1999,NA
"8007",206000,"Powiat jeleniogórski",1999,NA
"8008",207000,"Powiat kamiennogórski",1999,NA
"8009",208000,"Powiat kłodzki",1999,NA
"8010",209000,"Powiat legnicki",1999,NA
"8011",210000,"Powiat lubański",1999,NA
"8012",211000,"Powiat lubiński",1999,NA
"8013",212000,"Powiat lwówecki",1999,NA
"8014",213000,"Powiat milicki",1999,NA
"8015",214000,"Powiat oleśnicki",1999,NA
"8016",215000,"Powiat oławski",1999,NA
"8017",216000,"Powiat polkowicki",1999,NA
"8018",217000,"Powiat strzeliński",1999,NA
"8019",218000,"Powiat średzki",1999,NA
"8020",219000,"Powiat świdnicki",1999,NA
"8021",220000,"Powiat trzebnicki",1999,NA
"8022",221000,"Powiat wałbrzyski",1999,NA
"8023",222000,"Powiat wołowski",1999,NA
"8024",223000,"Powiat wrocławski",1999,NA
"8025",224000,"Powiat ząbkowicki",1999,NA
"8026",225000,"Powiat zgorzelecki",1999,NA
"8027",226000,"Powiat złotoryjski",1999,NA
"8028",261000,"Powiat m.Jelenia Góra",1999,NA
"8029",262000,"Powiat m.Legnica",1999,NA
"8030",263000,"Powiat m.Wałbrzych do 2002",1999,NA
"8031",264000,"Powiat m.Wrocław",1999,NA
"8032",265000,"Powiat m.Wałbrzych od 2013",1999,NA
"8033",401000,"Powiat aleksandrowski",1999,NA
"8034",402000,"Powiat brodnicki",1999,NA
"8035",403000,"Powiat bydgoski",1999,NA
"8036",404000,"Powiat chełmiński",1999,NA
"8037",405000,"Powiat golubsko-dobrzyński",1999,NA
"8038",406000,"Powiat grudziądzki",1999,NA
"8039",407000,"Powiat inowrocławski",1999,NA
"8040",408000,"Powiat lipnowski",1999,NA
"8041",409000,"Powiat mogileński",1999,NA
"8042",410000,"Powiat nakielski",1999,NA
"8043",411000,"Powiat radziejowski",1999,NA
"8044",412000,"Powiat rypiński",1999,NA
"8045",413000,"Powiat sępoleński",1999,NA
"8046",414000,"Powiat świecki",1999,NA
"8047",415000,"Powiat toruński",1999,NA
"8048",416000,"Powiat tucholski",1999,NA
"8049",417000,"Powiat wąbrzeski",1999,NA
"8050",418000,"Powiat włocławski",1999,NA
"8051",419000,"Powiat żniński",1999,NA
"8052",461000,"Powiat m.Bydgoszcz",1999,NA
"8053",462000,"Powiat m.Grudziądz",1999,NA
"8054",463000,"Powiat m.Toruń",1999,NA
"8055",464000,"Powiat m.Włocławek",1999,NA
"8056",601000,"Powiat bialski",1999,NA
"8057",602000,"Powiat biłgorajski",1999,NA
"8058",603000,"Powiat chełmski",1999,NA
"8059",604000,"Powiat hrubieszowski",1999,NA
"8060",605000,"Powiat janowski",1999,NA
"8061",606000,"Powiat krasnostawski",1999,NA
"8062",607000,"Powiat kraśnicki",1999,NA
"8063",608000,"Powiat lubartowski",1999,NA
