"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezdomnosc"
"3801",201000,"Powiat bolesławiecki",2014,138
"3802",202000,"Powiat dzierżoniowski",2014,126
"3803",203000,"Powiat głogowski",2014,112
"3804",204000,"Powiat górowski",2014,38
"3805",205000,"Powiat jaworski",2014,65
"3806",206000,"Powiat jeleniogórski",2014,111
"3807",207000,"Powiat kamiennogórski",2014,38
"3808",208000,"Powiat kłodzki",2014,169
"3809",209000,"Powiat legnicki",2014,36
"3810",210000,"Powiat lubański",2014,53
"3811",211000,"Powiat lubiński",2014,127
"3812",212000,"Powiat lwówecki",2014,29
"3813",213000,"Powiat milicki",2014,16
"3814",214000,"Powiat oleśnicki",2014,59
"3815",215000,"Powiat oławski",2014,31
"3816",216000,"Powiat polkowicki",2014,83
"3817",217000,"Powiat strzeliński",2014,14
"3818",218000,"Powiat średzki",2014,27
"3819",219000,"Powiat świdnicki",2014,238
"3820",220000,"Powiat trzebnicki",2014,48
"3821",221000,"Powiat wałbrzyski",2014,64
"3822",222000,"Powiat wołowski",2014,105
"3823",223000,"Powiat wrocławski",2014,71
"3824",224000,"Powiat ząbkowicki",2014,32
"3825",225000,"Powiat zgorzelecki",2014,137
"3826",226000,"Powiat złotoryjski",2014,40
"3827",261000,"Powiat m.Jelenia Góra",2014,127
"3828",262000,"Powiat m.Legnica",2014,175
"3829",264000,"Powiat m.Wrocław",2014,536
"3830",265000,"Powiat m.Wałbrzych od 2013",2014,298
"3831",401000,"Powiat aleksandrowski",2014,30
"3832",402000,"Powiat brodnicki",2014,72
"3833",403000,"Powiat bydgoski",2014,120
"3834",404000,"Powiat chełmiński",2014,57
"3835",405000,"Powiat golubsko-dobrzyński",2014,33
"3836",406000,"Powiat grudziądzki",2014,17
"3837",407000,"Powiat inowrocławski",2014,150
"3838",408000,"Powiat lipnowski",2014,44
"3839",409000,"Powiat mogileński",2014,69
"3840",410000,"Powiat nakielski",2014,110
"3841",411000,"Powiat radziejowski",2014,20
"3842",412000,"Powiat rypiński",2014,26
"3843",413000,"Powiat sępoleński",2014,15
"3844",414000,"Powiat świecki",2014,90
"3845",415000,"Powiat toruński",2014,68
"3846",416000,"Powiat tucholski",2014,14
"3847",417000,"Powiat wąbrzeski",2014,36
"3848",418000,"Powiat włocławski",2014,45
"3849",419000,"Powiat żniński",2014,59
"3850",461000,"Powiat m.Bydgoszcz",2014,570
"3851",462000,"Powiat m.Grudziądz",2014,183
"3852",463000,"Powiat m.Toruń",2014,302
"3853",464000,"Powiat m.Włocławek",2014,310
"3854",601000,"Powiat bialski",2014,35
"3855",602000,"Powiat biłgorajski",2014,19
"3856",603000,"Powiat chełmski",2014,25
"3857",604000,"Powiat hrubieszowski",2014,30
"3858",605000,"Powiat janowski",2014,5
"3859",606000,"Powiat krasnostawski",2014,16
"3860",607000,"Powiat kraśnicki",2014,52
"3861",608000,"Powiat lubartowski",2014,36
"3862",609000,"Powiat lubelski",2014,44
"3863",610000,"Powiat łęczyński",2014,19
"3864",611000,"Powiat łukowski",2014,27
"3865",612000,"Powiat opolski",2014,24
"3866",613000,"Powiat parczewski",2014,9
"3867",614000,"Powiat puławski",2014,80
"3868",615000,"Powiat radzyński",2014,31
"3869",616000,"Powiat rycki",2014,29
"3870",617000,"Powiat świdnicki",2014,70
"3871",618000,"Powiat tomaszowski",2014,17
"3872",619000,"Powiat włodawski",2014,15
"3873",620000,"Powiat zamojski",2014,24
"3874",661000,"Powiat m.Biała Podlaska",2014,39
"3875",662000,"Powiat m.Chełm",2014,49
"3876",663000,"Powiat m.Lublin",2014,426
"3877",664000,"Powiat m.Zamość",2014,80
"3878",801000,"Powiat gorzowski",2014,50
"3879",802000,"Powiat krośnieński",2014,47
"3880",803000,"Powiat międzyrzecki",2014,77
"3881",804000,"Powiat nowosolski",2014,120
"3882",805000,"Powiat słubicki",2014,76
"3883",806000,"Powiat strzelecko-drezdenecki",2014,101
"3884",807000,"Powiat sulęciński",2014,45
"3885",808000,"Powiat świebodziński",2014,66
"3886",809000,"Powiat zielonogórski",2014,64
"3887",810000,"Powiat żagański",2014,94
"3888",811000,"Powiat żarski",2014,167
"3889",812000,"Powiat wschowski",2014,13
"3890",861000,"Powiat m.Gorzów Wielkopolski",2014,181
"3891",862000,"Powiat m.Zielona Góra",2014,162
"3892",1001000,"Powiat bełchatowski",2014,100
"3893",1002000,"Powiat kutnowski",2014,103
"3894",1003000,"Powiat łaski",2014,17
"3895",1004000,"Powiat łęczycki",2014,45
"3896",1005000,"Powiat łowicki",2014,49
"3897",1006000,"Powiat łódzki wschodni",2014,23
"3898",1007000,"Powiat opoczyński",2014,32
"3899",1008000,"Powiat pabianicki",2014,108
"3900",1009000,"Powiat pajęczański",2014,28
"3901",1010000,"Powiat piotrkowski",2014,40
"3902",1011000,"Powiat poddębicki",2014,13
"3903",1012000,"Powiat radomszczański",2014,132
"3904",1013000,"Powiat rawski",2014,26
"3905",1014000,"Powiat sieradzki",2014,46
"3906",1015000,"Powiat skierniewicki",2014,20
"3907",1016000,"Powiat tomaszowski",2014,47
"3908",1017000,"Powiat wieluński",2014,23
"3909",1018000,"Powiat wieruszowski",2014,13
"3910",1019000,"Powiat zduńskowolski",2014,91
"3911",1020000,"Powiat zgierski",2014,192
"3912",1021000,"Powiat brzeziński",2014,27
"3913",1061000,"Powiat m.Łódź",2014,681
"3914",1062000,"Powiat m.Piotrków Trybunalski",2014,82
"3915",1063000,"Powiat m.Skierniewice",2014,11
