"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_bezrobocie"
"7601",201000,"Powiat bolesławiecki",2014,1250
"7602",202000,"Powiat dzierżoniowski",2014,1578
"7603",203000,"Powiat głogowski",2014,1015
"7604",204000,"Powiat górowski",2014,1286
"7605",205000,"Powiat jaworski",2014,1312
"7606",206000,"Powiat jeleniogórski",2014,1586
"7607",207000,"Powiat kamiennogórski",2014,990
"7608",208000,"Powiat kłodzki",2014,3875
"7609",209000,"Powiat legnicki",2014,1303
"7610",210000,"Powiat lubański",2014,1138
"7611",211000,"Powiat lubiński",2014,937
"7612",212000,"Powiat lwówecki",2014,1122
"7613",213000,"Powiat milicki",2014,671
"7614",214000,"Powiat oleśnicki",2014,1165
"7615",215000,"Powiat oławski",2014,709
"7616",216000,"Powiat polkowicki",2014,1283
"7617",217000,"Powiat strzeliński",2014,958
"7618",218000,"Powiat średzki",2014,490
"7619",219000,"Powiat świdnicki",2014,3092
"7620",220000,"Powiat trzebnicki",2014,1023
"7621",221000,"Powiat wałbrzyski",2014,1365
"7622",222000,"Powiat wołowski",2014,989
"7623",223000,"Powiat wrocławski",2014,699
"7624",224000,"Powiat ząbkowicki",2014,1730
"7625",225000,"Powiat zgorzelecki",2014,1897
"7626",226000,"Powiat złotoryjski",2014,1489
"7627",261000,"Powiat m.Jelenia Góra",2014,1426
"7628",262000,"Powiat m.Legnica",2014,1566
"7629",264000,"Powiat m.Wrocław",2014,3827
"7630",265000,"Powiat m.Wałbrzych od 2013",2014,3088
"7631",401000,"Powiat aleksandrowski",2014,2266
"7632",402000,"Powiat brodnicki",2014,1955
"7633",403000,"Powiat bydgoski",2014,1846
"7634",404000,"Powiat chełmiński",2014,1716
"7635",405000,"Powiat golubsko-dobrzyński",2014,1462
"7636",406000,"Powiat grudziądzki",2014,1924
"7637",407000,"Powiat inowrocławski",2014,4358
"7638",408000,"Powiat lipnowski",2014,4206
"7639",409000,"Powiat mogileński",2014,1190
