"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_niepelnosprawnosc"
"9501",201000,"Powiat bolesławiecki",2014,867
"9502",202000,"Powiat dzierżoniowski",2014,952
"9503",203000,"Powiat głogowski",2014,722
"9504",204000,"Powiat górowski",2014,576
"9505",205000,"Powiat jaworski",2014,534
"9506",206000,"Powiat jeleniogórski",2014,672
"9507",207000,"Powiat kamiennogórski",2014,403
"9508",208000,"Powiat kłodzki",2014,1877
"9509",209000,"Powiat legnicki",2014,630
"9510",210000,"Powiat lubański",2014,574
"9511",211000,"Powiat lubiński",2014,892
"9512",212000,"Powiat lwówecki",2014,595
"9513",213000,"Powiat milicki",2014,478
"9514",214000,"Powiat oleśnicki",2014,785
"9515",215000,"Powiat oławski",2014,620
"9516",216000,"Powiat polkowicki",2014,720
"9517",217000,"Powiat strzeliński",2014,563
"9518",218000,"Powiat średzki",2014,390
"9519",219000,"Powiat świdnicki",2014,1631
"9520",220000,"Powiat trzebnicki",2014,545
"9521",221000,"Powiat wałbrzyski",2014,657
"9522",222000,"Powiat wołowski",2014,542
"9523",223000,"Powiat wrocławski",2014,684
"9524",224000,"Powiat ząbkowicki",2014,883
"9525",225000,"Powiat zgorzelecki",2014,1000
"9526",226000,"Powiat złotoryjski",2014,636
"9527",261000,"Powiat m.Jelenia Góra",2014,929
"9528",262000,"Powiat m.Legnica",2014,1195
"9529",264000,"Powiat m.Wrocław",2014,3196
"9530",265000,"Powiat m.Wałbrzych od 2013",2014,2162
"9531",401000,"Powiat aleksandrowski",2014,821
"9532",402000,"Powiat brodnicki",2014,920
"9533",403000,"Powiat bydgoski",2014,1184
"9534",404000,"Powiat chełmiński",2014,686
"9535",405000,"Powiat golubsko-dobrzyński",2014,583
"9536",406000,"Powiat grudziądzki",2014,400
"9537",407000,"Powiat inowrocławski",2014,2477
"9538",408000,"Powiat lipnowski",2014,1042
"9539",409000,"Powiat mogileński",2014,543
"9540",410000,"Powiat nakielski",2014,1171
"9541",411000,"Powiat radziejowski",2014,740
"9542",412000,"Powiat rypiński",2014,636
"9543",413000,"Powiat sępoleński",2014,654
"9544",414000,"Powiat świecki",2014,1840
"9545",415000,"Powiat toruński",2014,896
"9546",416000,"Powiat tucholski",2014,793
"9547",417000,"Powiat wąbrzeski",2014,535
"9548",418000,"Powiat włocławski",2014,951
"9549",419000,"Powiat żniński",2014,872
"9550",461000,"Powiat m.Bydgoszcz",2014,3550
"9551",462000,"Powiat m.Grudziądz",2014,1678
"9552",463000,"Powiat m.Toruń",2014,1796
"9553",464000,"Powiat m.Włocławek",2014,1527
"9554",601000,"Powiat bialski",2014,1017
"9555",602000,"Powiat biłgorajski",2014,1116
"9556",603000,"Powiat chełmski",2014,1013
"9557",604000,"Powiat hrubieszowski",2014,640
"9558",605000,"Powiat janowski",2014,521
"9559",606000,"Powiat krasnostawski",2014,760
"9560",607000,"Powiat kraśnicki",2014,1147
"9561",608000,"Powiat lubartowski",2014,916
"9562",609000,"Powiat lubelski",2014,1304
"9563",610000,"Powiat łęczyński",2014,514
"9564",611000,"Powiat łukowski",2014,877
"9565",612000,"Powiat opolski",2014,596
"9566",613000,"Powiat parczewski",2014,536
"9567",614000,"Powiat puławski",2014,1424
"9568",615000,"Powiat radzyński",2014,535
"9569",616000,"Powiat rycki",2014,638
"9570",617000,"Powiat świdnicki",2014,1020
"9571",618000,"Powiat tomaszowski",2014,907
"9572",619000,"Powiat włodawski",2014,454
"9573",620000,"Powiat zamojski",2014,940
"9574",661000,"Powiat m.Biała Podlaska",2014,413
"9575",662000,"Powiat m.Chełm",2014,935
"9576",663000,"Powiat m.Lublin",2014,4951
"9577",664000,"Powiat m.Zamość",2014,782
"9578",801000,"Powiat gorzowski",2014,853
"9579",802000,"Powiat krośnieński",2014,868
"9580",803000,"Powiat międzyrzecki",2014,916
"9581",804000,"Powiat nowosolski",2014,1217
"9582",805000,"Powiat słubicki",2014,604
"9583",806000,"Powiat strzelecko-drezdenecki",2014,1173
"9584",807000,"Powiat sulęciński",2014,588
"9585",808000,"Powiat świebodziński",2014,657
"9586",809000,"Powiat zielonogórski",2014,1355
"9587",810000,"Powiat żagański",2014,1497
"9588",811000,"Powiat żarski",2014,1988
"9589",812000,"Powiat wschowski",2014,534
"9590",861000,"Powiat m.Gorzów Wielkopolski",2014,1748
"9591",862000,"Powiat m.Zielona Góra",2014,1408
"9592",1001000,"Powiat bełchatowski",2014,1530
"9593",1002000,"Powiat kutnowski",2014,1327
"9594",1003000,"Powiat łaski",2014,495
"9595",1004000,"Powiat łęczycki",2014,509
"9596",1005000,"Powiat łowicki",2014,493
"9597",1006000,"Powiat łódzki wschodni",2014,674
"9598",1007000,"Powiat opoczyński",2014,726
"9599",1008000,"Powiat pabianicki",2014,1014
"9600",1009000,"Powiat pajęczański",2014,367
"9601",1010000,"Powiat piotrkowski",2014,1088
"9602",1011000,"Powiat poddębicki",2014,510
"9603",1012000,"Powiat radomszczański",2014,1477
"9604",1013000,"Powiat rawski",2014,602
"9605",1014000,"Powiat sieradzki",2014,788
"9606",1015000,"Powiat skierniewicki",2014,268
"9607",1016000,"Powiat tomaszowski",2014,1584
"9608",1017000,"Powiat wieluński",2014,649
"9609",1018000,"Powiat wieruszowski",2014,291
"9610",1019000,"Powiat zduńskowolski",2014,805
"9611",1020000,"Powiat zgierski",2014,1719
"9612",1021000,"Powiat brzeziński",2014,409
"9613",1061000,"Powiat m.Łódź",2014,9457
"9614",1062000,"Powiat m.Piotrków Trybunalski",2014,1272
"9615",1063000,"Powiat m.Skierniewice",2014,341
"9616",1201000,"Powiat bocheński",2014,989
"9617",1202000,"Powiat brzeski",2014,606
"9618",1203000,"Powiat chrzanowski",2014,1428
"9619",1204000,"Powiat dąbrowski",2014,546
"9620",1205000,"Powiat gorlicki",2014,1782
"9621",1206000,"Powiat krakowski",2014,1970
"9622",1207000,"Powiat limanowski",2014,1467
"9623",1208000,"Powiat miechowski",2014,482
"9624",1209000,"Powiat myślenicki",2014,1221
"9625",1210000,"Powiat nowosądecki",2014,2432
"9626",1211000,"Powiat nowotarski",2014,1219
"9627",1212000,"Powiat olkuski",2014,1003
"9628",1213000,"Powiat oświęcimski",2014,1213
"9629",1214000,"Powiat proszowicki",2014,323
"9630",1215000,"Powiat suski",2014,958
"9631",1216000,"Powiat tarnowski",2014,1623
