"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_przemoc_w_rodzinie"
"15201",201000,"Powiat bolesławiecki",2014,12
"15202",202000,"Powiat dzierżoniowski",2014,21
"15203",203000,"Powiat głogowski",2014,34
"15204",204000,"Powiat górowski",2014,6
"15205",205000,"Powiat jaworski",2014,8
"15206",206000,"Powiat jeleniogórski",2014,4
"15207",207000,"Powiat kamiennogórski",2014,4
"15208",208000,"Powiat kłodzki",2014,81
"15209",209000,"Powiat legnicki",2014,24
"15210",210000,"Powiat lubański",2014,14
"15211",211000,"Powiat lubiński",2014,36
"15212",212000,"Powiat lwówecki",2014,23
"15213",213000,"Powiat milicki",2014,8
"15214",214000,"Powiat oleśnicki",2014,16
"15215",215000,"Powiat oławski",2014,5
"15216",216000,"Powiat polkowicki",2014,13
"15217",217000,"Powiat strzeliński",2014,12
"15218",218000,"Powiat średzki",2014,6
"15219",219000,"Powiat świdnicki",2014,66
"15220",220000,"Powiat trzebnicki",2014,24
"15221",221000,"Powiat wałbrzyski",2014,34
"15222",222000,"Powiat wołowski",2014,14
"15223",223000,"Powiat wrocławski",2014,64
"15224",224000,"Powiat ząbkowicki",2014,44
"15225",225000,"Powiat zgorzelecki",2014,11
"15226",226000,"Powiat złotoryjski",2014,87
"15227",261000,"Powiat m.Jelenia Góra",2014,11
"15228",262000,"Powiat m.Legnica",2014,21
"15229",264000,"Powiat m.Wrocław",2014,93
"15230",265000,"Powiat m.Wałbrzych od 2013",2014,27
"15231",401000,"Powiat aleksandrowski",2014,20
"15232",402000,"Powiat brodnicki",2014,43
"15233",403000,"Powiat bydgoski",2014,82
"15234",404000,"Powiat chełmiński",2014,31
"15235",405000,"Powiat golubsko-dobrzyński",2014,21
"15236",406000,"Powiat grudziądzki",2014,43
"15237",407000,"Powiat inowrocławski",2014,118
"15238",408000,"Powiat lipnowski",2014,10
"15239",409000,"Powiat mogileński",2014,4
"15240",410000,"Powiat nakielski",2014,57
"15241",411000,"Powiat radziejowski",2014,17
"15242",412000,"Powiat rypiński",2014,31
"15243",413000,"Powiat sępoleński",2014,47
"15244",414000,"Powiat świecki",2014,26
"15245",415000,"Powiat toruński",2014,35
"15246",416000,"Powiat tucholski",2014,10
"15247",417000,"Powiat wąbrzeski",2014,26
"15248",418000,"Powiat włocławski",2014,28
"15249",419000,"Powiat żniński",2014,109
"15250",461000,"Powiat m.Bydgoszcz",2014,301
"15251",462000,"Powiat m.Grudziądz",2014,559
"15252",463000,"Powiat m.Toruń",2014,21
"15253",464000,"Powiat m.Włocławek",2014,1
"15254",601000,"Powiat bialski",2014,24
"15255",602000,"Powiat biłgorajski",2014,39
"15256",603000,"Powiat chełmski",2014,60
"15257",604000,"Powiat hrubieszowski",2014,30
"15258",605000,"Powiat janowski",2014,15
"15259",606000,"Powiat krasnostawski",2014,53
"15260",607000,"Powiat kraśnicki",2014,33
"15261",608000,"Powiat lubartowski",2014,96
"15262",609000,"Powiat lubelski",2014,79
"15263",610000,"Powiat łęczyński",2014,66
"15264",611000,"Powiat łukowski",2014,43
"15265",612000,"Powiat opolski",2014,33
"15266",613000,"Powiat parczewski",2014,14
"15267",614000,"Powiat puławski",2014,154
"15268",615000,"Powiat radzyński",2014,15
"15269",616000,"Powiat rycki",2014,9
"15270",617000,"Powiat świdnicki",2014,32
"15271",618000,"Powiat tomaszowski",2014,26
"15272",619000,"Powiat włodawski",2014,9
"15273",620000,"Powiat zamojski",2014,18
"15274",661000,"Powiat m.Biała Podlaska",2014,21
"15275",662000,"Powiat m.Chełm",2014,54
"15276",663000,"Powiat m.Lublin",2014,892
"15277",664000,"Powiat m.Zamość",2014,26
"15278",801000,"Powiat gorzowski",2014,15
"15279",802000,"Powiat krośnieński",2014,15
"15280",803000,"Powiat międzyrzecki",2014,19
"15281",804000,"Powiat nowosolski",2014,37
"15282",805000,"Powiat słubicki",2014,45
"15283",806000,"Powiat strzelecko-drezdenecki",2014,15
"15284",807000,"Powiat sulęciński",2014,3
"15285",808000,"Powiat świebodziński",2014,20
"15286",809000,"Powiat zielonogórski",2014,157
"15287",810000,"Powiat żagański",2014,123
"15288",811000,"Powiat żarski",2014,55
"15289",812000,"Powiat wschowski",2014,10
"15290",861000,"Powiat m.Gorzów Wielkopolski",2014,50
"15291",862000,"Powiat m.Zielona Góra",2014,26
"15292",1001000,"Powiat bełchatowski",2014,72
"15293",1002000,"Powiat kutnowski",2014,81
"15294",1003000,"Powiat łaski",2014,5
"15295",1004000,"Powiat łęczycki",2014,16
"15296",1005000,"Powiat łowicki",2014,57
"15297",1006000,"Powiat łódzki wschodni",2014,19
"15298",1007000,"Powiat opoczyński",2014,17
"15299",1008000,"Powiat pabianicki",2014,27
"15300",1009000,"Powiat pajęczański",2014,22
"15301",1010000,"Powiat piotrkowski",2014,34
"15302",1011000,"Powiat poddębicki",2014,80
"15303",1012000,"Powiat radomszczański",2014,46
"15304",1013000,"Powiat rawski",2014,9
"15305",1014000,"Powiat sieradzki",2014,33
"15306",1015000,"Powiat skierniewicki",2014,7
"15307",1016000,"Powiat tomaszowski",2014,79
"15308",1017000,"Powiat wieluński",2014,8
"15309",1018000,"Powiat wieruszowski",2014,23
"15310",1019000,"Powiat zduńskowolski",2014,90
"15311",1020000,"Powiat zgierski",2014,43
"15312",1021000,"Powiat brzeziński",2014,6
"15313",1061000,"Powiat m.Łódź",2014,103
"15314",1062000,"Powiat m.Piotrków Trybunalski",2014,7
"15315",1063000,"Powiat m.Skierniewice",2014,48
"15316",1201000,"Powiat bocheński",2014,31
"15317",1202000,"Powiat brzeski",2014,76
"15318",1203000,"Powiat chrzanowski",2014,69
"15319",1204000,"Powiat dąbrowski",2014,27
"15320",1205000,"Powiat gorlicki",2014,116
"15321",1206000,"Powiat krakowski",2014,87
"15322",1207000,"Powiat limanowski",2014,170
"15323",1208000,"Powiat miechowski",2014,50
"15324",1209000,"Powiat myślenicki",2014,55
"15325",1210000,"Powiat nowosądecki",2014,76
"15326",1211000,"Powiat nowotarski",2014,53
"15327",1212000,"Powiat olkuski",2014,22
"15328",1213000,"Powiat oświęcimski",2014,81
"15329",1214000,"Powiat proszowicki",2014,5
"15330",1215000,"Powiat suski",2014,38
"15331",1216000,"Powiat tarnowski",2014,95
"15332",1217000,"Powiat tatrzański",2014,16
"15333",1218000,"Powiat wadowicki",2014,102
"15334",1219000,"Powiat wielicki",2014,46
"15335",1261000,"Powiat m.Kraków",2014,175
"15336",1262000,"Powiat m.Nowy Sącz",2014,39
"15337",1263000,"Powiat m.Tarnów",2014,67
"15338",1401000,"Powiat białobrzeski",2014,4
"15339",1402000,"Powiat ciechanowski",2014,164
"15340",1403000,"Powiat garwoliński",2014,85
"15341",1404000,"Powiat gostyniński",2014,38
"15342",1405000,"Powiat grodziski",2014,35
"15343",1406000,"Powiat grójecki",2014,24
"15344",1407000,"Powiat kozienicki",2014,20
