"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_sieroctwo"
"1901",201000,"Powiat bolesławiecki",2014,4
"1902",202000,"Powiat dzierżoniowski",2014,2
"1903",203000,"Powiat głogowski",2014,1
"1904",204000,"Powiat górowski",2014,1
"1905",205000,"Powiat jaworski",2014,7
"1906",206000,"Powiat jeleniogórski",2014,3
"1907",207000,"Powiat kamiennogórski",2014,2
"1908",208000,"Powiat kłodzki",2014,4
"1909",209000,"Powiat legnicki",2014,1
"1910",210000,"Powiat lubański",2014,0
"1911",211000,"Powiat lubiński",2014,2
"1912",212000,"Powiat lwówecki",2014,2
"1913",213000,"Powiat milicki",2014,0
"1914",214000,"Powiat oleśnicki",2014,6
"1915",215000,"Powiat oławski",2014,1
"1916",216000,"Powiat polkowicki",2014,1
"1917",217000,"Powiat strzeliński",2014,4
"1918",218000,"Powiat średzki",2014,2
"1919",219000,"Powiat świdnicki",2014,8
"1920",220000,"Powiat trzebnicki",2014,1
"1921",221000,"Powiat wałbrzyski",2014,6
"1922",222000,"Powiat wołowski",2014,1
"1923",223000,"Powiat wrocławski",2014,4
"1924",224000,"Powiat ząbkowicki",2014,2
"1925",225000,"Powiat zgorzelecki",2014,4
"1926",226000,"Powiat złotoryjski",2014,27
"1927",261000,"Powiat m.Jelenia Góra",2014,0
"1928",262000,"Powiat m.Legnica",2014,3
"1929",264000,"Powiat m.Wrocław",2014,10
"1930",265000,"Powiat m.Wałbrzych od 2013",2014,8
"1931",401000,"Powiat aleksandrowski",2014,1
"1932",402000,"Powiat brodnicki",2014,0
"1933",403000,"Powiat bydgoski",2014,8
"1934",404000,"Powiat chełmiński",2014,1
"1935",405000,"Powiat golubsko-dobrzyński",2014,0
"1936",406000,"Powiat grudziądzki",2014,4
"1937",407000,"Powiat inowrocławski",2014,26
"1938",408000,"Powiat lipnowski",2014,3
"1939",409000,"Powiat mogileński",2014,0
"1940",410000,"Powiat nakielski",2014,5
"1941",411000,"Powiat radziejowski",2014,5
"1942",412000,"Powiat rypiński",2014,12
"1943",413000,"Powiat sępoleński",2014,2
"1944",414000,"Powiat świecki",2014,3
"1945",415000,"Powiat toruński",2014,1
"1946",416000,"Powiat tucholski",2014,1
"1947",417000,"Powiat wąbrzeski",2014,6
"1948",418000,"Powiat włocławski",2014,1
"1949",419000,"Powiat żniński",2014,3
"1950",461000,"Powiat m.Bydgoszcz",2014,26
"1951",462000,"Powiat m.Grudziądz",2014,1
"1952",463000,"Powiat m.Toruń",2014,1
"1953",464000,"Powiat m.Włocławek",2014,6
"1954",601000,"Powiat bialski",2014,4
"1955",602000,"Powiat biłgorajski",2014,2
"1956",603000,"Powiat chełmski",2014,2
"1957",604000,"Powiat hrubieszowski",2014,0
"1958",605000,"Powiat janowski",2014,4
"1959",606000,"Powiat krasnostawski",2014,2
"1960",607000,"Powiat kraśnicki",2014,5
"1961",608000,"Powiat lubartowski",2014,11
"1962",609000,"Powiat lubelski",2014,11
"1963",610000,"Powiat łęczyński",2014,27
"1964",611000,"Powiat łukowski",2014,4
"1965",612000,"Powiat opolski",2014,8
"1966",613000,"Powiat parczewski",2014,5
"1967",614000,"Powiat puławski",2014,7
"1968",615000,"Powiat radzyński",2014,1
"1969",616000,"Powiat rycki",2014,3
"1970",617000,"Powiat świdnicki",2014,20
"1971",618000,"Powiat tomaszowski",2014,2
"1972",619000,"Powiat włodawski",2014,4
"1973",620000,"Powiat zamojski",2014,2
"1974",661000,"Powiat m.Biała Podlaska",2014,10
"1975",662000,"Powiat m.Chełm",2014,4
"1976",663000,"Powiat m.Lublin",2014,168
"1977",664000,"Powiat m.Zamość",2014,0
"1978",801000,"Powiat gorzowski",2014,2
"1979",802000,"Powiat krośnieński",2014,1
"1980",803000,"Powiat międzyrzecki",2014,4
"1981",804000,"Powiat nowosolski",2014,2
"1982",805000,"Powiat słubicki",2014,4
"1983",806000,"Powiat strzelecko-drezdenecki",2014,3
"1984",807000,"Powiat sulęciński",2014,4
"1985",808000,"Powiat świebodziński",2014,3
"1986",809000,"Powiat zielonogórski",2014,0
"1987",810000,"Powiat żagański",2014,5
"1988",811000,"Powiat żarski",2014,5
"1989",812000,"Powiat wschowski",2014,1
"1990",861000,"Powiat m.Gorzów Wielkopolski",2014,3
"1991",862000,"Powiat m.Zielona Góra",2014,0
"1992",1001000,"Powiat bełchatowski",2014,14
"1993",1002000,"Powiat kutnowski",2014,5
"1994",1003000,"Powiat łaski",2014,1
"1995",1004000,"Powiat łęczycki",2014,0
"1996",1005000,"Powiat łowicki",2014,1
"1997",1006000,"Powiat łódzki wschodni",2014,1
"1998",1007000,"Powiat opoczyński",2014,2
"1999",1008000,"Powiat pabianicki",2014,9
"2000",1009000,"Powiat pajęczański",2014,3
"2001",1010000,"Powiat piotrkowski",2014,11
"2002",1011000,"Powiat poddębicki",2014,0
"2003",1012000,"Powiat radomszczański",2014,5
"2004",1013000,"Powiat rawski",2014,0
"2005",1014000,"Powiat sieradzki",2014,13
"2006",1015000,"Powiat skierniewicki",2014,9
"2007",1016000,"Powiat tomaszowski",2014,6
"2008",1017000,"Powiat wieluński",2014,2
"2009",1018000,"Powiat wieruszowski",2014,3
"2010",1019000,"Powiat zduńskowolski",2014,5
"2011",1020000,"Powiat zgierski",2014,8
"2012",1021000,"Powiat brzeziński",2014,0
"2013",1061000,"Powiat m.Łódź",2014,23
"2014",1062000,"Powiat m.Piotrków Trybunalski",2014,1
"2015",1063000,"Powiat m.Skierniewice",2014,0
"2016",1201000,"Powiat bocheński",2014,5
"2017",1202000,"Powiat brzeski",2014,1
"2018",1203000,"Powiat chrzanowski",2014,2
"2019",1204000,"Powiat dąbrowski",2014,0
"2020",1205000,"Powiat gorlicki",2014,5
"2021",1206000,"Powiat krakowski",2014,6
"2022",1207000,"Powiat limanowski",2014,4
"2023",1208000,"Powiat miechowski",2014,2
"2024",1209000,"Powiat myślenicki",2014,9
