"","Kod","Nazwa","rok","Rodziny_ktorym_na_podstawie_decyzji_przyznano_pomoc_wg_przyczyn_ubostwo"
"1",201000,"Powiat bolesławiecki",2014,1507
"2",202000,"Powiat dzierżoniowski",2014,1741
"3",203000,"Powiat głogowski",2014,1126
"4",204000,"Powiat górowski",2014,1264
"5",205000,"Powiat jaworski",2014,1037
"6",206000,"Powiat jeleniogórski",2014,818
"7",207000,"Powiat kamiennogórski",2014,801
"8",208000,"Powiat kłodzki",2014,4165
"9",209000,"Powiat legnicki",2014,1522
"10",210000,"Powiat lubański",2014,946
"11",211000,"Powiat lubiński",2014,1436
"12",212000,"Powiat lwówecki",2014,1193
"13",213000,"Powiat milicki",2014,673
"14",214000,"Powiat oleśnicki",2014,1026
"15",215000,"Powiat oławski",2014,382
"16",216000,"Powiat polkowicki",2014,1505
"17",217000,"Powiat strzeliński",2014,438
"18",218000,"Powiat średzki",2014,354
"19",219000,"Powiat świdnicki",2014,3133
"20",220000,"Powiat trzebnicki",2014,1129
"21",221000,"Powiat wałbrzyski",2014,1688
"22",222000,"Powiat wołowski",2014,1091
"23",223000,"Powiat wrocławski",2014,916
"24",224000,"Powiat ząbkowicki",2014,2109
"25",225000,"Powiat zgorzelecki",2014,2215
"26",226000,"Powiat złotoryjski",2014,1712
"27",261000,"Powiat m.Jelenia Góra",2014,1993
"28",262000,"Powiat m.Legnica",2014,2215
"29",264000,"Powiat m.Wrocław",2014,5479
"30",265000,"Powiat m.Wałbrzych od 2013",2014,4406
"31",401000,"Powiat aleksandrowski",2014,2357
"32",402000,"Powiat brodnicki",2014,1845
"33",403000,"Powiat bydgoski",2014,2211
"34",404000,"Powiat chełmiński",2014,1708
"35",405000,"Powiat golubsko-dobrzyński",2014,1164
"36",406000,"Powiat grudziądzki",2014,2007
"37",407000,"Powiat inowrocławski",2014,4814
"38",408000,"Powiat lipnowski",2014,2630
"39",409000,"Powiat mogileński",2014,517
"40",410000,"Powiat nakielski",2014,2811
"41",411000,"Powiat radziejowski",2014,1172
"42",412000,"Powiat rypiński",2014,2339
"43",413000,"Powiat sępoleński",2014,924
"44",414000,"Powiat świecki",2014,3136
"45",415000,"Powiat toruński",2014,2956
"46",416000,"Powiat tucholski",2014,1358
"47",417000,"Powiat wąbrzeski",2014,1224
"48",418000,"Powiat włocławski",2014,4019
"49",419000,"Powiat żniński",2014,2114
"50",461000,"Powiat m.Bydgoszcz",2014,4727
"51",462000,"Powiat m.Grudziądz",2014,3975
"52",463000,"Powiat m.Toruń",2014,4364
"53",464000,"Powiat m.Włocławek",2014,6542
"54",601000,"Powiat bialski",2014,2387
"55",602000,"Powiat biłgorajski",2014,1767
"56",603000,"Powiat chełmski",2014,2416
"57",604000,"Powiat hrubieszowski",2014,1734
"58",605000,"Powiat janowski",2014,1318
"59",606000,"Powiat krasnostawski",2014,1675
"60",607000,"Powiat kraśnicki",2014,2282
"61",608000,"Powiat lubartowski",2014,2478
"62",609000,"Powiat lubelski",2014,2017
"63",610000,"Powiat łęczyński",2014,1009
"64",611000,"Powiat łukowski",2014,1853
"65",612000,"Powiat opolski",2014,1525
"66",613000,"Powiat parczewski",2014,1190
"67",614000,"Powiat puławski",2014,1909
"68",615000,"Powiat radzyński",2014,1006
"69",616000,"Powiat rycki",2014,1132
"70",617000,"Powiat świdnicki",2014,1255
"71",618000,"Powiat tomaszowski",2014,1851
"72",619000,"Powiat włodawski",2014,1345
"73",620000,"Powiat zamojski",2014,2070
"74",661000,"Powiat m.Biała Podlaska",2014,781
"75",662000,"Powiat m.Chełm",2014,1421
"76",663000,"Powiat m.Lublin",2014,6040
"77",664000,"Powiat m.Zamość",2014,1404
"78",801000,"Powiat gorzowski",2014,1940
"79",802000,"Powiat krośnieński",2014,1715
"80",803000,"Powiat międzyrzecki",2014,1712
"81",804000,"Powiat nowosolski",2014,2418
"82",805000,"Powiat słubicki",2014,1172
"83",806000,"Powiat strzelecko-drezdenecki",2014,2617
"84",807000,"Powiat sulęciński",2014,1617
"85",808000,"Powiat świebodziński",2014,1360
"86",809000,"Powiat zielonogórski",2014,2076
"87",810000,"Powiat żagański",2014,2875
"88",811000,"Powiat żarski",2014,3214
"89",812000,"Powiat wschowski",2014,812
"90",861000,"Powiat m.Gorzów Wielkopolski",2014,2275
"91",862000,"Powiat m.Zielona Góra",2014,1934
"92",1001000,"Powiat bełchatowski",2014,2956
"93",1002000,"Powiat kutnowski",2014,2593
"94",1003000,"Powiat łaski",2014,661
"95",1004000,"Powiat łęczycki",2014,1485
"96",1005000,"Powiat łowicki",2014,365
"97",1006000,"Powiat łódzki wschodni",2014,1117
"98",1007000,"Powiat opoczyński",2014,1154
"99",1008000,"Powiat pabianicki",2014,1253
"100",1009000,"Powiat pajęczański",2014,685
"101",1010000,"Powiat piotrkowski",2014,1544
"102",1011000,"Powiat poddębicki",2014,650
"103",1012000,"Powiat radomszczański",2014,3158
"104",1013000,"Powiat rawski",2014,705
"105",1014000,"Powiat sieradzki",2014,2393
"106",1015000,"Powiat skierniewicki",2014,555
"107",1016000,"Powiat tomaszowski",2014,1120
"108",1017000,"Powiat wieluński",2014,1036
"109",1018000,"Powiat wieruszowski",2014,743
"110",1019000,"Powiat zduńskowolski",2014,1172
"111",1020000,"Powiat zgierski",2014,3379
"112",1021000,"Powiat brzeziński",2014,841
"113",1061000,"Powiat m.Łódź",2014,14055
"114",1062000,"Powiat m.Piotrków Trybunalski",2014,2284
