"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_km2_km"
"3349",201000,"Powiat bolesławiecki",2011,62.9
"3350",202000,"Powiat dzierżoniowski",2011,1688.6
"3351",203000,"Powiat głogowski",2011,252.7
"3352",204000,"Powiat górowski",2011,0
"3353",205000,"Powiat jaworski",2011,0
"3354",208000,"Powiat kłodzki",2011,59.6
"3355",209000,"Powiat legnicki",2011,79.3
"3356",211000,"Powiat lubiński",2011,252.9
"3357",212000,"Powiat lwówecki",2011,105.7
"3358",213000,"Powiat milicki",2011,69.9
"3359",214000,"Powiat oleśnicki",2011,100.1
"3360",215000,"Powiat oławski",2011,0
"3361",216000,"Powiat polkowicki",2011,79.5
"3362",217000,"Powiat strzeliński",2011,32.2
"3363",218000,"Powiat średzki",2011,9.9
"3364",219000,"Powiat świdnicki",2011,198.3
"3365",220000,"Powiat trzebnicki",2011,25.4
"3366",221000,"Powiat wałbrzyski",2011,64.1
"3367",222000,"Powiat wołowski",2011,168.9
"3368",223000,"Powiat wrocławski",2011,42.1
"3369",224000,"Powiat ząbkowicki",2011,25
"3370",225000,"Powiat zgorzelecki",2011,157.4
"3371",226000,"Powiat złotoryjski",2011,521
"3372",261000,"Powiat m.Jelenia Góra",2011,3222.9
"3373",262000,"Powiat m.Legnica",2011,5027.5
"3374",264000,"Powiat m.Wrocław",2011,6758.4
"3375",265000,"Powiat m.Wałbrzych od 2013",2011,NA
"3376",401000,"Powiat aleksandrowski",2011,118
"3377",402000,"Powiat brodnicki",2011,38.5
"3378",403000,"Powiat bydgoski",2011,415.3
"3379",404000,"Powiat chełmiński",2011,127.1
"3380",405000,"Powiat golubsko-dobrzyński",2011,212.1
"3381",406000,"Powiat grudziądzki",2011,59.1
"3382",407000,"Powiat inowrocławski",2011,286.5
"3383",408000,"Powiat lipnowski",2011,0
"3384",409000,"Powiat mogileński",2011,118.5
"3385",410000,"Powiat nakielski",2011,8
"3386",411000,"Powiat radziejowski",2011,0
"3387",412000,"Powiat rypiński",2011,0
"3388",413000,"Powiat sępoleński",2011,153
