"","Kod","Nazwa","rok","SCIEZKI_ROWEROWE_CTAB_scieZki_rowerowe_na_10_tys_ludnosci_km"
"6697",201000,"Powiat bolesławiecki",2011,0.91
"6698",202000,"Powiat dzierżoniowski",2011,7.64
"6699",203000,"Powiat głogowski",2011,1.24
"6700",204000,"Powiat górowski",2011,0
"6701",205000,"Powiat jaworski",2011,0
"6702",208000,"Powiat kłodzki",2011,0.59
"6703",209000,"Powiat legnicki",2011,1.08
"6704",211000,"Powiat lubiński",2011,1.68
"6705",212000,"Powiat lwówecki",2011,1.57
"6706",213000,"Powiat milicki",2011,1.33
"6707",214000,"Powiat oleśnicki",2011,0.99
"6708",215000,"Powiat oławski",2011,0
"6709",216000,"Powiat polkowicki",2011,0.98
"6710",217000,"Powiat strzeliński",2011,0.45
"6711",218000,"Powiat średzki",2011,0.14
"6712",219000,"Powiat świdnicki",2011,0.91
"6713",220000,"Powiat trzebnicki",2011,0.32
"6714",221000,"Powiat wałbrzyski",2011,0.18
"6715",222000,"Powiat wołowski",2011,2.38
"6716",223000,"Powiat wrocławski",2011,0.39
"6717",224000,"Powiat ząbkowicki",2011,0.29
"6718",225000,"Powiat zgorzelecki",2011,1.4
"6719",226000,"Powiat złotoryjski",2011,6.58
"6720",261000,"Powiat m.Jelenia Góra",2011,4.22
"6721",262000,"Powiat m.Legnica",2011,2.75
"6722",264000,"Powiat m.Wrocław",2011,3.14
"6723",265000,"Powiat m.Wałbrzych od 2013",2011,NA
"6724",401000,"Powiat aleksandrowski",2011,1
"6725",402000,"Powiat brodnicki",2011,0.51
"6726",403000,"Powiat bydgoski",2011,5.38
"6727",404000,"Powiat chełmiński",2011,1.27
"6728",405000,"Powiat golubsko-dobrzyński",2011,2.86
"6729",406000,"Powiat grudziądzki",2011,1.07
"6730",407000,"Powiat inowrocławski",2011,2.13
"6731",408000,"Powiat lipnowski",2011,0
"6732",409000,"Powiat mogileński",2011,1.7
"6733",410000,"Powiat nakielski",2011,0.1
"6734",411000,"Powiat radziejowski",2011,0
"6735",412000,"Powiat rypiński",2011,0
"6736",413000,"Powiat sępoleński",2011,2.9
"6737",414000,"Powiat świecki",2011,1.12
"6738",415000,"Powiat toruński",2011,8.44
"6739",416000,"Powiat tucholski",2011,1.49
"6740",417000,"Powiat wąbrzeski",2011,0.31
"6741",418000,"Powiat włocławski",2011,0.44
"6742",419000,"Powiat żniński",2011,0.83
"6743",461000,"Powiat m.Bydgoszcz",2011,1.76
"6744",462000,"Powiat m.Grudziądz",2011,3.17
"6745",463000,"Powiat m.Toruń",2011,2.98
"6746",464000,"Powiat m.Włocławek",2011,3.22
"6747",601000,"Powiat bialski",2011,2.74
"6748",602000,"Powiat biłgorajski",2011,0.58
"6749",603000,"Powiat chełmski",2011,0.39
"6750",604000,"Powiat hrubieszowski",2011,0.23
"6751",605000,"Powiat janowski",2011,0.31
"6752",606000,"Powiat krasnostawski",2011,0.15
"6753",607000,"Powiat kraśnicki",2011,0.76
"6754",608000,"Powiat lubartowski",2011,0.35
"6755",609000,"Powiat lubelski",2011,0.11
"6756",610000,"Powiat łęczyński",2011,1.21
"6757",611000,"Powiat łukowski",2011,1.09
"6758",612000,"Powiat opolski",2011,0.06
"6759",613000,"Powiat parczewski",2011,0
"6760",614000,"Powiat puławski",2011,1.94
"6761",615000,"Powiat radzyński",2011,0.75
"6762",616000,"Powiat rycki",2011,1.73
"6763",617000,"Powiat świdnicki",2011,0.6
"6764",618000,"Powiat tomaszowski",2011,3.4
"6765",619000,"Powiat włodawski",2011,1.88
"6766",620000,"Powiat zamojski",2011,0
"6767",661000,"Powiat m.Biała Podlaska",2011,0.55
"6768",662000,"Powiat m.Chełm",2011,0.92
"6769",663000,"Powiat m.Lublin",2011,1.71
"6770",664000,"Powiat m.Zamość",2011,4.24
"6771",801000,"Powiat gorzowski",2011,7.69
"6772",802000,"Powiat krośnieński",2011,5.13
"6773",803000,"Powiat międzyrzecki",2011,0.41
"6774",804000,"Powiat nowosolski",2011,0.25
"6775",805000,"Powiat słubicki",2011,4.27
"6776",806000,"Powiat strzelecko-drezdenecki",2011,3.06
"6777",807000,"Powiat sulęciński",2011,6.54
"6778",808000,"Powiat świebodziński",2011,0.86
"6779",809000,"Powiat zielonogórski",2011,2.41
"6780",810000,"Powiat żagański",2011,0.78
"6781",811000,"Powiat żarski",2011,2.13
"6782",812000,"Powiat wschowski",2011,0.53
"6783",861000,"Powiat m.Gorzów Wielkopolski",2011,1.51
"6784",862000,"Powiat m.Zielona Góra",2011,3.22
"6785",1001000,"Powiat bełchatowski",2011,7.82
"6786",1002000,"Powiat kutnowski",2011,1.56
"6787",1003000,"Powiat łaski",2011,1.83
"6788",1004000,"Powiat łęczycki",2011,0
"6789",1005000,"Powiat łowicki",2011,0
"6790",1006000,"Powiat łódzki wschodni",2011,0.89
"6791",1007000,"Powiat opoczyński",2011,0.89
"6792",1008000,"Powiat pabianicki",2011,0.35
"6793",1009000,"Powiat pajęczański",2011,2.48
"6794",1010000,"Powiat piotrkowski",2011,0
"6795",1011000,"Powiat poddębicki",2011,0.57
"6796",1012000,"Powiat radomszczański",2011,0.29
"6797",1013000,"Powiat rawski",2011,0
"6798",1014000,"Powiat sieradzki",2011,0.14
"6799",1015000,"Powiat skierniewicki",2011,0.73
"6800",1016000,"Powiat tomaszowski",2011,0
"6801",1017000,"Powiat wieluński",2011,0
"6802",1018000,"Powiat wieruszowski",2011,0.24
"6803",1019000,"Powiat zduńskowolski",2011,4.35
"6804",1020000,"Powiat zgierski",2011,0.36
"6805",1021000,"Powiat brzeziński",2011,0
"6806",1061000,"Powiat m.Łódź",2011,1
"6807",1062000,"Powiat m.Piotrków Trybunalski",2011,1.25
"6808",1063000,"Powiat m.Skierniewice",2011,2.9
"6809",1201000,"Powiat bocheński",2011,0.16
"6810",1202000,"Powiat brzeski",2011,0
"6811",1203000,"Powiat chrzanowski",2011,0.16
"6812",1204000,"Powiat dąbrowski",2011,0
"6813",1205000,"Powiat gorlicki",2011,0
"6814",1206000,"Powiat krakowski",2011,0
"6815",1208000,"Powiat miechowski",2011,0
"6816",1209000,"Powiat myślenicki",2011,0.09
"6817",1210000,"Powiat nowosądecki",2011,0.11
"6818",1211000,"Powiat nowotarski",2011,0.37
"6819",1212000,"Powiat olkuski",2011,0
"6820",1213000,"Powiat oświęcimski",2011,0.33
"6821",1214000,"Powiat proszowicki",2011,0
"6822",1215000,"Powiat suski",2011,0.19
"6823",1216000,"Powiat tarnowski",2011,0.06
"6824",1217000,"Powiat tatrzański",2011,0.19
"6825",1218000,"Powiat wadowicki",2011,0
"6826",1219000,"Powiat wielicki",2011,0.43
"6827",1261000,"Powiat m.Kraków",2011,1.42
"6828",1262000,"Powiat m.Nowy Sącz",2011,0.76
"6829",1263000,"Powiat m.Tarnów",2011,4.47
"6830",1401000,"Powiat białobrzeski",2011,1.36
"6831",1402000,"Powiat ciechanowski",2011,0.78
"6832",1403000,"Powiat garwoliński",2011,0.64
"6833",1404000,"Powiat gostyniński",2011,2.37
"6834",1405000,"Powiat grodziski",2011,0.67
"6835",1406000,"Powiat grójecki",2011,0.31
"6836",1407000,"Powiat kozienicki",2011,0.77
"6837",1408000,"Powiat legionowski",2011,1.41
"6838",1409000,"Powiat lipski",2011,0
"6839",1410000,"Powiat łosicki",2011,0
"6840",1411000,"Powiat makowski",2011,0
"6841",1412000,"Powiat miński",2011,0.63
"6842",1413000,"Powiat mławski",2011,1.87
"6843",1414000,"Powiat nowodworski",2011,3.41
"6844",1415000,"Powiat ostrołęcki",2011,3.21
"6845",1416000,"Powiat ostrowski",2011,6.47
"6846",1417000,"Powiat otwocki",2011,1.34
"6847",1418000,"Powiat piaseczyński",2011,1.05
"6848",1419000,"Powiat płocki",2011,1.44
"6849",1420000,"Powiat płoński",2011,1.28
"6850",1421000,"Powiat pruszkowski",2011,0.76
"6851",1422000,"Powiat przasnyski",2011,1.3
"6852",1423000,"Powiat przysuski",2011,0.39
"6853",1424000,"Powiat pułtuski",2011,0
"6854",1425000,"Powiat radomski",2011,0.99
"6855",1426000,"Powiat siedlecki",2011,0.75
"6856",1427000,"Powiat sierpecki",2011,0.15
"6857",1428000,"Powiat sochaczewski",2011,0.75
"6858",1429000,"Powiat sokołowski",2011,0.74
"6859",1430000,"Powiat szydłowiecki",2011,0
"6860",1432000,"Powiat warszawski zachodni",2011,1.86
"6861",1433000,"Powiat węgrowski",2011,1.44
"6862",1434000,"Powiat wołomiński",2011,1.18
"6863",1435000,"Powiat wyszkowski",2011,2.67
"6864",1436000,"Powiat zwoleński",2011,0.4
"6865",1437000,"Powiat żuromiński",2011,0.89
"6866",1438000,"Powiat żyrardowski",2011,0.86
"6867",1461000,"Powiat m.Ostrołęka",2011,3.01
"6868",1462000,"Powiat m.Płock",2011,1
"6869",1463000,"Powiat m.Radom",2011,1.06
"6870",1464000,"Powiat m.Siedlce",2011,3.28
"6871",1465000,"Powiat m. st. Warszawa",2011,1.71
"6872",1601000,"Powiat brzeski",2011,0.02
"6873",1602000,"Powiat głubczycki",2011,0
"6874",1603000,"Powiat kędzierzyńsko-kozielski",2011,1.81
"6875",1604000,"Powiat kluczborski",2011,0.12
"6876",1605000,"Powiat krapkowicki",2011,7.61
"6877",1606000,"Powiat namysłowski",2011,0.74
"6878",1607000,"Powiat nyski",2011,3.24
"6879",1608000,"Powiat oleski",2011,0.56
"6880",1609000,"Powiat opolski",2011,2.88
"6881",1610000,"Powiat prudnicki",2011,0.63
"6882",1611000,"Powiat strzelecki",2011,7.78
"6883",1661000,"Powiat m.Opole",2011,2.3
"6884",1802000,"Powiat brzozowski",2011,0
"6885",1803000,"Powiat dębicki",2011,0.71
"6886",1804000,"Powiat jarosławski",2011,0
"6887",1805000,"Powiat jasielski",2011,0
"6888",1806000,"Powiat kolbuszowski",2011,0
"6889",1807000,"Powiat krośnieński",2011,0
"6890",1808000,"Powiat leżajski",2011,0.17
"6891",1809000,"Powiat lubaczowski",2011,0
"6892",1810000,"Powiat łańcucki",2011,0
"6893",1811000,"Powiat mielecki",2011,1.74
