"","Kod","Nazwa","rok","SKOLARYZACJA_CTAB_wspolczynnik_skolaryzacji_netto_gimnazja_proc"
"18241",201000,"Powiat bolesławiecki",2003,97.71
"18242",202000,"Powiat dzierżoniowski",2003,94.33
"18243",203000,"Powiat głogowski",2003,97.23
"18244",204000,"Powiat górowski",2003,95.09
"18245",205000,"Powiat jaworski",2003,95.16
"18246",206000,"Powiat jeleniogórski",2003,83.6
"18247",207000,"Powiat kamiennogórski",2003,97.49
"18248",208000,"Powiat kłodzki",2003,94.65
"18249",209000,"Powiat legnicki",2003,89.87
"18250",210000,"Powiat lubański",2003,98.51
"18251",211000,"Powiat lubiński",2003,96.93
"18252",212000,"Powiat lwówecki",2003,95.31
"18253",213000,"Powiat milicki",2003,95.93
"18254",214000,"Powiat oleśnicki",2003,96.07
"18255",215000,"Powiat oławski",2003,97.56
"18256",216000,"Powiat polkowicki",2003,94.1
"18257",217000,"Powiat strzeliński",2003,95.63
"18258",218000,"Powiat średzki",2003,92.23
"18259",219000,"Powiat świdnicki",2003,94.29
"18260",220000,"Powiat trzebnicki",2003,92.28
"18261",221000,"Powiat wałbrzyski",2003,93.86
"18262",222000,"Powiat wołowski",2003,96.41
"18263",223000,"Powiat wrocławski",2003,89.01
"18264",224000,"Powiat ząbkowicki",2003,92.58
"18265",225000,"Powiat zgorzelecki",2003,94.98
"18266",226000,"Powiat złotoryjski",2003,95.11
"18267",261000,"Powiat m.Jelenia Góra",2003,106.05
"18268",262000,"Powiat m.Legnica",2003,97.6
"18269",264000,"Powiat m.Wrocław",2003,96.88
"18270",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"18271",401000,"Powiat aleksandrowski",2003,97.5
"18272",402000,"Powiat brodnicki",2003,94.83
"18273",403000,"Powiat bydgoski",2003,90.67
"18274",404000,"Powiat chełmiński",2003,94.91
"18275",405000,"Powiat golubsko-dobrzyński",2003,94.09
"18276",406000,"Powiat grudziądzki",2003,86.13
"18277",407000,"Powiat inowrocławski",2003,96.11
"18278",408000,"Powiat lipnowski",2003,96.68
"18279",409000,"Powiat mogileński",2003,94.82
"18280",410000,"Powiat nakielski",2003,96.86
"18281",411000,"Powiat radziejowski",2003,99.09
"18282",412000,"Powiat rypiński",2003,96.36
"18283",413000,"Powiat sępoleński",2003,92.28
"18284",414000,"Powiat świecki",2003,95.96
"18285",415000,"Powiat toruński",2003,88
"18286",416000,"Powiat tucholski",2003,95.51
"18287",417000,"Powiat wąbrzeski",2003,95
"18288",418000,"Powiat włocławski",2003,91.19
"18289",419000,"Powiat żniński",2003,98.42
"18290",461000,"Powiat m.Bydgoszcz",2003,98.52
"18291",462000,"Powiat m.Grudziądz",2003,98.09
"18292",463000,"Powiat m.Toruń",2003,99.79
"18293",464000,"Powiat m.Włocławek",2003,99.02
"18294",601000,"Powiat bialski",2003,93.21
"18295",602000,"Powiat biłgorajski",2003,98.14
"18296",603000,"Powiat chełmski",2003,86.8
"18297",604000,"Powiat hrubieszowski",2003,98.05
"18298",605000,"Powiat janowski",2003,97.94
"18299",606000,"Powiat krasnostawski",2003,99.01
"18300",607000,"Powiat kraśnicki",2003,95.87
"18301",608000,"Powiat lubartowski",2003,98.21
"18302",609000,"Powiat lubelski",2003,87.27
"18303",610000,"Powiat łęczyński",2003,97.54
"18304",611000,"Powiat łukowski",2003,98.29
"18305",612000,"Powiat opolski",2003,97.48
"18306",613000,"Powiat parczewski",2003,97.4
"18307",614000,"Powiat puławski",2003,99.03
"18308",615000,"Powiat radzyński",2003,97.17
"18309",616000,"Powiat rycki",2003,99.38
"18310",617000,"Powiat świdnicki",2003,96.29
"18311",618000,"Powiat tomaszowski",2003,98.38
"18312",619000,"Powiat włodawski",2003,96.56
"18313",620000,"Powiat zamojski",2003,90.36
"18314",661000,"Powiat m.Biała Podlaska",2003,107.46
"18315",662000,"Powiat m.Chełm",2003,108.92
"18316",663000,"Powiat m.Lublin",2003,99.52
"18317",664000,"Powiat m.Zamość",2003,109.94
"18318",801000,"Powiat gorzowski",2003,86.92
"18319",802000,"Powiat krośnieński",2003,95.47
"18320",803000,"Powiat międzyrzecki",2003,92.65
"18321",804000,"Powiat nowosolski",2003,94.49
"18322",805000,"Powiat słubicki",2003,95.14
"18323",806000,"Powiat strzelecko-drezdenecki",2003,92.63
"18324",807000,"Powiat sulęciński",2003,97.86
"18325",808000,"Powiat świebodziński",2003,94.73
"18326",809000,"Powiat zielonogórski",2003,85.33
"18327",810000,"Powiat żagański",2003,95.56
"18328",811000,"Powiat żarski",2003,95.34
"18329",812000,"Powiat wschowski",2003,94.24
"18330",861000,"Powiat m.Gorzów Wielkopolski",2003,100.62
"18331",862000,"Powiat m.Zielona Góra",2003,108.04
"18332",1001000,"Powiat bełchatowski",2003,96.75
"18333",1002000,"Powiat kutnowski",2003,97.02
"18334",1003000,"Powiat łaski",2003,97.54
"18335",1004000,"Powiat łęczycki",2003,95.8
"18336",1005000,"Powiat łowicki",2003,96.42
"18337",1006000,"Powiat łódzki wschodni",2003,94.79
"18338",1007000,"Powiat opoczyński",2003,97.17
"18339",1008000,"Powiat pabianicki",2003,93.68
"18340",1009000,"Powiat pajęczański",2003,99.32
"18341",1010000,"Powiat piotrkowski",2003,92.79
"18342",1011000,"Powiat poddębicki",2003,98.5
"18343",1012000,"Powiat radomszczański",2003,96.58
"18344",1013000,"Powiat rawski",2003,98.09
"18345",1014000,"Powiat sieradzki",2003,96.42
"18346",1015000,"Powiat skierniewicki",2003,86.69
"18347",1016000,"Powiat tomaszowski",2003,96.68
"18348",1017000,"Powiat wieluński",2003,96.72
"18349",1018000,"Powiat wieruszowski",2003,97.17
"18350",1019000,"Powiat zduńskowolski",2003,97.07
"18351",1020000,"Powiat zgierski",2003,93.69
"18352",1021000,"Powiat brzeziński",2003,94.75
"18353",1061000,"Powiat m.Łódź",2003,95.64
"18354",1062000,"Powiat m.Piotrków Trybunalski",2003,99.77
"18355",1063000,"Powiat m.Skierniewice",2003,105.36
"18356",1201000,"Powiat bocheński",2003,97.52
"18357",1202000,"Powiat brzeski",2003,98.34
"18358",1203000,"Powiat chrzanowski",2003,96.87
"18359",1204000,"Powiat dąbrowski",2003,95.14
"18360",1205000,"Powiat gorlicki",2003,96.36
