"","Kod","Nazwa","rok","Srodki_gmin_powiatow_z_UE_finansowanie_programow_projektow_na_1_mieszkanca_ogolem_zl"
"1",201000,"Powiat bolesławiecki",2010,20.5
"2",202000,"Powiat dzierżoniowski",2010,39.1
"3",203000,"Powiat głogowski",2010,11.9
"4",204000,"Powiat górowski",2010,9.9
"5",205000,"Powiat jaworski",2010,131.3
"6",206000,"Powiat jeleniogórski",2010,213.7
"7",207000,"Powiat kamiennogórski",2010,13.4
"8",208000,"Powiat kłodzki",2010,6.5
"9",209000,"Powiat legnicki",2010,39.6
"10",210000,"Powiat lubański",2010,0
"11",211000,"Powiat lubiński",2010,22
"12",212000,"Powiat lwówecki",2010,57.6
"13",213000,"Powiat milicki",2010,119.8
"14",214000,"Powiat oleśnicki",2010,3.9
"15",215000,"Powiat oławski",2010,9.2
"16",216000,"Powiat polkowicki",2010,144.2
"17",217000,"Powiat strzeliński",2010,23.4
"18",218000,"Powiat średzki",2010,81.9
"19",219000,"Powiat świdnicki",2010,6.3
"20",220000,"Powiat trzebnicki",2010,44.7
"21",221000,"Powiat wałbrzyski",2010,51.6
"22",222000,"Powiat wołowski",2010,17.6
"23",223000,"Powiat wrocławski",2010,6.2
"24",224000,"Powiat ząbkowicki",2010,17.8
"25",225000,"Powiat zgorzelecki",2010,55.4
"26",226000,"Powiat złotoryjski",2010,76.7
"27",261000,"Powiat m.Jelenia Góra",2010,8.3
"28",262000,"Powiat m.Legnica",2010,1
"29",264000,"Powiat m.Wrocław",2010,0.6
"30",265000,"Powiat m.Wałbrzych od 2013",2010,NA
"31",401000,"Powiat aleksandrowski",2010,20.7
"32",402000,"Powiat brodnicki",2010,183.1
"33",403000,"Powiat bydgoski",2010,7.1
"34",404000,"Powiat chełmiński",2010,142.7
"35",405000,"Powiat golubsko-dobrzyński",2010,111.1
"36",406000,"Powiat grudziądzki",2010,44.7
"37",407000,"Powiat inowrocławski",2010,109.1
"38",408000,"Powiat lipnowski",2010,31.9
"39",409000,"Powiat mogileński",2010,5
"40",410000,"Powiat nakielski",2010,54.5
"41",411000,"Powiat radziejowski",2010,131
"42",412000,"Powiat rypiński",2010,0.8
"43",413000,"Powiat sępoleński",2010,0
"44",414000,"Powiat świecki",2010,17.6
"45",415000,"Powiat toruński",2010,21.6
"46",416000,"Powiat tucholski",2010,50.6
"47",417000,"Powiat wąbrzeski",2010,19.8
"48",418000,"Powiat włocławski",2010,22.7
"49",419000,"Powiat żniński",2010,4.5
"50",461000,"Powiat m.Bydgoszcz",2010,0.2
"51",462000,"Powiat m.Grudziądz",2010,124.2
"52",463000,"Powiat m.Toruń",2010,152.5
"53",464000,"Powiat m.Włocławek",2010,352.9
"54",601000,"Powiat bialski",2010,6.2
"55",602000,"Powiat biłgorajski",2010,237.5
"56",603000,"Powiat chełmski",2010,54.5
"57",604000,"Powiat hrubieszowski",2010,70.2
"58",605000,"Powiat janowski",2010,41.3
"59",606000,"Powiat krasnostawski",2010,16.6
"60",607000,"Powiat kraśnicki",2010,56.9
"61",608000,"Powiat lubartowski",2010,40.9
"62",609000,"Powiat lubelski",2010,38
"63",610000,"Powiat łęczyński",2010,25.5
"64",611000,"Powiat łukowski",2010,53.9
"65",612000,"Powiat opolski",2010,65.9
"66",613000,"Powiat parczewski",2010,0
"67",614000,"Powiat puławski",2010,23.1
"68",615000,"Powiat radzyński",2010,0
"69",616000,"Powiat rycki",2010,0
"70",617000,"Powiat świdnicki",2010,20.7
"71",618000,"Powiat tomaszowski",2010,22.2
"72",619000,"Powiat włodawski",2010,23.4
"73",620000,"Powiat zamojski",2010,40
"74",661000,"Powiat m.Biała Podlaska",2010,0
"75",662000,"Powiat m.Chełm",2010,1.1
"76",663000,"Powiat m.Lublin",2010,1.6
"77",664000,"Powiat m.Zamość",2010,0
"78",801000,"Powiat gorzowski",2010,178.6
"79",802000,"Powiat krośnieński",2010,133.6
"80",803000,"Powiat międzyrzecki",2010,13.5
"81",804000,"Powiat nowosolski",2010,9.6
"82",805000,"Powiat słubicki",2010,84.6
"83",806000,"Powiat strzelecko-drezdenecki",2010,92.3
"84",807000,"Powiat sulęciński",2010,190.2
"85",808000,"Powiat świebodziński",2010,3.3
"86",809000,"Powiat zielonogórski",2010,17.1
"87",810000,"Powiat żagański",2010,33.5
"88",811000,"Powiat żarski",2010,2.7
"89",812000,"Powiat wschowski",2010,2.6
"90",861000,"Powiat m.Gorzów Wielkopolski",2010,6.9
"91",862000,"Powiat m.Zielona Góra",2010,0
"92",1001000,"Powiat bełchatowski",2010,0.9
"93",1002000,"Powiat kutnowski",2010,13.6
"94",1003000,"Powiat łaski",2010,6.5
"95",1004000,"Powiat łęczycki",2010,6.1
"96",1005000,"Powiat łowicki",2010,6.8
"97",1006000,"Powiat łódzki wschodni",2010,17
"98",1007000,"Powiat opoczyński",2010,0
"99",1008000,"Powiat pabianicki",2010,0.2
"100",1009000,"Powiat pajęczański",2010,0
"101",1010000,"Powiat piotrkowski",2010,8.5
"102",1011000,"Powiat poddębicki",2010,8
"103",1012000,"Powiat radomszczański",2010,2.1
"104",1013000,"Powiat rawski",2010,101.1
"105",1014000,"Powiat sieradzki",2010,93.6
"106",1015000,"Powiat skierniewicki",2010,36.1
"107",1016000,"Powiat tomaszowski",2010,0.2
"108",1017000,"Powiat wieluński",2010,16.7
"109",1018000,"Powiat wieruszowski",2010,47.4
"110",1019000,"Powiat zduńskowolski",2010,0
"111",1020000,"Powiat zgierski",2010,2.7
"112",1021000,"Powiat brzeziński",2010,64.1
"113",1061000,"Powiat m.Łódź",2010,1.3
"114",1062000,"Powiat m.Piotrków Trybunalski",2010,1.1
"115",1063000,"Powiat m.Skierniewice",2010,0
"116",1201000,"Powiat bocheński",2010,2.8
"117",1202000,"Powiat brzeski",2010,1.3
"118",1203000,"Powiat chrzanowski",2010,0.5
"119",1204000,"Powiat dąbrowski",2010,14.3
"120",1205000,"Powiat gorlicki",2010,16.8
"121",1206000,"Powiat krakowski",2010,17.6
"122",1207000,"Powiat limanowski",2010,21.9
"123",1208000,"Powiat miechowski",2010,30.4
"124",1209000,"Powiat myślenicki",2010,39.2
"125",1210000,"Powiat nowosądecki",2010,32.9
"126",1211000,"Powiat nowotarski",2010,50
"127",1212000,"Powiat olkuski",2010,0.7
"128",1213000,"Powiat oświęcimski",2010,9.8
"129",1214000,"Powiat proszowicki",2010,49.3
"130",1215000,"Powiat suski",2010,0.4
"131",1216000,"Powiat tarnowski",2010,18.3
"132",1217000,"Powiat tatrzański",2010,5.3
"133",1218000,"Powiat wadowicki",2010,3
"134",1219000,"Powiat wielicki",2010,196.6
"135",1261000,"Powiat m.Kraków",2010,0.2
"136",1262000,"Powiat m.Nowy Sącz",2010,11.6
"137",1263000,"Powiat m.Tarnów",2010,1
"138",1401000,"Powiat białobrzeski",2010,3.4
"139",1402000,"Powiat ciechanowski",2010,288.6
"140",1403000,"Powiat garwoliński",2010,49.5
"141",1404000,"Powiat gostyniński",2010,1.9
"142",1405000,"Powiat grodziski",2010,36.3
"143",1406000,"Powiat grójecki",2010,11
"144",1407000,"Powiat kozienicki",2010,2.4
"145",1408000,"Powiat legionowski",2010,108.7
"146",1409000,"Powiat lipski",2010,51
"147",1410000,"Powiat łosicki",2010,0.1
"148",1411000,"Powiat makowski",2010,18.1
"149",1412000,"Powiat miński",2010,2.8
"150",1413000,"Powiat mławski",2010,8.6
"151",1414000,"Powiat nowodworski",2010,0
"152",1415000,"Powiat ostrołęcki",2010,14.4
"153",1416000,"Powiat ostrowski",2010,39.3
"154",1417000,"Powiat otwocki",2010,206.4
"155",1418000,"Powiat piaseczyński",2010,80.8
"156",1419000,"Powiat płocki",2010,1.3
"157",1420000,"Powiat płoński",2010,14.2
"158",1421000,"Powiat pruszkowski",2010,0
"159",1422000,"Powiat przasnyski",2010,5.4
"160",1423000,"Powiat przysuski",2010,0.1
"161",1424000,"Powiat pułtuski",2010,0
"162",1425000,"Powiat radomski",2010,45.1
"163",1426000,"Powiat siedlecki",2010,34.3
"164",1427000,"Powiat sierpecki",2010,12.5
"165",1428000,"Powiat sochaczewski",2010,82.5
"166",1429000,"Powiat sokołowski",2010,12.1
"167",1430000,"Powiat szydłowiecki",2010,22
"168",1432000,"Powiat warszawski zachodni",2010,3
"169",1433000,"Powiat węgrowski",2010,15.3
"170",1434000,"Powiat wołomiński",2010,18.4
"171",1435000,"Powiat wyszkowski",2010,0
"172",1436000,"Powiat zwoleński",2010,0
"173",1437000,"Powiat żuromiński",2010,0
"174",1438000,"Powiat żyrardowski",2010,5.9
"175",1461000,"Powiat m.Ostrołęka",2010,6.5
"176",1462000,"Powiat m.Płock",2010,0
"177",1463000,"Powiat m.Radom",2010,0
"178",1464000,"Powiat m.Siedlce",2010,2.8
"179",1465000,"Powiat m. st. Warszawa",2010,2.3
"180",1601000,"Powiat brzeski",2010,80.1
"181",1602000,"Powiat głubczycki",2010,10.3
"182",1603000,"Powiat kędzierzyńsko-kozielski",2010,9.3
"183",1604000,"Powiat kluczborski",2010,1.1
"184",1605000,"Powiat krapkowicki",2010,8.6
"185",1606000,"Powiat namysłowski",2010,6.3
"186",1607000,"Powiat nyski",2010,50.8
"187",1608000,"Powiat oleski",2010,10.1
"188",1609000,"Powiat opolski",2010,1.4
"189",1610000,"Powiat prudnicki",2010,175.2
"190",1611000,"Powiat strzelecki",2010,6.8
"191",1661000,"Powiat m.Opole",2010,0.1
"192",1801000,"Powiat bieszczadzki",2010,134.5
"193",1802000,"Powiat brzozowski",2010,59.8
"194",1803000,"Powiat dębicki",2010,96.1
"195",1804000,"Powiat jarosławski",2010,35.2
"196",1805000,"Powiat jasielski",2010,181.5
"197",1806000,"Powiat kolbuszowski",2010,56.1
"198",1807000,"Powiat krośnieński",2010,19.9
"199",1808000,"Powiat leżajski",2010,33.3
"200",1809000,"Powiat lubaczowski",2010,21.8
"201",1810000,"Powiat łańcucki",2010,36.4
"202",1811000,"Powiat mielecki",2010,16.7
"203",1812000,"Powiat niżański",2010,98.6
"204",1813000,"Powiat przemyski",2010,164.7
"205",1814000,"Powiat przeworski",2010,72.3
"206",1815000,"Powiat ropczycko-sędziszowski",2010,9.6
"207",1816000,"Powiat rzeszowski",2010,25.6
"208",1817000,"Powiat sanocki",2010,14.9
"209",1818000,"Powiat stalowowolski",2010,9.7
