"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_noclegi_udzielone_turystom_krajowym_w_turystycznych_obiektach_noclegowych_ogolem_na_10_tys_mieszkancow_ogolem"
"61723",201000,"Powiat bolesławiecki",2002,4445
"61724",202000,"Powiat dzierżoniowski",2002,1649
"61725",203000,"Powiat głogowski",2002,1628
"61726",204000,"Powiat górowski",2002,169
"61727",205000,"Powiat jaworski",2002,3267
"61728",206000,"Powiat jeleniogórski",2002,194272
"61729",207000,"Powiat kamiennogórski",2002,9475
"61730",208000,"Powiat kłodzki",2002,85115
"61731",209000,"Powiat legnicki",2002,3425
"61732",210000,"Powiat lubański",2002,22374
"61733",211000,"Powiat lubiński",2002,3104
"61734",212000,"Powiat lwówecki",2002,4769
"61735",213000,"Powiat milicki",2002,14246
"61736",214000,"Powiat oleśnicki",2002,2272
"61737",215000,"Powiat oławski",2002,1944
"61738",216000,"Powiat polkowicki",2002,3122
"61739",217000,"Powiat strzeliński",2002,1328
"61740",218000,"Powiat średzki",2002,2670
"61741",219000,"Powiat świdnicki",2002,2893
"61742",220000,"Powiat trzebnicki",2002,4547
"61743",221000,"Powiat wałbrzyski",2002,51421
"61744",222000,"Powiat wołowski",2002,10039
"61745",223000,"Powiat wrocławski",2002,5009
"61746",224000,"Powiat ząbkowicki",2002,3238
"61747",225000,"Powiat zgorzelecki",2002,5676
"61748",226000,"Powiat złotoryjski",2002,1295
"61749",261000,"Powiat m.Jelenia Góra",2002,11411
"61750",262000,"Powiat m.Legnica",2002,3414
"61751",263000,"Powiat m.Wałbrzych do 2002",2002,2066
"61752",264000,"Powiat m.Wrocław",2002,8473
"61753",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"61754",401000,"Powiat aleksandrowski",2002,67178
"61755",402000,"Powiat brodnicki",2002,13745
"61756",403000,"Powiat bydgoski",2002,10761
"61757",404000,"Powiat chełmiński",2002,1594
"61758",405000,"Powiat golubsko-dobrzyński",2002,2023
"61759",406000,"Powiat grudziądzki",2002,1511
"61760",407000,"Powiat inowrocławski",2002,26081
"61761",408000,"Powiat lipnowski",2002,2291
"61762",409000,"Powiat mogileński",2002,12398
"61763",410000,"Powiat nakielski",2002,859
"61764",411000,"Powiat radziejowski",2002,2154
"61765",412000,"Powiat rypiński",2002,5589
"61766",413000,"Powiat sępoleński",2002,6137
"61767",414000,"Powiat świecki",2002,8786
"61768",415000,"Powiat toruński",2002,2668
