"","Kod","Nazwa","rok","TURYSTYCZNE_OBIEKTY_NOCLEGOWE_I_ICH_WYKORZYSTANIE_CTAB_udzielone_noclegi_turystom_zagranicznym_w_turystycznych_obiektach_noclegowych_na_10_tys_mieszkancow_ogolem"
"68581",201000,"Powiat bolesławiecki",2002,1968
"68582",202000,"Powiat dzierżoniowski",2002,806
"68583",203000,"Powiat głogowski",2002,1584
"68584",204000,"Powiat górowski",2002,0
"68585",205000,"Powiat jaworski",2002,299
"68586",206000,"Powiat jeleniogórski",2002,16536
"68587",207000,"Powiat kamiennogórski",2002,543
"68588",208000,"Powiat kłodzki",2002,4357
"68589",209000,"Powiat legnicki",2002,261
"68590",210000,"Powiat lubański",2002,14162
"68591",211000,"Powiat lubiński",2002,545
"68592",212000,"Powiat lwówecki",2002,1656
"68593",213000,"Powiat milicki",2002,290
"68594",214000,"Powiat oleśnicki",2002,736
"68595",215000,"Powiat oławski",2002,215
"68596",216000,"Powiat polkowicki",2002,1262
"68597",217000,"Powiat strzeliński",2002,309
"68598",218000,"Powiat średzki",2002,507
"68599",219000,"Powiat świdnicki",2002,1372
"68600",220000,"Powiat trzebnicki",2002,298
"68601",221000,"Powiat wałbrzyski",2002,2495
"68602",222000,"Powiat wołowski",2002,302
"68603",223000,"Powiat wrocławski",2002,299
"68604",224000,"Powiat ząbkowicki",2002,158
"68605",225000,"Powiat zgorzelecki",2002,1958
"68606",226000,"Powiat złotoryjski",2002,1467
"68607",261000,"Powiat m.Jelenia Góra",2002,7130
"68608",262000,"Powiat m.Legnica",2002,1204
"68609",263000,"Powiat m.Wałbrzych do 2002",2002,1258
"68610",264000,"Powiat m.Wrocław",2002,4520
"68611",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"68612",401000,"Powiat aleksandrowski",2002,966
"68613",402000,"Powiat brodnicki",2002,534
"68614",403000,"Powiat bydgoski",2002,411
"68615",404000,"Powiat chełmiński",2002,127
"68616",405000,"Powiat golubsko-dobrzyński",2002,41
"68617",406000,"Powiat grudziądzki",2002,14
"68618",407000,"Powiat inowrocławski",2002,268
"68619",408000,"Powiat lipnowski",2002,118
"68620",409000,"Powiat mogileński",2002,10
"68621",410000,"Powiat nakielski",2002,22
"68622",411000,"Powiat radziejowski",2002,8
"68623",412000,"Powiat rypiński",2002,0
"68624",413000,"Powiat sępoleński",2002,0
"68625",414000,"Powiat świecki",2002,353
"68626",415000,"Powiat toruński",2002,230
"68627",416000,"Powiat tucholski",2002,221
"68628",417000,"Powiat wąbrzeski",2002,6
"68629",418000,"Powiat włocławski",2002,19
"68630",419000,"Powiat żniński",2002,263
"68631",461000,"Powiat m.Bydgoszcz",2002,705
"68632",462000,"Powiat m.Grudziądz",2002,421
"68633",463000,"Powiat m.Toruń",2002,2357
"68634",464000,"Powiat m.Włocławek",2002,549
"68635",601000,"Powiat bialski",2002,488
"68636",602000,"Powiat biłgorajski",2002,91
"68637",603000,"Powiat chełmski",2002,494
"68638",604000,"Powiat hrubieszowski",2002,136
"68639",605000,"Powiat janowski",2002,97
"68640",606000,"Powiat krasnostawski",2002,87
"68641",607000,"Powiat kraśnicki",2002,67
"68642",608000,"Powiat lubartowski",2002,153
"68643",609000,"Powiat lubelski",2002,67
"68644",610000,"Powiat łęczyński",2002,7
"68645",611000,"Powiat łukowski",2002,27
"68646",612000,"Powiat opolski",2002,4
"68647",613000,"Powiat parczewski",2002,110
"68648",614000,"Powiat puławski",2002,1112
"68649",615000,"Powiat radzyński",2002,110
"68650",616000,"Powiat rycki",2002,0
