"","Kod","Nazwa","rok","UCZELNIE_CTAB_absolwenci_ogolem_osoba"
"6896",201000,"Powiat bolesławiecki",2012,44
"6897",202000,"Powiat dzierżoniowski",2012,43
"6898",203000,"Powiat głogowski",2012,448
"6899",208000,"Powiat kłodzki",2012,311
"6900",211000,"Powiat lubiński",2012,244
"6901",213000,"Powiat milicki",2012,0
"6902",216000,"Powiat polkowicki",2012,62
"6903",219000,"Powiat świdnicki",2012,175
"6904",221000,"Powiat wałbrzyski",2012,1492
"6905",224000,"Powiat ząbkowicki",2012,34
"6906",225000,"Powiat zgorzelecki",2012,42
"6907",261000,"Powiat m.Jelenia Góra",2012,1115
"6908",262000,"Powiat m.Legnica",2012,2189
"6909",264000,"Powiat m.Wrocław",2012,35151
"6910",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"6911",402000,"Powiat brodnicki",2012,89
"6912",407000,"Powiat inowrocławski",2012,136
"6913",414000,"Powiat świecki",2012,36
"6914",415000,"Powiat toruński",2012,0
"6915",416000,"Powiat tucholski",2012,132
"6916",461000,"Powiat m.Bydgoszcz",2012,12885
"6917",462000,"Powiat m.Grudziądz",2012,225
"6918",463000,"Powiat m.Toruń",2012,8351
"6919",464000,"Powiat m.Włocławek",2012,1494
"6920",602000,"Powiat biłgorajski",2012,9
"6921",611000,"Powiat łukowski",2012,97
"6922",614000,"Powiat puławski",2012,176
"6923",616000,"Powiat rycki",2012,405
"6924",618000,"Powiat tomaszowski",2012,173
"6925",661000,"Powiat m.Biała Podlaska",2012,1701
"6926",662000,"Powiat m.Chełm",2012,1081
"6927",663000,"Powiat m.Lublin",2012,23646
"6928",664000,"Powiat m.Zamość",2012,1167
"6929",801000,"Powiat gorzowski",2012,88
"6930",802000,"Powiat krośnieński",2012,37
"6931",805000,"Powiat słubicki",2012,147
"6932",809000,"Powiat zielonogórski",2012,423
"6933",810000,"Powiat żagański",2012,0
"6934",811000,"Powiat żarski",2012,261
"6935",861000,"Powiat m.Gorzów Wielkopolski",2012,1464
"6936",862000,"Powiat m.Zielona Góra",2012,4271
"6937",1001000,"Powiat bełchatowski",2012,17
"6938",1002000,"Powiat kutnowski",2012,447
"6939",1005000,"Powiat łowicki",2012,390
"6940",1008000,"Powiat pabianicki",2012,77
"6941",1012000,"Powiat radomszczański",2012,81
"6942",1014000,"Powiat sieradzki",2012,300
"6943",1016000,"Powiat tomaszowski",2012,358
"6944",1017000,"Powiat wieluński",2012,95
"6945",1019000,"Powiat zduńskowolski",2012,73
"6946",1061000,"Powiat m.Łódź",2012,24825
"6947",1062000,"Powiat m.Piotrków Trybunalski",2012,1831
"6948",1063000,"Powiat m.Skierniewice",2012,505
"6949",1201000,"Powiat bocheński",2012,104
"6950",1202000,"Powiat brzeski",2012,119
"6951",1203000,"Powiat chrzanowski",2012,155
"6952",1207000,"Powiat limanowski",2012,23
"6953",1208000,"Powiat miechowski",2012,131
"6954",1209000,"Powiat myślenicki",2012,285
"6955",1211000,"Powiat nowotarski",2012,851
"6956",1212000,"Powiat olkuski",2012,91
"6957",1213000,"Powiat oświęcimski",2012,332
"6958",1215000,"Powiat suski",2012,267
"6959",1217000,"Powiat tatrzański",2012,23
"6960",1261000,"Powiat m.Kraków",2012,48518
"6961",1262000,"Powiat m.Nowy Sącz",2012,2630
"6962",1263000,"Powiat m.Tarnów",2012,2443
"6963",1402000,"Powiat ciechanowski",2012,714
"6964",1403000,"Powiat garwoliński",2012,89
"6965",1405000,"Powiat grodziski",2012,427
"6966",1406000,"Powiat grójecki",2012,20
"6967",1412000,"Powiat miński",2012,99
