"","Kod","Nazwa","rok","UCZELNIE_CTAB_studenci_ogolem_osoba"
"2759",201000,"Powiat bolesławiecki",2012,124
"2760",202000,"Powiat dzierżoniowski",2012,83
"2761",203000,"Powiat głogowski",2012,1031
"2762",208000,"Powiat kłodzki",2012,674
"2763",211000,"Powiat lubiński",2012,1197
"2764",213000,"Powiat milicki",2012,105
"2765",216000,"Powiat polkowicki",2012,445
"2766",219000,"Powiat świdnicki",2012,474
"2767",221000,"Powiat wałbrzyski",2012,5069
"2768",224000,"Powiat ząbkowicki",2012,67
"2769",225000,"Powiat zgorzelecki",2012,210
"2770",261000,"Powiat m.Jelenia Góra",2012,3839
"2771",262000,"Powiat m.Legnica",2012,7388
"2772",264000,"Powiat m.Wrocław",2012,134383
"2773",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"2774",402000,"Powiat brodnicki",2012,193
"2775",407000,"Powiat inowrocławski",2012,463
"2776",414000,"Powiat świecki",2012,257
"2777",415000,"Powiat toruński",2012,0
"2778",416000,"Powiat tucholski",2012,783
"2779",461000,"Powiat m.Bydgoszcz",2012,40167
"2780",462000,"Powiat m.Grudziądz",2012,731
"2781",463000,"Powiat m.Toruń",2012,30385
"2782",464000,"Powiat m.Włocławek",2012,3802
"2783",602000,"Powiat biłgorajski",2012,109
"2784",611000,"Powiat łukowski",2012,191
"2785",614000,"Powiat puławski",2012,260
"2786",616000,"Powiat rycki",2012,1833
"2787",618000,"Powiat tomaszowski",2012,566
"2788",661000,"Powiat m.Biała Podlaska",2012,5916
"2789",662000,"Powiat m.Chełm",2012,3395
"2790",663000,"Powiat m.Lublin",2012,77173
"2791",664000,"Powiat m.Zamość",2012,3702
"2792",801000,"Powiat gorzowski",2012,239
"2793",802000,"Powiat krośnieński",2012,0
"2794",805000,"Powiat słubicki",2012,588
"2795",809000,"Powiat zielonogórski",2012,952
"2796",810000,"Powiat żagański",2012,11
"2797",811000,"Powiat żarski",2012,390
"2798",861000,"Powiat m.Gorzów Wielkopolski",2012,4637
"2799",862000,"Powiat m.Zielona Góra",2012,14467
"2800",1001000,"Powiat bełchatowski",2012,303
"2801",1002000,"Powiat kutnowski",2012,1243
"2802",1005000,"Powiat łowicki",2012,598
"2803",1008000,"Powiat pabianicki",2012,253
"2804",1012000,"Powiat radomszczański",2012,180
"2805",1014000,"Powiat sieradzki",2012,478
"2806",1016000,"Powiat tomaszowski",2012,967
"2807",1017000,"Powiat wieluński",2012,194
"2808",1019000,"Powiat zduńskowolski",2012,204
"2809",1061000,"Powiat m.Łódź",2012,91546
"2810",1062000,"Powiat m.Piotrków Trybunalski",2012,3749
"2811",1063000,"Powiat m.Skierniewice",2012,2017
"2812",1201000,"Powiat bocheński",2012,229
"2813",1202000,"Powiat brzeski",2012,191
"2814",1203000,"Powiat chrzanowski",2012,496
"2815",1207000,"Powiat limanowski",2012,0
"2816",1208000,"Powiat miechowski",2012,331
"2817",1209000,"Powiat myślenicki",2012,778
"2818",1211000,"Powiat nowotarski",2012,2324
"2819",1212000,"Powiat olkuski",2012,449
"2820",1213000,"Powiat oświęcimski",2012,1206
"2821",1215000,"Powiat suski",2012,588
"2822",1217000,"Powiat tatrzański",2012,116
"2823",1261000,"Powiat m.Kraków",2012,181924
"2824",1262000,"Powiat m.Nowy Sącz",2012,7410
"2825",1263000,"Powiat m.Tarnów",2012,6936
"2826",1402000,"Powiat ciechanowski",2012,1955
"2827",1403000,"Powiat garwoliński",2012,191
"2828",1405000,"Powiat grodziski",2012,978
"2829",1406000,"Powiat grójecki",2012,60
"2830",1412000,"Powiat miński",2012,303
"2831",1413000,"Powiat mławski",2012,213
"2832",1415000,"Powiat ostrołęcki",2012,0
"2833",1416000,"Powiat ostrowski",2012,103
"2834",1417000,"Powiat otwocki",2012,2053
"2835",1420000,"Powiat płoński",2012,338
"2836",1421000,"Powiat pruszkowski",2012,580
"2837",1422000,"Powiat przasnyski",2012,72
"2838",1424000,"Powiat pułtuski",2012,2205
"2839",1426000,"Powiat siedlecki",2012,53
"2840",1428000,"Powiat sochaczewski",2012,382
"2841",1433000,"Powiat węgrowski",2012,72
"2842",1434000,"Powiat wołomiński",2012,104
"2843",1435000,"Powiat wyszkowski",2012,527
"2844",1438000,"Powiat żyrardowski",2012,793
"2845",1461000,"Powiat m.Ostrołęka",2012,885
"2846",1462000,"Powiat m.Płock",2012,7943
"2847",1463000,"Powiat m.Radom",2012,13257
"2848",1464000,"Powiat m.Siedlce",2012,10411
"2849",1465000,"Powiat m. st. Warszawa",2012,268555
"2850",1601000,"Powiat brzeski",2012,255
"2851",1603000,"Powiat kędzierzyńsko-kozielski",2012,4
"2852",1607000,"Powiat nyski",2012,3340
"2853",1661000,"Powiat m.Opole",2012,31023
"2854",1803000,"Powiat dębicki",2012,258
"2855",1804000,"Powiat jarosławski",2012,3606
"2856",1805000,"Powiat jasielski",2012,671
"2857",1806000,"Powiat kolbuszowski",2012,256
"2858",1811000,"Powiat mielecki",2012,471
"2859",1812000,"Powiat niżański",2012,184
"2860",1814000,"Powiat przeworski",2012,186
"2861",1817000,"Powiat sanocki",2012,1411
"2862",1818000,"Powiat stalowowolski",2012,2176
"2863",1861000,"Powiat m.Krosno",2012,3708
"2864",1862000,"Powiat m.Przemyśl",2012,1615
"2865",1863000,"Powiat m.Rzeszów",2012,51851
"2866",1864000,"Powiat m.Tarnobrzeg",2012,1142
"2867",2001000,"Powiat augustowski",2012,61
"2868",2005000,"Powiat hajnowski",2012,290
"2869",2010000,"Powiat siemiatycki",2012,166
"2870",2061000,"Powiat m.Białystok",2012,39699
"2871",2062000,"Powiat m.Łomża",2012,4243
"2872",2063000,"Powiat m.Suwałki",2012,2358
"2873",2202000,"Powiat chojnicki",2012,782
"2874",2203000,"Powiat człuchowski",2012,72
"2875",2205000,"Powiat kartuski",2012,77
"2876",2206000,"Powiat kościerski",2012,60
"2877",2207000,"Powiat kwidzyński",2012,688
"2878",2208000,"Powiat lęborski",2012,197
"2879",2209000,"Powiat malborski",2012,283
"2880",2213000,"Powiat starogardzki",2012,443
"2881",2214000,"Powiat tczewski",2012,0
"2882",2215000,"Powiat wejherowski",2012,310
"2883",2261000,"Powiat m.Gdańsk",2012,80908
"2884",2262000,"Powiat m.Gdynia",2012,15545
"2885",2263000,"Powiat m.Słupsk",2012,4832
"2886",2264000,"Powiat m.Sopot",2012,2246
"2887",2401000,"Powiat będziński",2012,36
"2888",2403000,"Powiat cieszyński",2012,3617
"2889",2409000,"Powiat myszkowski",2012,24
"2890",2411000,"Powiat raciborski",2012,1719
"2891",2413000,"Powiat tarnogórski",2012,264
"2892",2415000,"Powiat wodzisławski",2012,291
"2893",2416000,"Powiat zawierciański",2012,0
"2894",2417000,"Powiat żywiecki",2012,450
"2895",2461000,"Powiat m.Bielsko-Biała",2012,12098
