"","Kod","Nazwa","rok","UCZELNIE_CTAB_uczelnie_ogolem_ob"
"1",201000,"Powiat bolesławiecki",2012,0
"2",202000,"Powiat dzierżoniowski",2012,0
"3",203000,"Powiat głogowski",2012,1
"4",208000,"Powiat kłodzki",2012,1
"5",211000,"Powiat lubiński",2012,1
"6",213000,"Powiat milicki",2012,0
"7",216000,"Powiat polkowicki",2012,1
"8",219000,"Powiat świdnicki",2012,2
"9",221000,"Powiat wałbrzyski",2012,2
"10",224000,"Powiat ząbkowicki",2012,0
"11",225000,"Powiat zgorzelecki",2012,0
"12",261000,"Powiat m.Jelenia Góra",2012,2
"13",262000,"Powiat m.Legnica",2012,3
"14",264000,"Powiat m.Wrocław",2012,25
"15",265000,"Powiat m.Wałbrzych od 2013",2012,NA
"16",402000,"Powiat brodnicki",2012,0
"17",407000,"Powiat inowrocławski",2012,0
"18",414000,"Powiat świecki",2012,1
"19",415000,"Powiat toruński",2012,0
"20",416000,"Powiat tucholski",2012,1
"21",461000,"Powiat m.Bydgoszcz",2012,8
"22",462000,"Powiat m.Grudziądz",2012,2
"23",463000,"Powiat m.Toruń",2012,6
"24",464000,"Powiat m.Włocławek",2012,3
"25",602000,"Powiat biłgorajski",2012,0
"26",611000,"Powiat łukowski",2012,1
"27",614000,"Powiat puławski",2012,1
"28",616000,"Powiat rycki",2012,2
"29",618000,"Powiat tomaszowski",2012,0
"30",661000,"Powiat m.Biała Podlaska",2012,1
"31",662000,"Powiat m.Chełm",2012,2
"32",663000,"Powiat m.Lublin",2012,9
"33",664000,"Powiat m.Zamość",2012,3
"34",801000,"Powiat gorzowski",2012,1
"35",802000,"Powiat krośnieński",2012,0
"36",805000,"Powiat słubicki",2012,0
"37",809000,"Powiat zielonogórski",2012,1
"38",810000,"Powiat żagański",2012,0
"39",811000,"Powiat żarski",2012,1
"40",861000,"Powiat m.Gorzów Wielkopolski",2012,2
"41",862000,"Powiat m.Zielona Góra",2012,3
"42",1001000,"Powiat bełchatowski",2012,0
"43",1002000,"Powiat kutnowski",2012,1
"44",1005000,"Powiat łowicki",2012,1
"45",1008000,"Powiat pabianicki",2012,1
"46",1012000,"Powiat radomszczański",2012,0
"47",1014000,"Powiat sieradzki",2012,1
"48",1016000,"Powiat tomaszowski",2012,0
"49",1017000,"Powiat wieluński",2012,0
"50",1019000,"Powiat zduńskowolski",2012,0
"51",1061000,"Powiat m.Łódź",2012,22
"52",1062000,"Powiat m.Piotrków Trybunalski",2012,1
"53",1063000,"Powiat m.Skierniewice",2012,2
"54",1201000,"Powiat bocheński",2012,1
"55",1202000,"Powiat brzeski",2012,1
"56",1203000,"Powiat chrzanowski",2012,1
"57",1207000,"Powiat limanowski",2012,0
"58",1208000,"Powiat miechowski",2012,0
"59",1209000,"Powiat myślenicki",2012,0
"60",1211000,"Powiat nowotarski",2012,1
"61",1212000,"Powiat olkuski",2012,0
"62",1213000,"Powiat oświęcimski",2012,1
"63",1215000,"Powiat suski",2012,1
"64",1217000,"Powiat tatrzański",2012,0
"65",1261000,"Powiat m.Kraków",2012,22
"66",1262000,"Powiat m.Nowy Sącz",2012,3
"67",1263000,"Powiat m.Tarnów",2012,2
"68",1402000,"Powiat ciechanowski",2012,2
"69",1403000,"Powiat garwoliński",2012,0
"70",1405000,"Powiat grodziski",2012,2
"71",1406000,"Powiat grójecki",2012,0
"72",1412000,"Powiat miński",2012,1
"73",1413000,"Powiat mławski",2012,0
"74",1415000,"Powiat ostrołęcki",2012,0
"75",1416000,"Powiat ostrowski",2012,0
"76",1417000,"Powiat otwocki",2012,2
"77",1420000,"Powiat płoński",2012,0
"78",1421000,"Powiat pruszkowski",2012,1
"79",1422000,"Powiat przasnyski",2012,0
"80",1424000,"Powiat pułtuski",2012,1
"81",1426000,"Powiat siedlecki",2012,0
"82",1428000,"Powiat sochaczewski",2012,1
"83",1433000,"Powiat węgrowski",2012,0
"84",1434000,"Powiat wołomiński",2012,1
"85",1435000,"Powiat wyszkowski",2012,0
"86",1438000,"Powiat żyrardowski",2012,2
"87",1461000,"Powiat m.Ostrołęka",2012,2
"88",1462000,"Powiat m.Płock",2012,3
"89",1463000,"Powiat m.Radom",2012,7
"90",1464000,"Powiat m.Siedlce",2012,2
"91",1465000,"Powiat m. st. Warszawa",2012,81
"92",1601000,"Powiat brzeski",2012,1
"93",1603000,"Powiat kędzierzyńsko-kozielski",2012,0
"94",1607000,"Powiat nyski",2012,1
"95",1661000,"Powiat m.Opole",2012,4
"96",1803000,"Powiat dębicki",2012,0
"97",1804000,"Powiat jarosławski",2012,1
"98",1805000,"Powiat jasielski",2012,1
"99",1806000,"Powiat kolbuszowski",2012,0
"100",1811000,"Powiat mielecki",2012,0
"101",1812000,"Powiat niżański",2012,0
"102",1814000,"Powiat przeworski",2012,1
"103",1817000,"Powiat sanocki",2012,1
"104",1818000,"Powiat stalowowolski",2012,1
"105",1861000,"Powiat m.Krosno",2012,1
"106",1862000,"Powiat m.Przemyśl",2012,3
"107",1863000,"Powiat m.Rzeszów",2012,5
"108",1864000,"Powiat m.Tarnobrzeg",2012,1
"109",2001000,"Powiat augustowski",2012,0
"110",2005000,"Powiat hajnowski",2012,0
"111",2010000,"Powiat siemiatycki",2012,1
"112",2061000,"Powiat m.Białystok",2012,11
"113",2062000,"Powiat m.Łomża",2012,4
"114",2063000,"Powiat m.Suwałki",2012,2
"115",2202000,"Powiat chojnicki",2012,1
"116",2203000,"Powiat człuchowski",2012,0
"117",2205000,"Powiat kartuski",2012,0
"118",2206000,"Powiat kościerski",2012,0
"119",2207000,"Powiat kwidzyński",2012,1
"120",2208000,"Powiat lęborski",2012,0
"121",2209000,"Powiat malborski",2012,0
"122",2213000,"Powiat starogardzki",2012,1
"123",2214000,"Powiat tczewski",2012,0
"124",2215000,"Powiat wejherowski",2012,1
"125",2261000,"Powiat m.Gdańsk",2012,13
"126",2262000,"Powiat m.Gdynia",2012,7
"127",2263000,"Powiat m.Słupsk",2012,3
"128",2264000,"Powiat m.Sopot",2012,2
"129",2401000,"Powiat będziński",2012,0
"130",2403000,"Powiat cieszyński",2012,1
"131",2409000,"Powiat myszkowski",2012,0
"132",2411000,"Powiat raciborski",2012,1
"133",2413000,"Powiat tarnogórski",2012,0
"134",2415000,"Powiat wodzisławski",2012,0
"135",2416000,"Powiat zawierciański",2012,1
"136",2417000,"Powiat żywiecki",2012,1
"137",2461000,"Powiat m.Bielsko-Biała",2012,7
"138",2462000,"Powiat m.Bytom",2012,1
"139",2463000,"Powiat m.Chorzów",2012,2
"140",2464000,"Powiat m.Częstochowa",2012,6
"141",2465000,"Powiat m.Dąbrowa Górnicza",2012,2
"142",2466000,"Powiat m.Gliwice",2012,2
"143",2467000,"Powiat m.Jastrzębie-Zdrój",2012,0
"144",2468000,"Powiat m.Jaworzno",2012,0
"145",2469000,"Powiat m.Katowice",2012,15
"146",2470000,"Powiat m.Mysłowice",2012,1
"147",2472000,"Powiat m.Ruda Śląska",2012,1
"148",2473000,"Powiat m.Rybnik",2012,0
"149",2475000,"Powiat m.Sosnowiec",2012,3
"150",2477000,"Powiat m.Tychy",2012,1
"151",2478000,"Powiat m.Zabrze",2012,0
"152",2479000,"Powiat m.Żory",2012,0
"153",2607000,"Powiat ostrowiecki",2012,1
"154",2608000,"Powiat pińczowski",2012,1
"155",2609000,"Powiat sandomierski",2012,3
"156",2610000,"Powiat skarżyski",2012,0
"157",2611000,"Powiat starachowicki",2012,0
"158",2661000,"Powiat m.Kielce",2012,10
"159",2801000,"Powiat bartoszycki",2012,0
"160",2805000,"Powiat ełcki",2012,0
"161",2806000,"Powiat giżycki",2012,1
"162",2807000,"Powiat iławski",2012,0
"163",2808000,"Powiat kętrzyński",2012,0
"164",2813000,"Powiat olecki",2012,1
"165",2817000,"Powiat szczycieński",2012,1
"166",2861000,"Powiat m.Elbląg",2012,2
"167",2862000,"Powiat m.Olsztyn",2012,4
"168",3002000,"Powiat czarnkowsko-trzcianecki",2012,0
"169",3003000,"Powiat gnieźnieński",2012,2
"170",3006000,"Powiat jarociński",2012,1
"171",3007000,"Powiat kaliski",2012,0
"172",3008000,"Powiat kępiński",2012,0
"173",3009000,"Powiat kolski",2012,0
"174",3011000,"Powiat kościański",2012,0
"175",3015000,"Powiat nowotomyski",2012,0
"176",3017000,"Powiat ostrowski",2012,0
"177",3019000,"Powiat pilski",2012,2
"178",3021000,"Powiat poznański",2012,0
"179",3023000,"Powiat słupecki",2012,0
"180",3025000,"Powiat średzki",2012,1
"181",3026000,"Powiat śremski",2012,0
"182",3027000,"Powiat turecki",2012,0
"183",3028000,"Powiat wągrowiecki",2012,0
"184",3030000,"Powiat wrzesiński",2012,0
"185",3061000,"Powiat m.Kalisz",2012,1
"186",3062000,"Powiat m.Konin",2012,3
"187",3063000,"Powiat m.Leszno",2012,3
"188",3064000,"Powiat m.Poznań",2012,27
"189",3204000,"Powiat goleniowski",2012,0
"190",3205000,"Powiat gryficki",2012,0
"191",3208000,"Powiat kołobrzeski",2012,0
"192",3214000,"Powiat stargardzki",2012,1
"193",3215000,"Powiat szczecinecki",2012,0
"194",3217000,"Powiat wałecki",2012,1
"195",3261000,"Powiat m.Koszalin",2012,3
"196",3262000,"Powiat m.Szczecin",2012,15
"197",3263000,"Powiat m.Świnoujście",2012,0
"198",201000,"Powiat bolesławiecki",2013,0
"199",202000,"Powiat dzierżoniowski",2013,0
"200",203000,"Powiat głogowski",2013,1
"201",208000,"Powiat kłodzki",2013,1
"202",211000,"Powiat lubiński",2013,1
"203",213000,"Powiat milicki",2013,0
"204",216000,"Powiat polkowicki",2013,1
"205",219000,"Powiat świdnicki",2013,2
"206",221000,"Powiat wałbrzyski",2013,0
"207",224000,"Powiat ząbkowicki",2013,0
"208",225000,"Powiat zgorzelecki",2013,0
"209",261000,"Powiat m.Jelenia Góra",2013,1
"210",262000,"Powiat m.Legnica",2013,2
"211",264000,"Powiat m.Wrocław",2013,24
"212",265000,"Powiat m.Wałbrzych od 2013",2013,2
"213",402000,"Powiat brodnicki",2013,0
"214",407000,"Powiat inowrocławski",2013,0
"215",414000,"Powiat świecki",2013,1
"216",415000,"Powiat toruński",2013,0
"217",416000,"Powiat tucholski",2013,1
"218",461000,"Powiat m.Bydgoszcz",2013,9
"219",462000,"Powiat m.Grudziądz",2013,2
"220",463000,"Powiat m.Toruń",2013,6
"221",464000,"Powiat m.Włocławek",2013,3
"222",602000,"Powiat biłgorajski",2013,0
"223",611000,"Powiat łukowski",2013,1
"224",614000,"Powiat puławski",2013,1
"225",616000,"Powiat rycki",2013,2
"226",618000,"Powiat tomaszowski",2013,0
"227",661000,"Powiat m.Biała Podlaska",2013,1
"228",662000,"Powiat m.Chełm",2013,2
"229",663000,"Powiat m.Lublin",2013,9
"230",664000,"Powiat m.Zamość",2013,3
"231",801000,"Powiat gorzowski",2013,1
"232",802000,"Powiat krośnieński",2013,0
"233",805000,"Powiat słubicki",2013,0
"234",809000,"Powiat zielonogórski",2013,1
"235",810000,"Powiat żagański",2013,0
"236",811000,"Powiat żarski",2013,1
"237",861000,"Powiat m.Gorzów Wielkopolski",2013,2
"238",862000,"Powiat m.Zielona Góra",2013,3
"239",1001000,"Powiat bełchatowski",2013,0
"240",1002000,"Powiat kutnowski",2013,1
"241",1005000,"Powiat łowicki",2013,1
"242",1008000,"Powiat pabianicki",2013,1
"243",1012000,"Powiat radomszczański",2013,0
"244",1014000,"Powiat sieradzki",2013,1
"245",1016000,"Powiat tomaszowski",2013,0
"246",1017000,"Powiat wieluński",2013,0
"247",1019000,"Powiat zduńskowolski",2013,0
"248",1061000,"Powiat m.Łódź",2013,22
