"","Kod","Nazwa","rok","URODZENIA_ZGONY_przyrost_naturalny_na_ludnosci"
"12921",201000,"Powiat bolesławiecki",2003,0.97
"12922",202000,"Powiat dzierżoniowski",2003,-3.01
"12923",203000,"Powiat głogowski",2003,1.97
"12924",204000,"Powiat górowski",2003,1.08
"12925",205000,"Powiat jaworski",2003,-1.7
"12926",206000,"Powiat jeleniogórski",2003,-1.98
"12927",207000,"Powiat kamiennogórski",2003,-1.11
"12928",208000,"Powiat kłodzki",2003,-2.96
"12929",209000,"Powiat legnicki",2003,-1.77
"12930",210000,"Powiat lubański",2003,-1.12
"12931",211000,"Powiat lubiński",2003,1.54
"12932",212000,"Powiat lwówecki",2003,-2.97
"12933",213000,"Powiat milicki",2003,2.46
"12934",214000,"Powiat oleśnicki",2003,0.94
"12935",215000,"Powiat oławski",2003,-0.51
"12936",216000,"Powiat polkowicki",2003,2
"12937",217000,"Powiat strzeliński",2003,-0.53
"12938",218000,"Powiat średzki",2003,-0.29
"12939",219000,"Powiat świdnicki",2003,-1.32
"12940",220000,"Powiat trzebnicki",2003,-0.07
"12941",221000,"Powiat wałbrzyski",2003,-3.72
"12942",222000,"Powiat wołowski",2003,-1.81
"12943",223000,"Powiat wrocławski",2003,-1.04
"12944",224000,"Powiat ząbkowicki",2003,-3.24
"12945",225000,"Powiat zgorzelecki",2003,-0.72
"12946",226000,"Powiat złotoryjski",2003,-1.48
"12947",261000,"Powiat m.Jelenia Góra",2003,-2.65
"12948",262000,"Powiat m.Legnica",2003,-1
"12949",264000,"Powiat m.Wrocław",2003,-2.37
"12950",265000,"Powiat m.Wałbrzych od 2013",2003,NA
"12951",401000,"Powiat aleksandrowski",2003,-0.38
"12952",402000,"Powiat brodnicki",2003,1.64
"12953",403000,"Powiat bydgoski",2003,3.12
"12954",404000,"Powiat chełmiński",2003,1.07
"12955",405000,"Powiat golubsko-dobrzyński",2003,2.13
"12956",406000,"Powiat grudziądzki",2003,1.82
"12957",407000,"Powiat inowrocławski",2003,0.04
"12958",408000,"Powiat lipnowski",2003,1.26
"12959",409000,"Powiat mogileński",2003,-0.84
"12960",410000,"Powiat nakielski",2003,2.47
"12961",411000,"Powiat radziejowski",2003,-1.43
"12962",412000,"Powiat rypiński",2003,1.08
"12963",413000,"Powiat sępoleński",2003,2.46
"12964",414000,"Powiat świecki",2003,1.41
"12965",415000,"Powiat toruński",2003,2.91
"12966",416000,"Powiat tucholski",2003,0.93
"12967",417000,"Powiat wąbrzeski",2003,1.78
"12968",418000,"Powiat włocławski",2003,-0.9
"12969",419000,"Powiat żniński",2003,1.35
"12970",461000,"Powiat m.Bydgoszcz",2003,-1.48
"12971",462000,"Powiat m.Grudziądz",2003,-0.83
"12972",463000,"Powiat m.Toruń",2003,0.05
"12973",464000,"Powiat m.Włocławek",2003,0.36
"12974",601000,"Powiat bialski",2003,-1.31
"12975",602000,"Powiat biłgorajski",2003,0.72
"12976",603000,"Powiat chełmski",2003,-2.93
"12977",604000,"Powiat hrubieszowski",2003,-2.77
"12978",605000,"Powiat janowski",2003,-0.81
"12979",606000,"Powiat krasnostawski",2003,-5.14
"12980",607000,"Powiat kraśnicki",2003,-1.95
"12981",608000,"Powiat lubartowski",2003,-0.55
"12982",609000,"Powiat lubelski",2003,-1.43
"12983",610000,"Powiat łęczyński",2003,1.31
"12984",611000,"Powiat łukowski",2003,2.2
"12985",612000,"Powiat opolski",2003,-1.87
"12986",613000,"Powiat parczewski",2003,-2
"12987",614000,"Powiat puławski",2003,-0.31
"12988",615000,"Powiat radzyński",2003,0.59
"12989",616000,"Powiat rycki",2003,-0.16
"12990",617000,"Powiat świdnicki",2003,-0.1
"12991",618000,"Powiat tomaszowski",2003,-1.45
"12992",619000,"Powiat włodawski",2003,-2.74
"12993",620000,"Powiat zamojski",2003,-3.06
"12994",661000,"Powiat m.Biała Podlaska",2003,0.9
"12995",662000,"Powiat m.Chełm",2003,0.04
"12996",663000,"Powiat m.Lublin",2003,0.46
"12997",664000,"Powiat m.Zamość",2003,1.7
"12998",801000,"Powiat gorzowski",2003,2
"12999",802000,"Powiat krośnieński",2003,-0.09
"13000",803000,"Powiat międzyrzecki",2003,0.98
"13001",804000,"Powiat nowosolski",2003,0.39
"13002",805000,"Powiat słubicki",2003,1.65
"13003",806000,"Powiat strzelecko-drezdenecki",2003,0.39
"13004",807000,"Powiat sulęciński",2003,-0.53
"13005",808000,"Powiat świebodziński",2003,-0.69
"13006",809000,"Powiat zielonogórski",2003,0.4
"13007",810000,"Powiat żagański",2003,-0.61
"13008",811000,"Powiat żarski",2003,-0.31
"13009",812000,"Powiat wschowski",2003,0.49
"13010",861000,"Powiat m.Gorzów Wielkopolski",2003,0.57
"13011",862000,"Powiat m.Zielona Góra",2003,-0.38
"13012",1001000,"Powiat bełchatowski",2003,0.38
"13013",1002000,"Powiat kutnowski",2003,-4.01
"13014",1003000,"Powiat łaski",2003,-2.84
"13015",1004000,"Powiat łęczycki",2003,-4.22
"13016",1005000,"Powiat łowicki",2003,-2.47
"13017",1006000,"Powiat łódzki wschodni",2003,-2.33
"13018",1007000,"Powiat opoczyński",2003,-0.05
"13019",1008000,"Powiat pabianicki",2003,-5
"13020",1009000,"Powiat pajęczański",2003,-3.26
"13021",1010000,"Powiat piotrkowski",2003,-2.74
"13022",1011000,"Powiat poddębicki",2003,-4.44
"13023",1012000,"Powiat radomszczański",2003,-2.46
"13024",1013000,"Powiat rawski",2003,-1.04
"13025",1014000,"Powiat sieradzki",2003,-1.53
"13026",1015000,"Powiat skierniewicki",2003,-2.39
"13027",1016000,"Powiat tomaszowski",2003,-3.04
"13028",1017000,"Powiat wieluński",2003,-1.81
"13029",1018000,"Powiat wieruszowski",2003,-1.38
"13030",1019000,"Powiat zduńskowolski",2003,-0.03
"13031",1020000,"Powiat zgierski",2003,-3.11
"13032",1021000,"Powiat brzeziński",2003,-4.49
"13033",1061000,"Powiat m.Łódź",2003,-6.16
"13034",1062000,"Powiat m.Piotrków Trybunalski",2003,-1.7
"13035",1063000,"Powiat m.Skierniewice",2003,0.33
"13036",1201000,"Powiat bocheński",2003,2.47
"13037",1202000,"Powiat brzeski",2003,1.92
"13038",1203000,"Powiat chrzanowski",2003,-1.17
"13039",1204000,"Powiat dąbrowski",2003,-0.51
"13040",1205000,"Powiat gorlicki",2003,2.94
"13041",1206000,"Powiat krakowski",2003,-0.66
"13042",1207000,"Powiat limanowski",2003,5.85
"13043",1208000,"Powiat miechowski",2003,-3.65
"13044",1209000,"Powiat myślenicki",2003,3.35
"13045",1210000,"Powiat nowosądecki",2003,5.54
"13046",1211000,"Powiat nowotarski",2003,4.01
"13047",1212000,"Powiat olkuski",2003,-0.48
"13048",1213000,"Powiat oświęcimski",2003,-0.01
"13049",1214000,"Powiat proszowicki",2003,-2.31
"13050",1215000,"Powiat suski",2003,0.7
"13051",1216000,"Powiat tarnowski",2003,2.59
"13052",1217000,"Powiat tatrzański",2003,0.72
"13053",1218000,"Powiat wadowicki",2003,2.48
"13054",1219000,"Powiat wielicki",2003,0.2
"13055",1261000,"Powiat m.Kraków",2003,-1.26
