"","Kod","Nazwa","rok","WYNAGRODZENIA_CTAB_przecietne_miesieczne_wynagrodzenia_brutto_w_relacji_do_sredniej_krajowej_Polska_100_proc"
"6859",201000,"Powiat bolesławiecki",2002,83.7
"6860",202000,"Powiat dzierżoniowski",2002,76.1
"6861",203000,"Powiat głogowski",2002,83.4
"6862",204000,"Powiat górowski",2002,77.3
"6863",205000,"Powiat jaworski",2002,76.1
"6864",206000,"Powiat jeleniogórski",2002,75.5
"6865",207000,"Powiat kamiennogórski",2002,77.2
"6866",208000,"Powiat kłodzki",2002,79.8
"6867",209000,"Powiat legnicki",2002,75.9
"6868",210000,"Powiat lubański",2002,76.1
"6869",211000,"Powiat lubiński",2002,151.1
"6870",212000,"Powiat lwówecki",2002,78.1
"6871",213000,"Powiat milicki",2002,75.8
"6872",214000,"Powiat oleśnicki",2002,77.7
"6873",215000,"Powiat oławski",2002,88.1
"6874",216000,"Powiat polkowicki",2002,93.6
"6875",217000,"Powiat strzeliński",2002,87
"6876",218000,"Powiat średzki",2002,86.4
"6877",219000,"Powiat świdnicki",2002,84.8
"6878",220000,"Powiat trzebnicki",2002,82.3
"6879",221000,"Powiat wałbrzyski",2002,73.2
"6880",222000,"Powiat wołowski",2002,84.6
"6881",223000,"Powiat wrocławski",2002,94
"6882",224000,"Powiat ząbkowicki",2002,83.9
"6883",225000,"Powiat zgorzelecki",2002,118.9
"6884",226000,"Powiat złotoryjski",2002,81.4
"6885",261000,"Powiat m.Jelenia Góra",2002,94
"6886",262000,"Powiat m.Legnica",2002,85.6
"6887",263000,"Powiat m.Wałbrzych do 2002",2002,94.6
"6888",264000,"Powiat m.Wrocław",2002,102.6
"6889",265000,"Powiat m.Wałbrzych od 2013",2002,NA
"6890",401000,"Powiat aleksandrowski",2002,74.4
"6891",402000,"Powiat brodnicki",2002,77.4
"6892",403000,"Powiat bydgoski",2002,77.8
"6893",404000,"Powiat chełmiński",2002,83.8
"6894",405000,"Powiat golubsko-dobrzyński",2002,76.1
"6895",406000,"Powiat grudziądzki",2002,74.5
"6896",407000,"Powiat inowrocławski",2002,83.9
"6897",408000,"Powiat lipnowski",2002,72.4
"6898",409000,"Powiat mogileński",2002,74.9
"6899",410000,"Powiat nakielski",2002,78.2
"6900",411000,"Powiat radziejowski",2002,75.1
"6901",412000,"Powiat rypiński",2002,73.9
"6902",413000,"Powiat sępoleński",2002,70.3
"6903",414000,"Powiat świecki",2002,93.9
"6904",415000,"Powiat toruński",2002,77.4
"6905",416000,"Powiat tucholski",2002,74.8
"6906",417000,"Powiat wąbrzeski",2002,82.7
"6907",418000,"Powiat włocławski",2002,73.9
"6908",419000,"Powiat żniński",2002,74.3
"6909",461000,"Powiat m.Bydgoszcz",2002,94.9
"6910",462000,"Powiat m.Grudziądz",2002,80.9
"6911",463000,"Powiat m.Toruń",2002,92.5
"6912",464000,"Powiat m.Włocławek",2002,90.6
"6913",601000,"Powiat bialski",2002,72
"6914",602000,"Powiat biłgorajski",2002,79.2
"6915",603000,"Powiat chełmski",2002,79.1
"6916",604000,"Powiat hrubieszowski",2002,79.5
"6917",605000,"Powiat janowski",2002,74.7
"6918",606000,"Powiat krasnostawski",2002,78
"6919",607000,"Powiat kraśnicki",2002,76.8
"6920",608000,"Powiat lubartowski",2002,75.1
"6921",609000,"Powiat lubelski",2002,76.6
"6922",610000,"Powiat łęczyński",2002,135.9
"6923",611000,"Powiat łukowski",2002,71.9
"6924",612000,"Powiat opolski",2002,79.3
"6925",613000,"Powiat parczewski",2002,74.6
"6926",614000,"Powiat puławski",2002,93.2
"6927",615000,"Powiat radzyński",2002,80.9
"6928",616000,"Powiat rycki",2002,76.6
"6929",617000,"Powiat świdnicki",2002,79.5
"6930",618000,"Powiat tomaszowski",2002,75.1
"6931",619000,"Powiat włodawski",2002,79.1
"6932",620000,"Powiat zamojski",2002,69.4
"6933",661000,"Powiat m.Biała Podlaska",2002,81.2
"6934",662000,"Powiat m.Chełm",2002,84.7
"6935",663000,"Powiat m.Lublin",2002,95.8
"6936",664000,"Powiat m.Zamość",2002,88
"6937",801000,"Powiat gorzowski",2002,93.7
"6938",802000,"Powiat krośnieński",2002,83.6
"6939",803000,"Powiat międzyrzecki",2002,79.9
"6940",804000,"Powiat nowosolski",2002,75.9
"6941",805000,"Powiat słubicki",2002,90.7
"6942",806000,"Powiat strzelecko-drezdenecki",2002,81
"6943",807000,"Powiat sulęciński",2002,73.6
"6944",808000,"Powiat świebodziński",2002,72.3
"6945",809000,"Powiat zielonogórski",2002,83
"6946",810000,"Powiat żagański",2002,77.6
"6947",811000,"Powiat żarski",2002,85.4
"6948",812000,"Powiat wschowski",2002,73.3
"6949",861000,"Powiat m.Gorzów Wielkopolski",2002,89.7
"6950",862000,"Powiat m.Zielona Góra",2002,97.4
"6951",1001000,"Powiat bełchatowski",2002,132.6
"6952",1002000,"Powiat kutnowski",2002,83.7
"6953",1003000,"Powiat łaski",2002,73.2
"6954",1004000,"Powiat łęczycki",2002,78.9
"6955",1005000,"Powiat łowicki",2002,80.2
"6956",1006000,"Powiat łódzki wschodni",2002,73.6
"6957",1007000,"Powiat opoczyński",2002,87.2
"6958",1008000,"Powiat pabianicki",2002,78.8
"6959",1009000,"Powiat pajęczański",2002,80.3
"6960",1010000,"Powiat piotrkowski",2002,70.7
"6961",1011000,"Powiat poddębicki",2002,72.3
"6962",1012000,"Powiat radomszczański",2002,74.2
"6963",1013000,"Powiat rawski",2002,72.5
"6964",1014000,"Powiat sieradzki",2002,79.7
"6965",1015000,"Powiat skierniewicki",2002,82.4
"6966",1016000,"Powiat tomaszowski",2002,75.6
"6967",1017000,"Powiat wieluński",2002,71.2
"6968",1018000,"Powiat wieruszowski",2002,71.6
"6969",1019000,"Powiat zduńskowolski",2002,78.6
"6970",1020000,"Powiat zgierski",2002,77.4
"6971",1021000,"Powiat brzeziński",2002,68
"6972",1061000,"Powiat m.Łódź",2002,93.9
"6973",1062000,"Powiat m.Piotrków Trybunalski",2002,72.9
"6974",1063000,"Powiat m.Skierniewice",2002,86.5
"6975",1201000,"Powiat bocheński",2002,84
"6976",1202000,"Powiat brzeski",2002,77.3
"6977",1203000,"Powiat chrzanowski",2002,92.4
"6978",1204000,"Powiat dąbrowski",2002,74.8
"6979",1205000,"Powiat gorlicki",2002,79
"6980",1206000,"Powiat krakowski",2002,90.7
"6981",1207000,"Powiat limanowski",2002,75.2
"6982",1208000,"Powiat miechowski",2002,78.1
"6983",1209000,"Powiat myślenicki",2002,95.5
"6984",1210000,"Powiat nowosądecki",2002,77.4
"6985",1211000,"Powiat nowotarski",2002,76.9
